#a
p	[3]把靶摆	[5]坝拜
pʰ	[1]葩	[5]怕=派湃
b	[2]牌排	[4]罢	[6]败稗
m	[2]埋霾	[3]买马=	[6]卖骂=
t	[3]歹	[5]带
tʰ	[1]他它拖-	[5]太泰汰
d	[4]笪	[6]大=汰
n	[2]拿那奈	[3]乃奶哪
l	[1]拉	[6]赖癞籁濑拉-
ts	[1]斋抓	[5]债炸
tsʰ	[1]差钗	[5]蔡
dz	[6]寨
s	[1]傻甩	[3]洒驶	[5]耍
z	[2]柴豺侪	[6]㾹
k	[1]佳街	[3]解锯-	[5]介界芥戒届
kʰ	[1]揩	[3]楷锴
ŋ	[2]涯崖睚	[6]外-捱
h	[3]蟹
ɦ	[2]鞋谐	[6]懈械薤
ʔ	[1]阿挨	[3]矮

#ia
tɕ	[1]嗟	[3]者赭	[5]借
tɕʰ	[1]且㕐
ɕ	[3]写	[5]泻卸
ʑ	[2]邪斜	[6]谢榭
c	[1]家=
ç	[5]下=
ɟ	[2]茄
j	[2]耶讶爷	[6]夜
ʔ	[1]鸦=	[3]冶野也雅=	[5]亚=

#ua
k	[1]瓜乖	[3]拐寡剐	[5]怪挂卦
kʰ	[1]夸	[8]跨垮蒯胯	[5]快筷
h	[1]花	[5]化
ɦ	[2]怀淮华哗槐	[6]话画坏
ʔ	[1]歪蛙洼哇娲=娃

#ɛ
p	[1]班扳斑颁	[3]板版	[5]扮
pʰ	[1]攀	[5]盼
b	[2]爿	[6]办瓣
m	[1]咩	[2]蛮馒蔓	[3]晚	[6]漫幔慢曼
f	[1]番翻幡帆	[3]反返	[5]泛贩
v	[2]凡藩矾烦樊	[4]犯范	[6]饭万
t	[1]丹单耽	[3]胆掸	[5]旦担
tʰ	[1]滩摊坍	[8]坦毯袒	[5]炭叹
d	[2]痰谈坛诞	[4]淡	[6]蛋但弹
n	[2]难	[4]赧	[6]难
l	[2]兰篮澜婪蓝	[3]览懒揽	[6]烂滥
ts	[3]斩盏湛	[5]赞溅蘸
tsʰ	[1]搀掺餐	[3]铲	[5]灿璨粲
dz	[2]残潺谗	[4]赚攒	[6]栈绽-站
s	[1]三山衫删杉	[3]伞散	[5]散撒
k	[1]间奸艰	[3]简拣涧减	[5]尴鉴间
