汉字	注释	音标
多		tɔ1
拖		tʰɔ1
驼		tʰɔ2
大		tʰɑi6
锣		lɔ2
左		tsɔ3
歌		kɔ1
哥		kɔ1
可		kʰɔ3
鹅		ŋɔ2
饿		ŋɔ6
河		hɔ2
贺		hɔ6
茄		/
波		pɔ1
坡		pɔ1
破		pʰɔ2
婆		pʰɔ2
磨	~刀	mɔ2
磨	石~	mɔ6
朵		tɔ3
糯		lɔ6
螺		lɔ2
锉		tsʰɔ2
坐		tsʰɔ6
座		tsʰɔ6
唆		sɔ1
锁		sɔ3
果		kɔ3
过		kɔ2
课		kʰɔ9
火		fɔ3
货		fɔ2
禾		vɔ2
祸		fɔ6
靴		fɛ1
疤		pɑ1
把		pɑ3
霸		pɑ2
怕		pʰɑ2
爬		pʰɑ2
耙	犁~	pʰɑ2
麻		mɑ2
马		mɑ3
骂		mɑ2
拿		lɑʔ7
茶		tsʰɑ2
榨		tsɑ2
叉		tsʰɑ1
查		tsʰɑ2
沙		sɑ1
家		kɑ1
加		kɑ1
假	真~	kɑ3
嫁		kɑ2
牙		ŋɑ2
芽		ŋɑ2
虾		hɑ1
下	方位	hɑ3
下	动词	hɑ6
哑		ŋɑ3
姐		tsɑ3
借		tsɑʔ7
写		sɑ3
泻		/
邪		sɑ2
斜		tsʰɑ2
谢		sɑ6
遮		tɑ1
蔗		tɑ2
车		tʰɑ1
扯		tʰæ3
蛇		sɑ2
射		sɑ6
赊		sɑ1
舍	舍不得	sɑ3
社		sɑ6
惹		læ3=/ȵiæ3-
爷		iɑ2
野		iɑ3
夜		iɑ6
瓜		kɑ1
垮		kʰɑ3
瓦		ŋɑ3
花		fɑ1
化		fɑ2
补		pu3
布		pu2
铺	~设	pʰu1
部		pʰu6
簿		pʰu6
步		pʰu6
墓		mu2
都		tu1
赌		tu3
肚	猪~	tʰu6
土		tʰu3
兔		tʰu2
涂		tʰu2
图		tʰu2
杜		tʰu6
肚	腹~	tu3
度		tʰu6
炉		lu2
卤		lu3
路		lu6
露		lu6=/lu2-
租		tsu1
祖		tsu3
做		tsu2
粗		tsʰu1
醋		tsʰu2
错		tsʰɔ2
苏		su1
姑		ku1
箍		ku1
鼓		ku3
枯		kʰu1
苦		kʰu3
裤		kʰu2
吴		n̍2
五		n̍3
虎		fu3
胡		fu2=/vu2-
湖		fu2
户		fu6
乌		vu1
女		ȵi3
吕		li3
徐		ɕi2
猪		tu1
除		tʰu2
苎		tʰu6
初		tsʰu1
锄		tsʰu2
助		tsʰu6
梳		su1
煮		tu3
书		su1
鼠		su3
薯		su2
车	~马炮	ki1
锯		kiɛ2=/tɕiæ2-
去		hiɛ2
鱼		ȵi2
语		ȵi3
虚		fi1
许		fi3
余		vi2
夫		fu1
斧		fu3
符		fu2
扶		fu2
辅		fu3
舞		vu3
雾		vu6=/vu2-
娶		tɕʰi3
鬚	鬍~	ɕi1
厨		tʰu2
柱		tʰu6
住		tʰu6
数	名词	su2
朱		tu1
主		tu3
蛀		tu2
输		su1
竖		su6
树		su6
句		ki2
区		kʰi1
具		kʰi6
雨		vi3
芋		vi6
戴		tɔi2
台		tʰɔi2
待		tʰɔi6
代		tʰɔi6
袋		tʰɔi6
来		lɑi2
栽		tsɔi1
菜		tsʰɔi2
财		tsʰɔi2
该		kɔi1
改		kɔi3
开		kʰɔi1
碍		ŋɔi6
海		hɔi3
哀		ŋɔi1
爱		ŋɔi2=/ŋɔi6-
贝		pi2
带		tɑi2
太		tʰɑi6
蔡		tsʰɑi2
盖		kɔi2
害		hɔi6
拜		pɑi2
排		pɑi2
埋		mɑi2
阶		kɑi1
界		kɑi2
械		kɑi9
挨	~着	ŋɑi1
摆		pɑi3
派		pʰɑi2
牌		pʰɑi2
稗		pʰɑʔ7
买		mɑi3
卖		mɑi6
奶		lɑi3
债		tsɑi2
筛		sɑi1
晒		sɑ2
街		kɑi1
鞋		hɑi2
蟹		hɑi3
矮		ŋɑi3
败		pʰɑi6
毙		pʰi6
例		li6
祭		tɕi2
世		sœ2=/ɕiœ2-
闭		pi2
批		pʰi1
米		mi3
低		ti1
堤		tʰi2
梯		tʰi1=/tʰɑi1-
体		tʰi3
替		tʰi2
题		tʰi2
提		tʰi2=/tʰiɛ2-
弟		tʰi6=/tʰɑi6-
第		tʰi6
泥		ȵi2=/lɑi2
犁		
礼		li3
妻		tɕʰi1
