来源：	张启慧 2019《山西省阳城县蟒河镇方言语音研究》；Hynuza, Skanda 整理录入
说明：	
#符号说明：	-白=文*俗?待考
#调值	［1］213［2］33［3］42［5］53［7］22
#ɿ	
ts	［1］知蜘支枝肢栀资姿咨兹滋辎之芝只={一～鸟}［2］侄［3］紫纸子梓只{～有}姊脂旨指止趾址［5］滞制智自雉致稚至字痔置治志痣
tsʰ	［1］痴嗤疵差{参～}［2］词{～语}雌池驰瓷餈迟慈磁辞祠持［3］此眵侈豉耻齿［5］刺赐翅次伺{～候}赤斥
s	［1］斯厮撕施私师狮尸司丝思饲{～料}诗［2］词{～语}匙时［3］死屎豕使史驶始［5］世势誓逝舐是氏四肆示视嗜侍饰似祀巳寺嗣士仕柿事市试
#ɿə	
ts	［1］遮簪沾粘瞻占{～卜}毡［2］着{睡～}［3］褶者展［5］蛰=蔗占{～地方}战颤{冷～}
tsʰ	［1］车{马～}［2］缠［3］扯铲［5］□{玻璃不～：玻璃渣子}
s	［1］赊羶搧［2］蛇舌折{弄～了}勺［3］捨舍陕闪［5］单{姓}摄=社麝赦涉射善扇膳
z	［2］然燃［3］惹染［5］□{～家：人家}
#ɚ	
Ø	［2］儿而［3］耳饵［5］二贰
#ʮ	
ts	［1］猪
tsʰ	［3］礎
#i	
p	［2］鼻［3］蓖=彼鄙比秕滗{过滤固体倒出液体}［5］蔽敝弊幤毙陛闭箅臂=被避秘{～鲁}庇备篦
pʰ	［1］批披丕［2］皮疲痹琵枇便{～宜}［3］脾［5］譬屁
m	［2］谜={～语}迷弥眉［3］米靡抿渳{小饮：圪～一口}［5］谜-{猜～～}寐{小睡}
f	［1］非-飞［2］肥［5］废-肺费
v	［2］微-［5］未味
t	［1］低堤［2］笛［3］底抵［5］弟帝第递地
tʰ	［1］梯［2］题提蹄啼［3］体［5］替涕剃
n	［2］泥倪尼［3］你拟［5］腻逆
l	［2］犁黎离{～别}篱璃梨厘狸［3］礼李里理鲤［5］例厉励丽隶荔离{～几尺远}利痢吏笠
ʨ	［1］唧［2］集{赶～}［3］挤［5］祭际穄荠济剂寂
ʨʰ	［1］妻［2］齐脐箕［5］砌
ɕ	［1］西犀希稀夕［2］畦席{凉～}［3］洗玺徙［5］细囟
c	［1］鸡稽饥肌基几{～乎}机讥搛［3］几{茶～}己几{～个}戟［5］计继寄徛技妓冀纪忌既妗墼记
cʰ	［1］欺期［2］企奇骑岐祁鳍其棋旗祈［3］启起杞岂［5］契器弃气汽迄
ç	［1］溪奚兮牺嬉熙［3］喜蟢［5］系戏
Ø	［1］倚医以衣依揖［2］宜仪移伊夷姨疑饴沂［3］蚁椅矣尾-［5］艺谊义议易意异毅逸忆亿抑翼亦译易疫
#u	
p	［3］补簿捕卜［5］部布怖步
pʰ	［1］铺{～床}［2］蒲菩脯［3］谱普浦［5］铺{店～}
f	［1］夫跗麸妇［2］肤敷俘孵符扶芙浮佛栿［3］府腑俯甫斧抚腐辅釜否［5］父付赋傅赴讣附富负阜
t	［1］都{～城}都{～是}［2］犊［3］堵睹肚{猪～}笃［5］妒肚{腹～}度渡镀杜
tʰ	［1］涂［2］徒屠途图［3］土吐{～痰}吐{呕～}［5］兔
l	［2］卢炉芦庐笼-{红灯～}［3］鲁虏卤［5］路赂露
ts	［1］租诸诛蛛株朱硃珠［2］卒［3］祖组阻主［5］做著苧助驻註蛀铸
tsʰ	［1］粗初［2］厨雏［3］褚{姓}楚处{相～}杵［5］醋措处{～所}猝
s	［1］苏酥梳疏蔬枢殊输{运～}淑［2］锄［3］署薯数{动词}［5］素诉塑嗉庶恕数{名词}竖戍漱
z	［2］如儒［3］汝乳擩
k	［1］姑孤箍［3］古估股鼓［5］故固雇顾
kʰ	［1］枯［3］苦［5］库裤
x	［1］呼［2］胡湖狐壶乎葫胡核{果～}［3］虎浒［5］户沪互护瓠
Ø	［1］乌污巫诬［2］吴蜈吾梧无［3］五伍午武舞侮鹉［5］误悟务雾戊
#y	
n	［3］女
l	［2］驴［3］稆旅缕屡履［5］虑滤
ʨ	［1］拘驹［2］□{油～：倒油时用的漏斗}［3］煮拄［5］俱聚句具惧柱住注
ʨʰ	［1］蛆=趋驱［2］瞿除储［3］取娶=［5］趣
