#参考资料	《安徽舒城方言语音研究》《舒城县志》
#调值	[1]阴平31 [2]阳平34 [3]上声213 [5]去声55 [7a]高入5 [7b]低入24
#ɿ	
p	[1]屄[3]鄙比彼[5]泌庇痹蔽弊蓖
pʰ	[1]丕批披[2]琵批皮疲脾[3]痞[5]屁譬
m	[1]眯[2]弥迷谜糜泥靡米
ts	[1]几机饥讥兹滋基资咨姿肌鸡稽低堤奇箕爹[3]几子梓滓己姊紫底抵挤仔鸡济[5]既字纪记忌自冀妓技寄计继系{~鞋带}弟帝第递祭际季渍地剂借
tsʰ	[1]欺期差{参~}梯妻凄[2]祈慈磁辞祠词其棋旗瓷糍祁鳍雌奇骑岐题提蹄啼齐脐溪[3]岂起祀此企启体[5]汽气次器弃刺赐契屉替剃涕砌
s	[1]希稀司丝思厕{茅~}嬉熙私师狮西犀栖些斯撕嘶[3]使史驶喜死玺徙洗[5]细似祀巳伺寺嗣饲士仕柿事四肆戏系{联~}
z	[1]衣依医伊[2]沂厘狸疑尼梨夷姨离篱璃宜仪移倪犁黎霓怡泥李里理鲤拟以已蚁椅倚礼野[5]毅吏意义异利痢莉腻肄荔谊议易夜艺例励厉丽诣
#ʅ	
tʂ	[1]知蜘支枝肢桅之芝[3]纸只脂旨止趾址[5]滞制锥致稚至痔置治智痣
tʂʰ	[1]侈匙[2]池驰迟持治{~鱼}[3]耻齿[5]滞翅
ʂ	[1]施尸诗[2]时[3]屎矢始[5]世势誓逝是氏示视嗜市侍恃试
#i	
t	[1]地⑦的
n	[3]你[5]尔｛中指~个｝
tɕ	[3]姐[5]借
Ø	[2]爷
#ʊ	
p	[1]波菠玻播[3]跋[5]簸薄
pʰ	[1]颇坡[2]婆[5]破剖
m	[2]魔磨摩馍模谋[3]某亩牡母拇[5]磨{石~}暮幕募慕墓
t	[1]多[3]朵躲[5]舵惰垛剁堕跺
tʰ	[1]拖[2]驼陀砣鸵驮[3]妥椭
n	[1]捋啰[2]罗锣箩骡挪螺[3]裸[5]糯
ts	[3]左佐祖[5]坐座做作
tsʰ	[1]搓磋初[3]锄痤[3]楚础[5]锉挫措错
s	[1]蓑梭唆梳[3]锁琐琐所数{动词}[5]数{名词}
tʂ	[1]啄
k	[1]歌哥锅戈[3]果裹[5]个过
kʰ	[1]科案棵颗蝌苛[3]可[5]课
x	[2]河何荷和禾[3]火伙[5]贺祸货
Ø	[1]窝楼涡[2]蛾鹅俄讹[3]我[5]饿卧
#ʉβ	
p	[3]补捕[5]部簿布步埠
pʰ	[1]铺[2]蒲菩脯甸[3]谱普浦甫[5]铺~店~}
f	[1]夫肤敷孵麸[2]符扶芙浮[3]俘府腑俯斧抚釜腐辅否[5]父付赋傅赴讣附妇负阜富副
t	[1]都[3]堵赌肚[5]杜妒度渡镀
tʰ	[2]徒屠途图[3]土[5]吐
n	[2]奴颅卢炉芦鸿庐[3]努弩鲁妒虏卤[5]怒路赂露鹭
ts	[1]租[3]组阻[5]助皱
tsʰ	[1]粗[5]醋
s	[1]苏酥疏[5]素漱诉塑
tʂ	[1]猪诸诛蛛株朱殊珠[3]煮拄主[5]著柱驻住注蛀
tʂʰ	[2]除厨雏[3]储褚处暑薯鼠[5]处{~所}
ʂ	[1]书舒枢殊输[3]黍署铭署[5]庶恕竖戍树
ʐ	[2]如儒[3]汝乳
k	[1]姑孤估[3]古枯股鼓[5]故固顾
kʰ	[1]枯箍[3]苦[5]库裤
x	[1]呼乎[2]胡湖狐壶和{~牌}[3]虎戽浒[5]瓤互护户沪
Ø	[1]乌污巫诬[2]吴娱梧无[3]五伍午武舞侮鹉[5]恶{可~}误悟务雾戊
#ɥ	
ts	[1]居车{象棋}拘驹[3]举矩咀[5]巨拒距据锯聚俱句具
tsʰ	[1]蛆趋区驱[2]瞿渠茄瘸[3]取娶[5]去趣
s	[1]墟虚嘘须需戌吁靴[2]徐[3]许[5]序叙绪絮续婿
z	[1]淤迂瘀[2]驴鱼庐{地名：~江}渔余愚虞娱于榆逾愉[3]女吕旅语缕屡盂雨宇禹羽履屿[5]虑玉滤御誉预豫遇寓愈裕芋喻
#a	
p	[1]巴芭疤扒耙笆吧[3]把[5]霸坝罢
pʰ	[1]趴琶杷葩[2]爬扒{~手}[5]怕
m	[1]马{~虎}妈蟆抹吗[2]麻[3]马蚂玛码[5]骂
t	[3]打[5]大
tʰ	[1]他她它
n	[1]拉啦垃[2]拿[3]喇哪[5]娜那
tʂ	[1]查{姓}渣碴[3]鲊[5]诈栅榨炸乍
tʂʰ	[1]叉杈差[2]茶搽茬查[5]岔
ʂ	[1]沙纱裟砂[3]傻[5]煞厦
k	[3]嘎[5]尬
kʰ	[1]咖[3]咯卡
x	[1]哈[5]下
Ø	[1]啊阿[2]儿[3]而耳饵惹[5]二贰
#ia	
tɕ	[1]家加嘉痂佳枷[3]假贾[5]架驾嫁稼价
tɕʰ	[1]掐
ɕ	[1]虾[2]霞瑕遐暇[5]夏厦{~门}
Ø	[1]鸦呀丫[2]牙衙芽伢崖涯[3]雅哑[5]讶亚轧
#ua	
tʂ	[1]抓[3]爪
ʂ	[3]耍
k	[1]瓜呱[3]寡剐[5]卦褂褂
kʰ	[1]夸[3]侉垮胯[5]跨挎
x	[1]花哗[2]划华烨[5]化桦话画华{姓}
Ø	[1]娲蛙洼哇[2]娃[3]瓦[5]凹
#ɔ	
p	[1]褒包胞[2]雹[3]保堡宝饱[5]抱报暴鲍爆豹
pʰ	[1]脬抛[2]袍狍咆刨[3]跑[5]炮泡
m	[1]猫[2]毛茅矛锚[3]卯[5]冒帽貌
t	[1]刀叨[3]祷岛倒导捣蹈[5]到倒盗悼道稻
tʰ	[1]滔涛掏[2]桃逃淘陶萄[3]讨[5]套
n	[1]捞孬唠[2]劳牢挠饶[3]脑恼老姥佬[5]涝闹
ts	[1]遭糟[2]凿[3]早枣蚤澡[5]皂躁灶燥
tsʰ	[1]操[2]曹嘈槽[3]草[5]糙造
s	[1]臊骚搔[3]扫嫂[5]躁
tʂ	[1]朝昭招[3]找爪沼[5]赵兆召照诏罩
tʂʰ	[1]抄钞超[2]巢朝{~代}潮嘲[3]炒吵
ʂ	[1]梢捎稍烧[2]韶[3]少[5]绍邵哨少{~年}
ʐ	[2]饶熬[3]扰袄[5]绕傲奥懊
k	[1]高膏篙羔糕睾[3]稿搞[5]告浩
kʰ	[1]敲[3]考烤[5]靠稿
x	[1]篙薅[2]豪壕毫[3]好[5]浩好耗号
#iɔ	
p	[1]标镖彪飚[3]表裱婊
pʰ	[1]飘缥漂[2]嫖瓢[5]票漂缥
m	[2]苗描瞄[3]渺藐秒[5]妙庙
t	[1]叼刁貂雕凋[3]屌[5]钓吊掉调{音~}
tʰ	[1]挑[2]迢条调[3]挑{~拨}[5]跳
n	[2]疗聊辽撩寥僚[3]燎鸟[5]廖瞭料撂
tɕ	[1]交郊胶教焦蕉椒娇骄浇[2]嚼[3]绞狡皎搅剿矫缴侥[5]教{~育}校{~对}较酵窖觉{睡~}轿叫嚼
tɕʰ	[1]锹悄撬[2]樵瞧乔桥侨荞[3]巧[5]鞘俏窍跷翘撬{动词}
ɕ	[1]消霄宵销硝嚣萧箫[2]淆[3]小晓[5]孝效校笑啸哮酵
Ø	[1]妖腰邀夭要{~求}幺吆[2]肴摇谣姚窑遥尧瑶[3]咬舀杳[5]要耀
#ᴇ	
p	[3]摆[5]拜稗败
pʰ	[2]排牌[5]派
m	[2]埋[3]买[5]卖迈
t	[1]呆[3]歹逮[5]待怠殆戴贷代袋带大{~夫}汰
tʰ	[1]胎台苔{舌~}[2]檯臺苔抬[3]奤[5]态太泰汰
n	[2]来莱[3]乃奶{~粉}[5]耐奈赖癫
ts	[1]灾栽[3]宰崽仔载[5]在再载{~重}
tsʰ	[1]猜[2]才材财裁[3]彩采睬[5]菜蔡
s	[1]鳃腮[5]赛塞
tʂ	[1]斋[5]债寨
tʂʰ	[1]钗差{出~}[2]豺柴
ʂ	[1]筛[2]斜[5]晒
ʐ	[1]哀埃挨[2]癌呆[3]蔼矮霭[5]爱碍艾隘
k	[1]该街[3]改[5]概溉盖钙丐
kʰ	[1]开揩[3]凯慨楷
x	[2]孩[3]海蟹[5]亥害骇
#iᴇ	
tɕ	[1]皆阶街[3]解[5]介界芥疥戒届
tɕʰ	[3]且
ɕ	[2]谐鞋[3]蟹[5]械懈解{姓}
Ø	[1]耶椰[3]也
#uᴇ	
tʂ	[5]拽
tʂʰ	[1]揣[3]揣
ʂ	[1]衰摔[3]甩[5]帅蟀率{~领}
k	[1]乖[3]拐踝[5]怪
kʰ	[5]块快筷会{~计}
x	[2]淮怀槐踝[5]坏
Ø	[1]歪[3]崴[5]外
#e	
p	[1]杯碑卑悲背{~着}[5]倍辈背{~诵}焙备臂婢被闭
pʰ	[1]胚[2]培陪赔裴[5]配佩沛呸
m	[2]梅枚媒煤眉嵋[3]每美镁[5]妹昧媚寐
f	[1]非飞妃啡[2]肥[3]匪翡[5]废肺吠痒费
t	[1]堆[3]抵[5]对队兑
tʰ	[1]推梯[2]颓[3]腿[5]退褪蜕
n	[2]雷擂镭[3]儡累{积~}磊垒[5]内累类泪
ts	[2]贼[3]嘴[5]罪最醉
tsʰ	[1]崔催[2]随[3]璀[5]脆翠粹
s	[2]隋[3]写髓[5]泻卸谢碎岁遂隧穗绥
tʂ	[1]遮知蜘[3]者[5]蔗
tʂʰ	[1]车[3]扯逞
ʂ	[1]奢赊[2]蛇佘[3]舍{~得}[5]社射麝舍
k	[3]给
#uɪ	
tʂ	[1]追锥[5]缀赘坠
tʂʰ	[1]吹炊[2]垂槌锤
ʂ	[2]谁[3]水[5]税睡瑞
ʐ	[3]蕊[5]芮锐
k	[1]圭闺规龟归[3]鬼诡轨癸[5]桂贵跪柜鳜
kʰ	[1]盔亏窥[2]魁奎逵葵[3]傀[5]溃愧
x	[1]恢灰挥辉徽[2]回茴[3]悔毁[5]贿汇会绘秽惠慧讳
Ø	[1]微威[2]桅危为维惟唯违围[3]伪委尾伟纬玮苇萎[5]卫位未味魏畏慰胃谓
