星宿	ɕin1 ɕiɵu2	星星
星星屙屎	ɕin1 ɕin1 o1 sɿ3	流星
扫把星	sɐɤ5 pa3 ɕin1	流星
天上七姊妹	tʰiɛ̃1 saŋ5 tɕʰi2 tɕi5 mei3	北斗七星
细风	ɕi5 foŋ1	微风
当风	taŋ1 foŋ1	在风口上
扯霍闪	tsʰe3 xo2 sæ̃3	闪电
麻风细雨	ma2 fən1 ɕi5 y3	
偏东雨	pʰiɛ̃1 toŋ1 y3	雷阵雨
虹	kaŋ5
凌吊吊	lin5 tiɐɤ5 tiɐɤ5	随水流结成的冰
凌钩子	lin5 kɵu1 tsɿ5	挂在屋檐下的冰
落凌了	lo2 lin5 la1	结冰
桐油光光	tʰoŋ2 yɵu2 kuaŋ5 kuaŋ5	路上结冰
雪米子	ɕy2 mi3 tsɿ3	米粒状的雪或冰雹
□头霜	pæ̃2 tɵu3 suaŋ1	
起明霜	tɕʰi3 min2 suaŋ1	
垮龙奔了	kʰua3 loŋ2 pən1 la1	涝了
空廊场	kʰoŋ5 laŋ2 tsʰaŋ2	空地
寡岩岩	kua3 ŋæe2 ŋæe2	山崖
水凼凼	suei3 taŋ5 taŋ5	
回水凼	xuei2 suei3 taŋ5	因急流回旋而形成的水湾
恶浊水	o2 tsʰo2 suei3	脏水
□水	xoŋ2 suei3	猛水
□水	læe5 suei3	开水
刨刨炭	pʰɐɤ2 pʰɐɤ2 tʰæ̃5	
呼呼炭	xu1 xu1 tʰæ̃5	
巷巷	haŋ5 haŋ5	胡同
大初一	ta5 tsu1 i2	大年初一
□年	kən3 liɛ̃2	整年，全年
五黄六月	u3 xuaŋ2 lu2 y2	青黄不接的月份
正月家	tsən1 y2 tɕiɛ̃1	
麻麻亮	ma2 ma2 liaŋ5	天快亮的时候
刷粉	sua2 fæ̃3	
中午前干	tsoŋ1 u3 tɕʰiɛ̃2 kæ̃1	中午以前
白天家	pæ̃2 tʰiɛ̃1 tɕiɛ̃1	
整夜	kən3 i5	整个夜晚
哪正□	la3 tsən5 tsæ̃3	什么时候。例：他～来？
二天	ŋæe2 tʰiɛ̃1	后来
正暂	tsən3 tsæ̃5	现在
上坡	saŋ5 pʰo1	从事农活。例：他到哪点切（去）啦？他～了。
谷子线线	ku2 tsɿ3 ɕiɛ̃5 ɕiɛ̃5	稻穗
冒芽嘴嘴	mɐɤ5 ia2 tsuei5 tsuei5	植物浸种时发出小芽
冲嘴	tsʰoŋ5 tsuei3	
发蔸	fa2 tɵu1	秧苗分蘖
封行	foŋ1 xaŋ2	秧苗长得茂盛，看不到行距
打泡	ta3 pʰɐɤ1	植物孕穗
出线	tsʰu2 ɕiɛ̃5	植物由叶梢中出穗
放线	faŋ5 ɕiɛ̃5 	植物由叶梢中出穗
长须须	tsaŋ3 ɕy1 ɕy1	玉米等出穗
散籽	sæ̃3 tsɿ3	谷粒因灌浆而在穗上呈分散状
牛鼻豢	liu2 pi2 tɕuæ̃5	穿在牛鼻子里的木棍儿或铁环
枷当	tɕia1 taŋ1	用弯木制成，与铧田配合使用，搭在牛脖子上
纤索	tɕʰæe1 so2	缰绳
牛栏索	liu2 læ̃2 so2	缰绳
挞钩索	ta2 kɵu1 so2	用于捆绑草类的绳索，有一小木钩，便于捆扎
千担	tɕʰæe1 tæ̃5	用于挑柴草的农具，两头尖
风泊	foŋ1 po2	风车，使米粒跟谷壳分离的家具
连枷	liɛ̃2 kæe5	用于脱离豆类、麦类的农具
洋角钁	iaŋ2 ko2 tɕiɐɤ2	刨硬地用锄，一头尖形，一头扁小
薄刀	po2 tɐɤ1	菜刀
砂刀	sa1 tɐɤ1	用来劈开或剁断木柴的
刀皮子	tɐɤ1 pʰi2 tsɿ3	装镰刀和砂刀的盒子，背于后背
挺杖	tʰin3 tsaŋ5 杀猪器具
撮箕	tsʰo2 tɕi1	撮垃圾用
渣渣	tsa1 tsa1	垃圾
椽兜	uæ̃1 tɵu1	
背蔸	pei5 tɵu1	
刷扫	sua2 sɐɤ5	扫灶台专用
刷刷扫	sua2 sua2 sɐɤ5	扫灶台专用
阳春	iaŋ2 tsʰun1	庄稼
猫猫豆	mɐɤ1 mɐɤ1 tɵu5	
葫瓜	fu2 kua1	南瓜
瓠芦	ku2 lu2	葫芦
毛冬瓜	mɐɤ2 toŋ1 kua1	冬瓜
葱干干	tsʰoŋ1 kæ̃3 kæ̃3	葱的茎
葱栳栳	tsʰoŋ1 lɐɤ3 lɐɤ3	蒜的鳞茎，由蒜瓣构成
海浀	xæe3 tɕʰy2	西红柿
洋辣子	iaŋ2 la2 tsɿ3	
糟辣子	tsɐɤ1 la2 tsɿ3	经腌制的辣椒
甜菜	liɛ̃2 tsʰæe5	菠菜
莴揪菜	o1 tɕiu1 tsʰæe5	莴笋（指茎部）
芫荽	iɛ̃1 suei1
树颠颠	su5 tiɛ̃1 tiɛ̃1	树梢
格蔸	kæ2 to1	树砍后只留下地里的部分
拐枣	kuæe3 tsɐɤ3	
毛梨子	mɐɤ2 li2 tsɿ3	猕猴桃
白壳子树	pei2 kʰo2 tsɿ3 su5	银杏
蔗杆	tsa5 kæ̃3	甘蔗
养牲	iaŋ3 sən1	牲口
骟牛	sæ̃5 liu2	阉过的公牛
骚牯仔	sɐɤ1 ku3 tsæe3	未阉的公牛
水牯	suei3 ku3	公水牛
黄牯	xuaŋ2 ku3	黄公牛
水㸺	suei3 sa1	母水牛
牛仔仔	liu2 tsæe3 tsæe3	牛犊
山羊子	sæ̃1 iaŋ2 tsɿ3	野羊
骚羊子	sɐɤ1 iaŋ2 tsɿ3	未阉的公羊
犽狗	ia2 kɵu3	公狗
郎狗	laŋ2 kɵu3	未阉的公狗
騲狗仔	tsʰɐɤ3 kɵu3 tsæe3	母狗
猫三	mɐɤ1 sæ̃1	猫的总称
犽猪	ia2 tsu1	公猪
郎猪	laŋ2 tsu1	种猪
脚猪	tɕio2 tsu1	
架子猪	tɕia5 tsɿ3 tsu1	
劁猪	tɕʰiɐɤ1 tsu1	阉猪
骚公鸡	sɐɤ1 koŋ1 tɕi1	指淫秽之人
菢鸡娃	pɐɤ5 tɕi1 ua2	正在孵蛋的母鸡
菢鸡母	pɐɤ5 tɕi1 mu3	
菢窝鸡	pɐɤ5 o1 tɕi1	
菢蛋	pɐɤ5 tæ̃5	～小鸡儿
农鸭	loŋ2 ia2	公鸭
野物	i3 u2	野兽
梭老二	so1 lɐɤ3 ɚ5	蛇
雀雀	tɕʰio2 tɕʰio2	鸟
鸦鹊	a1 tɕʰio2	喜鹊
老娃	lɐɤ3 ua2	乌鸦
秧鸡	iaŋ1 tɕi1	鹌鹑
猫当哥	mɐɤ1 taŋ1 ko1猫头鹰
猫冬科	mɐɤ1 toŋ1 ko1	
毛鸡	mɐɤ2 tɕi1	野鸡
点水雀	tiɛ̃3 suei3 tɕʰio2	一种喜水的小鸟
包谷雀雀	pɐɤ1 ku2 tɕʰio2 tɕʰio2	四声杜鹃
贵贵阳	kuei5 kuei5 iaŋ2	三声杜鹃
秤杆蛇	tsʰən5 kæ̃3 sei2	百足虫
土狗仔	tʰu3 kɵu3 tsæe1	蝼蛄
推屎嘎拉	tʰuei1 sɿ3 ka1 la1	蜣螂
蠛蠛蚊	mi2 mi2 uən	蠓
