聲韻	調	
ʦɯ	˦˦˧	資姿咨恣茲滋輜租
ʦɯ	˧˥	紫姊子籽仔梓滓祖組阻
ʦɯ	˥˥˦	塒做
ʦʱɯ	˦˦˧	差₂(參～)疵玼初粗
ʦʱɯ	˩˦	瓷餈茲糍慈磁詞祠辭雌雛鋤
ʦʱɯ	˧˥	此楚礎杵
ʦʱɯ	˩	柿跐
ʦʱɯ	˥˥˦	次刺嗣飼伺廁醋措
ʦʱɯ	˨˨˧	自字牸寺峙巳祀士仕似俟助
sɯ	˦˦˧	師獅螄斯撕嘶廝廁私思₁絲司蘇酥穌梳蔬
sɯ	˧˥	死
sɯ	˥˥˦	四泗肆賜伺(又)思₂素數₁訴
sɯ	˨˨˧	事
ʧɨ̹	˦˦˧	知蜘之芝支枝肢吱梔脂
ʧɨ̹	˧˥	紙旨指止趾址
ʧɨ̹	˥˥˦	至致志痣制智置翅
ʧʱɨ̹	˦˦˧	蚩嗤癡璃眵鴟雉
ʧʱɨ̹	˩˦	池弛馳遲持
ʧʱɨ̹	˧˥	齒恥侈
ʧʱɨ̹	˥˥˦	滯窒稚
ʧʱɨ̹	˨˨˧	治痔
ʃɨ̹	˦˦˧	詩施屍豉
ʃɨ̹	˩˦	時鰣匙
ʃɨ̹	˧˥	史駛使始豕屎
ʃɨ̹	˩	是柿
ʃɨ̹	˥˥˦	式試氏勢世嗜舐(文)□(祈使句尾語氣詞也)
ʃɨ̹	˨˨˧	市示視恃侍(～公/婆/嘖，言曾祖輩也)痔(又)逝誓
pi	˦˦˧	蓖卑碑(文)悲屄(文)
pi	˧˥	彼比
pi	˥˥˦	蔽閉斃秘泌潷痹輩背(文)臂貝
pʱi	˦˦˧	批秕㓟披蓖丕屄₁(訓：麻～)
pʱi	˩˦	皮疲枇琵俾脾婢郫羆裴培(文)陪
pʱi	˧˥	鄙秕庇否痞
pʱi	˩	被(白：～窩)
pʱi	˥˥˦	屁譬轡配(文)佩
pʱi	˨˨˧	幣陛箅敝弊篦鐾被(文)備珮
mi	˦˦˧	咪眯䊳
mi	˩˦	迷糜彌獼眉媚楣湄嵋梅(文)黴(文)枚(文)
mi	˧˥	□(言食物剛變質也)
mi	˩	米美每羋
mi	˥˥˦	尾(白)魅眯(笑～著)
mi	˨˨˧	謎寐妹(文)昧沕
fi	˦˦˧	飛非妃灰(文)恢(文)揮輝麾徽
fi	˩˦	肥回(文)茴蛔薯(白)
fi	˧˥	匪菲翡賄䵋悔毀
fi	˥˥˦	痱肺沸廢費吠晦誨穢卉諱
fi	˨˨˧	會(文)繪匯惠穗慧彗
ti	˦˦˧	低爹(文)的₂(官：結構助詞也)
ti	˧˥	底抵詆邸砥
ti	˥˥˦	帝蒂締諦對(文)
tʱi	˦˦˧	梯推(文)
tʱi	˩˦	提(文)隄堤題啼蹄(文)
tʱi	˧˥	體弟₂(老～)剔(訓：剔除也)
tʱi	˥˥˦	涕悌銻剃替屜退(文)蛻(文)
tʱi	˨˨˧	弟第遞地
li	˦˦˧	裏₂(夜～、內～)哩俚□(滾動)
li	˩˦	梨犁黎離璃籬厘驢(白)雷(文)擂
li	˩	里裏₁理鯉狸李禮呂鋁履屢旅你(文（懶音）)儡累₁壘
li	˥˥˦	麗莉李(桃～)哩栗罍礪
li	˨˨˧	厲勵利痢例荔吏慮濾類淚內(文)累₂(文)
ʦi	˦˦˧	雎□(言用尖子戳也)
ʦi	˧˥	擠嘴咀姐(文)
ʦi	˥˥˦	濟劑祭穄際最觜醉漬
ʦʱi	˦˦˧	妻棲淒沏趨蛆淬
ʦʱi	˩˦	齊臍徐
ʦʱi	˧˥	取娶
ʦʱi	˩	聚(白：～攏)
ʦʱi	˥˥˦	砌薺趣嚏脆翠碎(文)粹瘁悴
ʦʱi	˨˨˧	罪
si	˦˦˧	西棲犀需須鬚胥雖綏荽(芫～：香菜也)
si	˩˦	隨隋徐(又)
si	˧˥	洗徙璽
si	˥˥˦	細絮婿歲髓嗉(雞～袋)
si	˨˨˧	序敘緒聚(文)遂隧穗
ki	˦˦˧	雞(文)几饑肌機譏磯麂幾₁稽姬萁箕基羈屐乩
ki	˧˥	已紀₁幾₂
ki	˥˥˦	記忌旡既寄計繼騎₁系₁冀季
