"拼音"	"IPA"	"調號"	"單字"
"z"	"tsɿ"	1	"姿咨茲滋差[參～]"
"z"	"tsɿ"	2	"磁詞辭祠瓷糍慈"
"z"	"tsɿ"	3	"子紫姊梓"
"z"	"tsɿ"	5	"自"
"z"	"tsɿ"	6	"字寺"
"c"	"tsʰɿ"	1	"疵雌"
"c"	"tsʰɿ"	3	"此"
"c"	"tsʰɿ"	5	"次賜刺伺"
"c"	"tsʰɿ"	6	"滯飼"
"s"	"sɿ"	1	"私絲斯廝撕師獅司思"
"s"	"sɿ"	3	"死"
"s"	"sɿ"	5	"四肆事="
"s"	"sɿ"	6	"事-似祀飼"
"zh"	"tʃɿ"	1	"之知支枝肢梔脂芝"
"zh"	"tʃɿ"	2	"池遲馳"
"zh"	"tʃɿ"	3	"止紙旨指趾址只[～有]"
"zh"	"tʃɿ"	5	"至志智致侄痣織汁執姪蜘質職炙誌制"
"zh"	"tʃɿ"	6	"痔治"
"ch"	"tʃʰɿ"	1	"癡嗤差[參～]"
"ch"	"tʃʰɿ"	2	"持匙"
"ch"	"tʃʰɿ"	3	"恥齒侈"
"ch"	"tʃʰɿ"	5	"斥翅擲置直秩值飭殖植尺=喫"
"ch"	"tʃʰɿ"	6	"雉稚"
"sh"	"ʃɿ"	1	"詩施尸屍眵"
"sh"	"ʃɿ"	2	"時"
"sh"	"ʃɿ"	3	"屎始使史駛"
"sh"	"ʃɿ"	5	"世室試濕拾十實失食蝕識勢式飾適釋石="
"sh"	"ʃɿ"	6	"市豉柿是示視嗜士仕氏侍恃誓逝"
"r"	"ɹɿ"	3	"蕊"
"bi"	"pi"	1	"逼"
"bi"	"pi"	2	"皮疲脾"
"bi"	"pi"	3	"彼比[～較]"
"bi"	"pi"	5	"必筆陛痺畢碧弼壁="
"bi"	"pi"	6	"蓖箅斃"
"pi"	"pʰi"	1	"批披"
"pi"	"pʰi"	2	"枇琵"
"pi"	"pʰi"	3	"鄙丕"
"pi"	"pʰi"	5	"屁匹比[～喻]辟劈=僻鼻"
"mi"	"mi"	1	"瞇"
"mi"	"mi"	3	"米"
"mi"	"mi"	5	"泌密蜜"
"di"	"ti"	1	"低"
"di"	"ti"	2	"堤題提=蹄啼"
"di"	"ti"	3	"底"
"di"	"ti"	5	"帝敵的滴=嫡弟=地=笛締"
"di"	"ti"	6	"地-弟-第"
"ti"	"tʰi"	1	"梯"
"ti"	"tʰi"	3	"體踢="
"ti"	"tʰi"	5	"剃惕涕替遞屜剔狄"
"li"	"li"	1	"俚"
"li"	"li"	2	"離犁黎籬璃梨釐狸"
"li"	"li"	3	"李里理鯉旅履禮你="
"li"	"li"	5	"麗立勵利吏笠粒力律历厲隸例列率[增長～]"
"li"	"li"	6	"荔痢"
"zhi"	"tɕi"	1	"肌雞饥機几[茶～]基譏屐="
"zhi"	"tɕi"	2	"奇徐旗齊騎岐祁其鰭棋期祈臍"
"zhi"	"tɕi"	3	"擠幾[～歳]己紀"
"zhi"	"tɕi"	5	"祭疾際濟既記計季寄繫[～鞋帶]冀繼髻稽忌杞積級極聚脊集吸-[～奶]輯急屐-即鯽及迹擊激藉[狼～]"
"zhi"	"tɕi"	6	"技妓籍[～貫]"
"chi"	"tɕʰi"	1	"欺妻蛆趨棲"
"chi"	"tɕʰi"	3	"啟起取娶豈企"
"chi"	"tɕʰi"	5	"器氣棄趣漆契汽七戚迄乞泣寂砌"
"shi"	"ɕi"	1	"須西需希稀=嬉熙犧犀溪"
"shi"	"ɕi"	2	"兮奚"
"shi"	"ɕi"	3	"喜洗璽螅嘻髓-"
"shi"	"ɕi"	5	"細惜戲熄膝習錫[鋼～廠]襲息媳析絮戍婿恤悉昔席夕惜吸=[～管]"
"shi"	"ɕi"	6	"系[中文～]敘序"
"i"	"i"	1	"衣伊沂依醫"
"i"	"i"	2	"移夷姨飴遺"
"i"	"i"	3	"椅已以"
"i"	"i"	5	"意一億抑翼益亦譯易縊異揖乙逸憶"
"i"	"i"	6	"矣"
"bu"	"pu"	2	"葡菩蒲"
"bu"	"pu"	3	"補"
"bu"	"pu"	5	"布不=怖埠"
"bu"	"pu"	6	"步部"
"pu"	"pʰu"	1	"鋪[～設]"
"pu"	"pʰu"	2	"脯"
"pu"	"pʰu"	3	"普譜浦捕甫"
"pu"	"pʰu"	5	"僕鋪[店～]訃撲樸瀑卜"
"fu"	"fu"	1	"呼乎夫膚敷俘麩"
"fu"	"fu"	2	"鬍湖狐壺符扶芙浮="
"fu"	"fu"	3	"虎滸府俯腑斧輔腐撫釜"
"fu"	"fu"	5	"互護福服戽附富負副复腹阜縛佛忽赴付賦傅婦伏戶="
"fu"	"fu"	6	"滬戶-孵瓠父"
"gu"	"ku"	1	"姑孤箍"
"gu"	"ku"	2	"跍"
"gu"	"ku"	3	"古牯股鼓估過-[～身]"
"gu"	"ku"	5	"故谷固錮雇顧骨=[～幹]"
"ku"	"kʰu"	1	"枯"
"ku"	"kʰu"	3	"苦"
"ku"	"kʰu"	5	"哭庫褲窟酷"
"u"	"u"	1	"烏污塢巫誣"
"u"	"u"	2	"無吳蜈吾梧"
"u"	"u"	3	"午五伍武舞侮鵡"
"u"	"u"	5	"惡[好～]物誤悟屋握"
"u"	"u"	6	"霧務"
"zhy"	"tɕy"	1	"諸豬朱居車[～馬炮]誅蛛珠株拘駒"
"zhy"	"tɕy"	2	"除渠廚瞿錘-"
"zhy"	"tɕy"	3	"主煮矩舉"
"zhy"	"tɕy"	5	"局句著巨劇拒距具懼注駐蛀鑄據菊苧=俱拄橘鋸="
"zhy"	"tɕy"	6	"住柱苧-"
"chy"	"tɕʰy"	1	"區吹-驅"
"chy"	"tɕʰy"	3	"杵處"
"chy"	"tɕʰy"	5	"屈曲[歌～]出去="
"shy"	"ɕy"	1	"書舒噓虛墟輸樞吁"
"shy"	"ɕy"	2	"殊儲薯"
"shy"	"ɕy"	3	"水暑鼠許黍"
"shy"	"ɕy"	5	"恕戍術緒豎述睡-"
"shy"	"ɕy"	6	"樹"
"y"	"y"	1	"迂於"
"y"	"y"	2	"余魚如漁淤餘愚虞娛于盂愉儒逾榆"
"y"	"y"	3	"雨女與汝語乳宇羽禹"
"y"	"y"	5	"入預譽豫玉愈喻裕疫役日-[星期～]域御"
"y"	"y"	6	"遇芋寓"
"ba"	"pa"	1	"巴疤爸琶杷粑芭"
"ba"	"pa"	2	"爬"
"ba"	"pa"	3	"把"
"ba"	"pa"	5	"霸八灞坝罷壩耙鈸"
"ba"	"pa"	6	"稗"
"pa"	"pʰa"	1	"叭"
"pa"	"pʰa"	3	"啪"
"pa"	"pʰa"	5	"怕拔帕拍白-"
"ma"	"ma"	1	"媽"
"ma"	"ma"	2	"麻痳蟆"
"ma"	"ma"	3	"馬碼"
"ma"	"ma"	5	"嗎抹罵="
"ma"	"ma"	6	"罵-"
"fa"	"fa"	1	"花"
"fa"	"fa"	2	"華樺鏵"
"fa"	"fa"	3	"話="
"fa"	"fa"	5	"化法乏發髮伐罰筏劃[計～]"
"fa"	"fa"	6	"畫划[～船]"
"da"	"ta"	2	"達"
"da"	"ta"	3	"打"
"da"	"ta"	5	"答搭大=[～家]"
"da"	"ta"	6	"大-[～夫]"
"ta"	"tʰa"	1	"他"
"ta"	"tʰa"	5	"塌踏塔獺坍溻拓榻"
"la"	"la"	1	"拉拿"
"la"	"la"	3	"哪"
"la"	"la"	5	"那納臘蠟捺辣"
"la"	"la"	6	"喇"
"za"	"tsa"	1	"渣滓楂[山～]"
"za"	"tsa"	2	"茶查[調～]搽茬"
"za"	"tsa"	3	"眨"
"za"	"tsa"	5	"詐軋[～鋼廠]榨炸蔗雜鍘閘札扎摘-隻[一～雞]"
"ca"	"tsʰa"	1	"差[～不多]叉釵"
"ca"	"tsʰa"	5	"擦岔插察擇-[～菜]"
"sa"	"sa"	1	"沙杉紗"
"sa"	"sa"	3	"耍撒"
"sa"	"sa"	5	"煞薩殺刷-涮"
"zha"	"tʃa"	1	"遮-"
"cha"	"tʃʰa"	1	"車-[水～]"
"cha"	"tʃʰa"	3	"扯-赤"
"cha"	"tʃʰa"	5	"尺-[～子]"
"sha"	"ʃa"	1	"賒-"
"sha"	"ʃa"	2	"蛇-[一條～]"
"sha"	"ʃa"	5	"舍-射-[～箭]石[～頭]"
"ga"	"ka"	1	"枷家-[～娘]痂-"
"ga"	"ka"	3	
"ga"	"ka"	5	"尬嫁-架-"
"ka"	"kʰa"	1	"掐"
"ka"	"kʰa"	3	"卡"
"ka"	"kʰa"	5	"胯"
"nga"	"ŋa"	1	"杈椏"
"nga"	"ŋa"	2	"牙芽伢[～子]"
"nga"	"ŋa"	3	"啞"
"nga"	"ŋa"	5	"鴨壓軋[～棉花]額-[～頭]"
"xa"	"xa"	1	"哈蝦-"
"xa"	"xa"	3	"哈[～里～氣]"
"xa"	"xa"	5	"嚇瞎駭"
"xa"	"xa"	6	"下[底～；全部：～是我的]"
"a"	"a"	1	"阿"
"bia"	"pia"	5	"壁-"
"pia"	"pʰia"	5	"劈"
"dia"	"tia"	1	"爹-[爺爺]"
"dia"	"tia"	2	"提-[～東西]"
"dia"	"tia"	5	"滴-[～水]"
"tia"	"tʰia"	5	"踢-"
"lia"	"lia"	5	"栗-"
"zhia"	"tɕia"	1	"加嘉佳家=[作～]痂="
"zhia"	"tɕia"	2	"斜-[擺～了]茄[～子]"
"zhia"	"tɕia"	3	"姐-[～夫]賈假[真～]"
"zhia"	"tɕia"	5	"甲=駕價嫁=架=[打～]稼借-假[放～]"
"chia"	"tɕʰia"	5	"恰洽喫[～飯]"
"gnia"	"ȵia"	2	"黏"
"gnia"	"ȵia"	3	"惹-"
"shia"	"ɕia"	1	"些蝦="
"shia"	"ɕia"	2	"霞瑕邪-斜=遐暇"
"shia"	"ɕia"	3	"寫"
"shia"	"ɕia"	5	"錫峽匣轄廈狹俠稀-"
"shia"	"ɕia"	6	"夏下[～降]"
"ia"	"ia"	1	"鴉丫"
"ia"	"ia"	2	"衙爺-[父親]涯[天～]"
"ia"	"ia"	3	"雅也-野-"
"ia"	"ia"	5	"壓亞押"
"ia"	"ia"	6	"夜-[～裏]"
"zhua"	"tʃua"	1	"抓"
"zhua"	"tʃua"	2	"瘸"
"gua"	"kua"	1	"瓜"
"gua"	"kua"	3	"寡剮"
"gua"	"kua"	5	"掛卦括刮聒"
"kua"	"kʰua"	1	"誇"
"kua"	"kʰua"	3	"垮侉"
"kua"	"kʰua"	5	"跨"
"ua"	"ua"	1	"挖鴰蛙窪"
"ua"	"ua"	2	"娃"
"ua"	"ua"	3	"瓦"
"ua"	"ua"	5	"襪滑猾"
"ua"	"ua"	6	"話-"
"zhya"	"tɕya"	1	"抓"
"zhya"	"tɕya"	3	"爪-"
"shya"	"ɕya"	1	"靴"
"shya"	"ɕya"	5	"刷="
"be"	"pə"	5	"北百伯柏白=撥-泊[梁山～]"
"me"	"mə"	5	"墨默陌麥脈"
"de"	"tə"	1	"得[～了]"
"de"	"tə"	2	"得[這裏]"
"de"	"tə"	5	"德"
"ze"	"tsə"	5	"窄則折[弄～了]摘=責"
"ce"	"tsʰə"	5	"冊賊拆澤宅策擇=廁=側測"
"se"	"sə"	5	"色瑟澀嗇虱"
"zhe"	"tʃə"	1	"遮="
"zhe"	"tʃə"	3	"者"
"zhe"	"tʃə"	5	"哲鷓折[～斷]蜇浙"
"che"	"tʃʰə"	1	"車=[汽～]"
"che"	"tʃʰə"	3	"扯="
"che"	"tʃʰə"	5	"徹撤轍"
"she"	"ʃə"	1	"奢賒="
"she"	"ʃə"	2	"蛇="
"she"	"ʃə"	5	"舌赦設舍="
"she"	"ʃə"	6	"舐射=攝涉社"
"re"	"ɹə"	3	"惹="
"ge"	"kə"	3	"弆[把東西～起來：藏]"
"ge"	"kə"	5	"隔=格割革刈鋸-[～木頭]"
"ge"	"kə"	6	"嗝給"
"ke"	"kʰə"	5	"克刻咳客"
"nge"	"ŋə"	5	"扼厄額=[定～]"
"xe"	"xə"	5	"黑核=[審～]赫"
"e"	"ə"	2	"兒而"
"e"	"ə"	3	"耳爾餌"
"e"	"ə"	6	"二貳"
"bie"	"pie"	5	"鱉憋別[區～]"
"pie"	"pʰie"	3	"蹩"
"pie"	"pʰie"	5	"撇別[離～]"
"mie"	"mie"	5	"滅篾覓"
"die"	"tie"	1	"爹=[父親]"
"die"	"tie"	5	"跌"
"tie"	"tʰie"	5	"迭諜疊蝶牒碟貼特鐵"
"lie"	"lie"	5	"列劣烈裂獵勒肋例"
"zhie"	"tɕie"	1	"嗟"
"zhie"	"tɕie"	3	"姐=[小～]"
"zhie"	"tɕie"	5	"借=潔接結節截=絕=秸揭劫"
"chie"	"tɕʰie"	3	"且"
"chie"	"tɕʰie"	5	"切傑妾捷怯截-絕-去-"
"gnie"	"ȵie"	2	"倪泥尼宜儀誼疑"
"gnie"	"ȵie"	3	"議蟻捏擬"
"gnie"	"ȵie"	5	"藝=[～術]膩業義溺熱聶孽逆躡匿日-"
"gnie"	"ȵie"	6	"藝-[手～]"
"shie"	"ɕie"	1	"屑"
"shie"	"ɕie"	2	"邪=攜"
"shie"	"ɕie"	5	"血卸薛雪穴歇瀉洩謝脅協"
"ie"	"ie"	1	"椰"
"ie"	"ie"	2	"爺=耶"
"ie"	"ie"	3	"也=野="
"ie"	"ie"	5	"葉頁液腋噎"
"ie"	"ie"	6	"夜="
"gue"	"kuə"	5	"國"
"kue"	"kʰuə"	5	"鈸-瞌"
"zhye"	"tɕye"	5	"決鱖訣掘倔拙厥"
"zhye"	"tɕye"	6	"倦"
"chye"	"tɕʰye"	5	"缺"
"shye"	"ɕye"	5	"說"
"ye"	"ye"	5	"月銳越曰粵悅閱"
"bo"	"po"	1	"波玻菠[～菜]簸[～一～]"
"bo"	"po"	2	"婆"
"bo"	"po"	5	"博駁簸[～箕]泊[飄～]剝勃餑鉢撥=帛"
"bo"	"po"	6	"薄[～荷]"
"po"	"pʰo"	1	"坡"
"po"	"pʰo"	3	"頗剖"
"po"	"pʰo"	5	"薄[紙很～]破潑迫魄"
"mo"	"mo"	1	"摸"
"mo"	"mo"	2	"磨[～刀]模摹魔摩饃謀膜"
"mo"	"mo"	3	"母拇某畝牡"
"mo"	"mo"	5	"莫木沫牧目幕穆寞"
"mo"	"mo"	6	"磨[石～]墓驀慕暮募"
"do"	"to"	1	"多"
"do"	"to"	2	"駝馱"
"do"	"to"	3	"朵垛"
"do"	"to"	5	"奪惰剁"
"do"	"to"	6	"舵"
"to"	"tʰo"	1	"多"
"to"	"tʰo"	3	"妥橢[～圓]"
"to"	"tʰo"	5	"托脫託唾鐸"
"lo"	"lo"	2	"羅腡[手指紋]騾螺挪啰"
"lo"	"lo"	3	"裸"
"lo"	"lo"	5	"落摞賂駱絡樂[快～]烙酪諾洛"
"lo"	"lo"	6	"糯"
"zo"	"tso"	3	"左"
"zo"	"tso"	5	"捉佐撮桌琢涿濁作昨啄卓"
"zo"	"tso"	6	"坐座"
"co"	"tsʰo"	1	"搓"
"co"	"tsʰo"	3	"挫"
"co"	"tsʰo"	5	"錯戳銼措鑿"
"so"	"so"	1	"梭蓑唆"
"so"	"so"	3	"所鎖瑣"
"so"	"so"	5	"索塑朔素"
"zho"	"tʃo"	5	"著鐲"
"so"	"ʃo"	5	"爍"
"go"	"ko"	1	"哥鍋歌戈"
"go"	"ko"	3	"果裹"
"go"	"ko"	5	"過=[～來]個[一～、～人]葛各閣擱郭角-[牛～]"
"ko"	"kʰo"	1	"科窠"
"ko"	"kʰo"	3	"可顆棵"
"ko"	"kʰo"	5	"課渴殼擴廓磕瞌闊"
"ngo"	"ŋo"	2	"蛾鵝俄訛"
"ngo"	"ŋo"	3	"我"
"ngo"	"ŋo"	5	"鄂惡[善～]臥"
"ngo"	"ŋo"	6	"餓"
"xo"	"xo"	2	"和[～氣]河何荷[～花]"
"xo"	"xo"	3	"火伙"
"xo"	"xo"	5	"荷[薄～]貨活=合盒喝豁獲或霍惑郝[姓]賀鶴"
"xo"	"xo"	6	"禍和[～面]"
