#ɿ
ʦ[1]资姿滋咨[3]紫姊子梓[5]自紫牸{牸牛}
ʦʰ[2]瓷{瓷器}[3]此雌[5]此刺赐次词
s[1]斯厮私司思丝[3]死[5]四肆似祀{祭祀}巳{辰巳}寺嗣饲

#ʅ
tʂ[1]知蜘{蜘蛛}支枝肢栀{栀子花}脂之芝汁执秩质职织支蔗{白}[2]直值殖植[3]纸只{只有}旨指至止趾址[5]痔制製智致稚{幼稚}置治志痣
tʂʰ[1]癡嗤嗤笑吃[2]池驰豉迟[3]耻齿[5]翅持尺
ʂ[1]眵{眼眵}施师尸视诗始湿识适释[2]匙{汤匙}時十什{什物}拾{拾起来}[3]屎使史驶[5]世势誓逝是氏示嗜士仕柿事饰试市恃侍
ʐ[1]日

#ʯ
tʂ[1]猪诛蛛株[3]煮[5]著驻注柱住蛀诛
tʂʰ[2]除储出厨[5]处{处所}
ʂ[1]书舒输[2]殊[3]暑鼠黍署薯[5]恕竖树
ʐ[1]如[3]汝乳擩{擩进去}儒

#i
p[1]笔{文}[2]鼻必逼[5]臂避{文}蔽篦{蓖麻}篦{篦子}陛弼敝毙痹碧璧壁
pʰ[1]批僻披{文}劈[2]皮疲脾琵{琵琶}枇{枇杷}[3]匹
m[1]密觅□{竹篾}[2]迷[3]米[5]谜
t[1]低滴嫡[2]笛敌狄翟[3]底坻的{目的}[5]帝弟第递地
tʰ[1]堤踢剔[2]题提蹄啼[3]体[312]替涕剃屉
l[1]立笠粒力栗[2]黎犁离梨狸璃[3]礼李里理鲤礼[5]利痢隶历例厉励丽荔离
ʦ[1]挤疾即鲫寂积脊籍绩跻[2]集辑[5]祭济荠穄穄子剂
ʦʰ[1]妻漆膝[2]齐脐戚[5]砌
s[1]西析悉惜昔锡夕[2]息熄席[3]洗徙[5]婿
ʨ[1]稽鸡饥基击激级及几肌[2]吉{吉利}极[3]几{茶几}己{自己}[5]忌计继系{系鞋带}髻寄{寄存}冀纪记既季
