一	i2						
乙	iɛ2						
二	ɛ5						
十	ɕi2						
丁	tin1						
厂	tsʰaŋ3						
七	tɕʰi2						
卜	pu3	占卜					
卜	pu1	萝卜					
八	pa2						
人	in2						
入	iɛ2						
儿	ɛ2						
匕	pi3						
几	tɕi3						
九	tɕiou3						
刁	tiau2						
了	liau3						
刀	tau1						
力	li2						
力	liɛ2						
乃	nai3						
又	iou5						
三	saŋ1						
干	kaŋ1	干燥					
干	kaŋ5	干部					
于	y2						
亏	kʰuei1						
工	koŋ1						
土	tʰu3						
士	sɿ5						
才	tsʰai2						
下	ha5	白					
下	ɕia5	文					
寸	tsʰen5						
大	ta5						
丈	tsaŋ5						
与	y3	参与，赠与					
万	uaŋ5						
上	saŋ5						
小	ɕiau3						
口	kʰøʏ3						
山	saŋ1						
巾	tɕin1						
千	tɕʰiɛn1						
乞	tɕʰiɛ2						
川	tɕʰyɛn1						
亿	i5						
个	ko5						
夕	ɕi2						
久	tɕiou3						
勺	so2						
凡	faŋ2						
丸	uaŋ2						
及	tɕi2						
广	kuaŋ3						
亡	uaŋ2						
门	men2						
丫	a1	白					
丫	ia1	文					
义	ȵi5						
之	tsɿ1						
尸	sɿ1						
己	tɕi3						
已	i3						
巳	tsɿ2						
弓	koŋ1						
子	tsɿ3						
卫	uei5						
也	iɛ3						
女	ȵy3						
刃	in5						
飞	fei1						
习	ɕiɛ2	白					
习	ɕi2	文					
叉	tsʰa1						
马	ma3						
乡	ɕiaŋ1						
丰	foŋ1						
王	uaŋ2						
开	kʰai1						
井	tɕin3						
天	tʰiɛn1						
夫	fu1						
元	yɛn2						
无	u2						
云	yn2						
专	tɕyɛn1						
丐	kai5						
扎	tsa2						
艺	ȵi5						
木	mu2						
五	u3						
支	tsɿ1						
厅	tʰin1						
不	pu2						
犬	tɕʰyɛn3						
太	tʰai5						
区	tɕʰy1	区域					
区	øʏ1	姓区					
历	liɛ2						
历	li2						
歹	tai3						
友	iou3						
尤	iou2						
匹	pʰi2						
车	tɕʰiɛ1						
巨	tɕy5						
牙	ŋa2	白					
牙	ia2	文					
屯	tʰen2						
戈	ko1						
比	pi3						
互	fu5						
切	tɕʰiɛ2						
瓦	ua3						
止	tsɿ3						
少	sau3						
少	sau5						
曰	yɛ1						
日	i2						
中	tsoŋ1						
贝	pei5						
冈	kaŋ1						
内	nøʏ5						
水	søʏ3						
见	tɕiɛn5						
午	u3						
牛	ȵiou2						
手	ɕiou3						
气	tɕʰi5						
毛	mau2						
壬	in2						
升	ɕin1						
夭	iau1						
长	tsʰaŋ2						
长	tsaŋ3						
仁	in2						
什	sɿ2						
片	pʰiɛn5						
仆	pʰu3						
化	hua5						
仇	tɕʰiou2						
币	pi5						
仍	in5						
仅	tɕin5						
斤	tɕin1						
爪	tsau3						
反	faŋ3						
介	kai5						
父	fu5						
从	tsʰoŋ2						
仑	len2						
今	tɕin1						
凶	ɕioŋ1						
分	fen1						
乏	fa2						
公	koŋ1						
仓	tsʰuaŋ1						
仓	tsʰaŋ1	又					
月	yɛ2						
氏	si5						
勿	u2						
欠	tɕʰyɛn5						
风	foŋ2						
丹	taŋ1						
匀	yn2						
乌	u1						
勾	køʏ1						
凤	foŋ1						
六	lu2						
文	uen2						
亢	kʰaŋ5						
方	faŋ1						
火	ho3						
为	uei2	为王					
为	uei5	因为					
斗	tøʏ3	斗量					
斗	tøʏ5	斗争					
忆	i5						
计	tɕi5						
订	tin5						
户	fu5						
认	in5						
讥	tɕi1						
心	ɕin1						
尺	tɕʰi2						
引	in3						
丑	tɕʰiou3						
巴	pa1						
孔	kʰoŋ3						
队	tøʏ5						
办	paŋ5						
以	i3						
允	yn3						
予	y3						
邓	ten5						
劝	tɕʰyɛn5						
双	suaŋ1						
双	saŋ1	又					
书	ɕy1						
幻	huaŋ5						
玉	y5						
刊	kʰaŋ1						
未	uei5						
末	mo2						
示	sɿ5						
击	tɕi2						
打	ta3						
巧	tɕʰiau3						
正	tɕin5	正义					
正	tɕin1	正月					
扑	pʰu3						
卉	huei5						
扒	pʰa2						
功	koŋ1						
扔	in1	非俗传					
去	kʰɛ5	白					
去	tɕʰy5	文					
甘	kaŋ1						
世	sɿ5						
艾	ŋai5						
古	ku3						
节	tɕiɛ2						
本	pen3						
术	su2						
可	kʰo3						
丙	pin3						
左	tso3						
厉	li5						
石	ɕi2	白					
石	sɿ2	文					
右	iou5						
布	pu5						
夯	haŋ1						
戊	ɕyɛ2						
龙	loŋ2						
平	pʰiŋ2						
灭	miɛ2						
轧	tsa2						
东	toŋ1						
卡	kʰa3						
北	pɛ2						
占	tɕiɛn5	白					
占	tsaŋ5	文					
凸	tʰu2						
卢	lu2						
业	ȵiɛ5						
旧	tɕʰiou5	旧年					
旧	tɕiou5	新旧					
帅	suai5						
归	kuei1						
旦	taŋ5						
目	mu2						
且	tɕʰiɛ3						
叶	iɛ2						
甲	ka2	文					
甲	tɕia2	白					
申	ɕin1						
叮	tin1						
电	tiɛn5						
号	hau5						
田	tʰiɛn2						
由	iou2						
只	tsɿ3	只是					
只	tsɿ2	一只					
叭	pa1						
史	sɿ3						
央	iaŋ1						
兄	ɕioŋ1						
叽	tɕi1						
叼	tiau1						
叫	tɕiau5						
叩	kʰøʏ5						
叨	tau1						
另	lin5						
叹	tʰaŋ5						
冉	iɛn5						
皿	min3						
凹	au1	非俗传					
囚	tɕʰiou2						
四	sɿ5						
生	sen1						
矢	sɿ3						
失	ɕiɛ2	白					
失	sɿ2	文					
乍	tsa5						
禾	o2	白					
禾	ho2	文					
丘	tɕʰiou1						
付	fu5						
仗	tsaŋ5						
代	tai5						
仙	ɕiɛn1						
们	men2						
仪	i2						
白	pɛ2						
仔	tsɿ3						
他	tʰa1						
斥	tsʰɿ2						
瓜	kua1						
乎	fu1						
丛	tsʰoŋ2						
令	lin5						
用	ioŋ5						
甩	suai3						
印	in5						
尔	ɛ3						
乐	lo2	快乐，音乐					
乐	io2	乐器					
句	tɕy5						
匆	tsʰoŋ1						
册	tsʰɛ2						
卯	mau3						
犯	faŋ5						
外	uai5						
处	tɕʰy3	相处					
处	tɕʰy5	好处					
冬	toŋ1						
鸟	tiau3	白					
鸟	ȵiau3	文					
务	u5						
包	pau1						
饥	tɕi1						
主	tɕy3						
市	sɿ5						
立	liɛ2						
冯	foŋ2						
玄	ɕyɛn2						
闪	ɕiɛn3						
兰	laŋ2						
半	paŋ5						
汁	tɕiɛ2						
汇	huei5						
头	tʰøʏ2						
汉	haŋ5						
宁	lin2	宁可，安宁					
穴	ɕyɛ2						
它	tʰa1						
讨	tʰau3						
写	ɕiɛ3						
让	ȵiaŋ5						
礼	li3						
训	ɕyn5						
议	ȵi5						
必	piɛ2						
讯	ɕyn2						
记	tɕi5						
永	yn3	老					
永	ioŋ3	新					
司	sɿ1						
尼	ȵi2						
民	min2						
弗	fo2						
弘	hoŋ2						
出	tɕʰy2						
辽	liau2						
奶	nai3						
奴	lu2						
召	tsau5						
加	tɕia1						
皮	pʰi2						
边	piɛn1						
孕	yn5						
发	fa2						
圣	ɕin5						
对	tøʏ5						
台	tʰai2						
矛	mau2						
纠	tɕiou1						
母	mu3						
幼	iou5						
丝	sɿ1						
邦	paŋ1						
式	sɿ5						
迂	y1						
刑	ɕin2						
戎	ioŋ2						
动	toŋ5						
扛	kaŋ1						
寺	sɿ5						
吉	tɕiɛ2						
扣	kʰøʏ5						
考	kʰau3						
托	tʰo2						
老	lau3						
巩	koŋ3						
圾	tɕi2						
执	tsɿ2						
扩	kʰo2						
扫	sau5						
地	ti5						
场	tsʰaŋ2						
扬	iaŋ2						
耳	ɛ3						
芋	y5						
共	kʰoŋ5	共床					
共	koŋ5	共产党					
芒	maŋ2						
亚	ia5						
芝	tsɿ1						
朽	ɕiou3						
朴	pʰu3						
机	tɕi1						
权	tɕʰyɛn2						
过	ko5						
臣	tɕʰin2						
吏	li5						
再	tsai5						
协	ɕiɛ2						
西	ɕi1						
压	ia2						
厌	iɛn5						
戌	ɕyɛ2						
在	tsai5						
百	pɛ2						
有	iou3						
存	tsʰen2						
而	ɛ2						
页	iɛ2						
匠	tɕiaŋ5						
夸	kʰua1						
夺	to2						
灰	huei1						
达	ta2						
列	liɛ2						
死	sɿ3						
成	tɕʰin2						
夹	ka2						
夷	i2						
轨	kuei3						
邪	ɕiɛ2						
尧	ȵiau2						
划	hua5	计划					
划	hua2	划船，划算					
迈	mai5						
毕	piɛ2						
至	tsɿ5						
此	tsʰɿ3						
贞	tɕin1						
师	sɿ1						
尘	tɕʰin2						
尖	tɕiɛn1						
劣	liɛ2						
光	kuaŋ1						
当	taŋ1						
早	tsau3						
吁	ɕy1	气喘吁吁。老，呼吁					
吁	y5	新，呼吁					
吐	tʰu5	吐痰					
吐	tʰu3	谈吐					
吓	hɛ2						
虫	tsʰoŋ2						
曲	tɕʰy2						
团	tʰuaŋ2						
吕	ȵy3						
同	tʰoŋ2						
吊	tiau5						
吃	tɕʰia2						
因	in1						
吸	ɕi2						
吗	ma1						
吆	iau1						
屿	y3						
屹	i5						
岁	søʏ5						
帆	faŋ2						
回	huei2						
岂	tɕʰi3						
则	tsɛ2						
刚	kaŋ1						
网	maŋ3	动词，像网一样缠绕					
网	uaŋ3	名词					
肉	iu2						
肉	iou2	又					
年	ȵiɛn2						
朱	tɕy1						
先	ɕiɛn1						
丢	tiou1						
廷	tʰin2						
舌	ɕiɛ2						
竹	tsu2						
迁	tɕʰiɛn1						
乔	tɕʰiau2						
迄	tɕʰiɛn2	迄今					
伟	uei3						
传	tɕʰyɛn2	传说					
传	tɕyɛn5	水浒传					
乒	pʰin1						
乓	pʰaŋ1						
休	ɕiou1						
伍	u3						
伏	fu2						
优	iou1						
臼	tɕiou5						
伐	fa2						
延	iɛn2						
仲	tsoŋ5						
件	tɕiɛn5						
任	in5	任务，姓任					
伤	saŋ1						
价	tɕia5						
伦	len2						
份	fen5						
华	hua2	华丽，华山					
仰	ȵiaŋ3						
仿	faŋ3						
伙	ho3						
伪	uei5						
自	tsɿ5						
伊	i1						
血	ɕyɛ2						
向	ɕiaŋ5						
似	tsʰɿ5						
后	høʏ5						
行	haŋ2	行情					
行	ɕin2	步行					
舟	tɕiou1						
全	tɕʰyɛn2						
会	huei5	开会					
会	kʰuai5	会计					
杀	sa2						
合	ho2						
兆	tsau5						
企	tɕʰi5						
众	tsoŋ5						
爷	iɛ2						
伞	saŋ3						
创	tsʰaŋ5						
肌	tɕi1						
肋	lɛ2						
朵	to3						
杂	tsa2						
危	uei2						
旬	ɕyn2						
旨	tsɿ3						
旭	ɕy3						
负	fu5						
匈	ɕioŋ1						
名	min2						
各	kʰo2	白					
各	ko2	文					
多	to1						
