#符号说明：-白=文/书*俗?待考	
#调值	［1］24［2］213［3］55［5］22［6］31［7］5［8］3
#ɿ	
p [3]比{比较}[5]闭陛臂痹	
pʰ [1]批披匹{一匹布}[5]庇屁	
b [2]皮疲脾便{便宜}琵{琵琶}枇 [6]弊币毙鐾{鐾刀布}被婢避篦{篦梳}	
m [1]米[2]迷谜弥眉 [5]秘泌	
t [1]低 [3]底抵 [5]帝屉	
tʰ [1]梯 [3]体 [5]替剃啼砌	
ɾ [2]题提蹄堤[6]弟第递地	
n [2]尼伲{加在人称“我”或“你”后表示单数：我~，你~}	
ʦ [1]鸡支枝肢栀资姿咨饥肌之芝基机讥饥  [3]挤紫纸姊脂{胭～}旨指几{茶几}子己滓止趾址几{几乎}几{几个}[5]祭际知制制济剂计继系{系鞋带}智寄技妓致至置治志痣纪记既季	
ʦʰ [1]妻溪痴欺 [3]启企器耻起岂齿 [5]去契{契约}赐刺翅次气汽弃	
dz [2]脐奇骑棋旗驰迟祁磁{磁石}辞词持其期 [6]秩	
s [1]西犀兮斯厮撕私师狮尸丝思史驶诗始嬉稀喜{～欢} [3]些洗婿玺施死屎使牺熙喜{欢～}希{～望}[5]世势细戏四肆试	
sz [2]齐池瓷{瓷器}餈{餈巴}慈祠饲时匙{1汤匙；2钥匙} [6]巳荠是氏自示视嗜字寺痔士仕柿事市忌誓逝系{联系}侍	
z [1]医衣依已以[2]宜仪移姨疑饴{高粱饴}[3]忆亿 [5]艺谊义议意异毅易	
#u	
p [3]补脯{杏脯}[5]布怖	
pʰ [1]铺[3]谱普浦捕 [5]铺{店铺}	
b [2]蒲菩[6]部簿{阎王～子}步埠{商埠}	
f [1]呼夫肤敷麸{麦麸子}[3]虎浒戽{戽水}府腑甫斧俘{俘虏}[5]付赋傅父富副赴	
v [1]伍乌污巫诬 [2]吴蜈梧胡湖狐壶胡符扶芙无抚辅浮阜腐{～败} [3]五午武舞鹉[5]误悟恶{恨，可恶}务雾戊 [6]瓠{瓠卢}腐{豆～}妇乎户沪互瓠{瓠瓜}负附	
n [2]奴努 [5]怒	
l [1]卤 [2]庐炉芦鸬{鸬鹚}鲁橹虏庐{茅庐，庐山}驴搂{搂取}[5]路赂露鹭{鹭鸶}	
ʦ [3]阻	
ʦʰ [3]初楚础	
sz [2]锄	
k [1]姑孤箍 [3]古估牯股鼓 [5]故固锢雇顾	
kʰ [1]枯 [3]苦 [5]库裤窟{窟窿}	
Ǿ  [1]腐{～败}[6]孵{～小鸡}	
#ʮ	
n [1]女 [2]鱼渔	
ʧ [1]租猪诸车{车马炮}诛蛛株朱珠居  [3]祖组煮举[5]著{显著}据锯{锯子，锯木头}注蛀铸拘句注矩	
ʧʰ [1]粗蛆区驱 [3]处{相处}杵鼠取娶褚{姓} [5]处{处所}醋趣	
dʒ [2]徐除储苎{苎麻}渠厨瞿殊[6]助驻柱住俱巨拒距聚具惧剧{剧烈}剧{戏剧}	
ʃ [1]苏{江～}酥梳疏书舒薯虚须须需输输[3]暑许数{动词}枢 [5]素诉塑嗉{鸟嗉子}絮序叙绪蔬恕数{名词}漱	
ʒ [6]竖树	
Ǿ [1]吕旅淤迂禹羽 [2]如余余儒乳愚虞榆屡 [3]与{给与}盂雨宇椅{～子}[5]虑滤御誉预豫遇寓芋愉喻玉裕 [6]娱{文～活动}愈	
#ã	
p [1]班斑扳扳爿般 [3]扮板版	
pʰ [1]攀潘 [5]盼襻{纽襻}绊	
b [6]瓣办叛	
m [1]晚{～上}[2]蛮晚{～娘}[5]慢	
f [1]翻 [3]反 [5]贩	
v [1]范{模～}[2]凡烦矾繁帆 [6]饭范犯	
t [1]耽担{担任}丹单{单独}他 [3]胆掸 [5]担{挑担}旦	
tʰ [1]贪滩摊 [2]谭潭 [3]毯坦 [5]探炭叹	
ɾ [2]潭谈痰檀弹{弹琴}坛{傅家～} [6]淡诞但弹{子弹}蛋	
n [2]难{难易}[5]难{苦难}	
l [1]揽缆懒[2]蓝篮兰拦栏 [3]榄 [5]滥烂	
ʦ [1]□{刴}[3]斩展盏{灯～} [5]簪站蘸占赞灒{溅}战	
ʦʰ [1]餐□{～板：杴，锹属} [3]惨产铲 [5]灿	
dz [2]惭残缠 [6]暂錾{錾花}	
s [1]三杉衫珊山删 [3]陕{陕西}閃散{鞋带散了}伞[5]散{分散}	
sz [2]馋	
z [2]然燃	
k [1]监间{一～房，中间}奸甘{姓}柑 [3]感橄鹻{石～}拣□{～～蛋}[5]舰干涧	
kʰ [1]鹐{鸟啄物}刊铅 [3]坎砍 [5]嵌	
ŋ [1]眼[2]颜 [5]雁	
hɦ [2]函憨喊咸衔-闲还{还有}韩{～国}寒=[6]憾陷限苋{苋菜}	
Ǿ [1]淹 [5]晏{晚也}	
#iɒ̃	
n [1]两{两个}两{几两几钱}仰 [2]娘良凉量{量长短}粮梁粱 [5]酿亮谅辆量{数量}让上{语流中的读音}	
