"拼音"	"IPA"	"調號"	"單字"
"z"	"tsɿ"	"1"	"支枝肢吱之芝資姿咨茲滋孳孜輜𢫴[用指甲抓]"
"z"	"tsɿ"	"2"	"滓[(輕化)渣～]"
"z"	"tsɿ"	"3"	"紙止址趾芷旨脂指只[(1)]咫子仔籽梓紫姊秭滓[渣～洞]"
"z"	"tsɿ"	"5"	"志痣梽誌至致桎窒制智[(文)]擲翅塒[雞～：雞窩]"
"c"	"tsʰɿ"	"1"	"齜雌疵跐嗤摛哧"
"c"	"tsʰɿ"	"2"	"齒[(輕化)牙～]"
"c"	"tsʰɿ"	"3"	"恥齒侈此"
"c"	"tsʰɿ"	"5"	"次賜啻敕伺"
"zz"	"dzɿ"	"2"	"瓷茨[～菰]詞飼[(白)]祠嗣辭慈糍磁"
"zz"	"dzɿ"	"6"	"自字牸巳"
"s"	"sɿ"	"1"	"思颸斯撕嘶廝私尸師獅螄施詩絲噝鷥司廁[茅～：廁所]"
"s"	"sɿ"	"3"	"死史駛使始屎矢"
"s"	"sɿ"	"5"	"四肆駟祀嗜俟謚筮噬誓[(文)]飼[(文)]"
"ss"	"zɿ"	"2"	"時匙豉"
"ss"	"zɿ"	"6"	"事士仕寺侍恃市柿示視是氏似"
"w"	"ɯ"	"2"	"兒而"
"w"	"ɯ"	"3"	"耳餌爾"
"w"	"ɯ"	"6"	"二貳式"
"bi"	"pi"	"1"	"屄[(又)女陰]"
"bi"	"pi"	"2"	"筆逼畢嗶必碧璧壁[(文)]"
"bi"	"pi"	"3"	"比彼[(又)]"
"bi"	"pi"	"5"	"閉敝蔽弊鱉[(白)]斃幣秘[(白)]毖愎痺裨弼潷[擋住渣滓或其它固體，將液體倒出：～米湯]"
"pi"	"pʰi"	"1"	"披批蓖"
"pi"	"pʰi"	"2"	"辟闢譬臂避[(又)]匹匕劈[(文)]"
"pi"	"pʰi"	"3"	"鄙妣庇否[(2)運氣～]彼[(又)]"
"pi"	"pʰi"	"5"	"屁"
"bbi"	"bi"	"2"	"皮疲脾婢箅"
"bbi"	"bi"	"6"	"鼻避[(又)]被篦"
"mi"	"mi"	"1"	"瞇咪"
"mi"	"mi"	"2"	"彌獼弭糜麋靡蘼迷[(又)]"
"mi"	"mi"	"3"	"米"
"mi"	"mi"	"5"	"密蜜冪汨泌謐秘[(文)]覓[(又)]"
