漢字	注釋	清流城關	清流林畬	清流長校(長校村)	清流長校(江坊村)	寧化石壁
帕		pʰo²⁴	pʰuo²⁴	─	pʰɒ⁵⁵	─
耙		pʰo¹³	pʰuo²¹	─	─	─
罵		─	─	mɒ⁴⁵	mɒ⁵⁵	─
詐		tso²⁴	tsuo²⁴	tsa²⁴	tsɒ⁵⁵	─
榨		tso²⁴	tsuo²⁴	─	─	─
炸		tso²⁴	tsuo²⁴	─	─	─
岔		tsʰo³³	tsʰuo²⁴	tsʰɒ³³	tsʰɒ²²	─
廈		ho⁴³	ho⁵³	─	─	─
假	放假	ko³¹	kuo³¹	kɒ²⁴	kɒ²⁴	─
架		ko²⁴	kuo²⁴	─	kɒ⁵⁵	─
駕		ko²⁴	kuo²⁴	─	─	─
嫁		ko²⁴	kuo²⁴	kɒ⁴⁵	kɒ⁵⁵	kɑ³¹³
價		ko²⁴	kuo²⁴	─	kɒ⁵⁵	─
揢		─	kʰa⁵⁵	─	─	─
嚇		ho³¹	haʔ²	─	─	─
下	下降	ho³³~降；ho⁴³一~	─	─	─	hɑ⁴⁵
夏	春夏	ho⁴³	ho⁵⁵	hɒ⁵⁵	─	hɑ⁴⁵
亞		o²⁴	o²⁴	ɒ²⁴	ɒ²⁴	ŋɑ³¹³
邪		sia¹³	sia²¹	─	sia²¹	sia¹¹³
斜		tsʰia²⁴	tsʰia²¹	tsʰia²¹	tsʰia²¹	tsʰia¹¹³；tsʰia³¹³
爹		tia³³	tia³³	tɒ³³	tɒ²²	tia³⁵³
遮		tʃo³³	tso³³	tʃɒ³³	tʃɒ²²	tsɑ³⁵³
車	馬車	tʃʰo³³	tsʰo³³	tʃʰɒ³³	tʃʰɒ²²	tsʰɑ³⁵³
蛇		ʃio¹³	so²¹	ʃɒ²¹	ʃɒ²¹	sɑ¹¹³
賒		─	so³³	ʃɒ³³	ʃɒ²²	sɑ³⁵³
佘	姓	ʃio¹³	─	ʃɒ²¹	ʃɒ²¹	─
耶		io¹³	─	─	─	─
爺		io¹³	io²¹	ia²¹	ia²¹	ia¹¹³
姐		─	─	tsia²⁴	tsia²⁴	─
且		tsʰia³¹	tsʰia³¹	─	─	─
寫		sia³¹	sia³¹	sia²⁴	sia²⁴	sia³¹³
者		tʃo³¹	tso³¹/tsuo³¹	tʃɒ²⁴	tʃɒ²⁴	tsɑ³¹³
捨		ʃio³¹	so³¹	ʃɒ²⁴	ʃɒ²⁴	sɑ³¹³
社		ʃio³³	so³¹	ʃɒ³³	ʃɒ²²	sɑ⁴⁵
惹		ŋia³¹/gia³¹	(g)ia³¹	─	─	gia³¹³
也		ia³¹	ia³¹	─	─	ia³¹³
野		io³¹	io³¹	ia²⁴	ia²⁴	ia³⁵³
借		tsia²⁴	tsia²⁴	tsiaʔ⁵⁴	tsiaʔ⁵³	tsia³¹³
藉		tsia²⁴	tsia²⁴	tsiaʔ⁵⁴	tsiaʔ⁵³	tsia³¹³
瀉		sia²⁴	sia²⁴	─	─	sia³¹³
卸		sia³¹	─	─	─	─
謝		sia⁴³多~、姓~	sia²⁴	tsʰia⁵⁵	tsʰia⁴⁴姓~；sia⁴⁴(謝謝)	sia⁴⁵
蔗		tʃo²⁴	tso²⁴/tsuo²⁴	tʃɒ²⁴	tʃɒʔ⁵³	tsɑ³¹³
射		ʃio⁴³	so⁵⁵/suo⁵⁵	ʃɒ⁵⁵	ʃɒ⁴⁴	sɑ⁴⁵
麝		ʃio⁴³	─	ʃɒ⁵⁵	ʃɒ⁴⁴	─
赦		─	so²⁴/suo²⁴	ʃɒ²⁴	─	sɑ³¹³
舍		ʃio⁴³	so²⁴	ʃ(i)ɒ⁴⁵	ʃ(i)ɒ⁵⁵	sɑ³¹³
夜		io⁴³	io⁵⁵	ia⁵⁵	ia⁴⁴	ia⁴⁵
瓜		kua³³	kua³³	kua³³	kua²²	kua³⁵³
蝸		─	─	vo³³	vo²²	─
誇		kʰua³³	kʰua³³	kʰua³³	kʰua²²	kʰua³⁵³
花		fo³³	fo³³/fuo³³	fɒ³³	fɒ²²	fɑ³⁵³
華		fo¹³	fo²¹/fuo²¹	fɒ²¹	fɒ²¹	fɑ¹¹³
划	划船	─	fo²¹/fuo²¹	─	─	fɑ¹¹³
蛙		vo³³	─	vɒ³³	vɒ²²	─
傻		─	─	─	─	sɑ³¹³
寡		kua³¹	kua³¹	kua²⁴	kua²⁴	kɑ³¹³
剮		kua³¹	─	─	─	─
瓦		ua³¹	ŋ(u)o³¹/g(u)o³¹	gɒ²⁴	gɒ²⁴	gɑ³¹³
跨		─	─	kʰua³³	kʰua²²	─
