漢字	注釋	清流城關	清流林畬	清流長校(長校村)	清流長校(江坊村)	寧化石壁
娶		tsʰi³¹	tsʰi³¹	─	tʃʰɿ²⁴	tsʰiəu³¹³
聚		─	tsʰi⁵⁵	tsʰiʔ⁵⁴	tsʰiʔ⁵³	tsʰiəu⁴⁵
柱		tʃʰy⁴³	tsʰiu⁵³	kʰu³³	kʰu²²	tsʰu³⁵³
數	動詞	─	─	─	─	su³¹³
主		tʃy³¹	tsi³¹	ku²⁴	ku²⁴	tsu³¹³
豎		ʃy⁴³	si⁵⁵	─	─	─
乳		y³¹	i³¹	ʒɿ²⁴	ʒɿ²⁴	lu³¹³
矩		ki³¹	ki³¹	─	ku²⁴	kiəu³¹³
雨		y³¹	i³¹	ʒɿ²⁴	ʒɿ²⁴	iəu³¹³
宇		y³¹	i³¹	─	ʒɿ²⁴	iəu³¹³
禹		y³¹	i³¹	ʒɿ²⁴	ʒɿ²⁴	i³¹³
羽		y³¹	─	ʒɿ²⁴	ʒɿ²⁴	iəu³¹³
付		fu²⁴	fu²⁴	fu⁴⁵	fu⁵⁵	fu³¹³
賦		─	─	─	─	fu³¹³
傅		fu²⁴	─	─	fu⁵⁵	fu³¹³
赴		fu²⁴	fu²⁴	─	fu⁵⁵	─
訃		fu²⁴	pʰu²⁴	─	─	pʰu⁵³
附		fu²⁴	fu⁵⁵	─	fu⁴⁴	fu⁵³
務		vu⁴³	u⁵⁵	─	vu⁴⁴	u⁵³
霧		vu²⁴	u²⁴	u²⁴	─	─
趣		kʰi²⁴	kʰi²⁴	─	tʃʰɿ⁵⁵	tsʰiəu³¹³
續		─	si²⁴	─	siəuʔ³¹	siəu⁴⁵
駐		─	tsʰi⁵⁵	─	─	─
註		tʃy²⁴	tsʰi⁵⁵	─	─	tsu³¹³
住		tʃʰy⁴³	tsʰi⁵⁵	─	─	tsʰu⁴⁵
數	名詞	su²⁴	su²⁴	─	sɿ⁵⁵	su³¹³
注		tʃy²⁴	tsi²⁴	ku⁴⁵	ku⁵⁵	tsu³¹³
蛀		tʃy²⁴	tsi²⁴	ku⁴⁵	ku⁵⁵	tsu³¹³
鑄		tʃy²⁴	tsi²⁴	─	─	tsu³¹³
戍		ʃy³³	─	─	─	─
輸	運輸	ʃy³³	si³³	─	─	─
樹		ʃy⁴³	si⁵⁵	ʃɿ⁵⁵	ʃɿ⁴⁴	su⁴⁵
句		kui²⁴	ki²⁴	─	ku⁵⁵	kiəu³¹³
具		kʰi⁴³	kʰi⁵⁵	kʰu⁵⁵	kʰu⁴⁴	kʰiəu⁴⁵
遇		─	i⁵⁵	─	ʒɿ⁴⁴	iəu⁴⁵
寓		─	i⁵⁵	─	ʒɿ⁴⁴	─
芋		y⁴³	i⁵⁵	ʒɿ⁵⁵	ʒɿ⁴⁴	iəu⁴⁵
喻		y⁴³	i⁵⁵	─	ʒɿ⁴⁴	iəu⁴⁵
裕		y⁴³	i⁵⁵	─	─	iəu⁴⁵
胎		tʰa³³	tʰue³³	tʰua³³溜~；tʰa³³~盤	tʰua²²溜~；tʰa²²~盤	tʰai³⁵³
臺		tʰa¹³	tʰai²¹	tʰa²¹	tʰa²¹	tʰai¹¹³
苔		tʰa³³	tʰai³³	─	tʰa²²	tʰai¹¹³
抬		─	─	─	─	tʰai¹¹³
來		lɛ¹³	li²¹	lua²¹	lua²¹	le¹¹³
災		tsa³³	tsai³³	tsa³³	tsa²²	tsai³⁵³
栽		tsuɛ³³	tsai³³	tsə³³	tsə²²	tse³⁵³~樹；tsai³⁵³~培
猜		tsʰa³³	tsʰue³³	─	─	tsʰai³⁵³
才		tsʰa¹³	tsʰai²¹	tsʰa²¹	tsʰa²¹	tsʰai¹¹³
材		tsʰa¹³	tsʰai²¹	tsʰa²¹	tsʰa²¹	tsʰai¹¹³
財		tsʰa¹³	tsʰai²¹	tsʰa²¹	tsʰa²¹	tsʰai¹¹³
裁		tsʰa¹³	tsʰai²¹	tsʰa²¹	tsʰa²¹	tsʰai¹¹³
腮		─	sai³³	─	─	─
鰓		─	sai³³	sɒ³³	sɒ²²	sai³⁵³；se³⁵³
該		kua³³	kue³³	kua³³	kua²²	kuai³⁵³；kai³⁵³
開		kʰua³³	kʰue³³	kʰua³³	kʰua²²	kʰuai³⁵³
呆		guɛ¹³	tai³³	─	─	ŋuai¹¹³
孩		─	hai²¹	─	─	hai¹¹³
哀		ua³³	ai³³	a³³	a²²	ai³⁵³
埃		a³³~及	─	─	─	─
待		tʰa⁴³對~、交~	tʰue⁵⁵等~、對~；tʰai⁵⁵~命	─	tʰa⁴⁴	tʰai⁴⁵
怠		─	tʰai⁵⁵	─	─	─
宰		tsa³¹	tsai³¹	tsa²⁴	tsa²⁴	tsai³¹³
載		tsa³¹	tsa³¹一年半~；tsai³¹	─	─	tsai³¹³
彩		tsʰa³¹	tsʰai³¹	tsʰa²⁴	tsʰa²⁴	tsʰai³¹³
採		tsʰa³¹	tsʰai³¹	─	─	tsʰai³¹³
在		tsʰɛ³³~屋下、~嗎；tsʰa⁴³自~	tsʰue⁵⁵	tsʰua³³；tsʰa⁵⁵	tsʰua²²；tsʰa⁴⁴	tsʰe³⁵³無~屋下；tsʰai⁴⁵自~
改		kua³¹	kue³¹	kua²⁴	kua²⁴	kuai³¹³
凱		kʰa³¹	kʰai³¹	kʰa²⁴	kʰa²⁴	kʰai³¹³
海		hua³¹	hue³¹	hua²⁴	hua²⁴	huai³¹³
亥		hua⁴³	hue⁵⁵	ha⁵⁵	ha⁴⁴	huai⁴⁵
戴		ta²⁴	tue²⁴~帽子；tsai²⁴愛~、不共~天	ta⁴⁵	ta⁵⁵	tai³¹³
態		tʰa²⁴	tʰai²⁴	─	tʰa⁵⁵	tʰai³¹³
貸		tʰa⁴³	tʰue²⁴借~；tʰai²⁴~款	─	tʰua⁴⁴	tʰuai⁴⁵
代		tʰa⁴³~表；ta²⁴交~	tʰue⁵⁵朝~；tai²⁴交~	─	tʰua⁴⁴	tʰuai⁴⁵
袋		tʰua⁴³	tʰue⁵⁵	tʰua⁵⁵	tʰua⁴⁴	tʰuai⁴⁵
耐		la⁴³	lai⁵⁵	la⁵⁵	la⁴⁴	lai⁴⁵
再		tsa²⁴	tsai²⁴	tsa⁴⁵	tsa⁵⁵	tsai³¹³
載	載重	tsa²⁴	tsue²⁴~你去；tsai²⁴下~	─	─	tsai³¹³
菜		tsʰua²⁴	tsʰue²⁴	tsʰua⁴⁵	tsʰua⁵⁵	tsʰuai³¹³
載	滿載	─	─	tsa⁴⁵	tsa⁵⁵	─
賽		sa²⁴	sai²⁴	sa⁴⁵	sa⁵⁵	sai³¹³
概		kʰa²⁴	kʰai²⁴	─	kua⁵⁵	kʰuai³¹³
溉		kʰa²⁴	kai²⁴	─	kua⁵⁵	─
慨		kʰa³¹	─	kʰa²⁴	kʰa²⁴	─
礙		ŋua⁴³	gue⁵⁵	gua⁵⁵	gua⁴⁴	ŋuai⁴⁵
愛		ua²⁴	ue²⁴	ua⁴⁵	ua⁵⁵	vai³¹³
貝		pɛ²⁴	pi²⁴	─	pə⁵⁵	pe⁵³
沛		─	pʰi²⁴	─	pʰə⁵⁵	pʰe⁵³
帶		ta²⁴	tue²⁴	ta⁴⁵	ta⁵⁵	tai³¹³
太		tʰa²⁴	tʰai²⁴	tʰa⁴⁵	tʰa⁵⁵	tʰai³¹³
泰		tʰa²⁴	tʰai²⁴	tʰa⁴⁵	tʰa⁵⁵	tʰai³¹³
大	大夫	─	─	tʰa⁵⁵	tʰa⁴⁴	tʰai⁴⁵
奈		la⁴³	lai⁵⁵	─	─	lai⁴⁵
賴		─	lai⁵⁵	la⁵⁵	la⁴⁴	lai⁴⁵
癩		─	─	─	─	laʔ⁵⁴
蔡		tsʰua²⁴	tsʰue²⁴	tsʰa⁴⁵	tsʰa⁵⁵	tsʰai³¹³
蓋		kua²⁴	kue²⁴	kua⁴⁵	kua⁵⁵	kuai³¹³
丐		─	kue²⁴	─	─	kuai³¹³
艾		ŋa⁴³/ga⁴³	ŋe⁵⁵	ge⁴⁵	ge⁵⁵	gai⁴⁵
害		hua⁴³	hue⁵⁵	hua⁵⁵	hua⁴⁴	huai⁴⁵
藹		ua³¹	─	ə²⁴	ə²⁴	─
排		pʰa¹³	pʰai²¹	pʰa²¹	pʰa²¹	pʰai¹¹³
埋		ma¹³	mai²¹	bə²¹	bə²¹	mai¹¹³
齋		tsa³³	tsai³³	tsa³³	tsa²²	tsai³⁵³
豺		sa¹³；tsʰa¹³	tsʰai²¹	tsʰa²¹	tsʰa²¹	sai¹¹³
皆		ka³³	kai³³	ka³³	ka²²	kie³⁵³
階		ka³³	kue³³	ka³³	ka²²	kʰuai³⁵³
諧		─	seʔ⁵	─	ʃie²¹	─
挨		─	ai³³	ə³³	─	─
楷		kʰa³¹	kʰai³¹	kʰa²⁴	kʰa²⁴	kʰai³¹³
駭		─	─	─	ha⁴⁴	─
拜		pa²⁴	pai²⁴	pə⁴⁵	pə⁵⁵	pai³¹³
介		ka²⁴	kai²⁴	─	ka⁵⁵	kai³¹³
界		ka²⁴	kai²⁴	─	ka⁵⁵	kai³¹³
芥		ka²⁴	kai²⁴	─	kə⁵⁵	kai³¹³
尬		ka²⁴	─	─	─	kai³¹³
屆		ka²⁴	kai²⁴	─	ka⁵⁵	kai³¹³
戒		ka²⁴	kai²⁴	─	ka⁵⁵	kai³¹³
械		ka²⁴	kai²⁴	─	ka⁵⁵	fieʔ⁵⁴
牌		pʰa¹³	pʰai²¹	─	pʰa²¹	pʰai¹¹³
簰		pʰa¹³	pʰai²¹	─	─	pʰai¹¹³
釵		─	tsʰai³³	─	tsʰɒ²²	tsʰai³⁵³
差		tsʰo³³出~	tsʰue³³	─	tsʰɒ²²	tsʰai³⁵³
柴		tsʰa¹³	tsʰai²¹	─	─	tsʰai¹¹³
篩		sa³³	sai³³	─	sa²²	se³⁵³
佳		ko³³	ko³³	─	kɒ²²	kɑ³⁵³
街		ka³³	kai³³	─	ka²²	kai³⁵³
涯		go¹³	ŋo²¹	─	gɒ²¹	─
崖		go¹³	ŋo²¹~guo²¹	─	─	ŋɑ¹¹³
鞋		ha¹³	hai²¹	─	hə²¹	hai¹¹³
擺		pa³¹	─	─	pa²⁴	pai³¹³
罷		pʰa³¹	puo²⁴	─	─	pʰɑ⁴⁵
買		ma³¹	mai³¹	bə²⁴	bə²⁴	mai³¹³
灑		─	─	─	sɒ²⁴	sɑ³¹³
解	講解、解開	ka³¹	kai³¹	─	kə²⁴	kai³¹³
蟹		kʰa³¹	hai³¹	─	hə²⁴	─
矮		a³¹	ai³¹	─	ə²⁴	ŋai³¹³
派		pʰa²⁴	pʰai²⁴	─	pʰa⁵⁵	pʰai³¹³
稗		pʰa⁴³	pʰai⁵⁵	─	─	pʰɑ⁴⁵
賣		ma⁴³	mai⁵⁵	─	bə⁴⁴	mai⁴⁵
債		tsa²⁴	tsue²⁴	─	tsa⁵⁵	tsai³¹³
曬		so²⁴	─	─	─	sɑ³¹³
懈		─	seʔ²	─	─	─
隘		─	ai²⁴	─	─	─
敗		pʰa⁴³	pʰai⁵⁵	─	pʰa⁴⁴	pʰai³⁵³
邁		─	mai⁵⁵	─	─	mai⁵³
寨		tsa²⁴	tsue²⁴	─	tsa⁵⁵	tsʰai⁴⁵
蔽		pi²⁴	─	─	─	─
弊		pi²⁴	─	─	─	pʰie⁴⁵
幣		pi²⁴	pi²⁴	─	pi⁵⁵	pʰi⁴⁵
斃		pi²⁴	pi²⁴	─	pi⁵⁵	pʰie⁴⁵
例		le⁴³	le⁵⁵	─	te⁵³	lieʔ⁵⁴
厲		li⁴³	li⁵⁵	─	ti⁴⁴	li⁴⁵
勵		─	li⁵⁵	─	ti⁵³	li⁴⁵
祭		tsi²⁴	tsi²⁴	─	tsi⁵⁵	tsi³¹³
際		tsi²⁴	tsi²⁴	─	tsi⁵³	tsi³¹³
滯		─	tsɿ²⁴	─	tʃɿ⁵⁵	─
制		tsɿ²⁴	tsɿ²⁴	─	tʃɿ⁵⁵	tsɿ³¹³
製		─	tsɿ²⁴	─	tʃɿ⁵⁵	tsɿ³¹³
世		sɿ²⁴；ʃie²⁴一~人	sɿ²⁴~界、第三~；se²⁴一~工	ʃe⁴⁵一~人	ʃɿ⁵⁵；ʃie⁵⁵出~	sɿ³¹³~界；sə³¹³第六~、出~
勢		sɿ²⁴	sɿ²⁴~利、情~	─	ʃɿ⁵⁵	sɿ³¹³
誓		sɿ⁴³	sɿ⁵⁵	─	ʃɿ⁵⁵	sɿ⁴⁵
逝		sɿ²⁴	sɿ⁵⁵	─	─	sɿ⁴⁵
藝		i⁴³	gi⁵⁵	─	i⁵⁵	i⁴⁵
蓖	蓖麻	pi³³	pi³³	─	─	─
批		pʰe³³	pʰe³³	─	pʰe²²	pʰie³⁵³
迷		bi¹³	mi²¹	─	bi²¹	mi¹¹³
低		te³³	ti³³	─	tə²²	tie³⁵³
堤		tʰi¹³	tʰi²¹	─	tʰi²¹	tʰi¹¹³
梯		tʰua³³	tʰi³³	─	tʰi²²	tʰi³⁵³
題		tʰi¹³	tʰi²¹	─	tʰi²¹	tʰi¹¹³
提		tʰi¹³	tʰi²¹	─	─	tʰia¹¹³~起來；tʰi¹¹³前~
蹄		tʰi¹³	─	─	─	tʰi¹¹³
啼		tʰe¹³	─	─	tʰə²¹	tʰie¹¹³
泥		gie¹³	lai²¹	lə²¹	lə²¹	gie¹¹³
犁		le¹³	lai²¹	lə²¹	lə²¹	lie¹¹³
黎		li¹³	li²¹	ti²¹	ti²¹	lie¹¹³
妻		tsʰi³³	tsʰi³³	─	tsʰi²²	tsʰi³⁵³
齊		tsʰe¹³；tsʰi¹³	tsʰi²¹	─	tsʰe²¹	tsʰi¹¹³
臍		tsʰi¹³	tsʰi²¹	tsʰi²¹	tsʰi²¹	─
西		si³³	si³³	si³³	si²²	si³⁵³；sɿ³⁵³
棲		─	tsʰi³³	─	─	─
犀		se³³	─	─	─	─
雞		kie³³	kai³³	kə³³	kə²²	kie³⁵³
溪		kʰe³³/kʰie³³	kʰai³³	kʰə³³	kʰə²²	kʰie³⁵³
米		mi³¹/bi³¹	mi³¹	─	bi²⁴	bi³¹³
底		te³¹	tai³¹	─	tə²⁴	tie³¹³
抵		ti³¹	ti³¹	─	tə²⁴	tie³¹³
體		tʰi³¹	tʰi³¹	─	tʰi²⁴	tʰi³¹³
弟		tʰe³³老~、兄~	tʰai³¹老~；tʰi²⁴子~兵	─	tʰə²²老~；tʰi⁴⁴兄~	tʰie³⁵³老~；tʰi⁴⁵
禮		li³¹	li³¹	ti²⁴	ti²⁴	li³¹³
擠		─	tsi³¹	─	─	─
洗		se³¹	sai³¹	se²⁴	─	sie³¹³
啟		kʰi³¹	kʰi³¹	kʰi²⁴	kʰi²⁴	kʰi³¹³
閉		─	pi²⁴	─	pi⁵⁵	pi³¹³
謎		bi¹³	bi⁵⁵	─	bi²¹	bi¹¹³
帝		ti²⁴	ti²⁴	─	ti⁵⁵	ti³¹³
替		tʰe²⁴	tʰeŋ²⁴我~你V；tʰi²⁴交~	─	tʰə⁵⁵	tʰie³¹³
剃		tʰe²⁴	tʰe²⁴	─	tʰə⁵⁵	tʰie³¹³
屜		tʰua²⁴	─	─	─	─
第		tʰi⁴³	tʰi⁵⁵	─	tʰi⁴⁴	tʰi⁴⁵
遞		tʰi⁴³	tʰi⁵⁵	tʰi⁵⁵	tʰi⁴⁴	─
麗		li⁴³	li⁵⁵	─	─	li⁴⁵
隸		li⁴³	─	─	ti⁵³	─
濟		tsi²⁴	tsi²⁴	─	tsi⁵³	tsi⁵³
劑		─	tsi²⁴	─	tsi⁵³	tsi⁵³
細		se²⁴	sai²⁴小義；si²⁴仔~、~雨	se⁴⁵	se⁵⁵	sie³¹³
壻	女壻	se²⁴	sai²⁴	se⁴⁵	se⁵⁵	sie³¹³
計		ki²⁴	ki²⁴	ki⁴⁵	ki⁵⁵	ki³¹³
繼		ki²⁴	ki²⁴	ki⁴⁵	ki⁵⁵	ki³¹³
繫	繫鞋帶	ki³¹	ke⁵³~鞋帶	─	─	─
髻		ki²⁴	ki²⁴	ki⁴⁵	ki⁵⁵	ki³¹³
契		kʰe²⁴	kʰi²⁴	kʰi⁴⁵	kʰi⁵⁵	kʰie³¹³
系		ʃi⁴³	si⁵⁵	ʃi⁵⁵	ʃi⁴⁴	hi⁴⁵
繫	連繫	ʃi⁴³	si⁵⁵	ʃi⁵³	ʃi⁵³	hi⁴⁵
係		ʃi⁴³	si⁵⁵	kʰi⁵⁵(繫詞)	kʰe⁴⁴(繫詞)	hi⁴⁵
縊		─	─	─	─	i⁴⁵
杯		pɛ³³	pi³³	pə³³	pə²²	pe³⁵³
胚		pʰi³³	─	pʰə³³	pʰə²²	pʰe³⁵³
坯		pʰɛ³³	pʰi³³	pʰi³³	pʰə²²	pʰe³⁵³
培		pʰɛ¹³	pʰi²¹	pʰə²¹	pʰə²¹	pʰe¹¹³
陪		pʰɛ¹³	pʰi²¹	pʰə²¹	pʰə²¹	pʰe¹¹³
賠		pʰɛ¹³	pʰi²¹	pʰua²¹	pʰua²¹	pʰe¹¹³
裴		pʰɛ¹³	─	─	─	─
梅		mɛ¹³	mi²¹~bi²¹	bua²¹	bua²¹	me¹¹³
枚		mɛ̃¹³	miŋ²¹	bua²¹	bua²¹	me¹¹³
媒		mɛ¹³	bi²¹	bua²¹	bua²¹	me¹¹³
煤		mɛ¹³	bi²¹	bua²¹	bua²¹	me¹¹³
堆		tuɛ³³	ti³³一~、土~	tua³³	tua²²	te³⁵³
推		tʰuɛ³³	tʰui³³~行、~廣	tʰua³³	tʰua²²	tʰe³⁵³
雷		lua¹³	lue²¹	lua²¹	lua²¹	le¹¹³
催		tsʰuɛ³³	tsʰui³³	tsʰə³³	tsʰə²²	tsʰuai³⁵³
崔		tsʰuɛ³³	tsʰi³³	tsʰə³³	tsʰə²²	tsʰue³⁵³
盔		kʰuɛ³³	kʰui³³	kʰuə³³	kʰuə²²	kʰue³⁵³
魁		kʰuɛ¹³	kʰui²¹	kʰuə²¹	kʰuə²¹	kʰue¹¹³
恢		fɛ³³	fi³³	─	─	─
灰		fɛ³³	fi³³	fua³³	hua²²	fe³⁵³
回		fɛ¹³	fi²¹	fə²¹	fə²¹	fe¹¹³
茴		fɛ¹³	fi²¹	fə²¹	fə²¹	fe¹¹³
煨		vɛ³³	ue³³	─	─	─
倍		pʰɛ⁴³	pi²⁴	pʰə⁵⁵	pʰə⁴⁴	pʰe⁴⁵
每		mɛ³¹	bi³¹	bə²⁴	bə²⁴	me³¹³
腿		tʰua³¹	tʰi³¹	tʰua²⁴	tʰua²⁴	tʰuai³¹³
儡		luɛ³¹	─	lə²⁴	lə²⁴	─
罪		tsʰuɛ⁴³	tsʰi⁵⁵	─	tsʰə⁴⁴	tsʰe⁴⁵
傀		kʰuɛ¹³	─	kʰuə²⁴	kʰuə²⁴	kʰue³¹³
賄		─	fi³¹	─	─	fəu³¹³
悔		fɛ³¹	fi³¹	fə²⁴	fə²⁴	fe³¹³
匯		fɛ⁴³	fi⁵⁵	fə⁵⁵	fə⁴⁴	fe⁴⁵
輩		pʰɛ⁴³	pi²⁴	pə⁴⁵	pə⁵⁵	pʰe⁴⁵
背		pɛ²⁴	pi²⁴	pua⁴⁵	pua⁵⁵	pe³¹³
配		pʰɛ²⁴	pʰi²⁴	pʰə⁴⁵	pʰə⁵⁵	pʰe³¹³
佩		pʰɛ²⁴	pʰi²⁴	pʰə⁴⁵	pʰə⁵⁵	pʰe⁴⁵
背	背誦	pʰɛ⁴³	pʰue⁵⁵	pʰua⁵⁵	pʰua⁴⁴	pʰe⁴⁵
焙	焙乾	pʰɛ⁴³	pʰue⁵⁵	pʰə²¹	pʰə²¹	pʰe⁴⁵
妹		mɛ⁴³	bi⁵⁵	mua⁵⁵	mua⁴⁴	me⁴⁵
昧		─	─	─	─	me⁴⁵
對		tuɛ²⁴	ti²⁴	tua⁴⁵	tua⁵⁵	tuai³¹³
碓		tua²⁴	ti²⁴	tua⁴⁵	tua⁵⁵	tuai³¹³
退		tʰuɛ²⁴	tʰi²⁴	tʰua⁴⁵	tʰua⁵⁵	tʰue³¹³
隊		tuɛ²⁴	ti²⁴	tua⁴⁵	tua⁵⁵	tuai³¹³
內		luɛ⁴³	lue⁵⁵腹~；lui⁵⁵~科	lə⁵⁵	lə⁴⁴	le⁴⁵
累		lua⁴³	lui⁵⁵	lua⁵⁵	lua⁴⁴	luai⁴⁵
碎		suɛ²⁴	si²⁴	sə⁴⁵	sə⁵⁵	se³¹³
塊		kʰuɛ²⁴	kʰui²⁴	─	─	kʰe³¹³
晦		─	kʰui²⁴	─	─	─
潰		─	kʰui²⁴	kʰuə²⁴	kʰuə²⁴	─
兌		tuɛ²⁴	─	tua⁴⁵	tua⁵⁵	tʰue⁴⁵
最		tsuɛ²⁴	tsui²⁴	─	tsə⁵⁵	tsue³¹³
會	會計	kʰuɛ²⁴	kʰue²⁴	kʰuə⁴⁵	kʰuə⁵⁵	kʰuai³¹³
劊		kʰua²⁴	─	─	─	kʰuai³¹³
檜		─	kʰue²⁴	─	─	─
外		gua⁴³	gue⁵⁵	ŋua⁵⁵	ŋua⁴⁴	guai⁴⁵
會	開會	fɛ⁴³	fi⁵⁵	fə⁵⁵	fə⁴⁴	fe⁴⁵
會	會不會	─	hai³¹	fa⁵³	fa⁵³	ve⁴⁵
乖		kua³³	─	kua³³	kua²²	kai³⁵³；kuai³⁵³
懷		fa¹³	fai²¹	fa²¹	fa²¹	fai¹¹³
槐		kʰuɛ¹³	─	fa²¹	fa²¹	fai¹¹³
淮		fa¹³	fai²¹	fa²¹	fa²¹	fai¹¹³
怪		kua²⁴	kue²⁴	─	─	kuai³¹³
塊		fa⁴³	─	─	─	─
壞		fa⁴³	fai⁵⁵	fa⁵⁵	fa⁴⁴	fai⁴⁵
歪		va³³	─	─	─	─
柺		kua³¹	kue³¹	─	kua²⁴	kuai³¹³
掛		kua²⁴	kua²⁴	─	kua⁵⁵	kɑ³¹³
卦		kua²⁴	kua²⁴	─	kua⁵⁵	kɑ³¹³
畫		fo⁴³	fo⁵⁵	fɒ⁵⁵	fɒ⁴⁴	fɑ⁴⁵
快		kʰua²⁴	kʰue²⁴	kʰua⁴⁵	kʰua⁵⁵	kʰai³¹³
話		vo⁴³~事(說話)；fo⁴³~語	vo⁵⁵~事(說話)；fo⁵⁵電~	vɒ⁵⁵；fɒ⁵⁵	vɒ⁴⁴；fɒ⁴⁴	vɑ⁴⁵~事；fɑ⁴⁵
脆		tsʰe²⁴	tsʰi²⁴	tsʰə⁴⁵	tsʰə⁵⁵	tsʰue³¹³
歲		se²⁴一~、太~、萬~	se²⁴一~、犯太~；sui²⁴/si²⁴~月	─	se⁵⁵	sie³¹³
稅		fe²⁴	fe²⁴房屋~；se²⁴交~	fe⁴⁵	fe⁵⁵	fie³¹³
衛		vi⁴³	vi⁵⁵	vi⁵⁵	vi⁴⁴	vi⁴⁵
銳		─	─	lua⁵⁵	lə⁴⁴	─
廢		fi²⁴	fi²⁴	fi⁴⁵	fi⁵⁵	fi³¹³
肺		fi²⁴	fi²⁴	fi⁴⁵	fi⁵⁵	fi³¹³
吠		pʰɛ⁴³	─	pʰə⁵⁵	pʰə⁴⁴	pʰe⁴⁵
穢		─	─	fə⁴⁵	fə⁵⁵	─
圭		─	kui³³	─	─	─
閨		kui³³	kui³³	─	─	kue³⁵³
奎		kʰi¹³	─	─	─	kʰue¹¹³
桂		kui²⁴	kui²⁴	─	kui⁵⁵	kue³¹³
惠		fi⁴³	fi⁵⁵	─	fi⁵⁵	fi⁴⁵
慧		fi⁴³	fi⁵⁵	─	fi⁵⁵	hue⁴⁵
碑		pi³³	pi³³	pi³³	pi²²	pe³⁵³
卑		pi³³	pi³³	pə³³	pə²²	pe³⁵³
披		pʰi³³	pʰi³³	─	─	pʰi³⁵³
皮		pʰi¹³	pʰi²¹	─	pʰi²¹	pʰi¹¹³
疲		pʰi¹³	pʰi²¹	─	─	pʰi¹¹³
脾		pʰi¹³	pʰi²¹	─	pʰi²¹	pʰi¹¹³
糜		─	be²¹	─	─	─
彌		─	─	─	─	mi¹¹³
離	離別	li¹³	li²¹	ti²¹	ti²¹	li¹¹³
籬		li¹³	─	ti²¹	ti²¹	li¹¹³
璃		li¹³	li²¹	ti²¹	ti²¹	li¹¹³
雌		─	─	─	─	tsʰɿ¹¹³
疵		tsʰɿ³³	─	─	─	─
斯		sɿ³³	sɿ³³	sɿ³³	sɿ²²	─
廝		sɿ³³	─	─	─	─
撕		se³³	se³³	─	─	sɿ³⁵³
知		ti³³；tsɿ³³	ti³³；tsɿ³³	─	tʃɿ²²	tsɿ³⁵³
池		tsʰɿ¹³	tsʰɿ²¹	─	tʃʰɿ²¹	tsʰɿ¹¹³
馳		─	tsʰɿ²¹	─	─	tsʰɿ¹¹³
篩		sa³³	─	─	─	─
支		tsɿ³³	tsɿ³³	─	tʃɿ²²	tsɿ³⁵³
枝		ki³³	ki³³	─	tʃɿ²²	tsɿ³⁵³
肢		tsɿ³³	─	─	─	tsɿ³⁵³
梔		kʰi³³	tse³³	tʃʰie³³	tʃʰie²²	─
施		sɿ³³	sɿ³³	─	ʃɿ²²	sɿ³⁵³
匙		tsʰɿ¹³；sɿ³¹	se²¹鎖~	─	tsʰɿ²¹；ʃiŋ²¹鎖~	─
兒		zɿ¹³	e²¹	─	ʒɿ²¹	ə¹¹³
奇		kʰi¹³	kʰi²¹	─	kʰi²¹	kʰi¹¹³
騎		kʰi¹³	kʰe²¹	─	kʰi²¹	kʰi¹¹³
岐		kʰi¹³	─	─	─	─
宜		i¹³	ŋi²¹	─	─	i¹¹³
儀		i¹³	gi⁵⁵	─	gi²¹	i¹¹³
犧		ʃi³³	si³³	ʃi³³	ʃi²²	hi³⁵³
移		i¹³	i²¹	i²¹	i²¹	i¹¹³
彼		pi³¹	─	─	─	─
被		pʰi³³	pʰe³¹	pʰi³³	pʰi²²	pʰi³⁵³
婢		pʰi⁴³	pʰi³³	pʰi³³	pʰi²²	─
紫		tsɿ³¹	tsɿ³¹	─	─	tsɿ³¹³
此		tsʰɿ³¹	tsʰɿ³¹	─	─	tsʰɿ³¹³
璽		ʃi³¹	─	ʃi²⁴	ʃi²⁴	─
徙		ʃi³¹	si³¹	ʃi²⁴	ʃi²⁴	─
紙		tsɿ³¹	tse³¹	tʃe²⁴	tʃe²⁴	tsɿ³¹³
只		tsɿ³¹	─	─	─	─
舐		ʃie³³	─	ʃe³³	ʃe²²	─
是		sɿ⁴³	sɿ⁵⁵	ʃɿ⁵⁵	ʃɿ⁴⁴	sɿ⁴⁵
氏		sɿ⁴³	sɿ⁵⁵	ʃɿ⁵⁵	ʃɿ⁴⁴	sɿ⁵³
爾		gi³¹	gi³¹	─	─	ə³¹³
企		kʰi³¹	kʰi⁵⁵	kʰi²⁴	kʰi²⁴	kʰi³¹³
徛		kʰi³³	kʰe⁵³	kʰe³³	kʰe²²	kʰi³⁵³
技		kʰi⁴³	kʰi³³	─	kʰi⁵³	kʰi⁴⁵
妓		kʰi⁴³	─	─	─	kʰi⁴⁵
蟻		gie³¹	ge²¹	ge²⁴	ge²⁴	ŋie³¹³~gie³¹³
倚		i³³	─	─	─	─
椅		i³¹	ie³¹	ie²⁴	ie²⁴	i³¹³
臂		─	pi²⁴	pua⁴⁵	pua⁵⁵	─
譬		pi³¹	─	─	─	─
被		pɤ²⁴；pʰi⁴³	─	pʰi⁵⁵	pʰi⁴⁴	─
避		pʰi⁴³	pʰe⁵⁵~風；pi²⁴逃~	pʰi⁵³	pʰi⁵³	pʰiʔ⁵⁴
荔		li⁴³	le⁵⁵	ti³¹	ti²¹	li⁴⁵
