V1	V2	V2	
ȵie	5	24	業熱
ɕie	1	55	歇雪
ȵie	1	55	捏日
piɔu	3	22	表
pʰiɔu	5	24	票
tiɔu	5	24	釣
tʰiɔu	2	13	條
tɕiɔu	2	13	橋
ɕiɔu	3	22	小
tɕʰiɔu	1	55	轎
miɔu	1	55	廟
ȵiɔu	3	22	鳥
Ǿiɔu	2	13	搖
tɕiɔu	5	24	叫
ɕiɔu	5	24	孝校笑
ȵiɔu	1	55	料
Ǿiɔu	5	24	要
tɕiɔu	1	55	交焦
ɕiɔu	1	55	簫
Ǿiɔu	1	55	腰
tiɤu	1	55	丟
tɕiɤu	3	22	酒九
ɕiɤu	1	55	修休
tɕʰiɤu	2	13	球
ȵiɤu	2	13	牛
liɤu	2	13	流
Ǿiɤu	2	13	油
tɕʰiɤu	3	22	舅
ȵiɤu	1	55	肉綠
liɤu	5	24	六
Ǿiɤu	3	22	有
tɕʰiɤu	5	24	舊
Ǿiɤu	5	24	右幼育
tɕʰiɤu	1	55	袖
Ǿiɤu	1	55	優
tsua	1	55	抓
sua	2	13	刷
kua	5	24	掛
xua	2	13	華
Ǿua	3	22	瓦
kua	1	55	瓜刮
xua	5	24	化
Ǿua	1	55	話滑挖襪
xua	1	55	花
kue	2	13	國
xue	2	13	或
puo	1	55	撥剝
pʰuo	2	13	婆
tuo	2	13	奪
tʰuo	2	13	托
tsuo	2	13	作著鐲
suo	2	13	縮
tsʰuo	2	13	鋤
kuo	2	13	各郭
kʰuo	2	13	渴闊
xuo	2	13	河活
muo	2	13	磨末
ŋuo	2	13	鵝
luo	2	13	鑼螺
Ǿuo	2	13	惡握
pʰuo	5	24	破
tuo	3	22	躲
tʰuo	1	55	拖脫
tsuo	3	22	左
suo	3	22	鎖所索
tsʰuo	3	22	坐
kuo	3	22	果
kʰuo	3	22	可
xuo	3	22	火
muo	1	55	磨摸
ŋuo	1	55	餓
luo	5	24	落
pʰuo	1	55	潑
tuo	1	55	多
tsuo	5	24	做
suo	5	24	勺
tsʰuo	5	24	錯
kuo	5	24	個過
kʰuo	5	24	課
xuo	5	24	貨禍盒鶴
tsuo	1	55	桌
tsʰuo	1	55	初
kuo	1	55	歌鴿角
kʰuo	1	55	殼
xuo	1	55	霍
tsuei	5	24	罪醉
suei	2	13	隨
tsʰuei	2	13	垂
kuei	3	22	鬼
kʰuei	3	22	跪
Ǿuei	2	13	危圍
tsuei	1	55	追
suei	5	24	碎歲
kuei	5	24	桂貴
kʰuei	1	55	虧櫃
Ǿuei	3	22	尾
kuei	1	55	規龜骨
Ǿuei	5	24	衛胃
Ǿuei	1	55	位味
kuɛi	3	22	拐
kʰuɛi	5	24	塊快
xuɛi	2	13	懷
Ǿuɛi	1	55	外歪
kuɛi	5	24	怪
tɕye	2	13	絕決
ɕye	1	55	靴血
tɕʰye	2	13	缺
Ǿye	2	13	月越
tɕyo	1	55	腳
ɕyo	2	13	學
tɕʰyo	2	13	雀
ȵyo	5	24	弱
Ǿyo	5	24	約藥
ɕyo	1	55	削
pen	3	22	本
pʰen	2	13	盆
fen	2	13	魂墳橫
ten	3	22	等
tʰen	2	13	藤
tsen	3	22	整
sen	2	13	神繩
tsʰen	2	13	沉陳辰唇層程城
ken	5	24	更
kʰen	3	22	肯
xen	5	24	恨
men	2	13	門
ŋen	5	24	硬
len	2	13	輪能
fen	3	22	粉
ten	5	24	凳
tʰen	1	55	吞
tsen	5	24	鎮證正
sen	3	22	筍省
tsʰen	5	24	村寸秤
ken	1	55	根梗耕
kʰen	1	55	坑
men	1	55	蚊
ŋen	1	55	恩
len	3	22	冷
fen	5	24	糞
ten	1	55	墩蹲燈
tsen	1	55	針震爭貞
sen	1	55	參深身孫僧剩升生聲
len	5	24	任嫩
fen	1	55	婚分
kun	3	22	滾
kʰun	5	24	困
Ǿun	1	55	溫問
pin	3	22	柄餅
pʰin	2	13	貧瓶
tin	3	22	頂
tʰin	2	13	停
tɕin	3	22	緊
ɕin	2	13	形
tɕʰin	2	13	尋琴勤
min	2	13	明
ȵin	2	13	林民零
lin	2	13	鄰
Ǿin	2	13	銀迎
pin	1	55	冰兵
pʰin	3	22	品
tin	5	24	定
tʰin	3	22	挺
tɕin	5	24	進勁鏡靜
ɕin	5	24	行姓
tɕʰin	5	24	浸近慶
ȵin	5	24	人認
