繁體	简体	拼音	/IPa/	[IPA]	注释
知	知	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
蜘	蜘	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
支	支	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
枝	枝	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
肢	肢	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
吱	吱	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	文读
唧	唧	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	白读
資	资	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
姿	姿	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
咨	咨	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
諮	谘	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
滋	滋	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
嗞	嗞	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
茲	茲	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
炙	炙	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
輜	辎	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
錙	锱	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
之	之	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
芝	芝	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
隻	只	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
撕	撕	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	白读
脂	脂	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
酯	酯	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	
這	这	zı̈1	tsɿ˦˥	tsɿᵊ˦˥	白读2
蟄	蛰	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
執	执	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
侄	侄	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
姪	姪	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
質	质	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
直	直	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
值	值	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
殖	殖	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
植	植	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
置	置	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
窒	窒	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
只	只	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	~差
織	织	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
職	职	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
擲	掷	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	
指	指	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	~头；~甲
滓	滓	zı̈2	tsɿ˨˩	tsɿᵊ˨˩	白读
