單字	下江	上江	注释	注释															
鶇	ddung1	ddung1			b[p]	p[pʰ]	bb[ɓ]	m[m]	f[f]		1 陰平 52	2 陰上 35	3 陰去 33	4 陽平 214	5 陽上 214	6 陽去 21			
東	ddung1	ddung1			d[t]	t[tʰ]	dd[ɗ]	n[n]	l[l]		1 上陰入 5		3 下陰入 33			6 陽入 22			
凍	ddok5	ddok5			z[t͡s]	c[t͡sʰ]	s[s]		sl[ɬ]										
凍	ddung1	ddung1			g[k]	k[kʰ]		ng[ŋ]											
通	tung1	tung1			gw[kʋ]	kw[kʰʋ]		ngw[ŋʋ]											
俑	tung1	tung1			[ʔ]	h[h]	w[ʋ]	nj[n̠ʲ]	j[j]										
仝	dung4	tung4		上江tung4															
桐	dung4	tung4		上江tung4															
洞	dung4	tung4		上江tung4		（空）	i	u	m	n	ŋ	p	t	k					
筒	dung4	tung4		上江tung4	a	a	ai	au	am	an	aŋ	ap̚	at̚	ak̚					
銅	dung4	tung4		上江tung4		aa	aai	aau	aam	aan	aang	aap	aat	aak					
僮	dung4	tung4		上江tung4	ɐ		ɐi	ɐu	ɐm	ɐn		ɐp̚	ɐt̚	ɐk̚					
童	dung4	tung4		上江tung4			ai	au	am	an		ap	at	ak					
同	dung4	tung4		上江tung4	ɛ	ɛ	ɛi	e̯ɛu	e̯ɛm	e̯ɛn	e̯ɛŋ	e̯ɛp̚	e̯ɛt̚	e̯ɛk̚					
聾	lung4	lung4				e	ei	eu	em	en	eng	ep	et	ek					
朧	lung4	lung4			ɔ	ɔ	ɔi	ɔu		ɔn	ɔŋ	ɔp̚	ɔt̚	ɔk̚					
嚨	lung4	lung4				o	oi	ou		on	ong	op	ot	ok					
瓏	lung4	lung4			i	i	ɵi	iu	im	in	eŋ	ip̚	it̚	ek̚					
籠	lung4	lung4				i	eoi	iu	im	in	ing	ip	it	ik					
籠	lung1	lung1			u	u	ui	ɔ̯ɒu		un	oŋ		ut̚	ok̚					
隆	lung4	lung4				u	ui	ooau		un	ung		ut	uk					
窿	lung1	lung1			（空）				m̩	n̩	ŋ̍								
聰	tung1	tung1							m	n	ng								
囪	tung1	tung1																	
蔥	tung1	tung1																	
叢	slung1	slung1																	
叢	tung4	tung4																	
嵩	slung1	slung1																	
衷	zung1	zung1																	
忠	zung1	zung1																	
中	zung1		~间	~间															
中	dung1		~用	~用															
中	zung3		~肯	~肯															
忡	cung1	cung1																	
蟲	cung4	cung4																	
沖	cung1	cung1																	
崇	sung4	sung4																	
眾	zung3	zung3																	
螽	zung3	zung3																	
終	zung3	zung3																	
充	cung1	cung1																	
絨	jung1		形容词	形容词															
絨	njung1		形容词	形容词															
絨	jung4		名词	名词															
絨	njung4		名词	名词															
功	gung1	gung1																	
工	gung1	gung1																	
蚣	gung1	gung1																	
公	gung1	gung1																	
攻	gung1	gung1																	
躬	gung1	gung1																	
宮	gung1	gung1																	
弓	gung1		~箭	~箭															
弓	lung3		~腰	~腰															
空	hung1		~虚	~虚															
空	hung3		~出	~出															
穹	kung4	kung4																	
訌	hung4	hung4																	
洪	hung4	hung4																	
虹	hung4	hung4																	
烘	hung4	hung4																	
紅	gung1		女~	女~															
紅	hung4		~色	~色															
紅	hung6		着火；火盛	着火；火盛															
鴻	hung4	hung4																	
翁	ng1	ng1																	
蓊	ng1	ng1																	
雄	hung4	hung4																	
熊	hung4	hung4																	
熊	jung4	jung4																	
融	jung4	jung4																	
楓	fung1	fung1																	
風	fung1	fung1																	
蓬	bung4	pung4		上江pung4															
篷	pung1	pung1																	
篷	bung4	pung4		上江pung4															
蜂	fung1	fung1																	
梵	fung4	fung4																	
馮	fung4	fung4																	
矇	mung4		眼细	眼细															
矇	mung1		眼细	眼细															
濛	mung4	mung4																	
朦	mung4	mung4																	
檬	mung1	mung1																	
蒙	mung4	mung4																	
夢	mung6	mung6																	
豐	fung1	fung1																	
窮	kung4	kung4																	
董	ddung2	ddung2																	
桶	tung2	tung2																	
動	dung6	dung6																	
動	dung2	dung2																	
攏	lung2	lung2																	
總	tung2	tung2																	
孔	hung2	hung2																	
俸	fung2	fung2																	
懵	mung2	mung2																	
棟	dung6		一~楼	一~楼															
棟	ddung2		~梁	~梁															
痛	tung3	tung3																	
弄	lung6	lung6																	
粽	tung2	tung2																	
送	slung3	slung3																	
仲	cung6	cung6																	
銃	cung3	cung3																	
貢	gung3	gung3																	
哄	hung3	hung3																	
甕	ng3	ng3																	
諷	fung2	fung2																	
鳳	fung6	fung6																	
啄	ddek5	ddek5																	
啄	ddok5	ddok5																	
竺	zuk1	zuk1																	
禿	tuk1	tuk1																	
犢	duk6	duk6																	
獨	duk6	duk6																	
瀆	duk6	duk6																	
讀	duk6	duk6																	
麓	luk6	luk6																	
鹿	luk6	luk6																	
漉	luk6	luk6																	
碌	luk6	luk6																	
角	luk6	luk6																	
祿	luk6	luk6																	
陸	luk6	luk6																	
六	luk6	luk6																	
蹙	tuk1	tuk1																	
簇	tuk1	tuk1																	
蹴	tuk1	tuk1																	
族	tuk6	duk6		上江duk6															
鑿	tuk6	duk6		上江duk6															
速	cuk1	cuk1																	
肅	sluk1	sluk1																	
夙	sluk1	sluk1																	
竹	zuk1	zuk1																	
築	cuk1	cuk1																	
