参考资料		《建水方言志》《云南方言调查报告》复旦大学中华文明数据中心、中国语言资源保护工程采录展示平台
方言点		云南省红河哈尼族彝族自治州建水县临安镇
方言归属		西南官话-云南片-滇南小片
调值		①阴平44②阳平53③上声33⑤去声21
	ɿᵊ	
tsɿᵊ	①知蜘支枝肢栀资姿脂兹滋之芝这②置汁姪侄质直植脊(～背)③紫纸只姊旨指止址子⑤自致至字痔治志痣炙蔗	
tsʰɿᵊ	①雌疵痴嗤此②池驰瓷餐迟慈磁辞词祠持吃③此耻齿⑤刺赐翅次秩（～序)	
sɿᵊ	①斯撕施私师狮尸司丝思诗匙（钥～）②矢时湿十拾什实失室适！(～合)③死屎使史驶始⑤是氏四肆示视嗜似祀已伺寺嗣饲士仕柿事市试侍豉（豆～）适（合～）	
zɿᵊ	②日入（白）	
	i	
pi	①屄②鼻别笔鳖毕必笔(～米汤)荸（～荠）③彼比秕（～谷子)⑤蔽弊币毙蓖闭辟备被	
pʰi	①批披匹坯（打～子）②皮疲脾譬（～如)琵枇痹撇（一～一捺）辟僻③鄙撇（～开）⑤屁	
mi	①咪眯微（白）②迷弥篾眉没（白）祕秘（一书；～鲁）灭密蜜③米⑤谜	
ti	①爹低②叠碟蝶敌滴扚（～头发)的（目～）③底抵⑤弟第帝地	
tʰi	①梯剔屉（抽～）②堤提题蹄啼帖贴铁③体⑤涕剃替递	
ni	①的（白）②尼泥呢倪宜谊疑聂镊业捏孽③你女⑤腻恁	
li	①哩②犁梨黎离(～别)璃厘驴猎立粒列烈裂劣栗律③旅礼李里理鲤屦⑤虑滤例厉励丽隶荔离2（一开一寸)利莉吏	
tɕi	①居车拘驹鸡稽企（～业)饥肌基几机俱这（白）家（白）②接捷劫集辑急及级杰揭节截即鲫结洁吉绝蕨(～菜)决决疾橘积跡绩脊(～梁骨)③姐举矩挤几（～个人)己纪⑤借巨拒II距锯句具祭际挤剂计继技妓寄记忌季系（～鞋带)	
tɕʰi	①蛆趋区驱妻欺黢（黑～∽）②期（～末）茄渠瞿齐脐骑歧祁其棋妾切缺七漆膝讫气麯③起启岂且取娶⑤弃契砌器气汽趣荠去（文）	
ɕi	①些靴虚嘘需吁（喘～～）西犀溪栖嘻熙希稀携下（地～）②邪斜徐胁协习袭吸薛歇歇楔雪血穴悉恤昔惜席夕息媳熄锡析色（白）荨（～麻）③写小(～儿；～老二)许洗喜⑤泻卸谢序叙绪絮细系（关～）戏泄	
ʑi	①耶迂（人很～）伊医衣依曰②鱼渔于余娱於盂俞渝愉移夷姨饴遗叶页揖（作～)悦月越粤乙一逸噎③也野语与雨宇禹羽椅已以里（～头）⑤夜御誉予遇寓芋喻裕艺义仪蚁议易异毅玉肆冀翼	
	ʉ	
pʉ	②不③补捕⑤部簿布布怖步	
pʰʉ	①铺（～设)潽（饭～了）②菩仆勃渤朴扑仆卜③脯蒲普谱浦⑤铺	
mʉ	②木目牧穆模没（文）③母拇⑤茂贸	
fʉ	①夫肤麸敷②符扶孵佛拂福幅蝠复腹服伏茯③府腑俯抚腐辅斧⑤父付赋傅附妇负富副赴	
vʉ	①乌污巫②吴蜈吾悟杌（马～）物屋③五伍午武舞侮鹉⑤误悟恶（可～）务雾戍	
tʉ	①都(～市)②独读督毒③堵赌肚（猪～）⑤杜肚(～子疼)妒度渡镀	
tʰʉ	②徒屠途涂图突秃③土吐（一痰）⑤吐（呕～)兔	
nʉ	①囡②奴驽③努弩⑤怒	
lʉ	①撸②卢炉芦鸬庐鹿禄绿录③鲁掳(～松毛)橹虏卤⑤路露鹭	
tsʉ	①租猪朱蛛珠硃中（人～）②卒浊捉（～猫～人）术（白～)竹筑逐轴祝足烛触蜀属嘱局菊③祖组阻煮主帚⑤助拄注驻住注蛀铸	
tsʰʉ	①粗初(～中)②除锄出族曲畜(～牲)③楚礎杵处（相～)暑鼠拄(～拐棍)⑤醋处（所）	
sʉ	①苏稣梳疏蔬书舒输殊②续戍旭术(～手)述速束肃宿叔淑宿（～舍)栗俗赎属戍③数（～一～)署⑤数(～目)素诉庶恕竖树塑漱	
zʉ	①擩②如入狱欲浴域肉郁育疫辱褥③汝乳儒⑤儒(～家)	
kʉ	①姑孤箍(～桶)锅(～巴)②谷骨③古估牯股鼓䀇(～子)⑤顾故固雇	
kʰʉ	①枯②酷哭窟③苦⑤裤库	
xʉ	①呼乎②胡湖糊葫狐壶忽核（果子～）③虎浒⑤户互护沪	
	ɒ	
pɒ	①巴疤芭扒（用手～)②八拔爸③把（一～刀）㞎（屎～～）⑤霸把（刀～)坝耙罢	
pʰɒ	①琶杷钯爬趴②爬扒(～手)⑤怕帕	
mɒ	①妈蟆（癞蛤～）②麻抹(～布)③马码⑤骂	
fɒ	②发罚伐法	
vɒ	②袜	
tɒ	②答搭打（一～）达③打⑤大	
tʰɒ	①耷（垂下：～耳朵）他（文）②踏塔塌	
nɒ	②拿纳⑤捺	
lɒ	①拉②辣腊蜡瘌	
tsɒ	①楂渣奓(～开嘴)碴②杂眨扎铡炸(～油条)闸轧③拃（一～长）鲊(～肉)⑤诈榨炸（爆～）乍	
tsʰɒ	①叉杈差(～别)②茶搽查插察擦③岔(～巴：爱岔嘴的人)嚓⑤岔	
sɒ	①沙纱杉(～树，～木)萨（菩～）山（～药）②杀撒(～尿)③洒厦（偏～）⑤撒(～谷壳)	
kɒ	①伽③朒⑤尬	
kʰɒ	①拤咖③卡	
xɒ	①哈呵（打～欠）②蛤（獭～蟆）⑤下（打一～；那～）	
Øɒ	①那（白）	
	iɒ	
tɕiɒ	①家加嘉傢稼佳②夹裌甲挟③假贾⑤架驾嫁价	
tɕʰiɒ	①掐（～脖子）②洽恰掐⑤跨（白）	
ɕiɒ	①蝦②霞狭瞎⑤夏下	
ʑiɒ	①丫鸦桠挜（～饭)②牙芽衙鸭押压③雅哑⑤亚	
	uɒ	
kuɒ	①瓜②刮括聒掴③寡剐⑤掛褂卦	
kʰuɒ	①夸③垮胯⑤跨（文）	
xuɒ	①花②华铧划（～船)桦滑猾⑤化画话划（计～)	
Øuɒ	①蛙挖②娃哇挖（打人）③瓦搲⑤窪鸹	
	uɒ/yɒ	
tʃuɒ/tɕyɒ	①抓②膼③爪	
ʃuɒ/ɕyɒ	②刷③耍	
	o	
po	①波玻②缽拨博薄（厚～）剥缚驳③簸⑤播薄（～荷）	
pʰo	①坡②婆泼③颇剖⑤破	
mo	①摸摩(～登)②魔磨(～刀)模（～范)末沫③抹⑤磨（石～）幕慕墓募	
to	①多哆②戳夺剟沰（雨淋)③朵躲⑤剁驮（马～子）惰	
tʰo	①拖②驼驮脱托托拓坨舵③妥椭	
no	①喏（睡～～）②挪诺⑤糯摞	
lo	①啰②罗椤箩骡螺落(～下)烙(～铁)洛乐（快～）③裸	
tso	②撮凿昨桌卓琢着镯③左佐⑤坐做座	
tsʰo	①搓初(～ー)②矬撮⑤锉措错	
so	①唆梭蓑②说索勺芍朔（初一）③锁琐所	
zo	②若弱	
ko	①哥歌锅②合（十～一升）鸽割葛各阁搁郭廓角箇(～旧市)③果裹⑤过个	
kʰo	①科颗棵②磕壳渴阔③可⑤课嗑（～瓜子)	
xo	①喝②河何荷和合盒豁活郝鹤霍藿③火伙⑤贺货祸	
ɣo	①阿(～胶)窝屙倭②蛾鹅俄恶（凶～）握③我⑤饿卧	
	io	
nio	②虐略疟	
lio	②掠	
tɕio	②嚼爵脚觉（～得）角（两～钱）	
tɕʰio	②却雀鹊确	
ɕio	②学削	
ʑio	②约岳钥药乐（音～）	
	ɚ	
ɣɚ	②儿而③耳尔⑤二	
	a	
pa	①拜③摆⑤拜败稗	
pʰa	②牌排③口（两臂左右平伸，两手之间的距离）⑤派	
ma	②埋③买⑤卖	
ta	①呆③逮歹⑤待代贷袋带戴载(～重量)	
tʰa	①胎苔②抬台⑤泰态太	
na	①奶（阿～）③奶乃⑤耐奈	
la	②来③咧（龇牙～嘴）⑤癞赖	
tsa	①灾栽斋③宰⑤在再债寨(～子)	
tsʰa	①猜钗差（出～)②才材财裁柴豺③採采睬⑤菜蔡	
sa	①腮鳃筛⑤赛晒	
ka	①皆该阶街③改解（～开)⑤盖丐介界戒械届芥	
kʰa	①开揩(～干净)③楷凯⑤概	
xa	①嗨㰩（篾制的扑蜻蜒用的器具）②孩鞋还（～有)③海蟹⑤亥害解（姓）	
ɣa	①唉挨哀②岩捱磑崖③矮蔼⑤爱艾碍隘	
	ua	
kua	①乖③柺拐（说～了)⑤怪	
kʰua	③块蒯⑤快筷会（～计)刽(～子手)	
xua	②怀淮槐⑤坏	
Øua	①歪③崴⑤外	
	ua/ya	
tʃua/tɕya	③拽⑤跩	
tʃʰua/tɕʰya	①揣（～进去)③揣（～摸)⑤□（恶）	
ʃua/ɕya	①衰③甩⑤帅	
	ɘi	
