"繁體"	"简体"	"音標"	"註釋"	"聲"	"韻"	"調"
"䍝"	"䍝"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"濌"	"濌"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"䈋"	"䈋"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"踏"	"踏"	"tʰæ̠ʔ˧"	""	"tʰ"	"æ̠ʔ"	"˧"
"䪏"	"䪏"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"蒳"	"蒳"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"軜"	"軜"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"衲"	"衲"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"魶"	"魶"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"妠"	"妠"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"㨥"	"㨥"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"鈉"	"纳"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"納"	"纳"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"鈉"	"钠"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"搚"	"搚"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"㩉"	"㩉"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"摺"	"摺"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"菈"	"菈"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"㕇"	"㕇"	"l̃æ̠ʔ˧"	""	"l̃"	"æ̠ʔ"	"˧"
"拉"	"拉"	"l̃ɒ˦˥"	""	"l̃"	"æ̠ʔ"	"˦˥"
"魳"	"魳"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"迊"	"迊"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"𠯗"	"𠯗"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"噆"	"噆"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"䍼"	"䍼"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"嘁"	"嘁"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"沞"	"沞"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"䞙"	"䞙"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"韴"	"韴"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"磼"	"磼"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"雥"	"雥"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"䕹"	"䕹"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"䣟"	"䣟"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"雜"	"杂"	"t͡sæ̠ʔ˧"	""	"t͡s"	"æ̠ʔ"	"˧"
"溘"	"溘"	"kʰæ̠ʔ˧"	""	"kʰ"	"æ̠ʔ"	"˧"
"䆟"	"䆟"	"kʰæ̠ʔ˧"	""	"kʰ"	"æ̠ʔ"	"˧"
"歁"	"歁"	"kʰæ̠ʔ˧"	""	"kʰ"	"æ̠ʔ"	"˧"
"蛤"	"蛤"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"鴿"	"鸽"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"閣"	"閣"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"㪉"	"㪉"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"鉿"	"鉿"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
