"繁體"	"简体"	"音標"	"註釋"	"聲"	"韻"	"調"
"多"	"多"	"tɔ˦˥"	""	"t"	"ɔ"	"˦˥"
"他"	"他"	"tʰɒ˦˥"	""	"tʰ"	"ɒ"	"˦˥"
"舵"	"舵"	"tɔ˩˧"	""	"t"	"ɔ"	"˩˧"
"大"	"大"	"tʰɐɪ̯˦˩"	"白讀"	"t"	"ɐɪ̯"	"˦˩"
"大"	"大"	"tɒ˩˧"	""	"t"	"ɒ"	"˩˧"
"拖"	"拖"	"tʰɔ˦˥"	""	"tʰ"	"ɔ"	"˦˥"
"駝"	"驼"	"tʰɔ˨˩"	""	"tʰ"	"ɔ"	"˨˩"
"陀"	"陀"	"tʰɔ˨˩"	""	"tʰ"	"ɔ"	"˨˩"
"馱"	"驮"	"tʰɔ˨˩"	""	"tʰ"	"ɔ"	"˨˩"
"挪"	"挪"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"羅"	"罗"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"鑼"	"锣"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"籮"	"箩"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"左"	"左"	"t͡sɔ˦˩"	""	"t͡s"	"ɔ"	"˦˩"
"佐"	"佐"	"t͡sɔ˦˩"	""	"t͡s"	"ɔ"	"˦˩"
"做"	"做"	"t͡su˩˧"	""	"t͡s"	"u"	"˩˧"
"搓"	"搓"	"t͡sʰɔ˦˥"	""	"t͡sʰ"	"ɔ"	"˦˥"
"娑"	"娑"	"sɔ˦˥"	""	"s"	"ɔ"	"˦˥"
"歌"	"歌"	"kɔ˦˥"	""	"k"	"ɔ"	"˦˥"
"哥"	"哥"	"kɔ˦˥"	""	"k"	"ɔ"	"˦˥"
"個"	"个"	"kɐɪ̯˦˩"	"白讀1"	"k"	"ɐɪ̯"	"˦˩"
"個"	"個"	"kɔ˩˧"	""	"k"	"ɔ"	"˩˧"
"軻"	"轲"	"kʰɔ˦˥"	""	"kʰ"	"ɔ"	"˦˥"
"可"	"可"	"kʰɔ˦˩"	""	"kʰ"	"ɔ"	"˦˩"
"蛾"	"蛾"	"ɔ˨˩"	""	"ø"	"ɔ"	"˨˩"
"鵝"	"鹅"	"ɔ˨˩"	""	"ø"	"ɔ"	"˨˩"
"俄"	"俄"	"ɔ˨˩"	""	"ø"	"ɔ"	"˨˩"
"我"	"我"	"ŋᶢɔ˦˩"	""	"ŋᶢ"	"ɔ"	"˦˩"
"餓"	"饿"	"ɔ˩˧"	""	"ø"	"ɔ"	"˩˧"
"呵"	"呵"	"xɔ˦˥"	""	"x"	"ɔ"	"˦˥"
"訶"	"诃"	"xɔ˦˥"	"表示哄騙"	"x"	"ɔ"	"˦˥"
"抲"	"抲"	"xɒ˦˥"	"動詞，表示用手翻找"	"x"	"ɒ"	"˦˥"
"何"	"何"	"xɔ˨˩"	""	"x"	"ɔ"	"˨˩"
"河"	"河"	"xɔ˨˩"	""	"x"	"ɔ"	"˨˩"
"荷"	"荷"	"xɔ˨˩"	""	"x"	"ɔ"	"˨˩"
"苛"	"苛"	"Kʰɔ˦˥"	""	"kʰ"	"ɔ"	"˦˥"
"荷"	"荷"	"xɔ˩˧"	""	"x"	"ɔ"	"˩˧"
"賀"	"贺"	"xɔ˩˧"	""	"x"	"ɔ"	"˩˧"
"阿"	"阿"	"ɒ˦˥˥"	"張嘴"	"ø"	"ɒ"	"˦˥˥"
"阿"	"阿"	"ɒ˦˥"	"疑問"	"ø"	"ɒ"	"˦˥"
"阿"	"阿"	"ɒ˨˩"	"應答"	"Ø"	"ɒ"	"˨˩"
"阿"	"阿"	"ɔ˦˥"	"阿彌陀佛"	"Ø"	"ɔ"	"˦˥"
"阿"	"阿"	"ɔ˦˥"	"阿膠"	"ø"	"ɔ"	"˦˥"
"屙"	"屙"	"ŋᶢɔ˦˥"	""	"ŋᶢ"	"ɔ"	"˦˥"
"茄"	"茄"	"t͡ɕʰi˨˩"	"蕃茄"	"t͡ɕʰ"	"i"	"˨˩"
"波"	"波"	"pɔ˦˥"	""	"p"	"ɔ"	"˦˥"
"波"	"跛"	"pɐɪ̯˦˥"	"跛子，跛腳杆"	"p"	"ɐɪ̯"	"˦˥"
"跛"	"跛"	"pɔ˦˩"	"文讀"	"p"	"ɔ"	"˦˩"
"簸"	"簸"	"pɔ˦˩"	""	"p"	"ɔ"	"˦˩"
"播"	"播"	"pɔ˩˧"	""	"p"	"ɔ"	"˩˧"
"簸"	"簸"	"pɔ˩˧"	""	"p"	"ɔ"	"˩˧"
"頗"	"颇"	"pʰɔ˦˩"	""	"pʰ"	"ɔ"	"˦˩"
"坡"	"坡"	"pʰɔ˦˥"	""	"pʰ"	"ɔ"	"˦˥"
"玻"	"玻"	"pɔ˦˥"	""	"p"	"ɔ"	"˦˥"
"頗"	"颇"	"pʰɔ˦˩"	"文讀"	"pʰ"	"ɔ"	"˦˩"
"破"	"破"	"pʰɔ˩˧"	""	"pʰ"	"ɔ"	"˩˧"
"婆"	"婆"	"pʰɔ˨˩"	""	"pʰ"	"ɔ"	"˨˩"
"魔"	"魔"	"mᵇɔ˨˩"	""	"mᵇ"	"ɔ"	"˨˩"
"磨"	"磨"	"mᵇɔ˨˩"	""	"mᵇ"	"ɔ"	"˨˩"
"摩"	"摩"	"mᵇɔ˦˥"	""	"mᵇ"	"ɔ"	"˦˥"
"磨"	"磨"	"mᵇɔ˩˧"	""	"mᵇ"	"ɔ"	"˩˧"
"朵"	"朵"	"tɔ˦˥"	"耳朵"	"t"	"ɔ"	"˦˥"
"朵"	"朵"	"tɔ˦˩"	""	"t"	"ɔ"	"˦˩"
"躲"	"躲"	"tɔ˦˩"	""	"t"	"ɔ"	"˦˩"
"剁"	"剁"	"tɔ˩˧"	"剁，剁碎"	"t"	"ɔ"	"˩˧"
"妥"	"妥"	"tʰɔ˦˩"	""	"tʰ"	"ɔ"	"˦˩"
"唾"	"唾"	"tʰɔ˩˧"	""	"tʰ"	"ɔ"	"˩˧"
"惰"	"惰"	"tɔ˩˧"	""	"t"	"ɔ"	"˩˧"
"墮"	"堕"	"tɔ˩˧"	""	"t"	"ɔ"	"˩˧"
"囉"	"囉"	"l̃ɔ˦˥"	""	"l̃"	"ɔ"	"˦˥"
"那"	"那"	"l̃ɐɪ̯˩˧"	"白读"	"l̃"	"ɐɪ̯"	"˦˥"
"糯"	"糯"	"l̃ɔ˩˧"	"糯米"	"l̃"	"ɔ"	"˩˧"
"騾"	"骡"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"螺"	"螺"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"腡"	"脶"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"摞"	"摞"	"l̃ɔ˩˧"	""	"l̃"	"ɔ"	"˩˧"
"睃"	"睃"	"sɔ˨˩"	""	"s"	"ɔ"	"˨˩"
"銼"	"锉"	"t͡sʰɔ˩˧"	""	"t͡sʰ"	"ɔ"	"˩˧"
"矬"	"矬"	"t͡sʰɔ˨˩"	""	"t͡sʰ"	"ɔ"	"˨˩"
"坐"	"坐"	"t͡sɔ˩˧"	""	"t͡s"	"ɔ"	"˩˧"
"座"	"座"	"t͡sɔ˩˧"	""	"t͡s"	"ɔ"	"˩˧"
"蓑"	"蓑"	"sɔ˦˥"	""	"s"	"ɔ"	"˦˥"
"梭"	"梭"	"sɔ˦˥"	""	"s"	"ɔ"	"˦˥"
"趖"	"趖"	"sɔ˦˥"	""	"s"	"ɔ"	"˦˥"
"唆"	"唆"	"sɔ˦˥"	""	"s"	"ɔ"	"˦˥"
"鎖"	"锁"	"sɔ˦˩"	""	"s"	"ɔ"	"˦˩"
"瑣"	"琐"	"sɔ˦˩"	""	"s"	"ɔ"	"˦˩"
"鍋"	"锅"	"kɔ˦˥"	""	"k"	"ɔ"	"˦˥"
"過"	"过"	"kɔ˩˧"	""	"k"	"ɔ"	"˩˧"
"戈"	"戈"	"kɔ˦˥"	""	"k"	"ɔ"	"˦˥"
"果"	"果"	"kɔ˦˩"	""	"k"	"ɔ"	"˦˩"
"裹"	"裹"	"kɔ˦˩"	""	"k"	"ɔ"	"˦˩"
"科"	"科"	"kʰɔ˦˥"	""	"kʰ"	"ɔ"	"˦˥"
"棵"	"棵"	"kʰɔ˦˩"	""	"kʰ"	"ɔ"	"˦˩"
"窠"	"窠"	"kʰɔ˦˩"	""	"kʰ"	"ɔ"	"˦˩"
"顆"	"颗"	"kʰɔ˦˩"	""	"kʰ"	"ɔ"	"˦˩"
"課"	"课"	"kʰɔ˩˧"	""	"kʰ"	"ɔ"	"˩˧"
"訛"	"讹"	"ŋᶢoʔ˧"	""	"ŋᶢ"	"o"	"˧"
"臥"	"卧"	"ɔ˩˧"	""	"Ø"	"ɔ"	"˩˧"
"火"	"火"	"xɔ˦˩"	""	"x"	"ɔ"	"˦˩"
"夥"	"伙"	"xɔ˦˩"	""	"x"	"ɔ"	"˦˩"
"貨"	"货"	"xɔ˩˧"	""	"x"	"ɔ"	"˩˧"
"禾"	"禾"	"xɔ˨˩"	""	"x"	"ɔ"	"˨˩"
"和"	"和"	"xɔ˨˩"	""	"x"	"ɔ"	"˨˩"
"禍"	"祸"	"xɔ˩˧"	""	"x"	"ɔ"	"˩˧"
"和"	"和"	"xɔ˩˧"	""	"x"	"ɔ"	"˩˧"
"倭"	"倭"	"ɔ˦˥"	""	"Ø"	"ɔ"	"˦˥"
"窩"	"窝"	"ɔ˦˥"	""	"Ø"	"ɔ"	"˦˥"
"捼"	"捼"	"zwɒ˨˩"	"動詞，表示揉"	"z"	"wɒ"	"˨˩"
"瘸"	"瘸"	"t͡ɕʰy̑oʔ˧"	""	"t͡ɕʰ"	"y̑oʔ"	"˧"
"靴"	"靴"	"ɕy˦˥"	""	"ɕ"	"y"	"˦˥"
"䋈"	"䋈"	"l̃ɒ˦˩"	""	"l̃"	"ɒ"	"˦˩"
"𠇕"	"𠇕"	"pɒ˦˥"	"鄰近"	"p"	"ɒ"	"˦˥"
"𧵅"	"𧵅"	"pɒ˦˥"	"張貼"	"p"	"ɒ"	"˦˥"
"巴"	"巴"	"pɒ˦˥"	""	"p"	"ɒ"	"˦˥"
"疤"	"疤"	"pɒ˦˥"	""	"p"	"ɒ"	"˦˥"
"芭"	"芭"	"pɒ˦˥"	""	"p"	"ɒ"	"˦˥"
"把"	"把"	"pɒ˦˩"	""	"p"	"ɒ"	"˦˩"
"爸"	"爸"	"pɒ˨˩"	""	"p"	"ɒ"	"˨˩"
"欛"	"欛"	"pɒ˩˧"	""	"p"	"ɒ"	"˩˧"
"壩"	"坝"	"pɒ˩˧"	""	"p"	"ɒ"	"˩˧"
"𢺞"	"𢺞"	"pɒ˩˧"	"鋪床铺"	"p"	"ɒ"	"˩˧"
"霸"	"霸"	"pɒ˩˧"	""	"p"	"ɒ"	"˩˧"
"耙"	"耙"	"pʰɒ˦˥"	""	"pʰ"	"ɒ"	"˦˥"
"怕"	"怕"	"pʰɒ˩˧"	""	"pʰ"	"ɒ"	"˩˧"
"琶"	"琶"	"pɒ˦˥"	"琵琶"	"p"	"ɒ"	"˦˥"
"琶"	"琶"	"pʰɒ˨˩"	""	"pʰ"	"ɒ"	"˨˩"
"爬"	"爬"	"pɒ˦˥"	"白讀"	"p"	"ɒ"	"˦˥"
"爬"	"爬"	"pʰɒ˨˩"	""	"pʰ"	"ɒ"	"˨˩"
"杷"	"杷"	"pɒ˦˥"	"枇杷"	"p"	"ɒ"	"˦˥"
"杷"	"杷"	"pʰɒ˨˩"	""	"pʰ"	"ɒ"	"˨˩"
"麻"	"麻"	"mᵇɒ˨˩"	""	"mᵇ"	"ɒ"	"˨˩"
"蟆"	"蟆"	"mᵇɒ˦˥"	""	"mᵇ"	"ɒ"	"˦˥"
"媽"	"妈"	"mᵇɒ˦˥"	"媽媽"	"mᵇ"	"ɒ"	"˦˥"
"嗎"	"嗎"	"mᵇɒ˦˥"	"表疑問"	"mᵇ"	"ɒ"	"˦˥"
"馬"	"马"	"mᵇɒ˦˩"	""	"mᵇ"	"ɒ"	"˦˩"
"碼"	"码"	"mᵇɒ˦˩"	""	"mᵇ"	"ɒ"	"˦˩"
"罵"	"骂"	"mᵇɒ˩˧"	""	"mᵇ"	"ɒ"	"˩˧"
"拿"	"拿"	"l̃ɒ˨˩"	""	"l̃"	"ɒ"	"˨˩"
"䏧"	"䏧"	"l̃ɒ˩˧"	""	"l̃"	"ɒ"	"˩˧"
"詫"	"诧"	"t͡sʰɒ˩˧"	""	"t͡sʰ"	"ɒ"	"˩˧"
"茶"	"茶"	"t͡sʰɒ˨˩"	""	"t͡sʰ"	"ɒ"	"˨˩"
"搽"	"搽"	"t͡sʰɒ˨˩"	"搽臉，搽藥"	"t͡sʰ"	"ɒ"	"˨˩"
"查"	"查"	"t͡sɒ˦˥"	""	"t͡s"	"ɒ"	"˦˥"
"奓"	"奓"	"t͡sɒ˦˥"	"動詞，表示張開"	"t͡s"	"ɒ"	"˦˥"
"渣"	"渣"	"t͡sɒ˦˥"	""	"t͡s"	"ɒ"	"˦˥"
"鮓"	"鮓"	"t͡sɒ˦˩"	""	"t͡s"	"ɒ"	"˦˩"
"䋾"	"䋾"	"t͡sɒ˦˩"	""	"t͡s"	"ɒ"	"˦˩"
"𮛰"	"𮛰"	"t͡sɒ˦˩"	"動詞，表示為人撐場面"	"t͡s"	"ɒ"	"˦˩"
"痄"	"痄"	"t͡sɒ˦˩"	""	"t͡s"	"ɒ"	"˦˩"
"詐"	"诈"	"t͡sɒ˩˧"	""	"t͡s"	"ɒ"	"˩˧"
"榨"	"榨"	"t͡sɒ˩˧"	""	"t͡s"	"ɒ"	"˩˧"
"炸"	"炸"	"t͡sɒ˩˧"	""	"t͡s"	"ɒ"	"˩˧"
"叉"	"叉"	"t͡sʰɒ˦˥"	""	"t͡sʰ"	"ɒ"	"˦˥"
"杈"	"杈"	"t͡sʰɒ˦˥"	""	"t͡sʰ"	"ɒ"	"˦˥"
"差"	"差"	"t͡sʰɒ˦˥"	""	"t͡sʰ"	"ɒ"	"˦˥"
"衩"	"衩"	"t͡sʰɒ˦˩"	"衩～褲"	"t͡sʰ"	"ɒ"	"˦˩"
"差"	"差"	"t͡sʰɒ˩˧"	""	"t͡sʰ"	"ɒ"	"˩˧"
"岔"	"岔"	"t͡sʰɒ˩˧"	""	"t͡sʰ"	"ɒ"	"˩˧"
"汊"	"汊"	"t͡sʰɒ˩˧"	""	"t͡sʰ"	"ɒ"	"˩˧"
"查"	"查"	"t͡sʰɒ˨˩"	""	"t͡sʰ"	"ɒ"	"˨˩"
"乍"	"乍"	"t͡sɒ˩˧"	""	"t͡s"	"ɒ"	"˩˧"
"沙"	"沙"	"sɒ˦˥"	""	"s"	"ɒ"	"˦˥"
"紗"	"纱"	"sɒ˦˥"	""	"s"	"ɒ"	"˦˥"
"灑"	"洒"	"sɒ˦˩"	""	"s"	"ɒ"	"˦˩"
"灑"	"洒"	"sɒ˦˥"	""	"s"	"ɒ"	"˦˥"
"嘉"	"嘉"	"t͡ɕi̯ɒ˦˥"	""	"t͡ɕ"	"i̯ɒ"	"˦˥"
"家"	"家"	"t͡ɕi̯ɒ˦˥"	""	"t͡ɕ"	"i̯ɒ"	"˦˥"
"傢"	"家"	"t͡ɕi̯ɒ˦˥"	""	"t͡ɕ"	"i̯ɒ"	"˦˥"
"加"	"加"	"t͡ɕi̯ɒ˦˥"	""	"t͡ɕ"	"i̯ɒ"	"˦˥"
"假"	"假"	"t͡ɕi̯ɒ˦˩"	""	"t͡ɕ"	"i̯ɒ"	"˦˩"
"賈"	"贾"	"t͡ɕi̯ɒ˦˩"	""	"t͡ɕ"	"i̯ɒ"	"˦˩"
"稼"	"稼"	"t͡ɕi̯ɒ˩˧"	""	"t͡ɕ"	"i̯ɒ"	"˩˧"
"假"	"假"	"t͡ɕi̯ɒ˩˧"	""	"t͡ɕ"	"i̯ɒ"	"˩˧"
"價"	"价"	"t͡ɕi̯ɒ˩˧"	""	"t͡ɕ"	"i̯ɒ"	"˩˧"
"架"	"架"	"t͡ɕi̯ɒ˩˧"	""	"t͡ɕ"	"i̯ɒ"	"˩˧"
"駕"	"驾"	"t͡ɕi̯ɒ˩˧"	""	"t͡ɕ"	"i̯ɒ"	"˩˧"
"嫁"	"嫁"	"t͡ɕi̯ɒ˩˧"	""	"t͡ɕ"	"i̯ɒ"	"˩˧"
"牙"	"牙"	"jɒ˨˩"	""	"j"	"i̯ɒ"	"˨˩"
"芽"	"芽"	"jɒ˨˩"	""	"j"	"i̯ɒ"	"˨˩"
"衙"	"衙"	"jɒ˨˩"	""	"j"	"i̯ɒ"	"˨˩"
"雅"	"雅"	"jɒ˦˩"	""	"j"	"i̯ɒ"	"˦˩"
"訝"	"讶"	"jɒ˩˧"	""	"j"	"i̯ɒ"	"˩˧"
"迓"	"迓"	"jɒ˩˧"	""	"j"	"i̯ɒ"	"˩˧"
"蝦"	"虾"	"ɕi̯ɒ˦˥"	""	"ɕ"	"i̯ɒ"	"˦˥"
"嚇"	"吓"	"ɕi̯æ̠ʔ˧"	"文讀"	"ɕ"	"i̯æ̠ʔ"	"˧"
"霞"	"霞"	"ɕi̯ɒ˨˩"	""	"ɕ"	"i̯ɒ"	"˨˩"
"䠍"	"䠍"	"ɕi̯ɒ˨˩"	""	"ɕ"	"i̯ɒ"	"˨˩"
"遐"	"遐"	"ɕi̯ɒ˨˩"	""	"ɕ"	"i̯ɒ"	"˨˩"
"瑕"	"瑕"	"ɕi̯ɒ˨˩"	""	"ɕ"	"i̯ɒ"	"˨˩"
"下"	"下"	"ɕi̯ɒ˩˧"	""	"ɕ"	"i̯ɒ"	"˩˧"
"下"	"下"	"xɒ˩˧"	"一下 等下"	"x"	"ɒ"	"˩˧"
"𢱈"	"𢱈"	"ɕi̯ɒ˩˧"	""	"ɕ"	"i̯ɒ"	"˩˧"
"夏"	"夏"	"ɕi̯ɒ˩˧"	""	"ɕ"	"i̯ɒ"	"˩˧"
"廈"	"厦"	"swɒ˦˩"	""	"s"	"wɒ"	"˦˩"
"暇"	"暇"	"ɕi̯ɒ˩˧"	""	"ɕ"	"i̯ɒ"	"˩˧"
"丫"	"丫"	"ɕi̯ɒ˦˥"	""	"j"	"i̯ɒ"	"˦˥"
"鴉"	"鸦"	"wɒ˦˥"	"老鴉"	"Ø"	"wɒ"	"˦˥"
"鴉"	"鴉"	"jɒ˦˥"	""	"j"	"i̯ɒ"	"˦˥"
"埡"	"埡"	"jɒ˦˥"	""	"j"	"i̯ɒ"	"˦˥"
"啞"	"啞"	"jɒ˦˩"	""	"j"	"i̯ɒ"	"˦˩"
"亞"	"亞"	"jɒ˩˧"	""	"j"	"i̯ɒ"	"˩˧"
"嗟"	"嗟"	"t͡ɕi˦˥"	""	"t͡ɕ"	"i"	"˦˥"
"姐"	"姐"	"t͡ɕi˦˩"	""	"t͡ɕ"	"i"	"˦˩"
"借"	"借"	"t͡ɕi˩˧"	""	"t͡ɕ"	"i"	"˩˧"
"且"	"且"	"t͡ɕʰi˦˩"	""	"t͡ɕʰ"	"i"	"˦˩"
"藉"	"藉"	"t͡ɕi˩˧"	""	"t͡ɕ"	"i"	"˩˧"
"褯"	"褯"	"t͡ɕi˩˧"	""	"t͡ɕ"	"i"	"˩˧"
"些"	"些"	"ɕi˦˥"	""	"ɕ"	"i"	"˦˥"
"寫"	"写"	"ɕi˦˩"	""	"ɕ"	"i"	"˦˩"
"瀉"	"泻"	"ɕi˩˧"	""	"ɕ"	"i"	"˩˧"
"卸"	"卸"	"ɕi˩˧"	""	"ɕ"	"i"	"˩˧"
"邪"	"邪"	"ɕi˨˩"	""	"ɕ"	"i"	"˨˩"
"斜"	"斜"	"ɕi̯ɒ˨˩"	"白讀"	"ɕ"	"i̯ɒ"	"˨˩"
"斜"	"斜"	"ɕi˨˩"	"文讀"	"ɕ"	"i"	"˨˩"
"謝"	"谢"	"ɕi˩˧"	""	"ɕ"	"i"	"˩˧"
"爹"	"爹"	"ti˦˥"	""	"t"	"i"	"˦˥"
"遮"	"遮"	"t͡sə̞ɪ̯˦˥"	""	"t͡s"	"ə̞ɪ̯"	"˦˥"
"者"	"者"	"t͡sə̞ɪ̯˦˩"	""	"t͡s"	"ə̞ɪ̯"	"˦˩"
"蔗"	"蔗"	"t͡sə̞n˩˧"	""	"t͡s"	"ə̞n"	"˩˧"
"車"	"車"	"t͡sʰə̞ɪ̯˦˥"	""	"t͡sʰ"	"ə̞ɪ̯"	"˦˥"
"扯"	"扯"	"t͡sʰə̞ɪ̯˦˩"	""	"t͡sʰ"	"ə̞ɪ̯"	"˦˩"
"蛇"	"蛇"	"sə̞ɪ̯˨˩"	""	"s"	"ə̞ɪ̯"	"˨˩"
"射"	"射"	"sə̞ɪ̯˩˧"	""	"s"	"ə̞ɪ̯"	"˩˧"
"奢"	"奢"	"sə̞ɪ̯˦˥"	""	"s"	"ə̞ɪ̯"	"˦˥"
"賒"	"赊"	"sə̞ɪ̯˦˥"	""	"s"	"ə̞ɪ̯"	"˦˥"
"捨"	"舍"	"sə̞ɪ̯˦˩"	""	"s"	"ə̞ɪ̯"	"˦˩"
"赦"	"赦"	"sə̞ɪ̯˩˧"	""	"s"	"ə̞ɪ̯"	"˩˧"
"舍"	"舍"	"sə̞ɪ̯˩˧"	""	"s"	"ə̞ɪ̯"	"˩˧"
"猞"	"猞"	"sə̞ɪ̯˩˧"	"～猁"	"s"	"ə̞ɪ̯"	"˩˧"
"社"	"社"	"sə̞ɪ̯˩˧"	""	"s"	"ə̞ɪ̯"	"˩˧"
"婼"	"婼"	"zə̞ɪ̯˨˩"	"婼羌西域國名"	"z"	"ə̞ɪ̯"	"˨˩"
"惹"	"惹"	"zə̞ɪ̯˦˩"	""	"z"	"ə̞ɪ̯"	"˦˩"
"耶"	"耶"	"ji˦˥"	""	"j"	"i"	"˦˥"
"椰"	"椰"	"ji˦˥"	""	"j"	"i"	"˦˥"
"爺"	"爷"	"ji˨˩"	""	"j"	"i"	"˨˩"
"冶"	"冶"	"ji˦˩"	""	"j"	"i"	"˦˩"
"也"	"也"	"ji˦˩"	""	"j"	"i"	"˦˩"
"也"	"也"	"ji˦˩"	""	"j"	"i"	"˦˩"
"野"	"野"	"ji˦˩"	""	"j"	"i"	"˦˩"
"夜"	"夜"	"ji˩˧"	""	"j"	"i"	"˩˧"
"傻"	"傻"	"sɒ˦˩"	""	"s"	"ɒ"	"˦˩"
"𦔯"	"𦔯"	"sɒ˩˧"	""	"s"	"ɒ"	"˩˧"
"耍"	"耍"	"swɒ˦˩"	""	"s"	"wɒ"	"˦˥"
"誜"	"誜"	"swɒ˩˧"	""	"s"	"wɒ"	"˩˧"
"髽"	"髽"	"t͡swɒ˦˥"	""	"t͡s"	"wɒ"	"˦˥"
"䊬"	"䊬"	"t͡sʰwɒ˦˩"	""	"t͡sʰ"	"wɒ"	"˦˩"
"瓜"	"瓜"	"kwɒ˦˥"	""	"k"	"wɒ"	"˦˥"
"蝸"	"蜗"	"ɔ˦˥"	""	"Ø"	"ɔ"	"˦˥"
"寡"	"寡"	"kwɒ˦˩"	""	"k"	"wɒ"	"˦˥"
"剮"	"剐"	"kwɒ˦˩"	""	"k"	"wɒ"	"˦˩"
"咵"	"咵"	"kʰwɒ˦˩"	""	"kʰ"	"wɒ"	"˦˩"
"垮"	"垮"	"kʰwɒ˦˩"	""	"kʰ"	"wɒ"	"˦˩"
"跨"	"跨"	"kʰɒ˨˩"	"白讀，作動詞"	"kʰ"	"ɒ"	"˨˩"
"跨"	"跨"	"kʰwɒ˩˧"	""	"kʰ"	"wɒ"	"˩˧"
"娃"	"娃"	"wɒ˨˩"	""	"Ø"	"wɒ"	"˨˩"
"㧚"	"㧚"	"wɒ˦˩"	"動詞，表示舀"	"Ø"	"wɒ"	"˦˩"
"瓦"	"瓦"	"wɒ˦˩"	""	"Ø"	"wɒ"	"˦˩"
"䠚"	"䠚"	"wɒ˩˧"	""	"Ø"	"wɒ"	"˩˧"
"搲"	"攨"	"wɒ˩˧"	"～憋憋：人生氣（或傷心時）發出的高亢而淒慘聲音的樣子"	"Ø"	"wɒ"	"˩˧"
"花"	"花"	"xwɒ˦˥"	""	"X"	"wɒ"	"˦˥"
"化"	"化"	"xwɒ˩˧"	""	"X"	"wɒ"	"˩˧"
"華"	"华"	"xwɒ˨˩"	""	"X"	"wɒ"	"˨˩"
"劃"	"劃"	"xwɒ˩˧"	"文讀，如計劃"	"x"	"wɒ"	"˩˧"
"華"	"华"	"xwɒ˩˧"	""	"X"	"wɒ"	"˩˧"
"蛙"	"蛙"	"wɒ˦˥"	""	"Ø"	"wɒ"	"˦˥"
"窪"	"洼"	"wɒ˦˥"	""	"Ø"	"wɒ"	"˦˥"
"補"	"补"	"pu˦˩"	""	"p"	"u"	"˦˩"
"譜"	"谱"	"pʰu˦˩"	""	"pʰ"	"u"	"˦˩"
"布"	"布"	"pu˩˧"	""	"p"	"u"	"˩˧"
"佈"	"布"	"pu˩˧"	""	"p"	"u"	"˩˧"
"鋪"	"铺"	"pʰu˦˥"	""	"pʰ"	"u"	"˦˥"
"普"	"普"	"pʰu˦˩"	""	"pʰ"	"u"	"˦˩"
"溥"	"溥"	"pʰu˦˩"	"溥儀"	"pʰ"	"u"	"˦˩"
"浦"	"浦"	"pʰu˦˩"	""	"pʰ"	"u"	"˦˩"
"鋪"	"铺"	"pʰu˩˧"	""	"pʰ"	"u"	"˩˧"
"怖"	"怖"	"pu˩˧"	""	"p"	"u"	"˩˧"
"菩"	"菩"	"pʰu˨˩"	""	"pʰ"	"u"	"˨˩"
"蒲"	"蒲"	"pʰu˨˩"	""	"pʰ"	"u"	"˨˩"
"脯"	"脯"	"pʰu˨˩"	""	"pʰ"	"u"	"˨˩"
"脯"	"脯"	"fʋ̩˦˩"	""	"f"	"ʋ̩"	"˦˩"
"部"	"部"	"pu˩˧"	""	"p"	"u"	"˩˧"
"簿"	"簿"	"pu˩˧"	""	"p"	"u"	"˩˧"
"步"	"步"	"pu˩˧"	""	"p"	"u"	"˩˧"
"捕"	"捕"	"pʰu˦˩"	"捕捉（白讀）"	"pʰ"	"u"	"˦˩"
"捕"	"捕"	"pu˦˩"	""	"p"	"u"	"˦˩"
"埠"	"埠"	"fʋ̩˩˧"	""	"f"	"ʋ̩"	"˩˧"
"摸"	"摸"	"mᵇɔ˦˥"	""	"mᵇ"	"ɔ"	"˦˥"
"膜"	"膜"	"mᵇu˨˩"	""	"mᵇ"	"u"	"˨˩"
"模"	"模"	"mᵇu˨˩"	""	"mᵇ"	"u"	"˨˩"
"暮"	"暮"	"mᵇɔ˩˧"	""	"mᵇ"	"ɔ"	"˩˧"
"墓"	"墓"	"mᵇu˩˧"	""	"mᵇ"	"u"	"˩˧"
"墓"	"墓"	"mᵇɔ˩˧"	""	"mᵇ"	"ɔ"	"˩˧"
"慕"	"慕"	"mᵇɔ˩˧"	""	"mᵇ"	"ɔ"	"˩˧"
"都"	"都"	"tu˦˥"	""	"t"	"u"	"˦˥"
"堵"	"堵"	"tu˦˩"	""	"t"	"u"	"˦˩"
"賭"	"赌"	"tu˦˩"	""	"t"	"u"	"˦˩"
"肚"	"肚"	"tu˦˩"	"肚子"	"t"	"u"	"˦˩"
"妒"	"妒"	"tu˩˧"	""	"t"	"u"	"˩˧"
"蠹"	"蠹"	"tu˩˧"	""	"t"	"u"	"˩˧"
"土"	"土"	"tʰu˦˩"	""	"tʰ"	"u"	"˦˩"
"吐"	"吐"	"tʰu˦˩"	""	"tʰ"	"u"	"˦˩"
