	注释：-白读，=文读
#ɿ	
ts	[1]正{拜～：拜年}蛰{惊～}[2]至[5]翅正{摆～}□{板～：板凳}[7]指汁□{萎□luŋ33□pi212～：要死不活的样子}
tsʰ	[1]痴□{糠}[5]□{提～布：入殓时，将尸体抬入棺材的白布}
dz	[5]瓷磁{上～头：上游}
s	[1]豉声[2]姨-{阿～：母之妹}[3]屎{屙～：拉屎}[5]十={～字道：十字路}依{罗～溪：地名}栗{□tɕiəɯ212～子：板栗}[7]事={不～做：没事做}□{□zəŋ212□pi33-21～：蝙蝠}
z	[2]儿{1哥哥弟～：兄弟们}□{～肠吊带：非常破烂的衣服}
#ʅ	
tʂ	[5]痔志痣结{～子子：结果儿}
tʂʰ	[1]齿{牙～}十-{～笔：十个}拾{捡}
ʂ	[2]试[3]屎{鸡～藤花：金银花}
ʐ	[2]实{老～：形容人不聪明、不厉害}
#i	
p	[1]椑{柿～子：柿子}蜱{～虫：臭虫}□{～长：(短线)接长}[2]瓶枇坪{龙～：地名}□{萎□luŋ33～□tsɿ53：要死不活的样子}[3]扁饼比[5]闭鼻□{□zəŋ212～□sɿ53：蝙蝠}[7]憋{～气}滗□{～鱼：用指甲将小鱼肚子挤破，去掉小鱼肚子里的脏东西}
pʰ	[5]屁□{半～月亮：半边月亮}
b	[2]屄{女阴}[5]疲{软；稀薄(与稠相对)}脾篦[7]□{□lɑŋ-21搞，□uŋ33～□lɑŋ-21搞：这样做，那样做}
m	[1]明{～白人}名[5]味
f	[2]虺{蛇的统称}
t	[1]□{～朝：今天}[2]帝第池{鱼～：鱼塘}[5]蒂[7]抵
tʰ	[1]侄
d	[5]提
l	[1]儿{2兔～子：兔子}犁{～田：钉耙}栗{毛～子：小板栗}泥{腐～田：地名}□{过身～：死亡的委婉说法}□{□mai212～簪：小的插花头饰}[2]迟连{葛～溪：地名}芦{葫～坪：地名}[3]履{鞋子}李{姓}引{～伢儿：哄、看小孩}领莲{上～花：地名}[5]离{～不开}[7]礼{～行：礼数}
tɕ	[1]基今经-{1念～}箕={细筲～：撮米、洗菜的簸箕}鸡{～～：赤子阴}[2]寄子{钩～：钩子}[3]姊{几～弟：兄弟姐妹}几[5]见□{鸡～树：拐枣}□{～过来：勾过来}[7]挤室{房子}
tɕʰ	[1]青清轻[3]请汽[5]砌契刺气期凊{～水：凉水}□{盗～做事：偷偷地做事}□{□ai55～四点钟：现在是四点}[7]漆七
dʑ	[5]棋钳湿[7]牸{水～：未生过小牛的母牛}
ȵ	[1]犁[3]你艺[5]念{～经}
ɕ	[1]西犀稀星鳞□{鳞}栖{～笼：指黄昏时刻}[3]死[5]四相{～连}媳
∅	[1]衣依[3]□{用大拇指往下压}[5]姨={老～：姐妹丈夫互称或合称}一□{火～了：熄火了}
#u	
p	[2]□{～鸡：斑鸠}[3]补簿{账～}[5]布不={～顺口：拗口}[7]钵{～头：陶制器具}拨□{～□tsʰʌɯ-21：木匠}
pʰ	[1]铺[5]□{一～一～：一瓣一瓣}
b	[2]潽{溢出来}[5]父{阿～：爷爷}蒲菩薄{着～了：(衣服)穿薄了}荸蓬{一～草}[7]坡{□lo212～：爬山坡}
m	[1]磨{～刀}摩摸[2]木{啄～□kuɑŋ53：啄木鸟}[5]磨{～子}□{～倒：抿着嘴}[7]□{糜～□ti-21：爱围着饭菜飞的苍蝇}
f	[1]呼{～气：往里吸气}[2]斛□{猫～头：猫头鹰}[3]斧[5]佛{如来～}
v	[2]鬍{胡须}蝦{～蟆：青蛙、蟾蜍等}[3]舞
t	[1]□{□tɕʰio33～～：捉迷藏}□{脐～：脐带}[5]驮{～肚：怀孕}带毒[7]堵着{～衣：穿衣服}
tʰ	[7]脱{～壳}
d	[2]坨{窝～：低凹的地方}[5]驮{～渠去：带着他一起去；～口事：捎句话}
l	[1]箩{～□su-21：箩筐}锣罗骡脶揉炉脱{～皮}[2]□{～道：寻短}□{～猪草：采猪草}[5]萝{酸～卜：用坛子腌制的萝卜}大{1～伢儿：大孩子}[7]落{1～坪：山腰上的一块平地}
ts	[1]租朱{姓}帚{碎扫～：用竹枝扎成的扫帚}[3]水-{～坑：水井}[5]左□{～子酒：高粱酒}[7]雀{～儿：鸟}作{做～媳妇：欺负媳妇}
tsʰ	[1]搓锉镯[2]醋坐{～蔸：稻瘟病}□{～东西：装东西}[5]错[7]出
dz	[5]厨
s	[1]蓑舒输鼠□{～下㞘：溜下来}[3]锁所{～里：旧称吉首}[7]撒{～种}索{绳子}洒{～点药：蘸药消毒}秫{～谷：糯谷}
z	[5]浴{澡～：洗澡}
k	[1]哥箍家-{1李～洞：地名}[3]股鼓古牯□{□mo35～□tɕyi55□tɕyi55：一种黑蚂蚁，体长一公分左右，有毒}[5]过故{旧}顾骨={～髓}[7]脚谷葛□{□tso53～□bʌɯ212：腋下}
kʰ	[1]枯□{～叶：茶叶}[3]可苦虎[7]渴阔宽磕{～脑：磕头}
x	[1]户[2]活狐[5]货[7]霍{扯～闪：闪电}蠚{毛虫～人：人碰到毛虫后痒}
ŋ	[1]鹅
∅	[1]乌{～辣子：黑色的辣椒}窝屙{～屎：拉屎}莴{～菜：叶用莴苣}挖{～肉：肉被刺勾住}[2]河荷和{～尚；～倒里头：和在里面}胡{姓}猢{～狲：猴子}[3]我[5]吴{姓}蜈{～蚣}梧{～桐树}握{～手}芋禾{勾～：用于稻草捆稻子}□{着水～：玉米地等被水淹}[7]鸭恶
#yi	
tɕ	[1]锥{～猪：杀猪}蛐□{□mo212□ku35～～：一种黑蚂蚁，体长一公分左右，有毒}[3]鬼嘴[5]醉贵[7]举
tɕʰ	[3]跪
dʑ	[5]□{～□tu55：脐带}
ɕ	[3]髓穗□{蟹鳌里的肉}[5]徐={姓}
ʑ	[2]围{龙～月亮：月晕}
∅	[3]遇{～场：遇上赶集的日子}玉[5]喂为{～什个：为什么}违
#a	
p	[2]不-{～法□ti-21：没有办法}[7]笔{一～：一个}掰
pʰ	[1]披[2]□{瘊子}
b	[5]背{～桶：背水的工具}
m	[1]妈{～水：奶水}[2]买
v	[2]雨有[5]画{～符：迷信的人在纸上画图案驱邪}
t	[1]株蔸逗□{羊～角：猕猴桃}[2]头{～□kʰa-212：家禽家畜}斗{～□kʰa-55：扇车出粮口}[3]斗{使～印：用斗量粮食}[5]鬥{～拢来：将两物相接}
tʰ	[1]梯
l	[1]裏{1村～}楼栏{出～：出售小猪}□{棕水～：地名}[5]蜡□{～米：讨米}
ts	[1]周{姓}[3]子{儿子}主{做～}
tsʰ	[7]拆
dz	[5]字竖馋
s	[1]师狮丝撕{～笋：笋用清水煮好后，撕成长条状}[7]虱
z	[1]油右[2]梨[5]漏[7]□{啃}
k	[1]济鸡{～子：男阴}沟阄勾□{～裆裤：开裆裤}□{风～：风筝}□{束缚；系}[3]解[5]够
kʰ	[1]溪[2]□{～出来：掏出来}
x	[2]会{～不～}
ŋ	[1]岩捱{～□tɕio33：挨骂；挨说}
∅	[1]阿{太～父：曾高祖父；祖宗}
#ia	
m	[2]抹{～黑：娶亲时，女方给男方娶亲人员脸上涂锅底黑灰}
t	[1]爹-{父亲}[5]築{戳}□{～人：截住某人}
tʰ	[1]抽[2]柱[7]绹{～禾：将稻草捆成一把}
l	[1]刘[2]溜{～肩膀}
tɕ	[1]家={老～伙：老人家}[5]□{拧}
tɕʰ	[1]秋丘□{～裤：内裤；短裤}[3]件
ȵ	[7]捏
ɕ	[5]修
#ya	
tɕ	[2]□{～□ti-55：手或脚因火烧致残的人}
#ɑ	
p	[1]粑{颠犬食月亮～～：月蚀}[2]牌排{一～}赔趴{～虺：常年趴着不动的蛇}□{摸～～：蒙眼抓人的游戏}[3]摆[5]拜[7]八
pʰ	[1]稗□{～人：诽谤他人}[2]背{～书：将书中内容背下来}□{一～：两臂平伸两手伸直的长度}[5]□{～癞：脏}
b	[2]㵺{放～：山中放木筏}[5]肨{～臭□ti-55：非常臭}[7]□{指父亲；～～：指叔叔}
m	[5]卖{～掉}
f	[2]皮□{黑～：天要黑的时候}[3]火被{～絮：被子}匹[7]发法罚
v	[2]袜
