汉字	ipa	声母	韵母	声调	
塔	tʰap3	tʰ	ap	中陰入	3
塌	tʰap3	tʰ	ap	中陰入	3
坍	tʰap3	tʰ	ap	中陰入	3
答	ɗap3	ɗ	ap	中陰入	3
塔	ɗap3	ɗ	ap	中陰入	3
恰	θap3	θ	ap	中陰入	3
插	tʃʰap3	tʃʰ	ap	中陰入	3
裌	kap3	k	ap	中陰入	3
甲	kap3	k	ap	中陰入	3
夾	kap3	k	ap	中陰入	3
鴨	øap3	ø	ap	中陰入	3
接	tip3	t	ip	中陰入	3
貼	tʰip3	tʰ	ip	中陰入	3
帖	tʰip3	tʰ	ip	中陰入	3
協	ʃip3	ʃ	ip	中陰入	3
涉	ʃip3	ʃ	ip	中陰入	3
澀	kip3	k	ip	中陰入	3
怯	hip3	h	ip	中陰入	3
醃	jip3	j	ip	中陰入	3
鴿	kop3	k	op	中陰入	3
割	kop3	k	op	中陰入	3
渴	hop3	h	op	中陰入	3
八	ɓat3	ɓ	at	中陰入	3
抹	mat3	m	at	中陰入	3
發	fat3	f	at	中陰入	3
法	fat3	f	at	中陰入	3
髮	fat3	f	at	中陰入	3
挖	wat3	w	at	中陰入	3
紮	tʃat3	tʃ	at	中陰入	3
札	tʃat3	tʃ	at	中陰入	3
扎	tʃat3	tʃ	at	中陰入	3
察	tʃʰat3	tʃʰ	at	中陰入	3
擦	tʃʰat3	tʃʰ	at	中陰入	3
刷	tʃʰat3	tʃʰ	at	中陰入	3
瞎	hat3	h	at	中陰入	3
刮	kwat3	kw	at	中陰入	3
括	kwat3	kw	at	中陰入	3
押	øat3	ø	at	中陰入	3
壓	øat3	ø	at	中陰入	3
撇	pʰit3	pʰ	it	中陰入	3
潑	pʰit3	pʰ	it	中陰入	3
必	ɓit3	ɓ	it	中陰入	3
鱉	ɓit3	ɓ	it	中陰入	3
撥	ɓit3	ɓ	it	中陰入	3
闊	fit3	f	it	中陰入	3
節	wit3	w	it	中陰入	3
鐵	tʰit3	tʰ	it	中陰入	3
切	tʰit3	tʰ	it	中陰入	3
脫	tʰit3	tʰ	it	中陰入	3
劣	lit3	l	it	中陰入	3
泄	θit3	θ	it	中陰入	3
薛	θit3	θ	it	中陰入	3
雪	θit3	θ	it	中陰入	3
哲	tʃit3	tʃ	it	中陰入	3
折	tʃit3	tʃ	it	中陰入	3
浙	tʃit3	tʃ	it	中陰入	3
拙	tʃit3	tʃ	it	中陰入	3
徹	tʃʰit3	tʃʰ	it	中陰入	3
撤	tʃʰit3	tʃʰ	it	中陰入	3
設	tʃʰit3	tʃʰ	it	中陰入	3
說	ʃit3	ʃ	it	中陰入	3
結	kit3	k	it	中陰入	3
潔	kit3	k	it	中陰入	3
決	kʰit3	kʰ	it	中陰入	3
缺	kʰit3	kʰ	it	中陰入	3
歇	hit3	h	it	中陰入	3
血	hit3	h	it	中陰入	3
乙	jit3	j	it	中陰入	3
噎	jit3	j	it	中陰入	3
拍	pʰak3	pʰ	ak	中陰入	3
窄	tʃak3	tʃ	ak	中陰入	3
客	hak3	h	ak	中陰入	3
撲	pʰɔk3	pʰ	ɔk	中陰入	3
僕	pʰɔk3	pʰ	ɔk	中陰入	3
搏	ɓɔk3	ɓ	ɔk	中陰入	3
駁	ɓɔk3	ɓ	ɔk	中陰入	3
剝	mɔk3	m	ɔk	中陰入	3
幕	mɔk3	m	ɔk	中陰入	3
作	tɔk3	t	ɔk	中陰入	3
昨	tɔk3	t	ɔk	中陰入	3
託	tʰɔk3	tʰ	ɔk	中陰入	3
托	tʰɔk3	tʰ	ɔk	中陰入	3
錯	tʰɔk3	tʰ	ɔk	中陰入	3
烙	lɔk3	l	ɔk	中陰入	3
酪	lɔk3	l	ɔk	中陰入	3
洛	lɔk3	l	ɔk	中陰入	3
駱	lɔk3	l	ɔk	中陰入	3
絡	lɔk3	l	ɔk	中陰入	3
索	θɔk3	θ	ɔk	中陰入	3
捉	tʃɔk3	tʃ	ɔk	中陰入	3
桌	tʃɔk3	tʃ	ɔk	中陰入	3
戳	tʃʰɔk3	tʃʰ	ɔk	中陰入	3
角	kɔk3	k	ɔk	中陰入	3
覺	kɔk3	k	ɔk	中陰入	3
閣	kɔk3	k	ɔk	中陰入	3
各	kɔk3	k	ɔk	中陰入	3
郭	kɔk3	k	ɔk	中陰入	3
國	kɔk3	k	ɔk	中陰入	3
確	kʰɔk3	kʰ	ɔk	中陰入	3
殼	hɔk3	h	ɔk	中陰入	3
惡	øɔk3	ø	ɔk	中陰入	3
鵲	ɗek3	ɗ	ek	中陰入	3
嚼	ɗek3	ɗ	ek	中陰入	3
腳	kek3	k	ek	中陰入	3
卻	kʰek3	kʰ	ek	中陰入	3
約	jek3	j	ek	中陰入	3
把	ɓa44	ɓ	a	陰上44:	
打	ɗa44	ɗ	a	陰上44:	
拉	la44	l	a	陰上44:	
灑	ʃa44	ʃ	a	陰上44:	
耍	ʃa44	ʃ	a	陰上44:	
假	ka44	k	a	陰上44:	
賈	ka44	k	a	陰上44:	
寡	kwa44	kw	a	陰上44:	
亞	øa44	ø	a	陰上44:	
啞	øa44	ø	a	陰上44:	
頗	pʰo4444	pʰ	o	陰上	44
火	fo44	f	o	陰上	44
伙	fo44	f	o	陰上	44
妥	tʰo44	tʰ	o	陰上	44
朵	ɗo44	ɗ	o	陰上	44
躲	ɗo44	ɗ	o	陰上	44
棵	lo44	l	o	陰上	44
顆	lo44	l	o	陰上	44
裹	lo44	l	o	陰上	44
鎖	θo44	θ	o	陰上	44
瑣	θo44	θ	o	陰上	44
阻	tʃo44	tʃ	o	陰上	44
礎	tʃʰo44	tʃʰ	o	陰上	44
所	ʃo44	ʃ	o	陰上	44
果	ko44	k	o	陰上	44
可	ho44	h	o	陰上	44
姐	tɛ44	t	ɛ	陰上	44
姊	tɛ44	t	ɛ	陰上	44
且	tʰɛ44	tʰ	ɛ	陰上	44
寫	θɛ44	θ	ɛ	陰上	44
者	tʃɛ44	tʃ	ɛ	陰上	44
扯	tʃʰɛ44	tʃʰ	ɛ	陰上	44
捨	ʃɛ44	ʃ	ɛ	陰上	44
宰	tœ44	t	œ	陰上	44
彩	tʰœ44	tʰ	œ	陰上	44
採	tʰœ44	tʰ	œ	陰上	44
睬	tʰœ44	tʰ	œ	陰上	44
改	kœ44	k	œ	陰上	44
海	hœ44	h	œ	陰上	44
鄙	pʰi44	pʰ	i	陰上	44
譬	pʰi44	pʰ	i	陰上	44
彼	pʰi44	pʰ	i	陰上	44
比	ɓi44	ɓ	i	陰上	44
匪	fi44	f	i	陰上	44
子	ti44	t	i	陰上	44
紫	ti44	t	i	陰上	44
此	tʰi44	tʰ	i	陰上	44
死	θi44	θ	i	陰上	44
紙	tʃi44	tʃ	i	陰上	44
只	tʃi44	tʃ	i	陰上	44
旨	tʃi44	tʃ	i	陰上	44
指	tʃi44	tʃ	i	陰上	44
止	tʃi44	tʃ	i	陰上	44
址	tʃi44	tʃ	i	陰上	44
脂	tʃi44	tʃ	i	陰上	44
始	tʃʰi44	tʃʰ	i	陰上	44
矢	tʃʰi44	tʃʰ	i	陰上	44
恥	tʃʰi44	tʃʰ	i	陰上	44
齒	tʃʰi44	tʃʰ	i	陰上	44
屎	ʃi44	ʃ	i	陰上	44
史	ʃi44	ʃ	i	陰上	44
駛	ʃi44	ʃ	i	陰上	44
紀	ki44	k	i	陰上	44
己	ki44	k	i	陰上	44
幾	ki44	k	i	陰上	44
喜	hi44	h	i	陰上	44
起	hi44	h	i	陰上	44
豈	hi44	h	i	陰上	44
倚	øi44	ø	i	陰上	44
椅	øi44	ø	i	陰上	44
甫	pʰu44	pʰ	u	陰上	44
輔	pʰu44	pʰ	u	陰上	44
譜	pʰu44	pʰ	u	陰上	44
普	pʰu44	pʰ	u	陰上	44
脯	pʰu44	pʰ	u	陰上	44
補	ɓu44	ɓ	u	陰上	44
虎	fu44	f	u	陰上	44
苦	fu44	f	u	陰上	44
府	fu44	f	u	陰上	44
腑	fu44	f	u	陰上	44
斧	fu44	f	u	陰上	44
祖	tu44	t	u	陰上	44
組	tu44	t	u	陰上	44
土	tʰu44	tʰ	u	陰上	44
賭	ɗu44	ɗ	u	陰上	44
古	ku44	k	u	陰上	44
股	ku44	k	u	陰上	44
鼔	ku44	k	u	陰上	44
賈	ku44	k	u	陰上	44
取	tʰy44	tʰ	y	陰上	44
主	tʃy44	tʃ	y	陰上	44
煮	tʃy44	tʃ	y	陰上	44
處	tʃʰy44	tʃʰ	y	陰上	44
理	tʃʰy44	tʃʰ	y	陰上	44
黍	ʃy44	ʃ	y	陰上	44
暑	ʃy44	ʃ	y	陰上	44
鼠	ʃy44	ʃ	y	陰上	44
數	ʃy44	ʃ	y	陰上	44
擧	ky44	k	y	陰上	44
許	hy44	h	y	陰上	44
擺	ɓai44	ɓ	ai	陰上	44
歪	mai44	m	ai	陰上	44
白	mai44	m	ai	陰上	44
解	kai44	k	ai	陰上	44
