					#调值 [1]31 [2]55 [3]24 [4]212
兰	l	an	55		
懒	l	an	24		
烂	l	an	212		
伞	s	an	24		
肝	k	an	31		
看	kʰ	an	212		
岸	ŋ	an	212		
汉	x	an	212		
汗	x	an	212		
安	ŋ	an	31		
达	t	a	24		
辣	l	a	31		
擦	tsʰ	a	31		
割	k	o	31		
渴	kʰ	o	31		
扮	p	an	212		
办	p	an	212		
铲	tsʰ	an	24		
山	s	an	31		
产	tsʰ	an	24		
间	tɕ	ian	31		
眼	Ǿ	ian	24		
限	ɕ	ian	212		
八	p	a	31		
扎	ts	a	31		
杀	s	a	31		
班	p	an	31		
板	p	an	24		
慢	m	an	212		
奸	tɕ	ian	31		
颜	Ǿ	ian	55		
瞎	ɕ	ia	31		
变	p	ian	212		
骗	pʰ	ian	212		
便	p	ian	212		
棉	m	ian	55		
面	m	ian	212		
连	l	ian	55		
剪	tɕ	ian	24		
浅	tɕʰ	ian	24		
钱	tɕʰ	ian	55		
鲜	ɕ	ian	31		
线	ɕ	ian	212		
缠	tsʰ	an	55		
战	ts	an	212		
扇	s	an	212		
善	s	an	212		
件	tɕ	ian	212		
延	Ǿ	ian	55		
别	p	iɛ	55		
灭	m	iɛ	31		
列	l	iɛ	31		
撤	tsʰ	ɛ	31		
舌	s	ɛ	55		
设	s	ɛ	31		
热	z	ɛ	31		
杰	tɕ	iɛ	31		
孽	ȵ	iɛ	31		
建	tɕ	ian	212		
健	tɕ	ian	212		
言	Ǿ	ian	55		
歇	ɕ	iɛ	31		
扁	p	ian	24		
片	pʰ	ian	212		
面	m	ian	212		
典	t	ian	24		
天	tʰ	ian	31		
田	tʰ	ian	55		
垫	t	ian	212		
年	ȵ	ian	55		
莲	l	ian	55		
前	tɕʰ	ian	55		
先	ɕ	ian	31		
肩	tɕ	ian	31		
见	tɕ	ian	212		
牵	tɕʰ	ian	31		
显	ɕ	ian	24		
现	ɕ	ian	212		
烟	Ǿ	ian	31		
憋	p	iɛ	31		
篾	m	iɛ	31		
铁	tʰ	iɛ	31		
捏	ȵ	iɛ	31		
节	tɕ	iɛ	31		
切	tɕʰ	iɛ	31		
截	tɕ	iɛ	55		
结	tɕ	iɛ	31		
搬	p	an	31		
半	p	an	212		
判	pʰ	an	212		
盘	pʰ	an	55		
满	m	an	24		
端	t	an	31		
短	t	an	24		
断	t	an	212		
暖	l	an	24		
乱	l	an	212		
酸	s	an	31		
算	s	an	212		
官	k	uan	31		
宽	kʰ	uan	31		
欢	f	an	31		
完	v	an	55		
换	f	an	212		
碗	v	an	24		
拨	p	o	31		
泼	pʰ	o	31		
末	m	o	31		
脱	tʰ	o	31		
夺	t	o	55		
阔	kʰ	o	31		
活	x	o	55		
顽	v	an	55		
滑	f	a	55		
挖	v	a	31		
闩	s	an	31		
关	k	uan	31		
惯	k	uan	212		
还	f	an	55		
还	x	ai	55		
弯	v	an	31		
刷	s	a	31		
刮	k	ua	31		
全	tɕʰ	ian	55		
选	ɕ	ian	24		
转	tʃ	yan	24		
传	tʃʰ	yan	55		
传	tʃ	yan	212		
砖	tʃ	yan	31		
船	tʃʰ	yan	55		
软	Ǿ	yan	24		
卷	tʃ	yan	24		
圈	tʃʰ	yan	31		
权	tʃʰ	yan	55		
圆	Ǿ	yan	55		
院	Ǿ	yan	212		
铅	kʰ	an	31		
绝	tɕ	iɛ	55		
雪	ɕ	iɛ	31		
反	f	an	24		
翻	f	an	31		
饭	f	an	212		
晚	v	an	24		
万	v	an	212		
劝	tʃʰ	yan	212		
原	Ǿ	yan	55		
冤	Ǿ	yan	31		
园	Ǿ	yan	55		
远	Ǿ	yan	24		
发	f	a	31		
罚	f	a	55		
袜	v	a	31		
月	Ǿ	yɛ	31		
越	Ǿ	yɛ	31		
县	ɕ	ian	212		
决	tʃ	yɛ	31		
缺	tʃʰ	yɛ	31		
血	ɕ	iɛ	31		
吞	tʰ	ən	31		
根	k	ən	31		
恨	x	ən	212		
恩	ŋ	ən	31		
贫	pʰ	in	55		
民	m	in	55		
邻	l	in	55		
进	tɕ	in	212		
亲	tɕʰ	in	31		
新	ɕ	in	31		
镇	ts	ən	212		
陈	tsʰ	ən	55		
震	ts	ən	212		
神	s	ən	55		
身	s	ən	31		
辰	s	ən	55		
人	z	ən	55		
认	z	ən	212		
紧	tɕ	in	24		
银	Ǿ	in	55		
印	Ǿ	in	212		
引	Ǿ	in	24		
笔	p	ei	31		
匹	pʰ	i	31		
密	m	i	31		
栗	l	i	31		
七	tɕʰ	i	31		
侄	ts	ɿ	31		
虱	s	ɛ	31		
