pi{34}蜱蓖箅
pi{42}比臂
pi{54}闭毙币弊蔽敝痹秘滗庇
pʰi{34}被披批
pʰi{312}皮疲琵枇啤脾裨
pʰi{42}备惫鼻避鄙彼
pʰi{54}屁秕
mi{34}眯咪
mi{312}迷谜弥糜醚猕祢微
mi{42}米
mi{54}觅泌
ti{34}知
ti{42}抵
ti{54}帝缔蒂谛
tʰi{34}妻凄萋
tʰi{312}提题醍
tʰi{42}地第递弟娶
ni{34}你
ni{42}拟
li{34}里哩理礼鲤俚璃喱澧娌锂蠡旅呂侶
li{312}离梨厘蓠篱狸漓蓠猁
li{42}李利荔俐痢蜊履
li{54}丽吏逦厉励俪郦莅骊砺蛎疠戾唳
tsi{34}姿资咨滋辎淄孜辎兹
tsi{312}子{白}
tsi{42}紫梓子组祖阻狙仔籽
ʦʰi{34}雌
ʦʰi{312}词辞瓷慈瓷祠磁饲鹚
ʦʰi{42}此自
ʦʰi{54}助次茨茈
ɬi{34}筛须需撕嘶西
ɬi{42}死
ɬi{54}四肆泗驷序叙绪
ʧi{34}支枝肢吱之芝蜘窒畸知{知识}
ʧi{42}指纸脂旨止址趾芷祉
ʧi{54}智置致挚制志痣痔峙剂济祭至炙郅
ʧʰi{34}痴
ʧʰi{312}池驰弛迟持脐
ʧʰi{42}治齿耻侈嗤始稚
ʧʰi{54}棘趣砌翅
ȵi{34}语
ȵi{312}疑宜谊
ȵi{42}耳饵洱贰珥铒仪颐蚁艺毅义议呓
ʃi{34}诗墟圩虚施尸稀溪希熙兮嬉嘻牺烯犀唏市
ʃi{312}时匙埘鲥
ʃi{42}是屎矢视豕氏喜莳豉
ʃi{54}试气器汽弃势戏示逝世
ki{34}基箕机肌几饥讥叽玑矶车居
ki{312}佢
ki{42}几举巨具距矩拒惧俱钜据炬飓榉己戟纪
ki{54}句锯踞趄既记季寄继悸稷暨髻已
kʰi{34}欺企区驱躯岖距拘
kʰi{312}其期骑奇棋祁企祈崎旗芪萁淇骐琪琦歧祺麒技
kʰi{42}忌起启岂杞啓
kʰi{54}去讫
i{34}衣依医伊咿铱裔欹以漪于与倚迂於淤
i{312}移姨夷胰彝懿饴怡咦贻痍遗荑余舆榆谀萸揄馀庾蝓逾愉渝如
i{42}易矣椅异旖蜴羿欹雨愈予誉羽喻禹裕预豫吁
i{54}亿忆薏臆意噫镱癔
pu{34}孵晡□{蹲}
pu{42}补斧辅补
pu{54}怖布播{广播}
pʰu{34}铺簿
pʰu{312}葡蒲脯扶{白}符{白}
pʰu{42}部浦捕谱普甫步
pʰu{54}铺
mu{34}母模
mu{312}巫
mu{54}雾务墓暮慕
fu{34}夫肤呼乎敷俘
fu{312}符扶{文}壶湖胡糊葫蝴狐弧抚
fu{42}俯府腑虎苦父负妇傅腐户
fu{54}负{负担}副富付附赴裤护戽咐赋
vu{34}污乌呜钨武鹉侮
vu{312}无
vu{42}舞
tu{34}都
tu{42}赌堵肚
tu{54}妒
tʰu{312}图徒涂途屠
tʰu{42}土渡镀度
tʰu{54}度{温度}杜吐兔
nu{312}奴努弩驽
nu{42}怒
lu{34}鲁橹虏
lu{312}炉卢驴颅芦庐泸轳垆鲈
lu{42}路
lu{54}露鹭戮
tsu{34}猪诸朱株珠蛛
tsu{42}祖煮主
tsu{54}著注铸
ʦʰu{34}粗柱
ʦʰu{312}橱除厨滁徐殊
ʦʰu{42}鼠驻楚础箸储
ʦʰu{54}处
su{34}书输抒舒
su{312}薯儒茹孺
su{42}树澍
su{54}暑署戍
ɬu{34}苏酥簌枢丝思私司斯蛳狮师
ɬu{42}字使史驶事寺
ɬu{54}数漱
ku{34}姑孤辜估沽菇鸪蛄
ku{42}古股鼓固贾蛊轱牯锢毂
ku{54}故顾雇
kʰu{34}枯箍
kʰu{42}苦{辛苦}
kʰu{54}库绔
ŋu{42}误悟
pa{34}巴疤芭爸笆钯
pa{42}把吧罢靶
pa{54}霸灞坝欛
pʰa{34}扒趴
pʰa{312}琶爬耙杷葩
pʰa{54}怕帕
ma{34}马码妈蚂玛犸
ma{312}蟆痲麻
ma{42}吗嘛
ma{54}骂
fa{34}花
fa{312}华桦骅铧
fa{42}画
fa{54}化
va{34}娃蛙哇洼娲挖□{家}
va{42}话
ta{42}打
tʰa{34}他她它
na{34}□{头～}
na{312}拿
na{42}那哪娜
na{54}□{扁～～}
la{34}拉
la{42}啦
la{54}隙
tsa{34}渣喳猹遮碴
tsa{42}者
tsa{54}蔗咋炸榨乍诈
ʦʰa{34}车衩叉差杈赊
ʦʰa{312}查茶搽楂
ʦʰa{42}扯
ʦʰa{54}岔刹
sa{34}社
sa{312}蛇啥
sa{42}麝射赦捨
sa{54}厦舍
ɬa{34}纱沙砂莎杉痧裟鲨
ɬa{312}□{叔～：各位叔叔}
ɬa{42}耍洒
ɬa{54}洒{洒水}
ka{34}傢加瓜痂家佳嘉枷迦袈珈镓笳
ka{42}贾假
ka{54}架驾稼价嫁驾
kʰa{34}卡{拦截}
kʰa{312}卡{堵塞}
kʰa{54}卡{卡车}跨胯
ŋa{34}我{～的}
