tsɿ⁵²	之知栀蜘兹咨姿资滋芝枝支肢
la⁵	腊蜡
tsa⁵²	遮咱渣楂
tsa²²	擦茶搽察杂札查
tsa⁴⁴	者
tsa³⁵	诈榨汊蔗鹧拃炸□{擤}
tsa³¹	蚱蜇
tsa⁵	眨乍闸铡摘窄紥咂宅择扎轧煠昨
tsʰa⁵²	叉杈衩差{~别}车{马~}
tsʰa⁴⁴	扯
tsʰa³⁵	岔
tsʰa⁵	插拆拆撤
sa⁵²	沙纱奢赊佘鲨煞杉
sa²²	蛇畲设
sa⁴⁴	洒捨
sa³¹	萨社赦麝舍射
sa⁵	杀撒
ka⁵²	加家痂颊袈
ka²²	裌
ka⁴⁴	贾假
ka³⁵	价驾架嫁
ka⁵	甲胛夹挟
kʰa²²	卡掐
kʰa³⁵	□{打~~：穿开档裤}
kʰa⁵	客{~气}
ŋa⁵²	丫鸦雅呀
ŋa²²	桠研牙芽蚜
ŋa⁴⁴	 哑
ŋa³⁵	垭也
ŋa³¹	 □{犟嘴}
ŋa⁵	押鸭压
xa⁵²	蛤虾瘕{嘶哑}
xa²²	蝦
xa⁴⁴	 哈{傻}
xa³¹	辖下夏厦
xa⁵	瞎嚇
a⁵²	阿
a²²	啊
pia²²	白
pia⁵	百柏蔔
pʰia⁵	帕拍
mia⁵	麦脉
tia⁴⁴	 □{~鱼：捕鱼}
tia⁵	德得□{给}
lia⁴⁴	惹
lia³⁵	苶{疲劳}
lia⁵	额轭阨{山脊险路}
tɕia⁵²	佳傢嘉
tɕia²²	茄杰
tɕia⁴⁴	姐
tɕia³⁵	借笡{斜}
tɕia³¹	稼谢
tɕʰia³⁵	恰洽趄{错开；让开}
tɕʰia⁵	客{~人}
ɕia²²	霞侠峡狭遐暇
ɕia⁴⁴	写
ɕia³⁵	泻
ɕia³¹	辖
ia²²	衙爷伢
ia⁴⁴	野
ia³⁵	亚
ia³¹	夜
tsua⁵²	抓
tsua⁵	錣{啄}
sua⁴⁴	耍
sua⁵	刷
kua⁵²	瓜
kua²²	剐寡
kua³⁵	卦挂
kua⁵	括刮
kʰua⁵²	夸
kʰua⁴⁴	垮
kʰua³⁵	跨跨
ua⁵²	洼蛙
ua²²	娃娲哇
ua⁴⁴	瓦
ua⁵	挖
po⁵²	波玻菠跛颇
po²²	博婆泊薄
po⁴⁴	 拔播
po³⁵	伯脖魄簸
po⁵	拨剥钵驳博{又}
pʰo⁵²	坡
pʰo³⁵	破剖迫
pʰo⁵	勃泼
mo⁵²	摸魔摩
mo²²	末沫馍漠没模
mo³¹	膜寞磨
mo⁵	莫陌
to⁵²	多
to²²	夺
to⁴⁴	朵躲惰垛
to³⁵	剁砣
to³¹	舵堕
tʰo⁵²	拖
tʰo²²	驼驮
tʰo⁴⁴	妥椭
tʰo⁵	脱託拓托
lo²²	酪啰罗脶锣箩骡螺洛络骆挪萝乐{快~}
lo⁴⁴	裸
lo³⁵	辣诺
lo³¹	糯懦
lo⁵	落烙捋
tso²²	镯酌凿着作
tso⁴⁴	左座坐
tso³⁵	啄佐
tso⁵	桌卓琢捉
tsʰo⁵²	搓
tsʰo²²	矬
tsʰo³⁵	措锉挫错
tsʰo⁵	戳
so⁵²	梭蓑唆
so²²	学朔芍说索
so⁴⁴	所琐锁
so³¹	削
so⁵	硕
ko⁵²	哥歌锅戈
ko⁴⁴	裹果
ko³⁵	个过
ko⁵	鸽割搁阁各郭国角廓蝈葛
kʰo⁵²	科窠
kʰo²²	颗蝌确
kʰo⁴⁴	可
kʰo³⁵	课棵
kʰo⁵	渴扩壳磕阔
xo²²	河禾盒鹤活或惑何合获和{~气}荷{~花}
xo⁴⁴	火伙夥
xo³⁵	穫和{连词}荷{薄~}
xo³¹	贺祸藿货霍
xo⁵	喝
o⁵²	窝涡莴
o²²	鹅蛾俄娥峨
o⁴⁴	我
o³¹	饿卧
o⁵	 恶{善~}
lio²²	掠
tɕio⁵²	 □{打}
tɕʰio³⁵	雀鹊却
io²²	虐若弱略约岳嶽乐{音~}
tə²²	□{抛；掷}
tʰə²²	特
tsə²²	泽
tsə³⁵	这
tsə⁵	哲浙责摺
tsʰə²²	测
tsʰə³⁵	彻厕
tsʰə⁵	册策栅
sə²²	涉
sə³⁵	摄
sə⁵	瑟色
kə⁵	胳革格隔疙
kʰə²²	瞌
kʰə⁴⁴	坷
kʰə³⁵	去
