tsɿ⁵²	之知栀蜘兹咨姿资滋芝枝支肢
tsaŋ²²	肠常场偿藏{收~}
tsaŋ⁴⁴	掌涨长{生~}
tsaŋ³⁵	葬胀障瘴涨帐账藏{西~}
tsaŋ³¹	丈脏仗杖
tsʰaŋ⁵²	仓苍舱昌菖疮沧
tsʰaŋ²²	 长{~短}
tsʰaŋ⁴⁴	厂敞
tsʰaŋ³⁵	畅倡唱
saŋ⁵²	桑伤商丧
saŋ²²	裳尝
saŋ⁴⁴	嗓搡磉赏
saŋ³⁵	上
saŋ³¹	尚
kaŋ⁵²	刚纲肛缸冈岗钢
kaŋ²²	扛
kaŋ⁴⁴	港讲
kaŋ³⁵	杠虹
kʰaŋ⁵²	康糠
kʰaŋ⁴⁴	慷
kʰaŋ³⁵	抗炕
ŋaŋ⁵²	肮
ŋaŋ³⁵	昂
xaŋ⁵²	夯
xaŋ²²	航杭行{银~}
xaŋ³¹	巷项
liaŋ²²	良凉梁粮粱娘量{测~}
liaŋ⁴⁴	俩辆两
liaŋ³⁵	晾
liaŋ³¹	亮谅量{数~}
tɕiaŋ⁵²	江礓姜浆薑将{~来}
tɕiaŋ²²	墙详祥翔强
tɕiaŋ⁴⁴	奖桨蒋
tɕiaŋ³⁵	酱将{大~}
tɕiaŋ³¹	匠犟象降{~落}
tɕʰiaŋ⁵²	僵缰疆枪腔羌
tɕʰiaŋ⁴⁴	抢炝勥
tɕʰiaŋ³⁵	牚戗呛
ɕiaŋ⁵²	箱乡香厢湘镶相{~互}
ɕiaŋ²²	降{投~}
ɕiaŋ⁴⁴	响享响饷想
ɕiaŋ³⁵	向
ɕiaŋ³¹	橡像相{~貌}
iaŋ⁵²	央殃秧鸯
iaŋ²²	瓤穰扬羊阳杨疡洋烊
iaŋ⁴⁴	 养痒
iaŋ³⁵	仰
iaŋ³¹	嚷壤攘让样酿
tsuaŋ⁵²	妆庄桩装
tsuaŋ³⁵	壮状
tsʰuaŋ⁵²	窗
tsʰuaŋ⁴⁴	闯
tsʰuaŋ³⁵	撞创
suaŋ⁵²	霜孀双
suaŋ²²	床
suaŋ⁴⁴	爽
kuaŋ⁵²	光胱
kuaŋ⁴⁴	广
kuaŋ³⁵	逛
kʰuaŋ⁵²	匡筐眶框
kʰuaŋ²²	狂
kʰuaŋ³⁵	况旷矿
uaŋ⁵²	汪
uaŋ²²	皇黄蝗簧亡王隍
uaŋ⁴⁴	网往枉
uaŋ³¹	旺望
pəŋ⁵²	奔锛崩绷
pəŋ²²	盆朋彭棚膨蓬篷鹏
pəŋ⁴⁴	本
pəŋ³⁵	迸
pəŋ³¹	笨
pʰəŋ⁵²	喷塳{尘土飞扬}
pʰəŋ⁴⁴	捧
pʰəŋ³⁵	碰
məŋ²²	门萌盟蒙朦濛
məŋ⁴⁴	猛懵蠓
məŋ³⁵	扪
məŋ³¹	闷孟梦问
fəŋ⁵²	荤婚晕吩纷芬丰风枫封疯峰锋蜂分昏
fəŋ²²	坟焚豶冯逢馄魂缝{~补}横浑
fəŋ⁴⁴	粉讽奉
fəŋ³⁵	奋愤粪凤俸混
fəŋ³¹	 份忿缝{一条~}
təŋ⁵²	灯登东冬敦墩礅蹲
təŋ²²	同桐铜童瞳茼筒
təŋ⁴⁴	董懂动盹
təŋ³⁵	疼栋邓凳冻钝顿遁吨囤盾
təŋ³¹	瞪洞垌炖
tʰəŋ⁵²	通吞
tʰəŋ²²	腾眷藤屯饨豚筒
tʰəŋ⁴⁴	统捅桶
tʰəŋ³⁵	痛
ləŋ²²	伦聋轮崙能拢笼论{~语}
ləŋ⁴⁴	拢
ləŋ³⁵	窿齈棱楞论{议~}
ləŋ³¹	嫩弄
tsəŋ⁵²	增憎珍真斟臻争睁筝尊遵赠甄征徵曾{姓}
tsəŋ²²	橙
tsəŋ⁴⁴	挣
tsəŋ³⁵	阵振镇震证郑政症粽圳正{~当}
tsʰəŋ⁵²	村
tsʰəŋ²²	呈层尘臣沉陈丞成承诚城惩程逞存乘曾{~经}
tsʰəŋ³⁵	衬趁秤寸
səŋ⁵²	牲甥森申伸身升笙耸孙僧呻参生鬆
səŋ²²	辰晨唇娠神绳旬
səŋ⁴⁴	沈审婶损笋榫荀省
səŋ³⁵	肾甚慎圣剩宋渗胜盛
kəŋ⁵²	根跟庚耕羹更{五~}
kəŋ⁴⁴	粳哽耿梗汞肯
kəŋ³⁵	更{~加}
kʰəŋ⁵²	坑空{~虚}
kʰəŋ⁴⁴	埂垦恳啃
kʰəŋ³⁵	控空{~地}
ŋəŋ⁵²	恩
xəŋ⁵²	亨哼烘
xəŋ²²	恒痕衡弘红宏洪鸿
xəŋ⁴⁴	很哄
xəŋ³⁵	桁
xəŋ³¹	恨狠
kuəŋ⁴⁴	滚
kuəŋ³⁵	棍
kʰuəŋ⁵²	坤昆崑
kʰuəŋ⁴⁴	捆
kʰuəŋ³⁵	困睏
uəŋ⁵²	温瘟翁瓮嗡煴
uəŋ²²	文闻蚊纹
uəŋ⁴⁴	吻稳璺
luŋ²²	龙隆农侬浓脓
luŋ⁴⁴	垄胧陇拢
tsuŋ⁵²	崇忠终盅钟衷锺宗综棕踪鬃鐘中{当~}
tsuŋ²²	虫
tsuŋ⁴⁴	肿总种{谷~}
tsuŋ³⁵	众纵中{~奖}种{~地}重{轻~}
tsʰuŋ⁵²	充舂囱匆葱聪摏冲衝
tsʰuŋ²²	丛从重{~复}
tsʰuŋ⁴⁴	宠
tsʰuŋ³⁵	铳
suŋ⁵²	松
suŋ³⁵	讼诵送颂
kuŋ⁵²	工弓公功攻宫恭蚣躬龚
kuŋ⁴⁴	巩拱
kuŋ³⁵	贡供
kuŋ³¹	共
kʰuŋ²²	孔恐
xuŋ⁵²	轰
xuŋ³¹	讧
tɕyŋ²²	穷
ɕyŋ⁵²	匈胸汹凶兇
ɕyŋ²²	雄熊
yŋ⁵²	痈壅
yŋ²²	茸荣容蓉榕融萤庸戎绒溶熔镕
yŋ⁴⁴	勇涌恿踊永咏泳氄拥
y³¹	用
ŋ̍²²	渔鱼
ŋ̍⁴⁴	午五伍鹉武
ŋ̍³⁵	蕹
