#i					
p	②笔鼻箅{竹丝编成的圆板，作蒸具底用。}滗{挡住器皿中的食物，把液体慢慢地滤干。}璧别逼 ③比 ⑤闭				
pʰ	②皮匹疲僻 ③丕鄙擗{1.用力扳折物体；2.从整体中分取一部分的动作。} ⑤屁				
m	①咪 ②密眉 ⑤谜沕{1.潜泳；2.埋着头，不看前面；3.俗语：钻头~ 缝 、钻山打~头。}□{专心致志的做事}				
t	①低爹 ②帝 ③底 ⑤地帝				
tʰ	①梯 ②贴提 ③体 ⑤剃				
n	②力业泥律 ③李你里礼 ⑤义利				
tɕ	①鸡 ②节结及 ③姐几 ⑤记				
tɕʰ	①欺 ②奇七切 ③起 ⑤企气				
ɕ	①西嘻些 ②吸斜席 ③洗写 ⑤戏谢				
Ø	①衣□{戏弄} ②叶 ③里{白，~头边}				
#uᶹ					
p	②不谷{白，苞~粑} ③补 ⑤布□{暗中观看}				
pʰ	①铺 ②蒲潽{液体沸腾溢出}扑□{用有粘性的液体糊在器皿上烘干。} ③普				
m	②木牧 ③母				
f	①夫 ②佛忽湖胡煳糊 ③虎 ⑤富				
t	①都 ②毒{~~,器具的底下或把手，引申为事件的眉目、结果。} ③堵 ⑤杜□{挑唆、怂恿}				
tʰ	②图突涂 ③土⑤兔□{小器，固执，不近人情。}				
n	②陆六绿鹿□{目光呆滞}□{在开水中略煮一 下即捞起。} ③鲁 ⑤路				
k	①姑孤跍{蹲}□{居住} ②谷骨 ③古鼓 ⑤顾				
kʰ	①枯 ②哭 ③苦 ⑤库				
ts	①朱租 ③组 ⑤做铸				
tsʰ	①粗 ②出 ③楚处				
s	①苏输书 ②术 ③数 ⑤塑				
z	①□{赠送，行贿}□{用拳头打人}□{捣} ②肉入 ③乳				
ⅴ	①乌 ②无 ③五 ⑤务				
#y					
tɕʰ	①居 ②绝决 ③举 ⑤锯{文}				
tɕʰ	①区 ②缺 ③取				
ɕ	①须靴 ②雪徐 ③许 ⑤叙				
Ø	①迂□{身体不能自由活动}□{用力扳物体} ②月余 ③雨语 ⑤遇玉				
#iu					
tɕ	②局				
tɕʰ	②曲屈族				
ɕ	②续				
Ø	②育				
#a					
p	①巴 ②八 ③把 ⑤霸				
pʰ	②爬 ⑤怕				
m	①妈 ②麻 ③马 ⑤骂				
f	②发				
t	②达搭答 ③打 ⑤大				
tʰ	①他 ②塌				
n	①拉他{白} ②纳辣 ③哪喇 ⑤那				
k	③□{防守别人活动的动作}□{~~:肉类。}				
kʰ	①旮 ②掐 ③卡 ⑤胯				
ŋ	①砑{碾压}				
x	①哈 ②搳{搔人体，使人发笑。} ③□{傻}{□{~事：坏事} ⑤下{白，一~、两~、三两~}				
ts	①渣 ②砸 ③鲊 ⑤炸				
tsʰ	①差叉 ②茶 ③衩{张开。俗语：口~宏大。}□{包不住话}				
s	①沙 ②杀煞 ③傻				
Ø	⑤那{白}				
#ua					
k	①瓜 ②刮 ③寡 ⑤挂				
kʰ	①夸 ②挎{~手:手残疾}				
x	①花 ②滑 ⑤化				
ts	①抓 ③爪{1.手指僵硬状；2.做事不灵活。俗语：～脚~手。}				
s	②刷 ③耍				
Ø	①挖 ②娃 ③瓦				
#ia					
p	③瘪{扁}				
n	①□{亲昵、溺爱}黏{粘贴} ②□{滑稽}□{谈天、说笑话}□{不庄重，引申为行为随便。俗 语：~二垮三、～白扯谎。} ⑤□{办事拖沓}□{撕去}				
tɕ	①家 ②夹甲 ③假 ⑤架				
tɕʰ	②恰				
ɕ	①虾 ②瞎侠 ⑤下				
Ø	①鸦 ②鸭 ③哑 ⑤亚				
#o					
p	①波 ②博 ⑤播				
pʰ	①坡 ②婆 ③颇 ⑤破				
m	①摸摩 ②磨 ③抹 ⑤磨				
t	①多 ②夺戳{白} ③躲				
tʰ	①拖 ②托 ③妥軃{下垂状}□{~二：不务正业的人}				
n	②罗 ③裸□{~连：说话、做事没有决断，拖沓。俗语：～二连三。} ⑤糯				
k	①哥锅 ②割各 ③果裹 ⑤过				
kʰ	①科 ②壳 ③可 ⑤课				
ŋ	②讹恶 ③我				
x	①喝 ②盒 ③火 ⑤祸货				
ts	②桌捉 ③左 ⑤坐				
tsʰ	①搓 ②戳 ⑤错				
s	①梭 ②说 ③所				
z	②若弱				
Ø	①窝 ②鹅 ⑤饿				
#io					
n	②略				
tɕ	②脚				
tɕʰ	②雀确				
ɕ	②学				
一	②约药岳				
#e					
p	②北百白				
pʰ	②拍				
m	②麦墨陌				
t	②德				
tʰ	②特				
n	①的{白}				
k	①给□{~in⁴:讨人生厌} ②革 ⑤锯{白，割}				
kʰ	②克 ⑤□{1 .条形痕迹；2 .~~:多条痕迹，或把话说死。}				
ŋ	②额				
x	②黑				
ts	①遮 ②折 ③者				
tsʰ	①车 ②拆 ③扯				
s	①奢 ②蛇虱 ③舍 ⑤社				
z	②热 ③惹				
#ue					
k	②国				
kʰ	②扩				
x	②或				
ts	②拙				
#ɿ					
ts	①之 ②直 ③纸 ⑤字				
tsʰ	①痴 ②吃 ③此 ⑤字				
s	①师私 ②室十石食实时 ③死史始 ⑤寺市是四事				
z	②日				
#ai					
p	③摆 ⑤湃拜败				
pʰ	①跛{~脚:脚残疾} ②排 ⑤派				
m	②埋 ③买 ⑤卖				
t	①呆 ③歹 ⑤在{白，~上班，~开会}待				
tʰ	①胎 ②台才{白，~回家，~吃饭} ⑤太				
n	①奶 ②来 ③奶乃 ⑤赖				
k	①该 ③改 ⑤戒丐盖				
kʰ	①开 ③楷 ⑤概				
ŋ	①哀 ②岩 ③矮 ⑤爱				
x	②鞋 ③海 ⑤害				
ts	①栽 ③宰 ⑤在				
tsʰ	①猜 ②才 ③采 ⑤菜				
s	①筛 ⑤晒				
#uai					
k	①乖 ③拐 ⑤怪				
kʰ	③块 ⑤快				
x	①欢{白} ②怀 ⑤坏				
