#ɿ
k [224]姑孤箍骨谷估菇咕{～嘟}辜镐{作～：割玉米杆的农具}[53]跍{～□ʨi0：蹲着；蹲下}[45]古估{【又】}股鼓轱{～辘儿}[31]雇顾{～不得}固故
kʰ [224]枯窟哭[45]苦[31]库裤酷□{～喳ʦʰa33：刮}
x [224]呼乎忽糊{眵马～：眼屎}[53]浒{水～}胡湖狐壶葫核糊{～住：动词}蝴弧{～形}[45]虎[31]户互护瓠{～子}
Ǿ [224]污巫诬侮{～辱}屋[53]吴无[45]蜈{～蚣}吾梧{～桐}五伍午乌武舞鹉捂{～住}悟{【又】}[31]误悟恶{可～}务雾戊杌{～子}物痦{～子}淤{【又】～住嗹：陷泥里了}

#y
n [45]女
l [53]驴[45]吕铝侣屡旅[31]虑滤律率{效～}绿{～色}
ʨ [224]居车{【又】～马炮}拘驹菊锔{～碗}桔鞠{～躬}足-{【又】识～：满足}[53]桔{【又】}局[45]举矩[31]据锯巨拒距聚俱句具剧炬{火～}蚷{驴～：母蝈蝈}□{～□ lie33：哆嗦}
ʨʰ [224]蛆{生～}区驱屈曲{歌～}蛐焌{～煞：把燃烧物弄灭}[53]渠瞿[45]取娶曲{【又】唱个～儿}[31]去{【又】～皮}趣黢{～黑}祛{～病}
ɕ [224]虚须需焌{～着嗹：火或蒸汽的热力碰到物体}戌恤{抚～金}蓄{储～}宿{【又】住～}旭{人名用字}[53]徐俗-{～烂套子}[45]许[31]絮序叙绪续婿畜{～牧}
Ǿ [224]淤{【又】～血}舁抬愚娱吁{让牲口站住或者左转}迂[53]鱼渔于盂榆愉余[45]语雨宇羽[31]御与誉预豫遇寓裕域玉狱育欲浴褥-{～子}入-{～殓}宜{【又】便～}如-{不～：比不上}

#a
p [224]巴芭疤八扒[53]拔[45]把{～握}靶{～子}□{～缝：衣服缝针的地方裂开缝}[31]霸坝{堤}爸耙{～地}罢笆{篱～}
pʰ [224]趴扒{～鸡}[53]耙{～子}爬膊{【又】}[31]怕帕{手～儿}
m [224]妈摩{～挲}[53]麻嘛抹{～布}蚂{～蚱}[45]马码拇{【又】一～口：一拃}抹{～平}[31]骂
f [224]法發{～财}[53]乏伐筏罚阀{～门儿}發{一～：一批}[31]髮{头～}砝{～码儿}
t [224]答搭耷{～拉}[53]沓{一～纸}达[45]打[31]大
tʰ [224]塔塌溻{汗～湿了}踏{～步}[45]他她它[31]踏{【又】～板儿}蹋{糟～}趿{鞋～拉：拖鞋}
n [53]拿[45]哪[31]那纳捺{儿}娜
l [224]拉垃[53]剌{～手}[45]□{～嘛：脏}喇{～叭}[31]腊蜡辣{～椒}落{～下}
ʦ [224]楂渣扎[53]杂闸炸{用油～}煠{用油～}铡{～刀}砸榨[45]眨{～眼}[31]诈榨{【又】}炸{～弹}乍{一惊一～}栅{～栏儿}蚱{蚂～}
ʦʰ [224]搽{涂}插擦叉{～子}察{观～}[53]茶茬查察{检～院}碴{棒～子}[45]蹅{～湿：踩}衩镲{一种乐器}[31]杈差{～不多}岔{三～口儿}
s [224]沙纱撒杀砂鲨痧刹[53]霎{哪～儿：哪会儿}[45]洒□{～么：拿眼睛到处瞄}[31]厦{抱～：房子前后突出的部分，可防晒防潮}萨{拉～}□{～下去：漏下去}
ʂ [53]蛇{【又】}[45]傻
k [224]痂{～巴儿}[53]沓{【又】}[45]嘎
kʰ [224]□{晒得～～的：晒到干透了}[45]揩{【俗】～油儿}卡{～车}
x [224]哈{～腰}[53]蛤{～蟆}[45]哈{【又】一～口：一拃}

#ia
ʨ [224]家加佳夹甲嘉枷[53]驾{驱赶牲口用语}[45]假{真～}贾{姓}[31]假{【又】放～}架驾{【又】～车}嫁稼价
ʨʰ [224]掐{～架}[53]卡{～脚：鞋小夹脚}[45]卡{关～}[31]恰{～好儿}
ɕ [224]虾瞎[53]霞峡匣侠狭[31]下夏厦{～门}吓
Ǿ [224]鸦丫{～头}鸭押压{～住}[53]牙芽衙涯崖蚜伢{～狗：公狗}[45]雅哑[31]压{～根儿}亚轧讶{惊～}

#ua
ʦ [224]抓{～着}[45]髽{～髻}爪{鸡～子}
ʦʰ [224]抓{【又】～住}
s [224]刷[45]耍
k [224]瓜刮[45]寡剐鸹{老～}[31]挂卦褂
kʰ [224]夸[45]侉{说话带外地口音}垮[31]跨挎
x [224]花[53]华{中～}铧划{～了一刀儿}滑猾[31]化华{～山}画话划{～分}
Ǿ [224]蛙洼挖娲[53]娃[45]瓦[31]瓦{【又】}袜{～子}□{～住嗹：粘在锅底了}

#ie
p [224]鳖憋[53]别{～人}[45]□{～楞：拿目光斜视人}[31]别{～扭}
pʰ [224]□{麻利，熟练}撇{～汤}[45]撇{～嘴}
m [31]灭
t [224]爹跌[53]碟{～子}蝶{蝴～}谍{间～}叠
tʰ [224]帖贴铁且
n [53]苶{发～}乜{表示赞同}[31]镊{～子}孽捏乜{中指代词}聂{姓}蹑{～手～脚}
l [45]咧{～嘴}[31]猎列烈裂劣{恶～}
ʨ [224]皆阶秸{麦～}街接揭节结疖{～子}[53]捷{快～}劫{～难}杰截洁[45]姐解{了～}[31]借褯{～子}介界芥疥{～疮}届戒
ʨʰ [224]且{【又】}切客[53]茄{～子}[31]怯{～场}妾窃笡斜
ɕ [224]歇蝎{～子}血[53]邪斜谐鞋协□{为人厉害、泼辣}[45]些写[31]泻卸谢懈械解{【又】～事儿：通晓；姓}蟹泄{～露}
Ǿ [224]页噎{～住}掖{～被子}液{【又】输～}[53]爷[45]惹{【又】}也野[31]夜叶业液{～体}腋拽{鞋～跟儿：孩子鞋跟后边多余出的一块布，帮助提鞋用}

#ye
n [31]虐{～待}疟={～疾}
l [224]掠[31]略={省～}劣{【又】}
ʨ [224]决{～心}诀{口～}觉={知～}撅蹶[53]绝掘{～土}橛{～子}[31]倔{～脾气}
ʨʰ [224]缺确{～实}[53]瘸{～腿}[31]雀={麻～}鹊{喜～}却
ɕ [224]靴薛雪削={剥～}血{【又】}[53]穴学={～习}
Ǿ [224]约={～定}[45]哕{干～}[31]悦阅月越岳粤乐={音～}跃={鲤鱼～龙门}

#ɤ
p [224]波菠{～菜}玻{～璃}拨泊={梁山～}博{～士}钵播渤剥={～削}[53]薄{～荷}勃驳{～住}脖搏博{人名用字}膊{【又】}笸帛拨{～缝：一种缝纫方法，看不见针脚}伯={～父}[45]簸{～～：动词}[31]簸{～箕：名词}
pʰ [224]坡泼跛[53]婆膊[31]破魄
m [224]摸={偷偷～～}没{【又】～嗹：淹没}么{一～儿：一回}[53]魔磨{～刀}馍模{～范}摹膜{儿}蘑{【又】}[45]抹[31]磨{石～}末沫莫{～非}寞默陌茉漠{冷～}墨={～水}
f [53]佛
t [53]德得={～失}
tʰ [31]特
n [224]恶-{善～}[53]鹅-{大白～}讹额-{名～}
l [31]乐={～呵儿}勒={～索}
ʦ [224]责{【又】}[53]则泽={色～}择={选～}
ʦʰ [31]厕侧={～面}测策{【又】}册{【又】小～子}
