id	ini	fn	pt	middeng	middiao	midini	midkaihe	midshe	midyun	单字	IPA	注释
1	t	ɔ	52	一	平	端	開		歌	多	tɔ52	多少
2	tʰ	ɔ	52	一	平	透	開		歌	拖	tʰɔ52	拖拉机
3	t	a	52	一	平	透	開		歌	他	ta52	其他
4	t	ɔ	342	一	平	定	開		歌	駝	tɔ342	骆驼
5	t	ɔ	342	一	上	定	開		歌	舵	tɔ342	舵手
6	t	ai	22	一	去	定	開		歌	大	tai22	大夫、大黄
7	n	a	22	一	上	泥	開		歌	哪	na22	哪里；哪吒
8	n	a	13	一	去	泥	開		歌	那	na13	那里；那霍（地名）
9	l	ɔ	342	一	平	來	開		歌	羅	lɔ342	姓
10	l	ɔ	342	一	平	來	開		歌	鑼	lɔ342	锣鼓
11	l	ɔ	342	一	平	來	開		歌	蘿	lɔ342	萝卜
12	l	ɔ	342	一	平	來	開		歌	籮	lɔ342	箩筐
13	tʃ	ɔ	55	一	上	精	開		歌	左	tʃɔ55	左右
14	tʃ	ɔ	55	一	去	精	開		歌	佐	tʃɔ55	辅佐
15	tʃ	ɔ	52	一	平	清	開		歌	搓	tʃɔ52	搓手
16	k	ɔ	52	一	平	見	開		歌	歌	kɔ52	唱歌
17	k	ɔ	52	一	平	見	開		歌	哥	kɔ52	哥哥
18	k	ɔ	33	一	去	見	開		歌	個	kɔ33	一个
19	kʰ	ɔ	55	一	上	溪	開		歌	可	kʰɔ55	可以
20	ŋ	ɔ	342	一	平	疑	開		歌	蛾	ŋɔ342	飞蛾
21	ŋ	ɔ	342	一	平	疑	開		歌	鵝	ŋɔ342	天鹅
22	ŋ	ɔ	22	一	平	疑	開		歌	俄	ŋɔ22	俄国
23	ŋ	ɔ	13	一	上	疑	開		歌	我	ŋɔ13	我们
24	ŋ	ɔ	22	一	去	疑	開		歌	餓	ŋɔ22	肚子饿
25	h	ɔ	342	一	平	匣	開		歌	荷	hɔ342	薄荷
26	h	ɔ	342	一	平	匣	開		歌	河	hɔ342	黄河
27	h	ɔ	342	一	平	匣	開		歌	何	hɔ342	姓何
28	h	ɔ	342	一	平	匣	開		歌	荷	hɔ342	荷花
29	h	ɔ	22	一	去	匣	開		歌	賀	hɔ22	祝贺
30		ɔ	52	一	平	影	開		歌	阿	ɔ52	阿哥
31		ɔ	52	一	平	影	開		歌	阿	ɔ52	阿胶；阿弥陀佛
32	k	ɛ	342	三	平	群	開		戈	茄	kɛ342	茄子
33	p	ɔ	52	一	平	幫	合		戈	波	pɔ52	风波
34	p	ɔ	52	一	平	幫	合		戈	菠	pɔ52	菠菜
35	p	ai	52	一	上	幫	合		戈	跛	pai52	跛足
36	p	ui	22	一	去	幫	合		戈	簸	pui22	簸箕
37	p	ɔ	33	一	去	幫	合		戈	播	pɔ33	播种
38	p	ɔ	52	一	平	滂	合		戈	坡	pɔ52	山坡
39	p	ɔ	52	一	平	滂	合		戈	玻	pɔ52	玻璃
40	pʰ	ɔ	33	一	去	滂	合		戈	破	pʰɔ33	破坏
41	p	ɔ	342	一	平	並	合		戈	婆	pɔ342	外婆
42	p	œk	022	一	入	並	開		鐸	薄	pœk2	薄荷
43	m	ɔ	52	一	平	明	合		戈	魔	mɔ52	魔术
44	m	ɔ	22	一	平	明	合		戈	磨	mɔ22	磨刀（动）
45	m	ɔ	52	一	平	明	合		戈	摩	mɔ52	摩擦
46	m	ɔ	22	一	平	明	合		戈	磨	mɔ22	石磨（名）
47	t	œ	55	一	上	端	合		戈	朵	tœ55	一朵花
48	t	œ	55	一	上	端	合		戈	躲	tœ55	躲避
