"IPA"	"調號"	"調類"	"單字"	"参考：吴晓燕，绥宁梅坪话同音字汇 湖南人文科技学院学报  2008年6月第3期"
""	""	""	""	"转录者：DaiDzao"
"tsɿ"	"1"	"55"	"滋之芝支咨姿资"	""
"tsɿ"	"3"	"11"	"只[~有]齿子趾紫纸姊脂旨指"	""
"tsɿ"	"5"	"35"	"制製痔志痣置翅稚[幼~]至致"	""
"tsʰɿ"	"1"	"55"	"字自赐"	""
"tsʰɿ"	"2"	"24"	"持慈磁[~石]词辞饲池驰迟瓷[~器]餈[~巴]"	""
"tsʰɿ"	"3"	"11"	"止址耻此"	""
"tsʰɿ"	"5"	"35"	"巳[辰~]似治秩刺次"	""
"sɿ"	"1"	"55"	"事柿是诗丝司思匙施斯撕师狮尸私士仕试寺视示式"	""
"sɿ"	"2"	"24"	"时"	""
"sɿ"	"3"	"11"	"史使驶始屎死式"	""
"sɿ"	"5"	"35"	"逝誓世势氏四肆"	""
"pi"	"3"	"11"	"比[~较]"	""
"pi"	"5"	"35"	"笔碧壁蔽币毙敝弊蓖[~麻]闭陛[~下]必毕臂痹[麻~]"	""
"pʰi"	"1"	"55"	"备鼻批披撇[~开]"	""
"pʰi"	"2"	"24"	"皮疲脾枇[~杷]琵[~琶]匹[一~布，一~马]"	""
"pʰi"	"3"	"11"	"被[~卧,~子]彼"	""
"pʰi"	"5"	"35"	"被[~打]避辟僻屁"	""
"ti"	"1"	"55"	"低丢竹="	""
"ti"	"3"	"11"	"底抵"	""
"ti"	"5"	"35"	"敌滴嫡的[目~]帝"	""
"tʰi"	"1"	"55"	"地"	""
"tʰi"	"2"	"24"	"题蹄堤"	""
"tʰi"	"3"	"11"	"体"	""
"tʰi"	"5"	"35"	"啼弟=第笛递隶屉[抽~,笼~]替"	""
"li"	"1"	"55"	"溜泪痢溜滤虑粒肉"	""
"li"	"2"	"24"	"倪犁黎厘离[~别]璃[玻~]篱离[~开]梨牛刘流留琉[~璃]硫[~黄]榴[石~]馏"	""
"li"	"3"	"11"	"你=礼狸[~猫]李里理裹鲤柳"	""
"li"	"5"	"35"	"曆歷立笠厉励丽[美~]力栗吏荔[~枝]利六-"	""
"tsi"	"1"	"55"	"绩"	""
"tsi"	"2"	"24"	"疾"	""
"tsi"	"3"	"11"	"挤韭酒嘴"	""
"tsi"	"5"	"35"	"籍藉积跡集辑[编~]际祭剂[药~,面~子]济缀[点~]醉~[(扭)]"	""
"tsʰi"	"1"	"55"	"矁妻秋[~千,~天]蛆[生~]漆膝七"	""
"tsʰi"	"2"	"24"	"齐脐"	""
"tsʰi"	"3"	"11"	"取娶"	""
"tsʰi"	"5"	"35"	"寂戚脆趣翠"	""
"tsʰi"	"1"	"55"	"西犀修虽=鬚绥熄粟"	""
"si"	"3"	"11"	"洗"	""
"si"	"5"	"35"	"夕席昔惜析锡习袭息媳悉细婿[女~]袖秀绣锈[铁~]岁絮"	""
"ʨi"	"1"	"55"	"稽纠[~正]州周洲粥"	""
"ʨi"	"3"	"11"	"九久"	""
"ʨi"	"5"	"35"	"究救咒烛"	""
"ʨʰi"	"1"	"55"	"轴"	""
"ʨʰi"	"2"	"24"	"求球仇囚酬"	""
"ʨʰi"	"3"	"11"	"舅丑醜"	""
"ʨʰi"	"5"	"35"	"臭[香~]昼畜[~牲]"	""
"ɕi"	"1"	"55"	"希稀休受寿授收-赎"	""
"ɕi"	"3"	"11"	"手守"	""
"ɕi"	"5"	"35"	"锡=熟[煮~,悉~]畜[~牧]兽-"	""
"i"	"1"	"55"	"优右忧"	""
"i"	"2"	"24"	"疑=沂=议=仪=凝=遗饴[高梁~]宜=移姨揉油游尤"	""
"i"	"3"	"11"	"已以酉友有"	""
"i"	"5"	"35"	"艺逸毅异谊幼釉"	""
"pu"	"3"	"11"	"补"	""
"pu"	"5"	"35"	"簸布怖佈"	""
"pʰu"	"1"	"55"	"簿部铺[~设]铺[~店]复[~原]卜扑"	""
"pʰu"	"2"	"24"	"脯[胸~]蒲甫辅朴樸"	""
"pʰu"	"3"	"11"	"剖捕谱浦普"	""
"pʰu"	"5"	"35"	"步赴僕"	""
"tu"	"1"	"55"	"都[~城,~是]督"	""
"tu"	"3"	"11"	"堵赌肚[鱼~,猪~]"	""
"tu"	"5"	"35"	"毒肚[腹~]杜妒"	""
"tʰu"	"1"	"55"	"度=渡=秃突"	""
"tʰu"	"2"	"24"	"徒=涂=途屠="	""
"tʰu"	"3"	"11"	"土="	""
"tʰu"	"5"	"35"	"独=兔=吐[呕~]"	""
"lu"	"1"	"55"	"路鹿"	""
"lu"	"2"	"24"	"搂[取~]庐[茅~,~山]驴卢芦[~苇]炉奴"	""
"lu"	"3"	"11"	"虏鲁滷橹努"	""
"lu"	"5"	"35"	"六=陆露錄绿禄怒"	""
"tsu"	"1"	"55"	"租"	""
"tsu"	"3"	"11"	"阻组祖"	""
"tsu"	"5"	"35"	"竹=筑足祝促"	""
"tsʰu"	"1"	"55"	"助初粗"	""
"tsʰu"	"2"	"24"	"锄"	""
"tsʰu"	"3"	"11"	"楚"	""
"tsʰu"	"5"	"35"	"束-卒[兵~]触族醋猝[仓~]"	""
"su"	"1"	"55"	"苏酥缩=[短~]属疏梳蔬"	""
"su"	"3"	"11"	"数[(动词)]"	""
"su"	"5"	"35"	"束=诉素数[(名词)]续速叔淑漱俗宿肃"	""
"ku"	"1"	"55"	"姑孤箍估[~计]枯榖谷"	""
"ku"	"3"	"11"	"盬[~子]古股牯鼓"	""
"ku"	"5"	"35"	"窟[~窿]顾固故雇"	""
"kʰu"	"1"	"55"	"哭"	""
"kʰu"	"3"	"11"	"苦"	""
"kʰu"	"5"	"35"	"酷库裤"	""
"xu"	"1"	"55"	"妇夫肤敷呼复[~兴]父复[~原]仆[~倒]"	""
"xu"	"2"	"24"	"徒=涂=屠=乎扶芙[~蓉]符俘[~虏]狐胡壶湖瓠[~芦]菩[~萨]图"	""
"xu"	"3"	"11"	"土府斧俯腑腐虎浒[水~]"	""
"xu"	"5"	"35"	"複读度=渡=兔=瓠[~子,~瓜]戽[~水]获户幅福蝠[蝙~]伏服佛[彷~]富负副腹覆[反~]付傅附互护"	""
"u"	"2"	"24"	"无吴梧[~桐]蜈[~蚣]"	""
"u"	"3"	"11"	"抚武鹉[鹦~]舞五午伍吾"	""
