汉字	音标	注释
多	ɔu⁵¹	
拖	tʰɔu⁵¹	
驼	tɔu⁴⁵	
舵	tɔu⁴⁵▲	
大	tu²²	
罗	lɔu⁴⁵	
锣	lɔu⁴⁵~鼓	
锣	lɔu⁴打~	
箩	lɔu⁴⁵	
箩	lɔu⁴打~	
左	tsɔu³²⁴	
搓	tsʰie⁵¹▲	
歌	kɔu⁵¹	
哥	kɔu³²⁴字音▲	
哥	kɔu⁴鹩~	
个	kvu⁴⁴	
可	kʰɔu³²⁴	
鹅	ɡɔu⁴⁵天~	
鹅	ɡɔu⁴	
我	ɡu²¹	
饿	ɡɔu²²	
河	hɔu⁴⁵	
何	hɔu⁴⁵	
荷	hɔu⁴⁵	~花
贺	hɔu²²	
茄	kʰøy⁴	
波	pɔu⁵¹	
菠	pɔu⁵¹	
簸	pɔu⁴⁴	~箕
坡	pɔu⁵¹▲	
玻	pɔu⁵¹▲	
破	pʰɔu⁴⁴	
婆	pɔu⁴⁵老姑~	
婆	pu⁴两公~	
婆	pɔu⁴媒人~	
魔	bɔu⁵¹▲	
磨	bɔu⁴⁵	~刀
磨	bɔu⁴	~石
朵	ɔu³²⁴	
妥	tʰɔu³²⁴	
糯	lɔu²²	
脶	lɔu⁴⁵	指纹
螺	lɔu⁴⁵田~	
螺	lu⁴石~	
坐	tsʰɔu²¹	
座	tsʰɔu²¹▲	
蓑	sɔu⁵¹	
锁	sɔu³²⁴	
果	kɔu³²⁴	
过	kvu⁴⁴	
科	kʰɔu⁵¹	
课	kʰɔu⁴⁴	
卧	ɡɔu²²	
火	fu³²⁴	
货	kʰɔu⁴⁴	
和	hɔu⁴⁵	~气
禾	vu⁴⁵	
祸	vɔu⁴	
窝	vɔu⁵¹	
靴	hœ⁵¹	
巴	pɔu⁵¹	
疤	pɔu⁴	
把	pɔu³²⁴	~握
霸	pɔu⁴⁴	
把	pɔu³²⁴	柄
坝	pɔu⁴⁴	
怕	pʰɔu⁴⁴	
帕	pʰɔu⁴	
爬	pɔu⁴⁵	
麻	bɔu⁴⁵~佬	
麻	bɔu⁴~油	
马	bɔu²¹	
骂	bɔu²²	
拿	lie³²⁴	加~大，▲
茶	tsʰɔu⁴⁵	
搽	tsʰɔu⁴⁵	
渣	tsɔu⁵¹	
榨	tsɔu⁴⁴	
叉	tsʰɔu⁴	
差	tsʰɔu⁵¹	~别
查	tsʰɔu⁴⁵	调~
沙	sɔu⁵¹字音	
沙	sɔu⁴话音	
纱	sɔu⁵¹	
家	kɔu⁵¹	
加	kɔu⁵¹	
假	kɔu³²⁴	真~
架	kɔu⁴⁴	
嫁	kɔu⁴⁴	
价	kɔu⁴⁴	
牙	ɡɔu⁴⁵	
芽	ɡɔu⁴	
雅	ɡɔu⁴⁵▲	
虾	hɔu⁵¹	
霞	hɔu²²▲	
下	hɔu²²~昼	
下	ha⁴底~	
下	hɔu²¹▲	~山
哑	ɔu³²⁴	
亚	a⁴⁴	
姐	tsi³²⁴契~	
姐	tsɛi³²⁴▲	
借	tsi⁴⁴	
且	tsʰie³²⁴	
写	si³²⁴	
泻	si⁴⁴	
邪	tsʰi⁴⁵	
斜	tsʰi⁴⁵	
谢	tsʰi²²	
遮	tsil⁵¹▲	
者	tsie³²⁴	
蔗	tsi⁴	
车	tsʰi⁵¹	~马
扯	tsʰie³²⁴	
蛇	si⁴⁵	
赊	si⁵¹	
舍	si³²⁴	~得
社	si²¹	
惹	ɡi²¹	
爷	je⁴⁵姑~	
爷	je⁴契~	
野	ja⁴⁴	
夜	je²²	
瓜	kvɔu⁵¹	冬~
瓜	kvɔu⁴	la⁴⁴~
寡	kvɔu³²⁴	
夸	kʰva⁵¹	
垮	kʰva⁵¹▲	
跨	kʰva⁵¹▲	
瓦	ɡɔu²¹	
花	fɔu⁵¹	
化	fɔu⁴⁴	
华	fɔu⁴⁵	中~
划	vi⁴⁴字音▲	~船
蛙	vɔu⁵¹	
补	pau³²⁴	
布	pau⁴⁴	
铺	pʰau⁵¹	~设
普	pʰau³²⁴	
铺	pʰau⁴	~设
菩	pɔu⁴⁵▲	~萨
部	pau²²一~	
部	pʰau⁴部~	
簿	pʰau⁴	
步	pau²²	
模	bau⁴	~子
墓	bau²²	
都	au⁵¹	首~
赌	au³²⁴	
肚	tʰau⁴▲	猪~
土	tʰau³²⁴	
兔	tʰau⁴	
徒	tau⁴⁵	
涂	tau⁴⁵	
图	tau⁴⁵	
杜	tau²²	
肚	au³²⁴▲	腹~
度	tau²²	
奴	lau⁴⁵	
努	lau⁴⁵▲	
卢	lau⁴⁵	
炉	lau⁴	
鲁	lau⁴	
卤	lau²¹	
路	lau²²器物的痕迹	
路	lau⁴	
露	lau²²	
租	tsau⁵¹	
祖	tsau³²⁴	
做	tsau⁴⁴▲	
粗	tsʰau⁵¹	
醋	tsʰau⁴⁴	
错	tsʰɔu⁴⁴▲	~误
苏	sau⁵¹	
素	sau⁴⁴	
姑	kvu⁵¹大~姊	
姑	kvu⁴小~姊	
孤	kvu⁵¹	
箍	kvu⁵¹动词▲	
箍	kʰvu⁵¹名词▲	
古	kvu³²⁴	
鼓	kvu³²⁴	
故	kvu⁴⁴	
顾	kvu⁴⁴	
