#a
p[232]爬[32]罷
pʰ[51]怕
ɓ[54]巴疤爸[55]把[51]霸欛壩
m[232]麻[55]媽[324]馬[32]罵
f[54]花[51]化
ʋ[54]花[232]華鏵[32]話畫
tʰ[54]他它
ɗ[55]打
n[232]拿挪
l[54]拉
tʃ[54]渣[232]茶搽查[51]乍詐榨炸
tʃʰ[54]差岔{~路}叉差{參~}[51]岔
ʃ[54]沙紗[55]灑耍
k[54]家加嘉佳[55]假{真~，放~}[51]架嫁駕稼價賈
kʰ[54]卡[51]卡{~片}
ŋ[232]牙芽[324]雅瓦
h[54]蝦[232]霞[324]下[32]下夏
kʋ[54]瓜[55]寡[51]掛卦
kʰʋ[54]誇垮跨
ʔ[54]鴉[55]啞[51]亞
#o
p[232]婆
pʰ[54]坡[55]頗[51]破
ɓ[54]玻波[51]播簸
m[54]魔摩摸[232]磨[32]磨臥
f[55]伙[51]貨課
ʋ[54]科窩[232]和禾和{~氣}[55]火[324]禍
t[232]駝馱[55]左[32]惰
tʰ[54]拖[55]妥
ɗ[54]多[51]錯
n[232]挪{~動}[32]糯
l[232]羅鑼籮騾[55]棵顆裹
ɬ[54]蓑梭[55]鎖瑣[324]坐[32]座
tʃ[232]鋤[55]阻[32]助
tʃʰ[54]初[55]礎
ʃ[54]梳疏[55]所[32]傻
k[54]歌鍋[55]果[51]個過
ŋ[232]訛蛾鵝俄[324]我[32]餓
h[232]河何[55]可[32]賀
ʔ[54]荷{~花}
#ɛ
t[55]姊姐[51]借
tʰ[55]且
ɗ[55]爹
ɬ[54]些[232]邪[55]寫[51]瀉卸[32]謝
tʃ[54]遮[55]者
tʃʰ[54]車[55]扯
ȵ[324]惹
ʃ[232]蛇[55]捨[324]社[51]赦舍[32]射
k[232]茄
j[324]野也[32]夜
#œ
h[54]靴
#i
p[232]皮脾[55]披[32]避蓖鼻被備
pʰ[54]披疲坯[55]鄙彼譬[51]屁
ɓ[54]碑卑悲[55]比[51]臂秘
m[232]微眉[324]美尾[32]未味
f[54]飛非[232]肥[55]匪[51]費肺廢
t[54]資姿茲滋[55]子紫[32]地
tʰ[54]雌差{參~}[55]此[51]廁次
n[232]尼[324]你[32]膩
l[54]釐[232]離籬梨貍[324]李里理鯉[32]利痢吏
ɬ[54]私司思絲斯撕[232]飼瓷糍慈磁辭詞[324]似祀[51]四肆[32]字寺祠自
tʃ[54]支知蜘枝肢之芝[232]遲池馳[55]紙只旨指止址脂[51]智致至志誌痣置[32]治
tʃʰ[54]雌{白}[55]始失恥齒[51]翅
ȵ[54]兒{一会~，刀~}[232]而兒{~童}宜疑[324]耳議[32]二義
ʃ[54]詩師施獅尸屍[232]時匙[55]屎史駛[324]是柿市[51]試[32]示視士事恃
k[54]基飢幾機譏[232]旗奇騎其期棋麒[55]紀己幾[51]寄記既[32]妓忌技
h[54]欺犧希稀[232]移夷姨[55]喜起豈[324]已以[51]戲器氣汽棄[32]易異遺
ʔ[54]醫衣依[55]倚椅[51]意
#u
p[232]蒲葡脯捕[32]步部簿
pʰ[54]鋪敷[55]甫輔譜普[51]鋪{店~}
m[54]模[232]無[324]武母舞[32]務霧暮慕墓募
f[54]蘇夫膚孵[232]扶符[55]虎苦府腑斧[324]父婦[51]付庫褲富素訴塑[32]腐傅附負
ʋ[54]烏呼麩[232]胡湖糊狐葫壺鬍煳[324]戶[51]惡[32]護互
t[54]租[232]徒途塗圖屠[55]祖組[324]肚[51]做[32]杜度鍍渡
tʰ[54]粗[55]土[51]醋吐兔
ɗ[54]都[55]賭[51]堵
n[232]奴[324]努[32]怒
l[232]驢盧爐蘆[324]魯櫓滷[32]路露
ɬ[54]酥蘇
k[54]枯姑辜孤估[55]古股鼔賈[51]故固雇顧
#y
tʰ[54]蛆[55]取[51]趣
n[324]女
l[324]呂裏旅[32]慮濾
ɬ[54]須鬚需[232]徐[324]娶序敘緒聚[51]賜絮嗉
tʃ[54]豬諸蛛株朱珠[232]除廚[55]主煮[324]儲柱[51]著駐註注蛀鑄[32]住
tʃʰ[55]處[51]處
ȵ[232]魚如愚虞娛[324]語[32]遇寓
ʃ[54]書舒輸[232]殊[55]黍暑鼠數[51]數[32]樹豎
k[54]居[232]渠[55]擧[324]巨拒距[51]鋸句據[32]具
kʰ[54]區驅拘駒
h[54]虛噓[232]余餘[55]許[324]與雨[51]去[32]榆愉譽預裕喻
ʔ[54]于{是姓}
#ai
p[232]牌排
pʰ[55]派[32]敗稗
ɓ[55]擺[51]拜
m[232]埋[55]歪[324]買[32]賣
ʋ[232]懷槐淮[51]塊快筷[32]壞
t[32]大
tʰ[51]太泰貸態
ɗ[55]歹[51]戴帶
n[324]乃奶
l[32]賴
ɬ[51]塞
tʃ[54]齋[51]債
tʃʰ[54]搓差猜
ʃ[232]柴[51]曬
k[54]皆階街揩[55]解[51]介界芥疥戒
ŋ[232]捱[32]艾
h[232]鞋[51]械蟹
kʋ[54]乖[55]拐[51]怪
ʔ[54]挨[55]矮
#ɐi
p[32]敝幣弊斃
pʰ[54]批
ɓ[51]閉
m[54]米{公尺}[232]迷謎[324]米
ʋ[54]威揮輝[232]圍葦爲違維惟[55]毀委[324]胃謂蝟偉諱衛[51]畏餵餧[32]位爲
t[54]劑擠[232]題提啼蹄堤[324]弟[51]祭際濟[32]第隸遞
tʰ[54]妻凄梯[324]體[51]替涕剃
ɗ[54]低[55]底抵牴[51]帝
n[232]泥
l[232]犁黎[324]禮[32]例厲勵麗
ɬ[54]西犀[232]齊臍[55]洗[51]細壻
tʃ[51]制製
ʃ[54]篩[55]使[324]誓[51]世勢[32]誓
k[54]雞[51]計繼
kʰ[54]溪[55]啟[51]契
ŋ[232]危桅[32]魏僞藝
h[32]系繫
kʋ[54]龜歸[232]葵[55]鬼軌[51]貴桂季鱖[32]跪櫃
kʰʋ[54]規虧[51]愧
#ɔi
t[54]災栽[232]抬臺[55]宰[324]待怠[51]再載{~重}[32]代袋
tʰ[54]胎[55]彩採睬[51]菜蔡
n[32]耐奈
l[232]來
ɬ[54]腮[232]才財材裁纔[324]在[51]賽
k[54]該[55]改[51]蓋
kʰ[51]概慨
ŋ[32]外礙
h[54]開[232]孩[55]海[51]害
ʔ[54]哀[51]愛
#ui
p[232]賠陪[324]倍[32]疿
pʰ[51]配佩
ɓ[54]杯[51]貝輩背
m[232]霉梅枚媒[324]每昧[32]妹
ʋ[232]回[55]悔[32]會{~議，~計}匯
t[55]嘴[324]銳[51]最醉[32]隊兌
tʰ[54]摧催崔[51]退脆
ɗ[54]堆[51]對
l[232]雷擂[324]類累傫{疲}[32]淚
ɬ[54]雖[232]隨隋[55]翠[324]罪[51]歲碎
tʃ[54]追錐[232]槌錘
tʃʰ[54]吹炊[324]喘
ȵ[324]乳蕊
ʃ[54]衰[232]垂誰[55]水[51]帥稅[32]睡
kʰ[324]繪潰
ʔ[32]穗惠慧
#iɛu
p[232]萍{浮~}
m[54]貓[55]貓
#iu
p[232]瓢嫖
pʰ[54]漂{~亮}飄[51]漂票
ɓ[54]標彪鰾[55]表
m[232]苗描[324]秒妙
t[54]焦樵瞧蕉椒[232]條[32]掉調
tʰ[54]鍬挑[51]跳
ɗ[54]刁貂雕丟[51]釣弔
n[324]鳥[32]尿
l[232]聊遼療[324]了[32]料
ɬ[54]硝宵消銷蕭簫霄[55]小[51]笑
tʃ[54]招朝[232]潮潮[51]照[32]趙兆
tʃʰ[54]超昭
ȵ[232]鐃[324]擾繞
ʃ[54]燒[55]少[51]少[32]紹
k[54]驕嬌[232]橋喬[55]僑[51]叫[32]轎
kʰ[51]竅
h[54]邀[55]曉
j[54]腰要幺邀妖[232]搖謠窰遙姚[324]舀[51]要
#au
p[232]刨
pʰ[54]泡拋跑[55]跑[51]砲炮{~仗}泡爆{又}
ɓ[54]鮑包雹[55]飽[51]豹
m[232]茅矛[324]卯[32]貌
n[232]撓錨[32]鬧
l[54]撈
tʃ[232]巢[55]抓爪爪{~牙}找肘[51]炸{油~}罩
tʃʰ[54]抄鈔[55]炒[51]吵
ȵ[55]抓爪
ʃ[54]梢捎[55]稍[51]潲
k[54]交郊膠[55]校{~對}較絞狡攪搞[51]教覺
kʰ[51]靠
ŋ[232]肴淆[324]咬
h[54]敲酵烤[55]巧考[51]孝[32]效校
#ɐu
p[232]袍[324]抱[32]暴爆
ɓ[54]褒[55]保寶堡[51]報
m[54]毛{頭毛}[232]謀毛[324]某畝[32]帽冒茂貿
f[232]浮[32]埠
t[54]鄒遭糟[232]頭投桃掏逃陶[55]酒走早棗[324]導[51]奏湊竈[32]豆痘盜稻道導
tʰ[54]秋偷揫操滔[55]討草禱[51]透躁糙套
ɗ[54]兜刀[55]斗抖禱島倒搗[51]鬥到
n[55]紐{~約}扭[324]扭腦惱
l[232]流劉留榴硫琉樓耬勞溜牢[55]摟[324]柳老[32]漏澇餾溜
ɬ[54]修羞騷臊搔餿[232]囚糟曹[55]搜否嫂[324]造皂[51]漱秀銹繡掃{~地，~帚}[32]袖就皂
tʃ[54]周舟州洲[232]綢稠酬籌[55]帚糾[51]晝灸{針~}
tʃʰ[54]抽[55]醜[51]臭獸
ȵ[232]柔揉
ʃ[54]收[232]愁仇[55]手首守[51]瘦[32]壽授受售
k[54]溝高膏羔糕[232]求球[55]九狗茍久韭稿[324]舅[51]彀夠構購媾救窖告灸[32]舊
kʰ[51]叩扣寇究
ŋ[54]勾鉤[232]牛熬[324]藕偶[32]傲
h[54]蒿薅[232]候喉豪毫[55]口好[324]厚[51]好耗[32]后後候號
j[54]休丘優悠幽[232]尤郵由油游遊猶柚[55]賄朽[324]有友[51]幼[32]右又祐宥釉柚
ʔ[54]歐蒿[55]嘔[51]漚襖
#am
t[232]譚談痰[324]淡
tʰ[54]參貪[55]慘[51]探滲
ɗ[54]擔[55]膽[51]擔
n[232]南男
l[232]藍[55]覽攬[32]濫艦
ɬ[54]三[232]饞蠶
tʃ[55]斬[51]蘸[32]暫站
ʃ[54]衫
k[54]監[55]減[51]監鑑
ŋ[232]巖
h[232]銜函[51]喊[32]陷餡莧
#ɐm
tʰ[54]侵
l[232]臨淋林
ɬ[54]心[232]尋
tʃ[54]針斟[232]沉[55]枕
tʃʰ[54]襟[55]寢
ȵ[55]飲[32]賃任
ʃ[54]深參{~差，人~}森[55]嬸審沈[32]甚
k[54]甘柑泔今金[232]琴禽擒[55]感敢[51]禁{~止，~不住}
kʰ[54]襟
h[54]砍堪[232]含[51]坎
j[54]音陰
ʔ[51]暗
#im
t[54]尖[232]甜[324]舔
tʰ[54]籖簽遣添殲
ɗ[55]點[51]店
n[54]粘拈黏鮎[32]念
l[232]廉鐮簾帘[324]臉斂
ɬ[32]漸
tʃ[54]沾[51]佔
ȵ[232]閻嚴[324]染[32]驗
ʃ[232]簷蟬[55]陜
k[54]兼[324]儉[51]劍
kʰ[55]檢
h[54]謙[55]險[51]欠
j[54]嫌[232]鹽簷閻{姓}[55]掩淹[51]厭
#iɛm
k[232]鉗
#an
p[32]扮辦
pʰ[54]攀[51]盼
ɓ[54]班斑頒扳[55]板版
m[232]蠻[324]晚[32]萬蔓漫幔慢邁
f[54]番翻[232]帆凡煩繁礬[55]反[324]犯範[51]販[32]范飯
ʋ[54]彎灣[232]還環[55]挽[324]玩[32]患宦
t[232]檀彈[51]濺贊
tʰ[54]餐灘攤[55]毯坦[51]炭歎
ɗ[54]坍丹單[51]旦[32]但彈蛋
n[232]難[32]難
l[232]蘭攔欄[324]懶[32]爛
ɬ[232]殘[55]散[51]散傘
tʃ[55]盞
tʃʰ[55]鏟產
ʃ[54]閂山
k[54]間艱姦奸[55]鹼澗簡柬揀繭碱[51]間
ŋ[232]頑顏[324]眼[32]雁
h[232]閑閒[324]限
kʋ[54]關[51]慣
ʔ[32]晏
#ɐn
p[232]貧頻[32]笨
pʰ[55]品[51]噴
ɓ[54]賓奔[51]殯
m[232]聞文紋民[324]敏[32]問
f[54]分芬紛[232]墳[55]粉[324]憤忿奮[51]糞[32]份
ʋ[54]勳溫昏婚葷瘟熏薰[232]雲魂[55]穩[324]允尹[51]訓[32]運韻渾混
t[54]遵津[51]俊進[32]盾鈍遁屯
tʰ[54]吞親
ɗ[54]敦墩[55]噸[51]頓
l[232]鄰崙輪倫鱗燐吝[32]論
ɬ[54]辛薪新[232]旬循巡秦[55]筍[324]盡儘[51]迅訊信
tʃ[54]真珍[232]陳塵[55]准[51]鎮振震[32]陣
tʃʰ[54]春[55]蠢診疹[51]襯趁
ȵ[232]人仁[324]忍刃[32]閏認潤
ʃ[54]身申紳[232]醇脣神晨辰臣純蒓[324]腎[32]順慎
k[54]根巾斤筋跟[232]勤芹[55]緊僅[324]近
ŋ[232]銀
h[54]欣[55]很懇墾[32]恨
kʋ[54]均鈞君軍[232]裙羣[55]滾{水}[324]菌[51]棍
kʰʋ[54]昆崑坤[55]滾{鐵環}[51]困綑窘
j[54]因姻殷[232]勻寅[55]隱[324]引[51]印[32]孕刃
ʔ[54]恩
#ɔn
k[54]干肝竿乾[55]桿稈趕[51]幹
