IPA	調號	調類	單字	来源：新田县志(1978-2003)
pan	2	13	便[～宜]朋=[打～伙]	
pan	3	55	□[腌：～肉]	
pan	5	33	变	
pan	6	21	便[方～]	
pʰan	1	35	偏□[返回：～来]	
pʰan	3	55	蚌[～螺]	
man	1	35	□[(拿)]	
man	2	13	棉明名	
man	3	55	面[里～]免[～得]□[(词缀表亮的程度：光～)]	
man	5	33	□[～～：饭(儿语)]	
man	6	21	面麺命	
tan	1	35	灯颠	
tan	2	13	甜田藤填[～空]□[(跟)]	
tan	3	55	点-[～脑壳]典等	
tan	5	33	凳钉[动词：～书]	
tan	6	21	垫邓定殿佃填[～钱]掂[～轻重]	
tʰan	1	35	天添	
tʰan	3	55	簟□[～ko21：坑，凼]	
tʰan	5	33	听	
nan	2	13	年能宁脓燃鲇[～鱼]	
nan	3	55	捺碾	
nan	6	21	念	
lan	2	13	连怜莲灵零鲢镰	
lan	3	55	领岭	
lan	6	21	另恋□[煮：～豆子]	
tsan	1	35	尖煎精正[～月]□[盛：～饭]曾[(姓)]	
tsan	2	13	钱前情曾[不～]	
tsan	3	55	剪井整	
tsan	5	33	占箭颤[打～]正[～直]甑	
tsan	6	21	贱净郑	
tsʰan	1	35	迁千青清签搀	
tsʰan	3	55	浅请	
san	1	35	仙鲜先腥声伸[～腰]	
san	2	13	成城	
san	3	55	嗓鳝[～鱼]	
san	5	33	线扇[蒲～]性姓□[(铁锈)]膳[早～]	
kan	1	35	根惊经[念～]□[(醒)]□[(吞)]	
kan	2	13	钳[铁～]□[(砸)]	
kan	3	55	颈捡	
kan	5	33	见梗=[手～子]敬[～神]更[～加]□[冷：～水]	
kan	6	21	□[按：～紧]	
kʰan	1	35	轻谦[～虚]	
kʰan	3	55	□[(盖)]	
kʰan	5	33	欠□[碰：~肿了]	
ŋan	2	13	岩	
ŋan	3	55	□[小河上筑的堤：～口田]	
xan	1	35	牵	
xan	2	13	含咸鹹衔形[猫～：山名]刑嫌降[～伏]	
xan	3	55	肯	
xan	6	21	现[～钱]	
Ǿan	1	35	阉烟胭醃恩[报～]	
Ǿan	2	13	盐贤[七～山：地名]赢仁[～塘：地名]阎[～王]	
Ǿan	3	55	□[抵：石子在鞋里～脚]	
Ǿan	5	33	厌应[答～]嚥[～气：怄气]	
pian	3	55	扁匾	
pʰian	3	55	片=[红薯～～]	
tian	3	55	点=[大一～]	
tʰian	3	55	舔腆	
Ǿian	3	55	染演	
luan	2	13	圞	
kuan	2	13	拳权鬈蜷□[(绕)]	
kuan	3	55	捲赶=[～出去]	
kuan	5	33	□[(翻动使沾上东西)]	
kuan	6	21	滚-[打～]□[跌、掉：～脑毛]	
kʰuan	5	33	劝倾-[～了一盆水]	
kʰuan	6	21	哐	
xuan	1	35	兄	
xuan	3	55	缓	
xuan	6	21	县	
Ǿuan	1	35	冤[喊～]□[(想得到)]	
