IPA	調號	調類	單字	来源：新田县志(1978-2003)
Ǿuan	2	13	完丸缘元[～宵]源袁园原文[斯～]王[阎～]	
Ǿuan	3	55	远永	
Ǿuan	5	33	愿	
ʨyan	1	35	专砖	
ʨyan	2	13	全传	
ʨyan	3	55	转[～手]	
ʨyan	5	33	转[～圈圈]	
ʨyan	6	21	旋	
ʨʰyan	1	35	穿	
ʨʰyan	5	33	串	
ɕyan	1	35	闩栓冲	
ɕyan	2	13	船椽[～皮：椽子]	
ɕyan	3	55	癣选	
ɕyan	5	33	□[挑选：～菜秧]	
Ǿyan	3	55	软	
pən	1	35	分-[～开]	
pən	2	13	盆彭湓[溢。《集韵》：“蒲奔切,一曰水溢也。”]朋=[～友]篷蓬	
pən	3	55	本	
pən	5	33	放=	
pən	6	21	份凭[靠、倚：～到壁]凤-[上～：地名]	
pʰən	1	35	蜂	
pʰən	3	55	捧奉[～厨]	
pʰən	5	33	喷[香～]	
mən	2	13	门	
mən	3	55	蚊懵满=[小～]蠓	
mən	6	21	闷问梦	
fən	1	35	纷风枫疯丰封分=[一～钱]锋[利～]	
fən	2	13	坟	
fən	3	55	粉	
fən	6	21	凤=[大～：地名]	
tən	1	35	东冬端[～午]	
tən	2	13	同铜桐筒童茼[～蒿]	
tən	3	55	□[(木、石墩)]□[挡：～了一下]	
tən	5	33	顿[一～饭]冻[～人]□[～脚：脚跺地]□[竖立：～了一根棍]	
tən	6	21	洞[(成片的田)]峒	
tʰən	1	35	通	
tʰən	3	55	桶统捅[～心：杀猪时用于通开皮肉的通条]	
tʰən	5	33	□[等待：～一刻]	
nən	6	21	嫩	
lən	1	35	聋	
lən	2	13	轮笼咙喉[～骨]	
lən	6	21	论[不～]	
tsən	1	35	棕宗	
tsən	2	13	存橙层旬	
tsən	3	55	总□[(节约)]□[朽：木头～了]	
tsən	5	33	粽	
tsən	6	21	□[打：～了一拳]	
tsʰən	1	35	聪葱	
tsʰən	3	55	搡[推：～起走]	
tsʰən	5	33	寸	
sən	1	35	孙鬆□[～～：植物长出的嫩芽]	
sən	2	13	□[丑：生得～]	
sən	3	55	损	
sən	5	33	送宋	
Ǿən	3	55	狠[～心]	
pin	1	35	辫编[～草索]	
pin	2	13	瓶	
pin	3	55	饼併[～凑]	
pʰin	1	35	拼	
pʰin	3	55	品	
pʰin	5	33	片-[篾～]□[抖动：吓得起～]	
min	2	13	眠	
min	3	55	抿	
tin	1	35	钉[(名词)]丁疗	
tin	2	13	停亭	
tin	3	55	顶鼎	
tin	5	33	镇□[掷：～石头]	
tʰin	1	35	□[词缀，用于“亮”后表程度]	
tʰin	3	55	挺	
lin	2	13	淋临龙鳞邻磷珑虫[起了～]	
lin	3	55	陇垅	
lin	6	21	楝[苦～树]	
ʨin	1	35	簪针斟金襟真巾筋蒸砧睛[眼～]今[～年]	
ʨin	2	13	澄寻沉琴陈秦橙尘芹乘松[～树]	
ʨin	3	55	枕紧仅景[～致]尽[～先：～他先坐]□[厚：～书]	
ʨin	5	33	浸禁中射～镜竟究～荐引～：帮人介绍职业的人劲	
ʨin	6	21	阵[打～：打战]澄[～清]澄[动词，过滤：～米汤]	
ʨʰin	1	35	亲称郴	
ʨʰin	3	55	近□[鸡～头：鸡肫]□[往下看：～一下]尽[完：瞧～了]	
ʨʰin	5	33	秤趁[～早]□[(往上够东西)]□[～ke21晡：前天]	
nin	2	13	人	
ɕin	1	35	心深辛新身升星兴[～旺]芯申	
ɕin	2	13	辰神晨□[垫：～高点]	
ɕin	3	55	笋□[(不正经)]	
ɕin	5	33	信兴[～头]囟[～门]	
ɕin	6	21	剩	
Ǿin	1	35	音阴荫鹰	
Ǿin	2	13	银盈沿滕[～头：田埂]寅[～时]螾□[软体动物的爬行：～起走]	
Ǿin	3	55	忍引隐影	
Ǿin	5	33	印映	
Ǿin	6	21	认任	
kuən	1	35	公蚣工功	
kuən	3	55	滚[～水]	
kuən	5	33	棍	
kʰuən	3	55	捆	
kʰuen	5	33	空[~屋]困	
xuen	1	35	空[～缺]	
xuen	2	13	魂红洪	
xuen	3	55	□[搅动：～水]	
xuen	6	21	蕻[菜花心。《广韵》：胡共切，草菜心长。]巷	
Ǿuen	1	35	温瘟	
Ǿuen	2	13	蚊闻	
Ǿuen	3	55	稳	
Ǿuen	6	21	□[(悬空晃动)]	
ʨyn	1	35	均[～匀]军[～师]中[～间]钟供[～饭]终[送～]□[(吮)]	
ʨyn	2	13	裙穷重[～阳节]	
ʨyn	3	55	准準肿种[谷～]	
ʨyn	5	33	众郡圳[水~]	
ʨʰyn	1	35	春椿充	
ʨʰyn	3	55	蠢菌重[轻～]	
ʨʰyn	5	33	铳	
ɕyn	1	35	熏	
ɕyn	2	13	雄	
ɕyn	3	55	恐-[(怕)]	
ɕyn	6	21	顺□[(帮忙、支持：～下他]	
Ǿyn	1	35	昏晕[～车]	
Ǿyn	2	13	匀云融浓绒[～毛]熔	
Ǿyn	3	55	允	
Ǿyn	5	33	熨	
Ǿyn	6	21	润闰运韵用孕[有～]	
poŋ	1	35	帮搬	
poŋ	2	13	旁[～边]棚盘朋-	
poŋ	5	33	半放-	
pʰoŋ	3	55	伴	
pʰoŋ	5	33	胖□[一大群：一～鸭]	
moŋ	2	13	瞒芒[～种]茫[白～～]	
moŋ	3	55	满-[水～了]蟒网	
foŋ	1	35	妨[无～]方	
foŋ	2	13	房防	
foŋ	3	55	纺	
toŋ	1	35	耽单担[动词：～担子]当[～面]	
toŋ	2	13	潭谭谈痰坛[法～]弹[～棉花]团堂唐糖塘	
toŋ	3	55	胆掸短挡□[(扔)]	
toŋ	5	33	担[名词：～子：量词：一～当～]作档裆[满～裤]旦[～角]石[一～谷]□[拉扶：～起他]	
toŋ	6	21	段[一～路]弹[～子]	
tʰoŋ	1	35	滩摊汤□[～哺：明天]	
tʰoŋ	3	55	毯淡坦断躺荡	
tʰoŋ	5	33	探炭烫[～酒]趟□[(听任不管：～他去)]	
noŋ	3	55	暖	
noŋ	5	33	哝	
noŋ	6	21	难[受～]□[吵嚷：～仗]	
loŋ	2	13	蓝兰拦栏郎	
loŋ	3	55	懒卵	
loŋ	6	21	乱□[(抖)]	
tsoŋ	1	35	张庄[～屋]装章樟妆	
tsoŋ	2	13	长[一尺～]场仗[打～：打架]床蚕	
tsoŋ	3	55	长[～高]涨钻掌	
tsoŋ	5	33	帐胀壮葬[送～]	
tsoŋ	6	21	赚状撞	
tsʰoŋ	1	35	餐仓昌[～文：人名]	
tsʰoŋ	3	55	丈	
tsʰoŋ	5	33	唱倡[提～]掺[～水]	
soŋ	1	35	酸桑霜商伤双疮	
soŋ	2	13	常尝裳	
soŋ	3	55	伞散上[～去]	
soŋ	5	33	算蒜丧[～事]	
soŋ	6	21	尚[和～]上[～面]	
koŋ	1	35	甘柑疳[～积]干[～湿]肝官冈刚[～强]观[～音菩萨]岗[小～：地名]缸钢[名词：～铁]光江-[～边]竿	
koŋ	2	13	□[(用火苗烤)]	
koŋ	3	55	秆敢管[～得紧]广赶-[～快]	
koŋ	5	33	灌观杠杆扫～：扫帚虹问一～屋钢动词：～锄头	
kʰoŋ	3	55	□[(晃动)]恐=[～怕：揣测语气词]	
kʰoŋ	5	33	坎[(台阶)]	
kʰoŋ	6	21	倾[猛地全倒掉：～出去]	
xoŋ	1	35	欢糠荒慌宽[~松，与紧相对]	
xoŋ	2	13	寒行[～业]杭皇蝗[蚂～]隍[城～庙]	
xoŋ	3	55	谎哄	
xoŋ	5	33	烘	
xoŋ	6	21	汉[农夫～]汗陷焊	
Ǿoŋ	1	35	庵[～堂]安蕹[～菜]□[(放置)]□[(表被动)：～狗咬了]□[给：书～他]□[用：～笔写]	
Ǿoŋ	2	13	黄	
Ǿoŋ	3	55	碗	
Ǿoŋ	5	33	暗按案	
Ǿoŋ	6	21	换岸[～上]	
nioŋ	2	13	娘	
lioŋ	2	13	良凉粮量[动词：~棉布]梁虫=[~婆]肠粱	
lioŋ	3	55	两[斤~]两[~个]	
lioŋ	6	21	亮量[气~]辆晾谅	
ʨioŋ	1	35	姜浆将[~就]今-[~䀯]江=[~湖]	
ʨioŋ	2	13	墙强[~大]	
ʨioŋ	3	55	蒋桨讲	
ʨioŋ	5	33	酱降=[霜~]强[倔~]灒溅	
ʨioŋ	6	21	匠[木~]	
ʨʰioŋ	1	35	枪框[火炉~]	
ʨʰioŋ	3	55	抢象[~牯:大象]戕[~眼睛：刺眼]	
ʨʰioŋ	5	33	戗[(斜)]	
ɕioŋ	1	35	箱厢[~壁：门前的照壁]湘[~包纸：当地一种土纸]镶[~牙]香乡	
ɕioŋ	3	55	想响	
ɕioŋ	5	33	向相嗅[(鼻子闻)]	
Ǿioŋ	1	35	秧	
Ǿioŋ	2	13	羊洋[~火：火柴]烊[稀糊状：饭煮~了;又动词：雪~了]杨[~柳塘：地名]阳[高~下：地名]疡萤[~火母母：萤火虫]	
Ǿioŋ	3	55	痒养	
Ǿioŋ	6	21	酿让样	
