来源	《安徽巢湖方言音韵研究》，“胖丁”整理修改
kʰ	[1]夸[3]胯侉垮[5]跨挎
x	[1]花[2]华划[5]话化华画桦
∅	[1]哇蛙娲[2]娃[3]瓦搲{～水}[5]洼瓦{～匠}搲{伸手去拿：～不到}
#əi	
p	[1]碑卑背悲杯[3]比{打～方}[5]臂避备倍焙篦被背闭弊毙庇币辈贝
pʰ	[1]胚[2]陪赔裴[5]佩配
m	[2]媒煤莓眉霉枚玫[3]美每镁[5]昧妹魅媚寐
f	[1]飞非菲妃[2]肥淝[3]翡匪诽[5]费废肺吠吠痱
t	[1]堆[5]兑队碓{～窝子}
tʰ	[1]推梯[3]腿[5]退蜕
l	[1]□{正面撞，骑车子～到树上了}[2]雷擂镭[3]累磊垒蕾[5]累泪类内芮
ts	[3]嘴咀{地名用字}[5]最醉罪
tsʰ	[1]催崔摧炊{～子，水壶}[2]随-[5]脆翠萃粹淬
s	[1]虽尿[2]隋髓遂[3]写筛{筛酒：倒酒}[5]碎穗岁隧
k	[3]给
kʰ	[2]尅{～人，打人；自皖北借入}
#uɪ	
tʂ	[1]追锥椎[5]坠缀赘缒
tʂʰ	[1]炊吹[2]拳锤垂捶槌
ʂ	[3]水[5]睡瑞
ʐ	[3]蕊[5]睿锐芮
k	[1]闺规龟归[3]诡轨鬼[5]桂柜贵鳜
kʰ	[1]盔亏窥[2]葵奎魁逵夔馗[5]愧溃馈匮跪
x	[1]灰辉挥徽晖恢[2]茴回蛔[3]悔毁[5]汇会烩惠讳
∅	[1]威煨[2]维微危围惟违为纬圩[3]伟韦委伪萎[5]为位喂味胃慰魏渭
#ɛ	
p	[3]摆[5]拜败稗
pʰ	[2]牌排[5]派
m	[2]埋霾[3]买[5]卖迈
f	[1]非{非要去：无论如何都要去}□{叫疼声}[5] 非□{叫疼声}
t	[1]呆[3]逮歹[5]待怠戴代贷袋带大{～夫}汰{～衣服}呔{～!伙计啊}
tʰ	[1]胎台{～州}[2]抬苔跆薹台{台湾}[5]太泰态钛汰
l	[1]□{语气词}[2]来莱[3]奶乃□{～草：拔草}[5]赖濑籁癞睐耐奈
ts	[1]灾栽哉[3]仔宰崽载[5]再在载
tsʰ	[1]猜[2]财材裁财[3]彩采睬[5]菜蔡
s	[1]塞腮鳃[5]赛
tʂ	[1]蜘斋遮知{知了}[3]赭{地名，芜湖赭山}者蔗{～糖}[5]债寨柘{地名，巢湖柘皋}侧{身子坐～得着}
tʂʰ	[1]差钗车□{歪，斜：桌子搞～得着}[2]柴豺[3]扯
ʂ	[1]筛奢赊[2]蛇佘[3]舍[5]舍晒社射
k	[1]秸该街枷{连枷，脱粒用的农具}[3]改解-[5]锯介界戒盖钙丐溉芥庎{～栏，城里人谓之碗橱}
kʰ	[1]开揩[3]凯铠楷[5]慨概
x	[3]蟹海[5]害亥氦骇
ʐ	[3]惹
ŋ	[1]唉挨哀埃[2]捱呆□{这件事不是～的吗，即肯定的事}[3]矮霭[5]爱艾暧□{老在那～，即磨磨蹭蹭}
#iɛ	
n	[1]奶{奶奶}[3]奶{牛奶}
