字	罗马字	拟音	注
□	pi[2]	pi[2]	~□□pɔ2pet7:蝙蝠
陛	pi[3]	pi[3]	~下
比	pi[3]	pi[3]	
避	pi[6]	pi[6]	
批	p'i[1]	pʰi[1]	信件；~准
披	p'i[1]	pʰi[1]	
疕	p'i[3]	pʰi[3]	痂
鄙	p'i[3]	pʰi[3]	
米	mi[3]	mi[3]	
美	mi[3]	mi[3]	
明	mi[3]	mi[3]	2～旦：明天
□	mi[3]	mi[3]	~乇：什么
池	ti[2]	ti[2]	
底	ti[3]	ti[3]	1水～：水里；～来：进来
抵	ti[3]	ti[3]	
□	ti[3]	ti[3]	~~：刚
底	ti[6]	ti[6]	3～农：谁
弟	ti[6]	ti[6]	1兄
啼	t'i[2]	tʰi[2]	哭
耻	t'i[3]	tʰi[3]	
剃	t'i[5]	tʰi[5]	
离	li[2]	li[2]	脱~
篱	li[2]	li[2]	
璃	li[2]	li[2]	玻~
旅	li[3]	li[3]	1~行
李	li[3]	li[3]	□pʰu3～：李子
里	li[3]	li[3]	千～
理	li[3]	li[3]	
旅	li[6]	li[6]	2~行团
例	li[6]	li[6]	
离	li[6]	li[6]	~开，～婚
支	chi[1]	tʃi[1]	
肢	chi[1]	tʃi[1]	
之	chi[1]	tʃi[1]	
芝	chi[1]	tʃi[1]	
只	chi[3]	tʃi[3]	~要
紫	chi[3]	tʃi[3]	
脂	chi[3]	tʃi[3]	
姊	chi[3]	tʃi[3]	
旨	chi[3]	tʃi[3]	
指	chi[3]	tʃi[3]	2戒~
子	chi[3]	tʃi[3]	1哨~
籽	chi[3]	tʃi[3]	
止	chi[3]	tʃi[3]	
址	chi[3]	tʃi[3]	
□	chi[3]	tʃi[3]	2这
祭	chi[5]	tʃi[5]	
际	chi[5]	tʃi[5]	
制	chi[5]	tʃi[5]	压~
取	ch'i[3]	tʃʰi[3]	2偷～
侈	ch'i[3]	tʃʰi[3]	
矢	ch'i[3]	tʃʰi[3]	
齿	ch'i[3]	tʃʰi[3]	2
□	ch'i[3]	tʃʰi[3]	冻～：冻疮
刺	ch'i[5]	tʃʰi[5]	1名词；动词
翅	ch'i[5]	tʃʰi[5]	鱼~
施	si[1]	si[1]	
匙	si[2]	si[2]	汤~
暑	si[3]	si[3]	避～
死	si[3]	si[3]	1
始	si[3]	si[3]	
世	si[5]	si[5]	
势	si[5]	si[5]	
嗜	si[6]	si[6]	
鸡	ki[1]	ki[1]	
闺	ki[1]	ki[1]	
规	ki[1]	ki[1]	
□	ki[1]	ki[1]	~□keu2头发：卷发
鲑	ki[2]	ki[2]	咸~：咸鱼
矩	ki[3]	ki[3]	规～
麂	ki[3]	ki[3]	
己	ki[3]	ki[3]	克~
计	ki[5]	ki[5]	
继	ki[5]	ki[5]	
桂	ki[5]	ki[5]	～花，~肉
季	ki[5]	ki[5]	
□	ki[6]	ki[6]	~感：易感，sentimental
稽	k'i[1]	kʰi[1]	滑~
启	k'i[3]	kʰi[3]	
齿	k'i[3]	kʰi[3]	1喙～：牙齿
起	k'i[3]	kʰi[3]	
契	k'i[5]	kʰi[5]	
御	ngi[3]	ŋi[3]	
耳	ngi[3]	ŋi[3]	2~机
拟	ngi[3]	ŋi[3]	
艺	ngi[6]	ŋi[6]	
谊	ngi[6]	ŋi[6]	
义	ngi[6]	ŋi[6]	
议	ngi[6]	ŋi[6]	
儿	hi[2]	hi[2]	2囝～：儿子，孤～
喜	hi[3]	hi[3]	
废	hi[5]	hi[5]	
肺	hi[5]	hi[5]	
戏	hi[5]	hi[5]	
费	hi[5]	hi[5]	
系	hi[6]	hi[6]	
系	hi[6]	hi[6]	~统
慧	hi[6]	hi[6]	
雨	∅i[3]	ʔi[3]	2下～。书面语
倚	∅i[3]	ʔi[3]	
椅	∅i[3]	ʔi[3]	
已	∅i[3]	ʔi[3]	
以	∅i[3]	ʔi[3]	
与	yi[3]	yi[3]	
菩	pu[2]	pu[2]	
