#调值	[1]²² [2]⁴⁴ [3]⁴² [5]³⁵ [6]³³											
#ɿ												
tsʰ	[1]车叉杈差[2]茶查搽察[3]扯[5]擦插岔[6]差											
s	[1]赊沙纱奢[2]蛇[3]傻撒洒舍捨[5]杀萨煞刹											
k	[1]家稼[5]甲夹[6]架嫁											
kʰ	[1]揢[2]跨[3]卡[5]掐[6]胯											
x	[1]虾哈[6]下											
ŋ	[2]牙伢[6]轧											
Ø	[1]丫桠[3]哑[6]鸭压											
#ia												
p	[5]北百伯											
pʰ	[5]拍[6]白											
m	[5]默麦墨脉											
t	[5]得德[6]嗲											
tʰ	[6]特											
tɕ	[1]加家稼佳傢[3]假贾姐[5]甲夹[6]借架驾价嫁											
ɕ	[2]霞[6]夏											
Ø	[2]牙芽[3]也[5]亚押野[6]夜											
#ua												
k	[1]瓜呱[3]寡[5]刮[6]卦褂挂											
kʰ	[1]夸[2]垮[3]剐[5]挎胯括侉											
x	[1]花[2]华[5]滑猾[6]化											
Ø	[1]蛙哇剜凹洼[2]划娃[3]瓦[5]挖袜晼[6]话画											
#ya												
tɕ	[1]抓[3]爪											
ɕ	[3]耍[5]血刷摔											
#æ												
ts	[3]者[5]摘窄则责泽择折浙褶摺											
tsʰ	[5]册策测侧拆彻撤掣[6]贼											
s	[5]塞赛色涩虱赦设[6]社射											
x	[5]黑嚇吓瞎[6]核											
Ø	[2]而儿[3]耳[6]二											
#uæ												
k	[5]国											
x	[5]或											
Ø	[5]物[6]活											
#o												
p	[1]波菠玻[3]跛[5]剥簸											
pʰ	[1]坡卜[2]婆[3]剖[5]泼[6]破											
m	[1]摸[2]魔摹摩馍蘑模谋磨[5]末膜摸[6]莫磨											
f	[3]否											
t	[1]多哆[3]躲[5]咄沰[6]跺剁垛											
tʰ	[1]拖[2]驼驮陀坨鸵[3]妥椭[5]脱托[6夺惰堕舵											
l	[1]啰[2]螺脶{手指纹}萝箩罗锣骡逻[3]摞[5]乐{快~}洛烙骆[6]落											
n	[5]搦											
ts	[1]啄[3]左佐[5]捉桌镯拙嘬撮[6]做作											
tsʰ	[1]搓挫[2]矬[5]戳绰[6]坐座昨痤锉着											
s	[1]梭唆穗[3]所锁琐索[5]缩索嗍硕											
ŋ	[2]鹅俄蛾[3]我恶[6]饿											
Ø	[1]阿{~弥陀佛}[3]哦											
#io												
ȵ	[5]虐弱掠疟略箬											
tɕ	[5]脚觉											
tɕʰ	[5]雀确[6]嚼											
ɕ	[5]削[6]学											
Ø	[5]药乐{音~}岳钥约											
#o												
