#ɿ
p[1]屄[3]鄙比
pʰ[1]批披[3]痞匹[5]僻癖辟屁
b[2]皮疲脾琵枇[6]敝弊蔽毙币陛避闭痹篦秕庇弼
m[1]眯[2]迷谜[3]米[5]觅
d[2]题提蹄啼[6]弟第递地
n[2]泥尼[5]腻匿逆溺
l[2]犁黎梨离璃厘狸[3]礼李理鲤里{路程单位}[5]例厉励丽荔利痢
tθ[1]低堤帝鸡稽知蜘支枝肢栀资姿咨脂肌几{~乎}滋之芝基机叽讥饥汁[3]底抵挤纸姊指旨子梓止址脊几{~个}[5]祭滞制制计继系智技妓寄致至冀置痔治志痣纪记忌既季掷渍迹寂自稚
tθʰ[1]梯妻疵差痴欺期[3]体启企耻齿起杞岂乞[5]替泣剃刺赐翅次器弃气汽泣
θ[1]西犀溪系撕私师狮尸丝思司诗熙希稀[3]洗徙死屎使史驶始喜[5]细世势誓系氏戏四肆示视嗜似寺=饲嗣市式饰拭隙试={~一下}侍
θʱ[2]齐时=池=驰奇=骑=瓷糍迟慈磁辞词祠棋旗荠[6]柿
∅[1]医衣依[2]宜仪依移姨疑时-池-奇-骑-[3]倚椅蚁已以[5]艺匙义议易{~易}意异毅亿忆抑翼益疫役是事字寺-市-亦译易{交~}逸自试-{考~}

#iᶽ
p[1]鞭编边蝙[3]贬扁匾[5]变遍
pʰ[1]篇偏[5]骗片
b[2]便{~宜}[6]辨辩辫便{方~}
m[2]棉={~袄}绵眠[3]免勉缅[5]面{见~，~条}
t[1]掂踮颠□{炫耀的心理：有钱~死个。}[3]点典[5]店殿奠佃
tʰ[1]添天[3]舔
d[2]甜田填[6]电垫簟
n[1]拈[2]年鲶[3]你碾[5]念
l[2]廉镰帘连联怜莲[3]脸敛[5]炼{~丹，锻~}练恋链
tɕ[1]监尖兼搛间{房~}艰间{~隔}奸煎肩坚歼[3]减碱姐检俭简柬捡拣剪茧趼[5]践鉴舰渐剑谏锏箭溅贱={下~}键毽建健荐见
tɕʰ[1]签{~名}签{竹~}纤杴谦迁笺千牵纤铅[3]潜浅遣[5]欠歉妾倩
ɕ[1]仙鲜{新~}掀先[3]写险癣筅显[5]陷馅限线羡献宪现
ɕʱ[2]咸{~丰}嫌闲钱乾虔前贤弦钳[6]县件贱-{手~}
∅[1]阉焉烟胭腌咽[2]炎盐阎檐焰严俨颜谚延言研沿岩[3]掩魇厴演衍[5]厌艳燕宴逸砚验厌焰雁谚堰

#u̜
pʙ[1]波菠玻[3]补卜捕[5]布怖
pʰʙ[1]坡铺{~床}潽{液体沸腾溢出来}醭{白~：腌制食物卤液上浮着的一层白色物体}扑[3]普蒲谱朴{~素}[5]破铺{上~}剖瀑
bʙ[2]菩婆脯仆[6]部簿步埠□{~子锤:一种舂米的工具}
f[1]夫肤敷麸[3]府斧俯釜=腐辅否[5]父付赋赴讣附妇负阜复腹缚富副傅
fʱ[2]俘芙浮符={~号}扶={~贫}
tʙ[1]多都[3]堵赌肚躲[5]妒
tʰʙ[1]拖[3]妥椭土吐[5]唾吐兔
dʙ[2]驼驮徒屠途涂图[6]舵惰杜度渡镀
n[2]挪奴[3]努[5]怒
l[1]啰□{动词，全部收集}[2]罗锣箩骡螺脶卢炉芦庐[3]裸努鲁橹虏卤[5]路赂露鹭□{收取，~钱}
tsʙ[1]租[3]组祖阻左[5]做
tsʰʙ[1]搓粗初[3]楚处[5]错措锉醋
s[1]蓑梭唆苏酥梳疏蔬[3]数{~数}索蜀锁琐所[5]数{~学}漱述术漱朔素诉塑嗉肃
sʱ[6]宿坐座助
k[1]歌锅姑孤箍估[3]果裹古股鼓[5]过故固锢雇顾
kʰ[1]科棵颗枯[3]可=苦[5]课库裤酷
h[1]贺呼忽[3]火伙虎浒[5]祸货互护霍
ɦʙ[2]河何荷和{~平}禾胡糊湖狐壶胡{~须}[6]和{~进去}户沪
∅[1]窝蜗乌污坞巫诬[2]鹅吴蜈梧符-{鬼画~}扶-{~着}[3]釜-{~山：山名，新市境内}五伍午武舞侮鹉[5]饿误悟孵务雾勿恶

#ʉ̜
t[1]兜丢[3]斗{一~米}抖陡[5]斗{~地主}
tʰ[1]偷[5]透
d[2]头投[6]豆逗
n[2]揉牛[3]纽扭钮
l[2]楼流刘留榴硫瑠馏[3]搂篓搂柳[5]漏陋
tɕ[1]揪周州洲舟纠究[3]走酒九久韭灸[5]宙皱绉咒骤救
tɕʰ[1]秋抽丘[3]丑[5]凑臭
ɕ[1]修羞搜飕馊收休[3]手守首朽[5]嗽秀绣锈宿{星~}袖瘦兽嗅
ɕʰ[2]绸稠筹求球仇愁求愁酬[6]就舅旧受寿售授
∅[1]优忧悠幽[2]油尤邮由游犹[3]有友酉[5]又右佑诱莠柚幼

#ɵy
k[1]沟勾钩[3]狗[5]够{足~}够{向上~}构勾
kʰ[1]抠[3]口[5]扣寇
ŋ[1]沤[3]藕呕[5]怄
h[1]齁[3]候{等待，~人}
ɦ[2]猴喉侯[6]候后{皇~}厚後
∅[1]欧

#ʮ
n[3]女
l[2]驴[3]吕旅缕屡履[5]虑滤率律
tθʙ[1]猪朱珠诸居车{~马炮}诛蛛株拘驹矩[3]煮举嘱主[5]著巨拒距据锯聚注驻蛀铸倶句具惧[6]剧{戏~}剧{~烈}
tθʰʙ[1]蛆趋区驱屈[3]取娶褚曲[5]处趣
θ[1]虚墟须须{胡~}需枢殊输{运~}书舒输[3]署薯暑鼠黍许[5]续序叙绪絮[6]蓄畜{~牧业}旭粟束
θʱ[2]徐锄渠厨[6]柱住竖树
∅[1]吁盂[2]于鱼渔御淤余愚虞娱榆逾愉如[3]语雨宇禹羽[5]誉预豫遇寓愈芋喻裕郁域玉狱浴欲

#ᴀ
p[1]巴芭疤□{粘起来}[3]把[5]霸欛壩爸罢
pʰ[1]趴[5]怕帕
b[2]爬琶杷耙
m[1]妈蟆[2]麻[3]马码□{~~：妻子}[5]骂□{“马上”的合音}
t[3]打
d[6]大={~小}
n[2]拿[3]哪
l[1]他拉
ts[1]渣遮[5]诈榨炸{~弹}乍□{液体溅出去}
tsʰ[1]叉差[5]岔
s[1]莎沙纱奢赊[3]洒舍傻厦{一间两~}洒撒[5]厦{高楼大~}
sʱ[2]茶搽查蛇昨
k[1]家{人~}□{打结、系上，~红领巾}[5]尬架{动词，将物品放置在较高的位置}
kʰ[1]咖[3]卡
ŋ[1]□{强买强卖，~人：强卖给你。本字可能是“挜”}[2]衙-{~头，村名}伢{小~家：小孩子}[3]哑[5]□{因没有润滑剂或介质造成磨损，把轮胎~掉了：因车胎没气，造成轮胎损害}
h[1]哈{抬高物价，坑骗}哈{~开：张开}[3]坏{~人：坏人}
ɦ[6]下-{~落}
∅[1]阿也[2]还{~有}[3]可-{疑问词}

#ia
t[1]爹
tɕ[1]家={人~}加嘉傢佳[3]假贾姐-{~夫}[5]假架{~子}驾嫁稼价借
tɕʰ[1]□{故意刁难，~把：故意为难}
ɕ[1]□{顺走，偷窃}
ɕʱ[2]茄霞瑕邪斜峡狭辖[6]夏下={~降}
∅[1]鸦耶[2]牙芽衙=爷涯崕[3]雅野[6]亚夜

#uᴀ
k[1]瓜[3]寡剐[5]挂卦
kʰ[1]夸[3]侉垮[5]跨
h[1]花划{划伤}
ɦ[2]华划{~船}[6]划{~开界限}化华桦画
∅[1]蛙洼挖[3]瓦[5]话

#ʮa
tθ[1]抓[3]爪
θ[3]耍

#ɒ
p[1]帮邦[3]榜绑[5]谤棒
pʰ[1]漂[3]膀[5]胖
b[2]旁螃庞[6]傍泵
m[2]忙芒茫芒{麦~}盲[3]莽蟒
f[1]方芳[3]纺仿{~造}仿{~佛}访[5]放
fʱ[2]肪坊仿妨防
t[1]当铛裆[3]党挡[5]当□{~鸭子：赶鸭子}荡□{~刀布}档
tʰ[1]汤[3]倘[5]烫趟
d[2]堂棠螳唐糖塘[6]宕氹
n[2]囊瓤
l[2]郎狼廊[3]朗盪{洗涤}[5]浪㫰{晾置}
ts[1]赃脏肮张章樟漳獐[3]掌长{生~}涨[5]葬藏{西~}脏帐账胀丈仗杖障瘴□{~人：气人}
tsʰ[1]仓苍昌菖娼[3]厂[5]畅唱倡
s[1]桑丧商伤[3]赏晌[5]丧{~失}尚
sʱ[2]藏{收~}长肠场常尝偿[6]上
z[1]□{“衣裳”的合音}[3]壤攘嚷[5]让
k[1]岗钢冈刚纲缸豇□{~~子：蜻蜓}[3]胳港杠{隆起的一条线}[5]杠{横置木棍}虹
kʰ[1]康糠慷[5]抗炕囥
ŋ[1]□{~子龟：黄颡鱼}
h[1]夯
ɦ[2]行杭航扛□{仰起来，~个头：抬着头}[6]巷

#iɒ
n[2]娘[5]酿
l[2]良粮凉量梁粱[3]两[5]亮谅辆量{数~}
tɕ[1]浆将姜疆僵缰姜江[3]蒋奖桨讲[5]酱将{大~}降
tɕʰ[1]枪腔□{惊吓家禽}[3]抢[5]呛𪉨{~咸鸭蛋：腌制咸鸭蛋}
ɕ[1]箱相厢湘襄镶香乡[3]想饷响享[5]相{~貌}向项
ɕʱ[2]墙祥详强降{投~}[6]匠犟像象橡
∅[1]秧央殃[2]羊洋杨阳扬疡炀[3]仰养痒[5]样□{利用风力去除谷物中的杂物}

#uɒ
k[1]光[3]广[5]逛
kʰ[1]筐匡眶[2]狂=[5]旷况矿
h[1]荒慌[3]谎[5]晃
∅[1]汪[2]黄簧皇蝗房亡王狂-{~犬病}[3]网枉往[5]望妄忘旺

#ʮɒ
tθ[1]庄装妆桩[5]壮状
tθʰ[1]疮窗[3]闯[5]创
θ[1]霜双[3]爽
θʱ[2]床[6]撞

#ɞ
∅[2]儿而[3]耳饵洱[5]二贰

#ɛ
p[1]班斑颁扳般掰[3]版板坂[5]扮
pʰ[1]攀潘=[5]盼判=叛={~徒}畔
b[6]瓣办
m[2]蛮[5]慢
f[1]帆藩翻番[3]反[5]泛贩
fʱ[2]凡烦矾繁范{姓氏}范{模~}[6]犯
v[5]饭万
t[1]耽担单{~数}丹[3]胆掸[5]担旦石{重量单位，1石等于118.4斤}但
tʰ[1]瘫贪={~官}坍滩摊[3]毯[5]探炭叹
