pi[1]碑卑蓖□{河， 大~}弼
pi[2]皮疲脾肥琵枇
pi[3]譬{~如}鄙比
pi[4]被婢
pi[5]臂泌庇痹弊
pi[6]避鼻备毙
pʰi[1]披□{动词： 吐， ~出来}
pʰi[3]彼
pʰi[5]屁
mi[2]眉楣媚微迷
mi[3]尾{后面：后~}
mi[4]尾{~巴}
mi[5]睸{动词，眼睛闭合， ~贴眼：合上眼。《集韵· 至韵》： 蜜二切， 目合。}□{□[kuɒ44]~： 鸟}
mi[6]寐未□渳{动词，渳水：憋气潜入水中。《广韵·纸韵》：渳，绵婢切，水貌，说文𣣫也。}
fi[1]非飞妃匪翡
fi[5]废肺费
ti[1]{ }资姿咨兹滋淄□{微小的虫子： 一头~：一只虫子}
ti[3]姊{~妹}子梓
ti[6]地
tʰi[3]此
tʰi[5]疵刺赐次砌
ni[1]□{形容词，粘稠，糯米糍咁~：糯米糍很粘稠}
ni[3]拟□{箇~：现在}
ni[4]你
ni[5]□{语气词， 表疑问语气}
θi[1]斯私司丝思蛳{螺~粉}
θi[2]雌瓷慈磁辞词祠鹚
θi[3]死
θi[4]似
θi[5]四肆
θi[6]自字牸{牛牸：未生子的母牛，《广韵·志韵》：牸， 疾置切， 牝牛。 ” 宋洪迈《夷坚丁志· 师逸来生债》： “拂旦，田仆来报，昨夜三更，白牸生犊。 ”}寺嗣饲
li[1]璃{玻~}梨{}
li[2]离篱{园~：篱笆}厘狸
li[3]□{动词， 拔： ~鸡毛}
li[4]李理鲤里
li[5]□{动词，挠痒痒}
li[6]利痢厉
ʧi[1]知蜘支枝肢脂之芝栀
ʧi[3]紫纸只{~有}旨指止趾址
ʧi[5]智致稚至置志
ʧʰi[1]痴撕嗤
ʧʰi[3]耻齿始厕
ʧʰi[5]翅斥
ȵi[1]儿{小称}
ȵi[2]儿宜{便~}谊而疑仪
ȵi[3]议
ȵi[4]尔耳饵
ȵi[6]二义毅
ʃi[1]施师狮尸诗
ʃi[2]池驰匙迟持时痔恃
ʃi[3]屎史{历~}
ʃi[4]是士仕市
ʃi[5]试式
ʃi[6]豉氏视示治事侍
ki[1]妓饥肌基机讥姬箕畸
ki[2]奇骑歧企其棋期旗祈
ki[3]己{自~}杞几岂
ki[4]徛{动词，站立。 我坐倒，你徛倒： 我坐着，你站着。《广韵· 纸韵》： 徛，渠绮切，立也。}
ki[6]技
ki[5]寄纪记忌既痣季继
kʰi[3]启
kʰi[5]系
hi[1]牺{~牲}欺嬉熙希稀曦
