		汉字	音标	注释
	1	多	ta55	
	2	拖	tʰɔ55	
	3	他	tʰa55	
	4	驼	tʰɔ22	
	5	哪	la22	
	6	罗	lɔ22	
	7	左	tsɔ35	
	8	歌	kɔ55	
	9	哥	kɔ55	
	10	可	hɔ35	
	11	鹅	ŋɔ22	
	12	我	ŋɔ23	
	13	饿	ŋɔ53	
	14	河	hɔ22	
	15	贺	hɔ53	
	16	阿	ɔ55	
	17	阿阻	a23	
	18	茄	kʰœ22	
	19	波	pɔ55	
	20	坡	pɔ55	
	21	破	pʰɔ23	
	22	婆	pʰɔ22	
	23	磨	mɔ22	
	24	摩	mɔ22	
	25	朵	tœ35	
	26	椭	tʰɔ23	
	27	糯	lɔ53	
	28	坐	tsʰɔ22	
	29	座	tsɔ53	
	30	锁	sɔ35	
	31	果	kɔ35	
	32	过	kɔ23	
	33	科	fɔ55	
	34	课	fɔ23	
	35	火	fɔ35	
	36	货	fɔ23	
	37	禾	wɔ22	
	38	祸	wɔ53	
	39	靴	hœ55	
	40	巴	pa55	
	41	把	pa35	
	42	霸	pa23	
	43	爸	pa55	
	44	怕	pʰa23	
	45	爬	pʰa22	
	46	耙	pʰa22	
	47	麻	ma22	
	48	马	ma23	
	49	妈	ma55	
	50	拿	la22	
	51	茶	tsʰɔ22	
	52	渣	tsa55	
	53	炸	tsa23	
	54	差	tsʰa55	
	55	查	tsʰa22	
	56	沙	sa55	
	57	家	ka55	
	58	假	ka23	
	59	假n	ka23	
	60	痂	ka55	
	61	架	ka23	
	62	牙	ŋa22	
	63	虾	ha55	
	64	吓	hak23	
	65	霞	ha22	
	66	下	ha53	
	67	下	ha53	
	68	夏	ha53	
	69	鸦	a55	
	70	哑	a35	
	71	亚	a23	
	72	姐	tsɛ35	
	73	借	tsɛ23	
	74	且	tsʰɛ35	
	75	藉	tsek53	
	76	些	sɛ55	
	77	写	sɛ35	
	78	斜	tsɛ22	
	79	卸	sɛ23	
	80	邪	tsʰɛ22	
	81	谢	tsɛ53	
	82	遮	tsɛ55	
	83	者	tsɛ35	
	84	蔗	tsɛ23	
	85	车	tsʰɛ55	
	86	扯	tsʰɛ35	
	87	蛇	sɛ22	
	88	射	sɛ53	
	89	舍	sɛ35	
	90	舍	sɛ23	
	91	赊	sɛ55	
	92	社	sɛ23	
	93	惹	jɛ23	
	94	爷	jɛ22	
	95	野	jɛ23	
	96	夜	jɛ53	
	97	瓜	ka55	
	98	夸	kʰa55	
	99	瓦	ŋa35	
	100	花	fa55	
	101	化	fa23	
	102	华	wa22	
	103	蛙	wa55	
	104	补	pou35	
	105	谱	pʰou35	
	106	布	pou23	
	107	铺	pʰou23	
	108	铺	pʰou55	
	109	怖	pou23	
	110	部	pou53	
	111	步	pou53	
	112	模	mou22	
	113	墓	mou53	
	114	都	tou55	
