汉字	注释	音标
多		to1
拖		dʰo1
驼		dʰo2
大		dʰai6
锣		lo2
左		tso3
歌		ko1
哥		ko1
可		ho3
鹅		ŋo2
饿		ŋo6
河		ho2
贺		ho6
茄		ɡʰiɑ2=/ɡʰio2-
波		po1
坡		pʰo1
破		bʰo5
婆		bʰo2
磨	~刀	mo2
磨	石~	mo6
朵		to3
糯		lo6
螺		lo2
锉		dzʰo5
坐		dzʰo6
座		dzʰo6
唆		so1
锁		so3
果		kuo3
过		kuo5
课		ɡʰuo5
火		fo3
货		fo5
禾		vo2
祸		fo6
靴		hiɑ1
疤		pɑ1
把		pɑ3
霸		pɑ5
怕		bʰɑ5
爬		bʰɑ2
耙	犁~	bʰɑ6
麻		mɑ2
马		mɑ3
骂		mɑ6
拿		lɑ2
茶		dzʰɑ2
榨		tsɑ5
叉		dzʰɑ1
查		dzʰɑ2
沙		sɑ1
家		kiɑ1=/kɑ1-
加		kiɑ1=/kɑ1-
假	真~	kiɑ3=/kɑ3-
嫁		kɑ5
牙		ŋɑ2
芽		ŋɑ2
虾		hɑ1
下	方位	hɑ6=/ɡʰɑ6-
下	动词	hɑ6
哑		ŋɑ3
姐		tsiɑ3
借		tsiɑ5
写		siɑ3
泻		siɑ5
邪		dzʰiɑ2
斜		dzʰiɑ2
谢		dzʰiɑ6
遮		tɑ1
蔗		tɑ5
车		dʰɑ1
扯		dʰɑ3
蛇		ʃɑ2
射		ʃɑ6
赊		ʃɑ1
舍	~不得	ʃɑ3
社		ʃɑ6
惹		lɑ3
爷		iɑ2
野		iɑ3
夜		iɑ6
瓜		kuɑ1
垮		ɡʰuɑ3
瓦		ŋɑ3
花		fɑ1
化		fɑ5
补		pu3
布		pu5
铺	~设	bʰu1
部		bʰu6
簿		bʰu6
步		bʰu6
墓		mu6
都		təu1
赌		təu3
肚	猪~	təu3
土		dʰəu3
兔		dʰəu5
涂		dʰəu2
图		dʰəu2
杜		dʰəu6
肚	腹~	dʰəu6
度		dʰəu6
炉		ləu2
卤		ləu3
路		ləu6
露		ləu6
租		tsɯ1
祖		tsɯ3
做		tsɯ5
粗		dzʰɯ1
醋		dzʰɯ5
错		dzʰo5
苏		sɯ1
姑		ku1
箍		ɡʰu1
鼓		ku3
枯		ɡʰu1
苦		ɡʰu3
裤		ɡʰu5
吴		vu2
五		ŋ̍3
虎		fu3
胡		fu2=/vu2-
湖		fu2
户		fu6
乌		vu1
女		ȵʯ3
吕		dʰi3
徐		si2
猪		kʯ1
除		ɡʰʯ2
苎		ɡʰʯ6
初		dzʰɯ1
锄		dzʰɯ2
助		dzʰɯ6
梳		sɯ1
煮		kʯ3
书		ʃʯ1
鼠		ʃʯ3
薯		fi2
车	~马炮	kʯ1
锯		kiɛ5
去		ɡʰiɛ5
鱼		ŋ̍2
语		ȵʯ3
虚		ʃʯ1
许		ʃʯ3
余		ʯ2
夫		fu1
斧		fu3
符		fu2
扶		fu2
辅		fu3
舞		vu3
雾		vu6
娶		dzʰi3
鬚	鬍~	si1
厨		ɡʰʯ2
柱		ɡʰʯ6
住		ɡʰʯ6
数	名词	sɯ5
朱		kʯ1
主		kʯ3
蛀		kʯ5
输		ʃʯ1
竖		ʃʯ6
树		ʃʯ6
句		kʯ5
区		ɡʰʯ1
具		kʰʯ6
雨		ʯ3
芋		ʯ3
戴		tai6
台		dʰai2
待		dʰai6
代		dʰai6
袋		dʰai6
来		lai2
栽		tsai1
菜		dzʰai5
财		dzʰai2
该		kai1
改		kai3
开		hai1
碍		ŋai6
海		hai3
哀		ŋai1
爱		ŋai5
贝		pai5
带		tai5
太		dʰai5
蔡		dzʰai5
盖		kai5
害		hai6
拜		pai5
排		bʰai2
埋		mai2
阶		kai1
界		kai5
械		kai5
挨	~着	ŋai1
摆		pai3
派		bʰai5
牌		bʰai2
稗		bʰɑ6
买		mai3
卖		mai6
奶		lai3
债		tsai5
筛		sai1
晒		sɑ5
街		kai1
鞋		hai2
蟹		hai1
矮		ŋai3
败		bʰai6
毙		bʰi6
例		dʰi6
祭		tsi5
世		ʃɨ5
闭		pi5
批		bʰi1
米		mi3
低		ti1
堤		dʰi2
梯		dʰi1
体		dʰi3
替		dʰi5
题		dʰi2
提		dʰi2=/dʰia2-
弟		dʰi6
第		dʰi6
泥		ŋɛ2
犁		dʰi2
礼		dʰi3
妻		dzʰi1
齐		dzʰi2
西		si1
洗		si3
细		si5
鸡		kɛ1
启		ɡʰi3
杯		pai1
背	~脊	pai5
配		bʰi6
赔		bʰai2
倍		bʰai6
梅		mi2
妹		mai6
堆		tai1
对		tai5
推		dʰai1
腿		dʰai3
退		dʰai5
队		tʰai5
雷		lai2
催		dzʰai1
罪		dzʰi6
碎		dzʰi5
块		ɡʰuai5
灰		fai1
悔		fi5
回		fi2=/uai2-
汇		fi6
最		tsi5
外		vai6
会	开~	fi6
会	~不~	fai6
乖		kuai1
怪		kuai5
怀		fai2
坏		fai6
柺		kuai3
挂		kuɑ5
歪		vai1
画		fɑ6
快		ɡʰuai5
话		fɑ6=/vɑ6-
岁		si5
税		ʃʯ5
卫		vi5
肺		fi5
桂		kui5
碑		pi1
披		bʰi1
皮		bʰi2
被	~子	bʰi6
被	~迫	bʰi6
紫		tsɯ3
此		dzʰɯ3
知		tʃɨ1
池		dʒʰɨ2
支		tʃɨ1
纸		tʃɨ3
是		ʃɨ6
儿		ʯ2
寄		ki5
骑		ɡʰi2
义		ȵi6
议		ȵi6
戏		hi5
椅		i3
移		i2
易	容~	i6
悲		pi1
比		pi3
备		bʰi6
鼻		bʰit7
眉		mi2
霉		mai2
美		mi3
地		dʰi6
梨		dʰi2
利		dʰi6
资		tsɯ1
瓷		dzʰɯ2
自		dzʰɯ6
私		sɯ1
死		sɯ3
四		sɯ
迟		dʒʰɨ2
师		sɯ1
指	动、名	tʃɨ3
示		ʃɨ6
尸		ʃɨ1
屎		ʃɨ3
二		ʯ6
器		ɡʰi5
姨		i2
李		dʰi3
里	~面	dʰi3
子		tsɯ3
慈		dzʰɯ2
字		dzʰɯ6
丝		sɯ1
祠		dzʰɯ2
饲		dzʰɯ6
痴		dʒʰɨ1
耻		dʒʰɨ3
士		dzʰɯ6
柿		ʃɨ6
事		sɯ6
使		ʃɨ3
之		tʃɨ1
止		tʃɨ3
志		tʃɨ5
痣		tʃɨ5
齿		dʒʰɨ3
诗		ʃɨ1
始		ʃɨ3
试		ʃɨ5
时		ʃɨ2
市		ʃɨ6
而		ɥ2
耳		ɥ3
基		ki1
欺		ɡʰi1
起		ɡʰi3
旗		ɡʰi2
记		ki5
疑		ȵi2
喜		hi3
医		i1
意		i5
以		i3
机		ki1
几	~个	ki3
气		ɡʰi5
衣		i1
随		si2
吹		ɡʰʯ1
规		kui1
亏		ɡʰui1
跪		ɡʰui3
毁		fi3
委		vi3
类		dʰi6
泪		dʰi6
醉		tsi5
追		kʯ1
锤		ɡʰʯ2
帅		sai5
水		ʃʯ3
龟		kui1
季		ki5
葵		ɡʰui2
柜		ɡʰʯ6
位		vi6
飞		fi1
匪		fi3
费		fi5
肥		fi2
尾		ui3=/me3-
味		ui6
归		kui1
鬼		kui3
贵		kui5
魏		vi6
威		vi1
围		vi2
伟		vi3
胃		vi6
宝		pau3
报		pau5
袍		bʰau2
抱		bʰau6
暴		bʰau6
毛		mau2
帽		mau6=/moŋ6-
刀		tau1
到		tau5
讨		dʰau3
套		dʰau5
桃		dʰau2
道		dʰau6
稻		dʰau6
脑		lau3
牢		lau2
捞		lau2
老		lau3
糟		tsau1
早		tsau3
造		dzʰau6
操	体~	dzʰau1
草		dzʰau3
曹		dzʰau2
造		dzʰau6
臊		sau1
扫	~地	sau3
嫂		sau3
扫	~帚	sau5
高		kau1
稿		kau3
告		kau5
考		hau3
靠		hau2
熬		ŋau2
傲		ŋau6
好	~坏	hau3
号	~数	hau6
袄		ŋau3
包		pau1
饱		pau3
豹		pau5
炮		bʰau5
跑		bʰau3
猫		mau1
闹		lau6
罩		tsau5=/tsɛu5-
抄		dzʰau1
炒		dzʰau3
巢		dzʰau2
交		kiau1
搅		kiau3
搞		kau3
教	~育	kiau5
咬		ŋau3
孝		hiau5
效		hiau6
标		piau1
表		piau3
飘		bʰiau2
瓢		bʰiau2
苗		miau2
秒		miau3
庙		miau6
妙		miau6
椒		tsiau1
消		siau1
小		siau3
笑		siau5
朝	今~	tɛu1
超		dʰɛu1
潮		dʰɛu2
赵		dʰɛu6
招		tɛu1
照		tɛu5
烧		sɛu1
少	多~	sɛu3
绍		ʃau6
饶		ȵiau2
骄		kiau1
桥		ɡʰiau2
轿		ɡʰiau6
腰		iau1
要	需~	iau5
摇		iau2
窑		iau2
舀		iau3
耀		iau6
鸟		ŋɛu3
钓		tiau5
挑		dʰiau1
跳		dʰiau5
条		dʰiau2
调	音~	dʰiau5
尿		ȵiau6
了		dʰiau3
料		dʰiau6
萧		siau1
缴		kiau3
叫		kiau5
晓		hiau3
亩		miau3
母		mu3
兜		tɛu1
斗	一~	tɛu3
斗	~争	tɛu5
偷		dʰɛu1
透		dʰɛu5
头		dʰɛu2
豆		dʰɛu6
楼		lɛu2
篓		lɛu3
漏		lɛu6
走		tsɛu3
沟		kɛu1
阄		kɛu1
狗		kɛu3
够		kɛu5
口		hɛu3
扣		hɛu5
藕		ŋɛu3
喉		hɛu2
猴		hɛu2
后	前~	hɛu6
厚		hɛu6
呕		ŋɛu3
沤		ŋɛu5
富		fu5
浮		fɛu2
妇		fu6
谋		miau2
矛		/
纽		ȵiu3
流		dʰiu2
刘		dʰiu2
留		dʰiu2
柳		dʰiu3
酒		tsiu3
秋		dzʰiu1
就		dzʰiu6
修		siu1
绣		siu5
袖		dzʰiu6
昼		təu5
抽		dʰəu1
绸		dʰəu2
绉		tsɛu5
愁		tsʰɛu2
搜		sɛu1
瘦		sɛu5
周		təu1
州		təu1
帚		təu3
咒		təu5
臭		dʰəu5
收		səu1
手		səu3
守		səu3
仇		dʰəu2
受		səu6
寿		səu5
九		kiu3
久		kiu3
救		kiu5
丘		ɡʰiu1
球		ɡʰiu5
舅		ɡʰiu6
旧		ɡʰiu6
牛		ȵiu2
休		hiu1
忧		iu1
有		iu3
右		iu6
油		iu2
彪		piau1
纠		kiu1
幼		iu5
答		tot7
搭		tat7
贪		dʰon1
探		dʰon5
踏		dʰat7
潭		dʰon2
南		lon2
男		lon2
纳		lot7
参	~加	dzʰon1
蚕		dzʰon2
杂		dzʰot7
感		kon3
鸽		kot7
含		hon2
合		hot7
暗		ŋon5
担	~任	tan1
胆		tan3
担	挑~	tan5
塌		dʰat7
塔		dʰat7
痰		dʰan2
淡		dʰan6
篮		lan2
腊		lat7
蜡		lat7
甘		kon1
柑		kon1
敢		kon3
喊		han3
站	车~	tsan5
赚		dzʰan6
斩		tsan3
插		dzʰat7
杉		sɑ1
减		kan3
咸		han2
狭		hiɛt7
衫		san1
甲		kat7
衔		han2
舰		kan5
鸭		ŋat7
压		ŋat7
贬		piɛn3
粘	~性	ȵiɛn2
镰		dʰiɛn2
猎		dʰiɛt7
尖		tsiɛn1
接		tsiɛn7
签		tsʰiɛn1
占	~领	tɛn5
折	~叠	tɛt5
闪		siɛn3
染		ȵiɛn3
检		kiɛn3
钳		ɡʰiɛn2
验		ȵiɛn6
险		hiɛn3
厌		iɛn5
盐		iɛn2
檐		iɛn2
叶		iɛt7
剑		kiɛn5
欠		kʰiɛn5
严		ȵiɛn2
业		ȵiɛn7
点		tiɛn3
店		tiɛn5
跌		tiɛt7=/tan5-
添		tiɛn1
贴		dʰiɛt7
甜		dʰiɛn2
叠		dʰiɛt7
拈		ȵiɛn1
念		ȵiɛn6
兼		kiɛn1
谦		kʰiɛn1
嫌		hiɛn6
协		hiɛt7
凡		fan2
犯		fan6
乏		fat7
法		fat7
泛		fan5
品		bʰin3
林		dʰin2
笠		dʰit7
粒		dʰit7
浸		tsin5
集		dzʰit7
心		sin1
寻		sin2=/dzʰin2-
习		sit7
沉		dʰən2
参	人~	sɛn1
森		sɛn1
针		tən1
汁		tət7
深		ʃən1
沈		ʃən3
湿		ʃət7
十		ʃət7
任	责~	ʯən6
入		/
金		kin1
锦		kin3
禁	~止	kin5
急		kit7
级		kit7
琴		ɡʰin2
及		ɡʰit7
吸		kit7
阴		in1
单		tan1
摊		dʰan1
炭		dʰan5
弹	~琴	dʰan2
蛋		dʰan6
达		dʰat7
难	~易	lan2
兰		lan2
懒		lan3
烂		lan6
辣		lat7
赞		tsan5
餐		dzʰan1
擦		dzʰat7
残		dzʰan2
伞		san3
散	分~	san5
肝		kon1
杆		kon1
干	~活	kon5
割		kot7
看	~见	ɡʰon5
岸		ŋon6
汉		hon5
寒		hon2
旱		hon6
汗		hon6
安		ŋon1
案		ŋon5
扮		pan5
八		pat7
办		bʰan6
拔		bʰat7
抹		mat7
盏		tsan3
铲		dzʰon3
察		dzʰat7
山		san1
产		dzʰan3
杀		sat7
间	中~	kan1
拣		kan3
眼		ŋan3
闲		han2
限		han6
苋		han6
班		pan1
板		pan3
蛮	野~	man2
慢		man6
奸		kan1
颜		ŋan2
瞎		ɡʰat7
晏	晚也	ŋan5
鞭		piɛn1
变		piɛn5
偏		bʰiɛn1
骗		bʰiɛn5
辩		bʰiɛn6
别		bʰiɛt7
棉		miɛn2
免		miɛn3
面	~上	miɛn6
灭		miɛt7
连		dʰiɛn2
裂		dʰiɛt7
煎		tsiɛn1
剪		tsiɛn3
箭		tsiɛn5
迁		dzʰiɛn1
浅		dzʰiɛn3
钱		dzʰiɛn2
贱		dzʰiɛn6
仙		siɛn1
癣		siɛn3
线		siɛn5
薛		siɛt7
展		kʯɛn3
缠		ɡʰʯɛn2
战		tɛn5
折	~断	tɛt7
舌		ʃɛt7
扇	~子	ʃɛn5
设		ʃɛt7
善		ʃɛn6
折	~本	ʃɛt7
然		ʯɛn2
热		ʯɛt7
件		ɡʰiɛn6
杰		ɡʰiɛt7
孽		ȵiɛt7
延		iɛn2
演		iɛn3
建		kiɛn5
健		ɡʰiɛn6
言		ȵiɛn2
掀		ʃʯɛn1
献		hiɛn5
歇		hiɛt7
边		piɛn1
扁		piɛn3
遍		piɛn5
片		bʰiɛn5
撇		bʰiɛt7
辫		bʰiɛn6
面	~条	miɛn6
篾		miɛt7
颠		tiɛn1
天		dʰiɛn1
铁		dʰiɛt7
田		dʰiɛn2
填		dʰiɛn2
电		dʰiɛn6
垫		dʰiɛn6
年		ȵiɛn2
捏		ȵiɛt7
莲		dʰiɛn2
炼		dʰiɛn6
节		tsiɛt7
千		dzʰiɛn1
切		dzʰiɛt7
前		dzʰiɛn2
先		siɛn1
肩		kiɛn1
见		kiɛn5
结		kiɛt7
牵		ɡʰiɛn1
现		hiɛn6
烟		iɛn1
燕		iɛn5
搬		pon1
半		pon5
潘		bʰon1
判		bʰon5
泼		bʰot7
盘		bʰon2
伴		bʰon6
叛		bʰon5
满		mon3
末		mot7
端		ton1
短		ton3
脱		dʰot7
团		dʰon2
断	折~	dʰon6
缎		dʰon6
夺		dʰot7
暖		lon3
乱		lon6
捋		lot7
酸		son1
算		son5
官		kuon1
管		kuon3
灌		kuon5
括		kuot7
宽		ɡʰuon1
阔		ɡʰot7
欢		fon1
完		von2
丸		ʯɛn2
换		fon6=/von6-
活		fot7=/vot7-
碗		von3
顽		van2
猾		vat7
挖		vɑ1
闩		son1
刷		sot7
关		kuan1
惯		kuan5
刮		kuat7
还	归~	fan2=/van2-
弯		van1
全		dzʰiɛn2
绝		dzʰiɛt7
雪		siɛt7
转	~身	kʯɛn3
传	~达	ɡʰʯɛn2
砖		kʯɛn1
穿		ɡʰʯɛn1
船		ɡʰʯɛn2
说	小~	ʃʯɛt7
软		ŋʯɛn3
卷	~起	kʯɛn3
圈	圆~	ɡʰʯɛn1
拳		ɡʰʯɛn2
权		ɡʰʯɛn2
圆		ʯɛn2
缘		ʯɛn2
反		fan3
发		fat7
翻		fan1
烦		fan2
饭		fan6
罚		fat7
万		van6
袜		uat7=/ɡʰuat7-
劝		ɡʰʯɛn3
元		ŋʯɛn2
原		ŋʯɛn2
月		ŋʯɛt7
冤		ʯɛn1
远		ʯɛn3
决		kʯɛt7
缺		ɡʰʯɛt7
