	注释：-白读，=文读
#ɿ	
ts	[55]知支栀资姿咨滋之芝正-{～月}[212]只{～有}执汁结-{～果子}质织=职植殖[35]制智自致指{动词}巳志寺蛰颈治[33]翅至痔痣正{～面}[53]紫旨指{名词}子梓止趾脂渍
tsʰ	[55]痴齿{牙～}十拾{捡}□{米糠}[212]秩[35]滞赐[53]此耻齿{～轮}[0]稚
dz	[33]池={水～}瓷迟慈磁辞词祠持兹
s	[55]斯厮施私尸司思诗声[212]什{～锦}失室={办公～}食={粮～}蚀识适释[35]势{形～}誓氏屎示□{□uo212～：阿姨}嗣士仕柿事=市□{□tɕyo212～崽：板栗}[33]豉视{近～}饲试式时[53]使={大～}史驶始□{～个时候：什么时候}[0]势{大～：大家}饰□{猫～：猫}□{伢～：伢子，小孩}视{电～}
z	[212]实赢[0]易{容～}□{□xɑ35～：弟弟}□{火～：火苗}
#i	
p	[55]蓖[212]毕必碧璧瓶-{药～}枇[35]比扁{～的}并{～排}□{石～：石板}[33]鼻闭箅{蒸～：蒸笼}[53]彼[0]婢痹备
pʰ	[55]批[212]弼僻辟[33]屁[53]鄙[0]庇
b	[35]篦□{～饭：稀饭}[33]疲脾琵
m	[55]名[212]秘蜜[35]媚[33]迷谜靡弥[53]米={一～}咪{抿}
t	[55]低今{～朝：今天}□{□tɕyᴇ35～：结巴}[212]笛敌狄[35]抵帝地={～主}第递[33]滴[53]的{目～}[0]□{灰～：灰尘}
tʰ	[55]侄[53]体[0]隶{奴～}
d	[33]题提
n	[212]立笠逆历={～史}[35]履{鞋子}丽荔利痢厘李{姓}鲤吏领{引～}[33]厉励黎离□{兔～崽：兔子}[53]狸礼{敬～}理[0]隶{～书}
tɕ	[55]飢{～饿}饑{～荒}肌几{茶～}基机=讥今{～年}腈经{念～}井-{天～}[212]糍缉集辑吸级及疾吉即极戟屐积迹籍藉寂激击剂[35]计=继际寄技妓姊冀忌幾{～个}既季纪{世～}□{黄～：黄母牛；水～：水母牛}[53]室-{房子}挤济己纪{～律}幾{～乎}[0]杞□{□tsɐ55～崽：膝盖；□nu55～骨：膝盖骨}
tɕʰ	[55]妻溪=欺清-轻{～重；年～}青[212]戚[35]企器弃汽请[53]起=祈岂七漆[33]砌契刺气凊{～水：凉水}净-
dʑ	[35]牸{水～：水母牛}[33]奇骑歧祁鳍其棋期旗
ȵ	[55]燃-[35]尔你谊义议[33]泥尼倪念疑沂砚[0]腻
ɕ	[55]西栖犀熙稀希星腥□{鱼～：鱼鳞}□{～该：应该}[212]习袭息昔席夕锡析[35]戏[33]四肆媳[53]洗喜{双～}[0]係{关～}荠{荸～}
∅	[55]医衣依翳[212]缢乙一{～二三}益液译[35]逸肄意忆亿易{交～}翼影{～崽：影子}[33]饴仪夷姨遗□{～亮：熄灯}[53]椅以已一{十～}
#u	
p	[212]不=[35]补薄{厚～}步埠部[33]布{粗～}佈{公～}簿□{阿～：祖父}[53]钵拨木-{～□tsʰʌɯ0：木匠}
b	[53]□{寡～□nɐ55：鳏夫}[353]坡[33]蒲菩荸□{□kʰuɑ35～鼾：打鼾}
pʰ	[55]铺{～床}[212]勃朴仆[35]□{偷看}[33]铺{店～}□{花～：花瓣}[53]谱普浦甫
m	[55]磨{～刀}模{～崽：模子}摸□{钝}[212]木=目穆牧[33]磨{石～}□{～鹰：老鹰}[53]□{～□ni0：蚊子，苍蝇}
f	[55]夫[212]复佛斛{～桶：脱粒用的木桶}福腹覆服伏[35]斧赋傅赴附妇={～女}阜富副幅[33]芙敷腐={豆～}[53]府俯付辅抚腐={～败}
v	[212]壶鬍{～须}无猢物和{～尚}□{～蟆：青蛙}[35]务雾戊□{扔，甩}[353]舞侮鹉武[33]学-{跟渠～：跟他学}
t	[55]都[212]督毒[35]杜妒镀[33]度带{名词}[53]着{～衣：穿衣服}[0]朵
tʰ	[55]□{～□dzəŋ33：得瘟病□着{～睏：睡着}□{介词，被}[212]突秃[35]舵[53]拓脱托託
d	[212]□{坑坑～～：坑坑洼洼}[33]带{动词}徒=途图塗
n	[55]罗锣箩骡脶揉□{～□tɕi0骨：膝盖骨}[212]陆录鹿禄[35]□{找，寻}[33]大-奴庐炉芦[53]努鲁虏滷
ts	[55]租诸株朱珠[212]卒筑祝足促触蜀[35]著助注水[33]左帚[53]祖组阻雀
tsʰ	[55]搓凿镯[212]族束[35]醋[33]锉错-{对～}□{剁}[53]处楚出□{～棉花：轧棉花}
dz	[33]除储厨雏
s	[55]蓑梭苏酥疏蔬舒枢输殊鼠[212]术{白～：一种中药}述速肃宿{～舍}缩淑俗续嘱赎属[35]锁素嗦[33]税[53]撒署暑索{粗绳子}□{～米：糯米}[0]宿{星～}□{箩～：箩筐}
z	[212]如入=辱褥[33]穗浴[53]汝
k	[55]歌哥姑孤箍估[35]古牯股鼓雇故固[33]过旧[53]葛-{～粉}脚角{一～钱}谷{山～}穀{稻～}[0]□{□tsuo53～□pʌɯ212：腋下}
kʰ	[55]枯□{～腰带：系腰带}窠□{～叶：茶叶}[212]酷[35]裤苦虎[53]磕渴阔
ŋ	[55]鹅
x	[212]活{死～}[35]户沪护瓠忽[33]货浒葫湖狐胡{姓}
∅	[55]乌局诬窝[212]和{～面}吴握沃[35]我误悟[33]禾蜈吾梧兀[53]伍鸭恶{善～}
#yi	
tɕ	[55]车{～马炮}居□{攮}[212]菊局[35]溆{～浦}据俱具鬼剧{戏～；～烈}嘴[33]醉贵[0]矩
tɕʰ	[55]区驱蛐[212]睡黢屈曲{～折；歌～}[35]跪
ɕ	[55]虚[35]髓序[33]戌徐绪[53]许={姓}
∅	[55]淤[212]域围=[35]预慰玉[33]余于盂愚虞娱为{～什么}芋[53]与禹语宇羽
#ɑ	
p	[55]爸□{～～□tɕiou55：髻}[212]牌排赔[35]霸摆-罢[33]拜[53]把{～握}八
pʰ	[55]坯败稗[212]拔[35]背{～诵}[33]□{～邋：不干净}
m	[55]妈[212]抹{～杀}
f	[212]皮法匹{一～马}[35]火被{～絮：被子}乏[53]發{～财}罚[0]□{□tsy53～：可怜}
v	[212]袜
t	[212]抬枱{桌子}答达[35]大={～夫}底[33]戴{姓}□{～□ti0：到了}
tʰ	[212]踏塔
n	[55]拉[212]纳蜡捺[33]癞[53]□{～痒：蹭痒痒}[0]邋
ts	[55]蔗灾{～□ɕiᴇ0：受灾}栽斋{～堂：庙}[212]财杂闸铡豺□{～薪：块状的柴火}
tsʰ	[55]猜[212]察[53]插
dz	[33]楂□{裂开}
s	[55]莎筛[53]洒杀侍[0]萨些
k	[55]该街{单字音；～□nɐ0：沅陵}[35]改解{～放；～开}[33]戒{～烟}解{～犯人：押送犯人}
kʰ	[55]开
x	[55]哈{～腰}[35]□{～□zɿ0：弟弟}[33]□{～□nɐ55：玩儿}
∅	[55]阿[35]矮[33]害
#iɑ	
n	[35]了{做～：做完}
tɕ	[55]佳家={国～}加={～拿大}傢[212]甲{～乙丙}[35]驾[53]贾假{放～}
tɕʰ	[212]恰洽
ɕ	[212]峡辖[35]夏厦[33]霞
∅	[55]涯崖丫[212]压={高血～}[35]亚
#uɑ	
t	[55]堆{动词}[33]对碓队
tʰ	[55]对{做～：做伴儿}□{吞}[35]腿[33]退蜕
d	[33]堆{一～}
ts	[55]抓[212]啄{～木鸟}[33]晬{一～：一岁}[53]捉
tsʰ	[55]催[212]□鸡{～米：鸡啄米}□{～睡：打盹儿}
dz	[35]罪
s	[33]碎[53]摔刷
k	[55]蜗{～～：螺蛳}瓜乖[212]括搁[35]寡卦[33]盖怪{～事}挂[53]刮骨
kʰ	[55]誇[212]块[35]□{打}[33]会{～计}快筷[53]垮窟
x	[55]花话[212]划{～船}猾[35]化坏画{～～}划{～拳}[33]华
∅	[55]□{挠}□{～牌：抓牌}挖[35]瓦[33]艾滑
#ɤ	
p	[35]簸{动词，～一～}[53]北
pʰ	[33]破
m	[53]某墨脉
f	[55]麸[212]符扶[35]腐-{～木：朽木}
t	[33]渡戴{动词}□{嫁}□{动词，给}[53]得{不～：没有}
tʰ	[35]土[33]吐{呕～}
ts	[55]枝[212]褶折{打～}[33]做[53]者□{～□fɑ0：可怜}隻
tsʰ	[55]粗初折{～本}贼[35]在是[33]菜蔡□{酸}[53]赤
dz	[212]裁移锄[35]舐纸[33]□{踩，踏}舌[353]热
s	[55]梳[33]世[53]叶塞{动词}□{蜇}
z	[212]来[353]□{稠}[33]□{他}
k	[53]□{不～：不合}急
kʰ	[53]黑麯{酒～}
x	[55]灰
#o	
