字	IPA	调值
玻	po	55
牙	ia	31
牛	ȵiəu	31
棉	mie	31
窄	tse	31
令	lĩ	24
確	tɕʰio	31
準	tʂuẽ	42
棍	kuẽ	24
衰	ʂuæ	55
早	tsau	42
申	ʂei	55
髮	fa	31
該	kæ	55
父	fu	24
銀	ĩ	31
遇	yi	24
緊	tɕĩ	42
屈	tɕʰiu	31
百	pe	31
桃	tʰau	31
紙	tʂʅ	42
義	i	24
毫	xau	31
辰	ʂei	31
經	tɕĩ	55
楷	kʰæ	42
曹	tsʰau	31
體	tʰi	42
受	ʂəu	24
實	ʂʅ	31
四	sɿ	24
昨	tso	31
京	tɕĩ	55
權	tɕʰye	31
妹	mei	24
母	mu	42
祭	tɕi	24
酣	xã	55
邑	i	31
宫	koŋ	55
朋	pʰoŋ	31
胸	ɕioŋ	55
是	ʂʅ	24
斷	tue	24
平	pʰĩ	31
合	xo	31
别	pie	31
磨	mo	31
磨	mo	24
必	pi	31
陷	ɕie	24
模	mo	31
溪	ɕi	55
稿	kau	42
棧	tʂã	24
虎	xu	42
常	tʂʰã	31
凳	tei	24
蟬	ʂã	31
萬	vã	24
衣	i	55
跪	kuei	24
殊	ʂu	55
歪	uæ	55
刷	ʂua	31
角	tɕio	31
吹	tʂʰuei	55
漢	xã	24
欣	ɕĩ	55
亥	xæ	24
細	ɕi	24
吉	tɕi	31
橙	tsʰei	31
愁	tsʰəu	31
貧	pʰĩ	31
孫	suẽ	55
上	ʂã	24
鏟	tʂʰã	42
表	piau	42
絨	ʐoŋ	31
篤	tu	31
數	su	24
數	su	42
盈	ĩ	31
星	ɕĩ	55
祥	tɕʰiã	31
榮	ioŋ	31
跌	tie	31
憲	ɕie	24
娘	ȵiã	31
冬	toŋ	55
繭	tɕie	42
披	pʰi	55
薛	ɕye	31
佳	tɕia	55
洛	lo	31
夾	tɕia	31
剥	po	31
接	tɕie	31
附	fu	24
李	li	42
紮	tʂa	31
宗	tsoŋ	55
秘	mi	31
惠	xuei	24
飄	pʰiau	55
脚	tɕio	31
查	tʂʰa	31
認	ʐei	24
開	kʰæ	55
安	ã	55
翁	oŋ	55
園	ye	31
爾	e	42
飽	pau	42
孟	moŋ	24
黄	xuã	31
支	tʂʅ	55
限	ɕie	24
唱	tʂʰã	24
丢	tiəu	55
恭	koŋ	55
米	mi	42
罩	tʂau	24
負	fu	24
壽	ʂəu	24
習	ɕi	31
禍	xo	24
來	læ	31
單	tã	55
藥	io	31
帽	mau	24
險	ȵie	42
舌	ʂe	31
虐	ȵio	31
節	tɕie	31
神	ʂei	31
掀	ɕye	55
心	ɕĩ	55
岳	io	31
縷	ləu	42
畏	uei	24
根	kei	55
内	nuei	24
松	soŋ	55
愚	yi	31
隆	loŋ	31
檢	tɕie	42
獅	sɿ	55
没	mu	31
奥	au	24
忌	tɕi	24
蛇	ʂe	31
寬	kʰue	55
鞠	tɕiu	31
壞	xuæ	24
酷	kʰu	31
候	xəu	24
緩	xue	42
葵	kʰuei	31
干	kã	55
盛	ʂei	24
曝	pau	24
窗	tʂʰuã	55
餐	tsʰã	55
越	ye	31
處	tʂʰu	24
乃	næ	42
還	xæ	31
還	xue	31
敏	mĩ	42
哪	na	42
轍	tʂʰe	31
轍	tʂʰe	31
眼	ie	42
以	i	42
注	tʂu	24
族	tsʰu	31
雙	ʂuã	55
藍	lã	31
沉	tʂʰei	31
徐	ɕyi	31
口	kʰəu	42
藝	i	24
戲	ɕi	24
維	uei	31
見	tɕie	24
璽	ɕi	42
筍	suẽ	42
鼻	pi	31
了	liau	42
襪	va	31
亦	yi	24
橘	tɕiu	31
驕	tɕiau	55
猶	iəu	31
狐	xu	31
面	mie	24
日	ʐʅ	31
冷	lei	42
似	sɿ	24
餓	o	24
射	ʂe	24
暑	tʂʰu	42
頗	pʰo	42
耳	e	42
恒	xei	31
書	ʂu	55
綴	tʂue	31
悲	pei	55
彼	pi	42
帶	tæ	24
鴿	ko	31
籠	loŋ	42
櫃	kuei	24
辦	pã	24
忒	tʰe	31
餘	yi	31
牀	tʂʰuã	31
蚊	vei	31
抗	kʰã	24
快	kʰuæ	24
債	tʂæ	24
計	tɕi	24
减	tɕie	42
觸	tʂu	31
