#a
p[51]巴叭芭疤笆[331]杷爬[44]把必[455]坝[335]爸霸耙
pʰ[455]怕
m[331]麻没蛙[44]伯母妈蚂[455]马[335]骂
f[44]好{～像}[455]化
t[44]伯父答打{～扮}□{大伯子}[335]他们
tʰ[51]他
n[455]哪
l[44]垃喇[455]辣
ts[51]差[331]查茶斜[455]炸榨[335]借谢
tsʰ[51]车
s[51]沙纱[44]撒洒舍写[335]射
ɕ[51]虱
k[51]加家□{～lik²⁴：丈夫；muei³³⁵～：妻子}[44]假[455]价架
kʰ[44]刚
ŋ[51]拈[331]牙芽[44]哑
x[335]下
∅[51]鸦哀要{～钱}

#ai
p[335]稗
m[331]埋[44]买[335]卖
t[331]待台抬苔[455]带戴[335]代袋
tʰ[331]胎
l[331]来
ts[331]裁[335]在再
tsʰ[331]材
k[51]该[44]改[455]盖
kʰ[51]开
x[331]鞋[335]亥
ŋ[331]悬[455]爱嚼
∅[44]矮

#au
pʰ[44]跑
m[331]猫[44]亩
t[51]都蔸□{puk⁵⁴～：肩膀}[331]头投[44]斗抖[335]豆
tʰ[51]掏偷
n[44]纽
l[51]里[331]流硫榴楼[44]柳搂[335]漏
ts[51]周[44]酒拿帚走[455]袖
tsʰ[51]秋[335]臭
s[51]臊收搜修[44]守[455]潲瘦绣锈[335]哨
tɕʰ[51]抽
k[51]沟钩[44]狗[455]够觉
kʰ[51]抠敲[44]口[455]扣
ŋ[44]藕[455]沤
x[331]喉[44]吼[335]厚
∅[44]呕[335]熬

#am
f[335]犯
t[335]耽
tʰ[331]坛
l[331]临
ts[44]枕
s[51]心芯[44]婶
k[331]蟾
kʰ[44]槛

#an
pʰ[455]襻喷
m[331]苍门[44]晚[335]闷问
t[51]单[335]蛋顿
tʰ[51]吞[335]炭
n[335]嫩
l[331]鳞轮[44]懒[335]论
ts[331]蚕蝉尘[44]准[455]进站{动词}[335]站{车～}
tsʰ[51]亲伸[455]寸
s[51]孙辛新
k[51]根跟{脚～}[44]埂
kʰ[44]砍[335]看
ŋ[331]颜[44]眼[335]雁
x[331]痕闲[44]很[335]恨

#aŋ
p[51]崩[455]棒
t[51]灯[331]藤蜓[44]等□{pat⁵⁴～：鼻}[455]凳
tʰ[51]汤烫[44]躺
n[331]能
s[331]桑[335]上
k[51]僵
kʰ[44]肯
x[51]哼[44]给让[335]项

#ap
f[54]法
tʰ[54]踏
l[54]笠[24]立
ts[24]砸
s[54]湿
ŋ[54]咬

#at
p[54]笔不□{～taŋ⁴⁴：鼻}
m[24]密蜜
f[24]佛
l[24]勒栗
ts[24]侄
tsʰ[54]七漆
s[54]戌
kʰ[24]核

#ak
p[54]北剥[24]卜
m[24]墨
l[54]胳
ts[44]者
tsʰ[54]出
s[54]塞杀
k[54]角
kʰ[54]壳渴刻鞘
x[44]吓[54]黑

#aːi
p[51]女生殖器[331]排[44]摆[455]拜股[335]败
pʰ[44]庹[455]派
t[335]大傣
tʰ[335]太
n[44]奶
l[335]赖
tsʰ[51]猜[44]睬踩[455]菜
s[51]腮鳃灾[455]筛[335]晒
k[51]街[335]戒
kʰ[51]揩[455]概
ŋ[51]挨[455]蟹[335]艾
x[44]海

#aːu
p[51]包苞胞[331]刨[44]保饱[455]豹[335]抱
pʰ[455]炮
m[44]卯
l[331]捞[44]佬
n[335]闹
ts[44]爪
tsʰ[51]抄[44]吵炒
k[51]交
x[335]校
∅[455]坳

#aːm
t[331]痰[44]胆[335]担淡
tʰ[44]塌
n[331]男南
l[331]蓝篮
ts[51]馋
tsʰ[51]掺
s[51]三
k[44]敢减
x[331]含咸[335]陷

#aːn
p[44]板[335]扮瓣
t[331]弹[335]但
tʰ[51]滩
n[455]难
l[331]拦栏[335]烂
ts[455]攒赞
tsʰ[331]扎
s[44]伞散
∅[455]晏

#aːŋ
p[51]螃[335]蚌
t[51]当[331]塘糖[44]挡
l[44]晾[335]浪

#aːp
t[54]搭
l[24]蜡
k[54]夹甲[24]拃
∅[54]压

#aːt
m[24]抹
tsʰ[54]擦
tɕʰ[54]水獭

#aːk
ts[24]贼
x[24]学
ŋ[24]岳

#e
p[44]背{～龙骨}[455]闭
m[44]米[335]谜
f[455]肺
t[51]低[331]逃提蹄[44]底[455]帝蒂[335]弟第
tʰ[51]梯[44]剃[455]替
ȵ[335]认
l[44]礼了{助词}
ts[51]脐[44]挤[44]织[455]锥
tsʰ[455]脆
s[51]西[335]睡细
k[44]吃[455]计[335]继
x[455]系

#ei
p[331]悲[44]背{～手}
f[331]非蛔[455]肥费[335]吠
m[51]霉[331]梅
s[331]谁[455]岁

#em
l[331]林淋
k[51]甘[44]感
kʰ[51]襟
ts[51]针[331]沉
x[44]喊

#en
p[331]盆[44]本[335]笨
m[455]满
f[51]分[331]坟[44]粉[455]粪[335]份
t[455]段炖
ts[51]真[455]震[335]尽
s[331]深[455]信[335]善
tɕ[44]阱
k[331]粳[44]颈
kʰ[51]牵
x[44]狠
ŋ[331]燃[455]见{听～}

#eŋ
p[331]瓶萍[44]饼[335]病
m[331]名明[455]命
t[51]叮钉[44]断[335]定
tʰ[455]听
n[44]拧
l[331]冷量{～步}零[455]顶岭[335]量{胆～}另
ts[51]将精精张蒸[331]墙情蜻[44]奖井掌[455]酱正[335]怎仗匠
tsʰ[51]枪青清[44]蹭抢[455]秤[335]撑
s[331]层[455]像2
tɕ[331]长{～短}[44]长{～大}涨[455]帐胀
tɕʰ[51]称
ɕ[51]升声[331]绳[335]剩
kʰ[51]轻
k[455]更敬镜
x[331]行{～李}[455]兴
∅[455]应

#ep
ts[24]习
k[54]鸽
kʰ[54]磕

#et
t[54]的{助词}
ȵ[54]轭[24]日
ts[54]蟋
s[54]蟀
tɕ[54]节
ɕ[54]识
k[54]脚隔揭
x[54]瞎

#ek
p[54]逼壁[24]白
pʰ[54]劈
t[54]得滴[24]笛
l[24]力
ts[54]迹[24]夕
tsʰ[54]戚
s[54]惜锡熄媳
tɕʰ[54]雀鹊
ɕ[24]石
k[24]屐

#eːn
t[331]填

#eːp
x[24]盒

#eːk
m[24]麦脉
s[24]席

#ə
∅[331]而

#əu
p[335]暴孵
pʰ[51]泡{尿～}[335]泡{～茶}
m[331]毛[335]冒帽
t[331]桃萄[455]倒到[335]稻
tʰ[44]讨[455]套
n[44]脑
l[331]牢[44]老
ts[51]糟[44]早枣蚤[455]灶[335]皂
tsʰ[51]操丑{牛}[44]草[455]糙
s[51]骚[44]嫂[455]扫
k[51]高{～粱}篙糕[455]告
x[335]后[335]候

#ε
t[331]淘
n[331]泥
l[331]黎

#εn
ŋ[331]迎

#ɛŋ
l[331]灵
ŋ[51]鹦鹰
∅[44]影

#εt
f[54]发[24]罚

#εːn
f[51]翻[44]反

#o
p[44]跛
pʰ[455]破
m[44]仫[455]瓦
t[51]兜陀多[331]道
n[44]你们[335]那
l[51]烙[44]寻找
ts[51]搓
s[51]梭[331]蓑[455]傻
k[331]浇教[44]哭[335]个瞌这颚
x[335]鹤
ŋ[335]饿

#om
m[335]忘
ts[455]钻{名词}
kʰ[44]臼

#oŋ
p[51]帮[44]绑
pʰ[455]碰
f[44]晃2
m[335]梦
t[331]堂螳[44]懂[335]动
tʰ[335]疼
l[51]螂[331]郎狼
s[51]双
ts[51]钟桩[331]虫藏从重{～阳}[44]种[335]重{轻～}
tsʰ[51]仓疮
ɕ[331]床
k[51]缸钢光豇[331]狂[455]杠
x[331]缝[44]哄虹虹谎晃1[335]行{量词}

#op
ts[54]插捉

#ok
m[24]木
f[54]蝠
ts[54]做
tsʰ[54]错
kʰ[54]确
∅[54]恶握屋

#ɔ
p[51]波玻菠[331]婆[335]簸
m[335]磨
f[331]浮[44]袱
t[331]砣
tʰ[51]拖驮
n[331]挪
l[331]啰萝{菠～}锣骡螺{陀～}[455]摞
ts[455]左
