	注释：-白读，=文读
#i	
p	[1]卑碑婢啤蜱{牛～:牛虻}啡{膏=啡：咖啡，来源于马来语kopi；同音替代字，～～仔：哨子}□{～～仔：哨子}悲蓖被=鞭-边-辫-绷-[2]脾棚-平-坪-{砖～：阳台}[3]比匕扁-[5]闭臂备毕{俗读}避秘泌庇痹变-病-柄-
pʰ	[1]披丕胚=篇-偏-{欺负}鼻{嗅、闻}[2]皮={～蛋}疲平-{～地：整平土地}彭-澎-{～湖：地名}[3]鄙疕{坚～：结疤，原文作“庀”}□{量词，串：一（训）～锁匙}[5]鼻譬片-
b	[1]□{用手抓取：～沙}[2]弥靡眉=楣=湄嵋微薇咪{猫（训）～}眯{小睡}绵-棉-暝-盲-[3]米美[5]媚寐未味昧沬{潜水、沉迷}麵
t	[1]猪知蜘甜{本字待考}㬹-{骹后～：脚后跟，原文作“𩨑”}弟-痔治伫{训，在}□{～时ti33-11si24：何时}滇{水满}[2]除锄{训}躇池驰弛迟持-{记～：记性}缠-[3]底-抵[5]戴-智致置缔蒂著箸地-{土～公}稚郑-□{使劲、强装，原文作“𩏠”}
tʰ	[1]笞添-天-[2]锄{训，动词：～草}苔-啼-□{光线刺眼}[3]褚储耻□{展开}贮=[5]涕䋎{丈苋切，缝补}撑-{顶住}
l	[1]吕铝□{～□an55-24li33：这样}[2]茹{乱}驴侣如离{《集韵》邻知切}篱{笊～}尼泥妮厘狸儿而帘-年-连-[3]女旅汝尔你李里裡理娌鲤子-耳=染-[5]虑滤厉-离{力智切}利=腻吏字-二贰饵
ts	[1]诸资姿咨兹滋书-{读～、～癫}□{～□tsi33bai33：女阴}晴-{烧～：暖和}脂之芝支=枝=舐-争-精-晶-静-櫼-{硬塞、楔子}氈-{～帽}[2]𧄔{署鱼切，番薯，常被训写成“薯”}薯{番薯}蜍-{蟑～：蟾蜍}荠{尾～：荸荠}慈瓷磁檐-钱-晴-[3]煮紫姊只□{这，原文作“只”}旨指=子籽仔止趾址井-谫-{幼小}□{幼小}[5]自字至志誌□{茭～：草袋}箭糋-{炸}煎{炸}诤-{争吵}
tsʰ	[1]蛆{车=～：孑孓}舒-{动词：铺}雌鳃-差痴凄市鲜-生-青-星-腥-亲-{～姆：亲家母}[2]持=□{耀眼}□{潮湿}□{挨近并探身过来}[3]鼠此侈醒-□{色泽鲜丽}[5]处{旧读}次刺翅试弑饲□{猛冲}
s	[1]书{旧读}舒{旧读}斯厮撕施私俬{家～头：工具}师=司丝鸶{白鸰～}思芝-{祥～：地名}屿诗尸□{～大侬：长辈}生-鉎-{～锅}序{旧读}绪{旧读}是似{旧读}士仕□{～尿：把尿}[2]徐匙辞词祠时盐-[3]暑死矢使-史-驶-始[5]世-势-絮恕赐氏四思{意～}肆视叙序{新读}绪{新读}豉示伺似{新读}姒祀巳寺嗣事恃侍扇-姓-盐-
k	[1]乩居裾{大～衫}车支-枝-肢吱技妓栀-饥肌基箕几机讥饥肌姬更-庚-羹-经-碱-[2]渠奇=骑=琵-枇-祁芪其琪棋期旗祁祈墘{俗字，边沿，本字舷，《集韵》胡千切}舷{边沿}[3]举矩指-几己纪杞哽-梗-[5]据锯巨拒距冀痣-记忌计-既见-己-{又音，□～kai33-11ki31：自己}
