汉字	IPA	注释
卑	pi1	
碑	pi1	
婢	pi1	
蜱	pi1	一种吸牛血的蝇虫
啤	pi2	
脾	pi2	
比	pi3	
妣	pi3	
彼	pi3	
俾	pi3	
秘	pi3	
匕	pi3	
鳖	pi3	白读
□	pi3	枪毙
备	pi5	
闭	pi5	
痹	pi5	
疪	pi5	
篦	pi5	～麻
避	pi5	
批	pʰi1	
砒	pʰi1	
丕	pʰi1	
坯	pʰi1	
披	pʰi1	
□	pʰi1	以刀捎物
皮	pʰi2	
疲	pʰi2	
脾	pʰi2	又读
鄙	pʰi3	
痞	pʰi3	
譬	pʰi3	
疕	pʰi3	结～：伤口钙化
被	pʰi4	棉～
被	pʰi5	～动
鼻	pʰi5	白读
咪	bi1	笑～～
□	bi1	呼小鸭声
微	bi2	
篾	bi2	白读，做～
米	bi3	
美	bi3	
未	bi5	
味	bi5	
沕	bi5	将头没入水中
知	ti1	
蜘	ti1	
池	ti2	
驰	ti2	
迟	ti2	
弛	ti2	
墀	ti2	
碟	ti2	白读
底	ti3	
抵	ti3	
滴	ti3	白读，～水
弟	ti4	白读，小～
治	ti4	
置	ti4	
智	ti4	
致	ti4	
稚	ti4	
蒂	ti5	
戴	ti5	白读，～帽
梯	tʰi1	～队
啼	tʰi2	
雉	tʰi2	
耻	tʰi3	
剃	tʰi3	
铁	tʰi3	白读，拍～：打铁
替	tʰi5	
涕	tʰi5	
递	tʰi5	
离	li2	
篱	li2	
漓	li2	
璃	li2	
厘	li2	
狸	li2	
笠	li2	白读，～斗
裂	li2	白读，～裂开
犁	li2	
梨	li2	
里	li3	
俚	li3	
浬	li3	
娌	li3	
理	li3	
鲤	li3	
李	li3	
利	li5	
痢	li5	
莉	li5	
俐	li5	
吏	li5	
之	tsi1	
芝	tsi1	
脂	tsi1	～肪
舌	tsi2	白读，喙～
□	tsi2	折断
止	tsi3	
址	tsi3	
旬	tsi3	
指	tsi3	白读
子	tsi3	白读
籽	tsi3	
姐	tsi3	
接	tsi3	白读，～侬客：迎接客人
舐	tsi4	白读
志	tsi5	
痣	tsi5	
至	tsi5	
鳍	tsʰi1	
□	tsʰi1	食品下热锅声
持	tsʰi2	
翅	tsʰi2	
□	tsʰi3	低头
□	tsʰi3	闪～：闪电
齿	tsʰi3	
市	tsʰi4	
刺	tsʰi5	
饲	tsʰi5	～猪：喂猪，养猪
尸	si1	
诗	si1	
丝	si1	
鸶	si1	
私	si1	白读，家～：家产
撕	si1	白读，～布
蛳	si1	白读，螺～
施	si1	～舍
时	si2	
鲥	si2	
匙	si2	
蚀	si2	白读，～本
辞	si2	
死	si3	白读
始	si3	白读
是	si4	
氏	si4	
恃	si4	
痔	si4	
峙	si4	
寺	si5	
侍	si5	
示	si5	
驷	si5	
肆	si5	
四	si5	
豉	si5	豆～
□	zi2	按
儿	zi2	～子
而	zi2	～且
字	zi5	
二	zi5	
贰	zi5	
腻	zi5	细～：省，节约
