字	片	区	小片	方言点	声母	韵母	调值	调类	备注
丈	閩南區	大田片		大田(前路話)	t	eŋ/iŋ/ioŋ/ŋ̃	55	陽上	
丘	閩南區	大田片		大田(前路話)	kʰ	iu	33	陰平	
乖	閩南區	大田片		大田(前路話)	k	uɛ	33	陰平	
亲	閩南區	大田片		大田(前路話)	tsʰ	eŋ/iŋ	33	陰平	
人	閩南區	大田片		大田(前路話)	l	eŋ/aŋ	24	陽平	
他	閩南區	大田片		大田(前路話)	tʰ	a	33	陰平	
仝	閩南區	大田片		大田(前路話)	t	aŋ	24	陽平	
冬	閩南區	大田片		大田(前路話)	t	aŋ	33	陰平	
利	閩南區	大田片		大田(前路話)	l	ɛ	33	陰平	
刺	閩南區	大田片		大田(前路話)	tsʰ	i	31	去	
千	閩南區	大田片		大田(前路話)	tsʰ	iŋ	33	陰平	
华	閩南區	大田片		大田(前路話)	h	ua	33	陰平	
单	閩南區	大田片		大田(前路話)	t	uã	33	陰平	
卫	閩南區	大田片		大田(前路話)	b	ue	33	陰平	
厝	閩南區	大田片		大田(前路話)	tsʰ	u	31	去	
去	閩南區	大田片		大田(前路話)	k	ɤ			
叉	閩南區	大田片		大田(前路話)	tsʰ	ia	33	陰平	
双	閩南區	大田片		大田(前路話)	s	aŋ	33	陰平	
古	閩南區	大田片		大田(前路話)	k	u	53	陰上	
号	閩南區	大田片		大田(前路話)	h	ɤ	33	陰平	
后	閩南區	大田片		大田(前路話)	h	ɔ	55	陽上	
吳	閩南區	大田片		大田(前路話)	g	u	24	陽平	
围	閩南區	大田片		大田(前路話)	b	ui	24	陽平	
圓	閩南區	大田片		大田(前路話)	b	ŋ̃	24	陽平	
地	閩南區	大田片		大田(前路話)	t	i	31/33	去/陰平	
堵	閩南區	大田片		大田(前路話)	t	u	53	陰上	
天	閩南區	大田片		大田(前路話)	t/tʰ	iŋ	33	陰平	
夫	閩南區	大田片		大田(前路話)	b/h	u	33	陰平	
姑	閩南區	大田片		大田(前路話)	k	u	33	陰平	
婆	閩南區	大田片		大田(前路話)	p	o/ɤ	24	陽平	
寄	閩南區	大田片		大田(前路話)	k	ia	31	去	
尾	閩南區	大田片		大田(前路話)	b	ɤ/u/ue	53	陰上	
尿	閩南區	大田片		大田(前路話)	l	iɤ	31/33	去/陰平	
工	閩南區	大田片		大田(前路話)	k	aŋ/oŋ	33	陰平	
左	閩南區	大田片		大田(前路話)	ts	ɔ	53	陰上	
己	閩南區	大田片		大田(前路話)	ts	i	33	陰平	
布	閩南區	大田片		大田(前路話)	p	u	31	去	
帐	閩南區	大田片		大田(前路話)	t	iŋ	31	去	
平	閩南區	大田片		大田(前路話)	p	eŋ/iã	24	陽平	
幼	閩南區	大田片		大田(前路話)	0	iu	31	去	
废	閩南區	大田片		大田(前路話)	h	e	31	去	
庭	閩南區	大田片		大田(前路話)	t	eŋ/iã	24	陽平	
康	閩南區	大田片		大田(前路話)	kʰ	oŋ	33	陰平	
开	閩南區	大田片		大田(前路話)	kʰ	ui/ɛ	33	陰平	
弦	閩南區	大田片		大田(前路話)	h	iaŋ	24	陽平	
当	閩南區	大田片		大田(前路話)	t	ŋ̃	33	陰平	
往	閩南區	大田片		大田(前路話)	b	uaŋ	53	陰上	
忍	閩南區	大田片		大田(前路話)	l/z	ueŋ/eŋ	53	陰上	
怪	閩南區	大田片		大田(前路話)	k	uɛ	31	去	
恋	閩南區	大田片		大田(前路話)	l	uaŋ	24	陽平	
悶	閩南區	大田片		大田(前路話)	b	ueŋ	33	陰平	
我	閩南區	大田片		大田(前路話)	b/ŋ	ua/ɔ̃	53	陰上	
房	閩南區	大田片		大田(前路話)	p	aŋ	24	陽平	
扁	閩南區	大田片		大田(前路話)	p	iaŋ/iŋ	53	陰上	
才	閩南區	大田片		大田(前路話)	ts	ɛ	24	陽平	
打	閩南區	大田片		大田(前路話)	t	a	53	陰上	
拏	閩南區	大田片		大田(前路話)	n	ã	53	陰上	
搓	閩南區	大田片		大田(前路話)	tsʰ	ɤ	33	陰平	
救	閩南區	大田片		大田(前路話)	k	iu	31	去	
敲	閩南區	大田片		大田(前路話)	kʰ	iɔ	33	陰平	
斋	閩南區	大田片		大田(前路話)	ts	a	33	陰平	
新	閩南區	大田片		大田(前路話)	s/t	eŋ/iŋ	33	陰平	
昏	閩南區	大田片		大田(前路話)	h	iŋ	33	陰平	
普	閩南區	大田片		大田(前路話)	pʰ	u	53	陰上	
曹	閩南區	大田片		大田(前路話)	ts	ɔ	24	陽平	
柳	閩南區	大田片		大田(前路話)	l	iu	53	陰上	
桑	閩南區	大田片		大田(前路話)	s	oŋ	33	陰平	
桶	閩南區	大田片		大田(前路話)	tʰ	aŋ	53	陰上	
梅	閩南區	大田片		大田(前路話)	0/b	ue/ŋ̃	24	陽平	
沉	閩南區	大田片		大田(前路話)	t	eŋ	24	陽平	
波	閩南區	大田片		大田(前路話)	pʰ	ɔ	33	陰平	
涼	閩南區	大田片		大田(前路話)	l	iŋ	24	陽平	
溜	閩南區	大田片		大田(前路話)	l	iu	33	陰平	
潭	閩南區	大田片		大田(前路話)	tʰ	aŋ	24	陽平	
灯	閩南區	大田片		大田(前路話)	t	iŋ/eŋ	33	陰平	
烂	閩南區	大田片		大田(前路話)	n	uã	31/33	去/陰平	
猛	閩南區	大田片		大田(前路話)	b	aŋ	53	陰上	
玉	閩南區	大田片		大田(前路話)	g	oʔ	5	陽入	
珠	閩南區	大田片		大田(前路話)	ts	i/u	33	陰平	
瓦	閩南區	大田片		大田(前路話)	b	ua	55	陽上	
疲	閩南區	大田片		大田(前路話)	pʰ	i	24	陽平	
眉	閩南區	大田片		大田(前路話)	b	ɛ/i	24	陽平	
眾	閩南區	大田片		大田(前路話)	ts	oŋ	31	去	
矮	閩南區	大田片		大田(前路話)	0	e	53	陰上	
秧	閩南區	大田片		大田(前路話)	0	ŋ̃	33	陰平	
空	閩南區	大田片		大田(前路話)	kʰ	oŋ/aŋ	33	陰平	
粗	閩南區	大田片		大田(前路話)	tsʰ	u	33	陰平	
糠	閩南區	大田片		大田(前路話)	kʰ	ŋ̃	33	陰平	
緊	閩南區	大田片		大田(前路話)	k	eŋ	53	陰上	
纹	閩南區	大田片		大田(前路話)	h	uŋ	24	陽平	
细	閩南區	大田片		大田(前路話)	s	ɛ/e	31	去	
翁	閩南區	大田片		大田(前路話)	0	aŋ	33	陰平	
肝	閩南區	大田片		大田(前路話)	k	uã	33	陰平	
舅	閩南區	大田片		大田(前路話)	k/kʰ	iu	55	陽上	
芭	閩南區	大田片		大田(前路話)	p	a	33	陰平	
萤	閩南區	大田片		大田(前路話)	0	iã	24	陽平	
