字	片	区	小片	方言点	声母	韵母	调值	调类	备注
一	莆仙区			莆田	0	iʔ	21	阴入	
丁	莆仙区			莆田	t	ɛŋ	533	阴平	
七	莆仙区			莆田	tsʰ	iʔ	21	阴入	
丈	莆仙區			莆田	t	iau/uŋ/yɒŋ	11	陽去	
三	莆仙区			莆田	ɬ	ɒ/aŋ	533	阴平	
上	莆仙区			莆田	ɬ	yɒŋ	11	阳去	
下	莆仙区			莆田	0/h/k	ɒ/a/ia	11	阳去	文读，白读，低。
丐	莆仙区			莆田	k	ai	42	阴去	
丑	莆仙区			莆田	tʰ	iu	453	上声	
专	莆仙区			莆田	ts	œŋ	533	阴平	
且	莆仙区			莆田	tsʰ	ia	453	上声	
丕	莆仙区			莆田	pʰ	i	453	上声	
世	莆仙区			莆田	ɬ	yɒ/e	42	阴去	文读，接续。
丗	莆仙区			莆田	ɬ	yɒ/e	42	阴去	文读，接续。
丘	莆仙區			莆田	kʰ	u/iu	533	陰平	
丙	莆仙区			莆田	p	ia/iŋ	453	上声	
业	莆仙区			莆田	k	iaʔ	4	阳入	
东	莆仙区			莆田	t	aŋ/ɒŋ	533	阴平	
丝	莆仙区			莆田	ɬ	i	533	阴平	
丞	莆仙区			莆田	ɬ	iŋ	13	阳平	
两	莆仙区			莆田	l/n	uŋ/yɒŋ/iau	453	上声	文读，白读，二。
严	莆仙区			莆田	ŋ	iaŋ	13	阳平	
丧	莆仙区			莆田	ɬ	ɒŋ	42	阴去	
丫	莆仙区			莆田	0	a	533	阴平	
中	莆仙区			莆田	t	ɒŋ/œŋ	533	阴平	文读，中央。
临	莆仙区			莆田	l	iŋ	13	阳平	
丸	莆仙区			莆田	0	ue	13	阳平	
丹	莆仙區			莆田	t	aŋ	533	陰平	
主	莆仙区			莆田	ts	ɔu/y	453	上声	
丼	莆仙区			莆田	ts	a/iŋ	453	上声	
丽	莆仙区			莆田	l	e	11	阳去	
举	莆仙区			莆田	k	yɒ/y	453	上声	
乃	莆仙区			莆田	n	ai	453	上声	
久	莆仙区			莆田	k	u/iu	453	上声	
