#調值	[1] 213 [2] 53 [3] 44 [5] 21
#符號說明:	-白=文
#ɿ	
ts	[1]资姿咨兹滓[3]紫姊子梓滓[5]自字牸(牝牛)
tsh	[1]雌瓷慈磁辞词祠[2]此[3]疵[5]刺赐次伺
s	[1]斯廝撕私司丝思[3]死[5]细四肆似祀巳寺嗣饲
#ʅ	
tʂ	[1]支枝肢栀脂之芝只[2]植[3]纸旨指止趾址[5]至雉致稚痔置治志痣
tʂh	[1]眵痴嗤[2]匙迟持[3]侈耻齿[5]翅
ʂ	[1]施师狮尸矢屎涩(老)失[2]时实石[3]使史[5]是氏示视嗜士仕柿市恃试侍
#i	
p	[1]逼蓖笔(=)[2]鼻荸[3]彼鄙比(~较)毕(~业)[5]蔽敝弊毙闭币箅陛臂避痹毕
ph	[1]批披(=)砒譬丕僻劈辟[2]皮疲脾琵枇[3]匹[5]屁
m	[1]咪[2]迷谜弥猕[3]米[5]秘泌密蜜觅
t	[1]低堤滴[2]笛敌狄的[3]底抵诋[5]帝弟第递地谛娣
th	[1]梯踢[2]题提帝啼[3]体[5]替涕剃屉剔惕
ts	[2]犁黎篙璃离梨厘狸[3]礼李里理鲤[5]例厉励丽隶荔利痢吏立力历
tsh	[1]妻七漆[2]齐脐[4]砌
s	[1]西栖犀悉膝息熄媳惜夕锡析[2]习袭席[3]洗[5]细
tɕ	[1]鸡稽蜘知饥肌几机讥挟(~菜)今汁级织积迹脊击激基[2]执急及侄籍[3]己几给供(~你，供~)[5]制剂计继系寄技妓冀纪记忌
tɕh	[1]欺期[2]池奇骑其棋旗杞祈[3]启企起岂[5]契器弃气汽
ȵ	[2]泥倪尼[3]你拟[5]匿腻逆
ɕ	[1]溪兮徙牺嬉熙希稀吸[2]拾食蚀[3]玺喜[5]十世势誓逝系戏
∅	[1]伊医衣依揖一[2]宜仪谊移姨疑[3]蚁倚椅已以乙[5]艺义议易意异毅忆亿抑益亦译
#u	
p	[1]不[2]□(~土)[3]补卜[5]布怖部簿步埠
ph	[1]铺扑[2]蒲菩卜[3]谱普浦脯捕朴[5]铺店曝瀑
m	[2]模谋没(~有)[3]某亩牡母拇[5]暮慕墓募幕木目穆牧沐睦
f	[1]夫肤傅敷孵麸福[2]俘符扶芙浮幅蝠服伏[3]府腑俯甫斧抚釜腐辅阜[5]付赋赴讣父附富副妇负
t	[1]都督[2]独读牍犊毒[3]堵赌肚(鱼~)[5]妒杜肚腹肚度渡镀
th	[1]突秃[2]徒屠途涂图[3]土吐[5]吐兔
n	[2]奴农[3]努[5]怒
l	[2]芦庐[3]鲁橹虏卤汝乳辱[5]卢炉路赂露鹭入鹿禄陆录褥
ts	[1]租足[2]卒族[3]祖组阻[5]做
tsh	[1]粗[5]醋猝簇促
s	[1]苏酥[3]俗(新)[5]素诉塑
tʂ	[1]诸诛蛛株朱珠竹[2]帚逐轴[3]煮拄主嘱[5]著助驻注柱住注蛀铸祝
tʂh	[1]初出[2]除锄厨雏[3]储蓄楚础处杵殊(-)[5]处畜
ʂ	[1]梳疏蔬书舒枢输叔淑殊[2]秫熟赎[3]暑鼠黍署薯数蜀属[5]恕数竖树漱述束
k	[1]姑孤箍估[3]古股鼓骨谷菇轱[5]故固雇顾
kh	[1]枯窟哭[3]苦[5]库裤酷绔
x	[1]呼乎忽[2]胡湖狐壶葫胡核[3]虎浒[5]户沪互护瓠
∅	[1]乌污坞巫诬屋[2]吴蜈吾梧无[3]五伍午武舞侮鹉[5]误悟务雾杌物勿
#y	
l	[2]驴[3]吕旅缕屡履铝侣[5]虑滤律率绿
ts	[5]聚
tsh	[1]趋[3]取娶[5]趣
s	[1]须需[2]婿[5]续
tɕ	[1]居车拘驹菊锔[2]局[3]举咀沮莒矩[5]据锯巨拒距俱句具惧剧
tɕh	[1]蛆区驱屈曲[2]渠[3]曲[5]去黢
ȵ	[3]女
∅	[1]淤迂[2]鱼渔于余馀与愚虞娱盂榆逾愉[3]语雨宇禹羽[5]御誉预豫遇寓 吁芋愈(~好，病~)喻裕域郁育玉狱欲浴
#ɑ	
p	[1]巴芭疤八扒剥(-)[2]拔雹爸[3]把(~握)琶(琵~)[5]霸把坝罢霸鲅
ph	[2]爬钯耙[5]怕帕
m	[1]妈抹[2]麻痲[3]马码[5]骂
f	[1]发[2]乏伐筏罚阀[3]法砝[5]发(头~)
t	[1]搭[2]答沓达[3]打[5]大
th	[1]他她塌溻它踏(~实)[3]塔[5]踏拓榻
n	[2]拿[3]哪[5]那纳捺钠
l	[1]拉[5]腊蜡辣
ts	[2]杂
tsh	[1]擦
s	[3]撒洒[5]萨飒
tʂ	[1]楂渣扎喳[2]炸铡[3]眨[5]诈榨炸乍栅
tʂh	[1]叉差插[2]茬查搽茶[5]杈差岔
