#a
ɓ[35]巴芭疤[31]爸霸坝{(平川)}欛{(柄)}把{(~握|~守|一~)}
pʰ[53]杷{(枇~)}耙{(犁~|~地)}琶{(琵~)}[23]爬[31]帕怕
m[35]妈[53]痳[44]码{(~子)}[31]驾马
v[44]瓦-{(砖~)}[31]瓦={(~解)}话-
tθ[44]洒
ɗ[31]大={(~夫)}
tʰ[35]他[44]塌榻
n[53]拿[44]哪{(~个?)}[31]那
l[44]□{(~庐:厨房)}[31]腊蜡辣鑞{(锡~)}
ʦ[53]渣诈[44]假{(真~)}[31]炸{(~弹)}煠{(用油~)}窄榨{(~油)}
ʦʰ[35]叉差{(~别|~不多)}杈{(枝~)}[53]茶渣查{(调~)}楂{(山~)}茶昨[31]岔{(三~路)}
s[35]沙纱莎{(~草)}[44]傻[31]萨
ɹ[23]崖-{(-山~)}涯-{(天~)}
k[44]假[31]价-嫁
h[35]哈{(~腰)}虾-蝦{(~蟆)}[53]□{喉咙}[31]下{(底~)}□{(~今:现在)}

#ia
n[53]□{(掰)}
ʦ[44]假={(真~)}
s[53]穴[23]遐瑕霞邪[44]虾={(鱼~)}
ɹ[53]牙芽衙[44]哑邪丫{(~头)}鸦桠{(~杈)}伢{(小孩子)}亚[31]雅
k[44]加家痂傢{(~具)}嘉[31]驾架稼贾{(姓)}假={(放~)}价=
h[53]暇[31]下{(~降)}吓夏{(春~)}厦{(偏~)}厦{(~门)}

#ua
s[44]刷[31]耍
k[35]瓜-[44]剐寡瓜=[31]挂
kʰ[35]夸侉[44]垮跨
ŋ[44]瓦-{(砖~|~解)}
h[35]花-话=[53]华-{(~山,姓~)}桦{(~树)}[23]华={(中~)}划[44]花=[31]画-化
Ǿ[35]洼蛙

#ɔ
ɓ[44]泼拨波玻{(~璃)}菠{(~菜)}钹跛{(~足)}
pʰ[35]坡-颇[23]婆[44]坡=[31]破薄{(~荷)}
m[53]磨抹[23]摹{(~仿)}模{(~范|~子)}摩磨{(~刀|~面|石~)}魔[31]末沫
tθ[23]锄[44]左初={(~中)}[31]助坐=锉作琐
ɗ[44]朵躲
tʰ[23]徒[44]妥椭{(~圆)}
n[35]糯{(~米)}
l[23]啰{(~唆)}脶{(手指纹)}骡螺{(~蛳)}[31]摞{(~起来)}
ʦ[44]佐搓[31]措{(~置)}
ʦʰ[35]初-{(-大年~一)}[44]楚□{(~汉人:男人)}
s[35]梳[31]树-[44]唆{(啰~)}
k[35]戈哥歌窠[44]歌=[31]个{(~人,一~)}
kʰ[31]可
ŋ[53]俄鹅蛾[44]我-[31]我=
h[53]禾和{(~气)}河-荷-{(~花)}[31]荷={(薄~)}何河=
Ǿ[44]阿{(~胶|~哥)}

#uɔ
v[31]卧
tθ[23]莝{(切碎的草)}锉座=
ɗ[35]多-[44]多=[31]垛{(柴~)}剁惰
tʰ[35]拖[23]舵驼宅{(老)}[31]拓
n[53]挪
l[23]罗锣箩[44]裸{(~体)}[53]锣
ʦ[35]周
ʦʰ[44]丑-初=
s[35]搜
k[44]锅[31]过果裹锞
kʰ[44]科棵{(文)}颗{(一~珠)}
x[31]贺鹤[23]和{(~面)}[44]火伙[31]货祸

#ɛ
p[35]□{(碌碡)}
m[35]揹{(训读)}
v[31]魏矮[23]桅{(船~杆)}
tθ[44]姐
ɗ[35]爹[53]□{(神)}
ɹ[44]曰
k[53]佢{(他)}
h[44]累{(训读)}

#i
ɓ[35]鐾{(~刀布)}币闭蓖{(~麻)}弊被[31]陛{(~下)}毙箅{(~子)}
pʰ[35]批妻棲
m[35]蜜[44]迷谜[31]麵-□{(物件)}米=
tθ[35]趣婿{(女~)}序细[53]挤齐脐褚{(姓)}[44]洗舒西需鬚[31]际剂{(一~药)}济寂聚
ɗ[35]低弟帝第[31]涕{(鼻~)}底抵
tʰ[35]屉{(抽~)}替递[23]啼提题[44]梯[31]体
n[53]泥倪□{(~孙:外孙)}[44]汝[31]女
l[35]历丽{(美~)}励例隶虑[53]黎[23]犁犂[31]礼吕旅
ʦ[35]制住注驻柱[53]荠[44]储{(~蓄)}暑署朱珠猪=蛛殊稽[31]主拄{(~拐杖)}
ʦʰ[53]刍除[23]厨徐[31]契{(~约)}处={(~所|相~)}取娶鼠=
s[35]世式势饰{(新)}逝树=竖寺[44]书=兮须墟[31]系{(~鞋带|连~)}係
ɹ[35]输{(运~)}豫誉{(荣~)}遇裕愉渔=鱼=余疫{(新)}抑艺忆亿[53]于淤盂娱愚虞迂[23]宜[44]如儒擩[31]愈{(~好|病~)}恕庶郁与{(及,给与)}宇羽雨=语吁芋
k[35]车{(~马炮)}鸡稽居[53]渠{(他)}局[44]拘饥={(~饿)}[31]矩{(规~)}句巨拒具俱剧{(~烈)}剧戏惧据距锯{(~子|~木头)}计继举
