片	区	小片	方言点	声母	韵母	调值	调类	备注
一	于信片		大余(江西)	0	ie	5	入声	
七	于信片		大余(江西)	tɕʰ	ie	5	入声	
丄	于信片		大余(江西)	s	ɔ̃	24	去声	上山
丅	于信片		大余(江西)	h	a	33	阴平	方位
丈	于信片		大余(江西)	tsʰ	ɔ̃	33	阴平	
上	于信片		大余(江西)	s	ɔ̃	33	阴平	上面
下	于信片		大余(江西)	h	a	33	阴平	方位
不	于信片		大余(江西)	p	ə	5	入声	
世	于信片		大余(江西)	s	ɿ	24	去声	
丗	于信片		大余(江西)	s	ɿ	24	去声	
丘	于信片		大余(江西)	tɕʰ	iu	33	阴平	
业	于信片		大余(江西)	l	ie	33	阴平	
东	于信片		大余(江西)	t	əŋ	33	阴平	
丝	于信片		大余(江西)	s	ɿ	33	阴平	
丠	于信片		大余(江西)	tɕʰ	iu	33	阴平	
两	于信片		大余(江西)	t	iɔ̃	24	去声	儿俩
严	于信片		大余(江西)	l	iɛ̃	11	陽平	
中	于信片		大余(江西)	ts	əŋ	33	阴平	
丸	于信片		大余(江西)	0	iã	11	阳平	
主	于信片		大余(江西)	tɕ	y	42	上声	
丼	于信片		大余(江西)	tɕ/tɕ	iã/iəŋ	42/42	上声/上声	白读<br>文读
久	于信片		大余(江西)	tɕ	iu	42	上聲	
义	于信片		大余(江西)	l	iz	33	阴平	
之	于信片		大余(江西)	ts	ɿ	33	阴平	
乌	于信片		大余(江西)	v	u	33	阴平	
乏	于信片		大余(江西)	f	a	5	入声	
乖	于信片		大余(江西)	k	uæ	33	阴平	
九	于信片		大余(江西)	tɕ	iu	42	上声	
习	于信片		大余(江西)	ɕ	ie	33	阴平	
乡	于信片		大余(江西)	ɕ	iɔ̃	33	阴平	
书	于信片		大余(江西)	ɕ	y	33	阴平	
买	于信片		大余(江西)	m	æ	33	阴平	
乱	于信片		大余(江西)	l	ɔ̃	33	阴平	
亂	于信片		大余(江西)	l	ɔ̃	33	阴平	
了	于信片		大余(江西)	l	iɔ	42	上声	
事	于信片		大余(江西)	s	ɿ	33	阴平	
二	于信片		大余(江西)	0	ø	33	阴平	
亏	于信片		大余(江西)	kʰ/tɕʰ	ue/yø	33/33	陰平/陰平	文讀<br>白讀
五	于信片		大余(江西)	0	m	42	上声	
井	于信片		大余(江西)	tɕ/tɕ	iã/iəŋ	42/42	上聲/上聲	白讀<br>文讀
亖	于信片		大余(江西)	s	ɿ	24	去声	
交	于信片		大余(江西)	k	ɔ	33	阴平	
产	于信片		大余(江西)	tsʰ	ã	42	上声	
亲	于信片		大余(江西)	tɕʰ	iəŋ	33	阴平	
人	于信片		大余(江西)	l	iəŋ	11	阳平	
从	于信片		大余(江西)	tsʰ	əŋ	11	阳平	从来
仓	于信片		大余(江西)	tsʰ	ɔ̃	33	阴平	
仙	于信片		大余(江西)	ɕ	iɛ̃	33	陰平	
代	于信片		大余(江西)	tʰ	ø	33	阴平	
以	于信片		大余(江西)	0	i	42	上声	
件	于信片		大余(江西)	tɕʰ	iɛ̃	33	阴平	
任	于信片		大余(江西)	0	iəŋ	24	去声	责任
休	于信片		大余(江西)	ɕ	iu	33	阴平	
会	于信片		大余(江西)	f/h	uø/uø	33/33	阴平/阴平	开会,文读,白读<br>开会,文读,白读
伞	于信片		大余(江西)	s	ã	42	上声	
伟	于信片		大余(江西)	0/v	yø/e	42/42	上声/上声	白读<br>文读
伤	于信片		大余(江西)	s	ɔ̃	33	阴平	
伯	于信片		大余(江西)	p/p	a/e	33/33	阴平/阴平	白读<br>文读
伴	于信片		大余(江西)	pʰ	ã	24	去声	
位	于信片		大余(江西)	0/v	yø/e	33/33	阴平/阴平	白读<br>文读
低	于信片		大余(江西)	t	i	33	阴平	
住	于信片		大余(江西)	tɕʰ	y	33	阴平	
余	于信片		大余(江西)	0	y	11	陽平	
佛	于信片		大余(江西)	f	uə	5	入声	
作	于信片		大余(江西)	ts	o	24	去聲	
使	于信片		大余(江西)	s	ɿ	42	上声	
來	于信片		大余(江西)	l	ø	11	阳平	
例	于信片		大余(江西)	l/t	ie/ie	5/5	入声/入声	文读<br>白读
俗	于信片		大余(江西)	ɕ	y	33	阴平	
信	于信片		大余(江西)	ɕ	iəŋ	24	去声	
修	于信片		大余(江西)	ɕ	iu	33	阴平	
俻	于信片		大余(江西)	pʰ	i	33	阴平	
倉	于信片		大余(江西)	tsʰ	ɔ̃	33	阴平	
倍	于信片		大余(江西)	pʰ	ø	33	阴平	
借	于信片		大余(江西)	tɕ	ia	24	去声	
债	于信片		大余(江西)	ts	æ	24	去声	
倾	于信片		大余(江西)	tɕʰ	iəŋ	5	入声	
假	于信片		大余(江西)	k	a	42	上聲	真假
偉	于信片		大余(江西)	0/v	yø/e	42/42	上声/上声	白读<br>文读
偏	于信片		大余(江西)	pʰ	iɛ̃	33	阴平	
停	于信片		大余(江西)	tʰ	iəŋ	11	阳平	
健	于信片		大余(江西)	tɕʰ	iɛ̃	24	去声	
偪	于信片		大余(江西)	p	i	33	阴平	
偷	于信片		大余(江西)	tʰ	æ	33	阴平	
傑	于信片		大余(江西)	tɕʰ	ie	33	阴平	
傘	于信片		大余(江西)	s	ã	42	上声	
備	于信片		大余(江西)	pʰ	i	33	阴平	
催	于信片		大余(江西)	tsʰ	ø	33	陰平	
傲	于信片		大余(江西)	ŋ	ɔ	33	阴平	
債	于信片		大余(江西)	ts	æ	24	去声	
傷	于信片		大余(江西)	s	ɔ̃	33	阴平	
傾	于信片		大余(江西)	tɕʰ	iəŋ	5	入聲	
僊	于信片		大余(江西)	ɕ	iɛ̃	33	阴平	
像	于信片		大余(江西)	ɕ	iɔ̃	24	去声	像不像
儛	于信片		大余(江西)	v	u	42	上声	
允	于信片		大余(江西)	0	iəŋ	42	上声	
元	于信片		大余(江西)	l	iã	11	阳平	
兄	于信片		大余(江西)	ɕ	iəŋ	33	阴平	
先	于信片		大余(江西)	ɕ	iɛ̃	33	阴平	
光	于信片		大余(江西)	k	ɔ̃	33	阴平	
免	于信片		大余(江西)	m	iɛ̃	42	上聲	
兒	于信片		大余(江西)	0	ø	11	阳平	
兔	于信片		大余(江西)	tʰ	u	42	上声	
兜	于信片		大余(江西)	t	æ	33	阴平	
入	于信片		大余(江西)	0	ie	33	阴平	
全	于信片		大余(江西)	tɕʰ	iã	11	陽平	
兩	于信片		大余(江西)	t	iɔ̃	24	去聲	兒倆
八	于信片		大余(江西)	p	ə	33	阴平	
公	于信片		大余(江西)	k	əŋ	33	阴平	
六	于信片		大余(江西)	t	y	33	阴平	
兰	于信片		大余(江西)	l	ã	11	阳平	
共	于信片		大余(江西)	kʰ	əŋ	33	阴平	
关	于信片		大余(江西)	k	uã	33	阴平	
兴	于信片		大余(江西)	ɕ	iəŋ	33	阴平	兴旺
兵	于信片		大余(江西)	p	iəŋ	33	阴平	
具	于信片		大余(江西)	tɕʰ	y	33	阴平	
兼	于信片		大余(江西)	tɕ	iɛ̃	33	阴平	
写	于信片		大余(江西)	ɕ	ia	42	上声	
军	于信片		大余(江西)	tɕ	iəŋ	33	阴平	
农	于信片		大余(江西)	l	əŋ	11	阳平	
冤	于信片		大余(江西)	0	iã	33	阴平	
冫	于信片		大余(江西)	p	iəŋ	33	陰平	
冬	于信片		大余(江西)	t	əŋ	33	阴平	
冰	于信片		大余(江西)	p	iəŋ	33	阴平	
冲	于信片		大余(江西)	tsʰ	əŋ	33	阴平	
准	于信片		大余(江西)	tɕ	iəŋ	42	上声	
凉	于信片		大余(江西)	t	iɔ̃	11	阳平	
凡	于信片		大余(江西)	h	uã	11	阳平	
凤	于信片		大余(江西)	f	əŋ	24	去声	
凶	于信片		大余(江西)	ɕ	iəŋ	33	阴平	
凷	于信片		大余(江西)	kʰ	uæ	24	去声	
凿	于信片		大余(江西)	tsʰ	o	33	阴平	
刀	于信片		大余(江西)	t	ɔ	33	阴平	
分	于信片		大余(江西)	f	ɛ̃	33	阴平	
切	于信片		大余(江西)	tɕʰ	ie	5	入声	
刘	于信片		大余(江西)	t	iu	11	阳平	
初	于信片		大余(江西)	tsʰ	u	33	阴平	
判	于信片		大余(江西)	pʰ	ã	24	去聲	
別	于信片		大余(江西)	pʰ	ie	33	阴平	
利	于信片		大余(江西)	t	i	33	陰平	
刮	于信片		大余(江西)	k	uə	5	入声	
到	于信片		大余(江西)	t	ɔ	24	去声	
刷	于信片		大余(江西)	s	ə	5	入声	
刻	于信片		大余(江西)	kʰ	e	33	阴平	
削	于信片		大余(江西)	ɕ	io	33	阴平	
前	于信片		大余(江西)	tɕʰ	iɛ̃	11	阳平	
剝	于信片		大余(江西)	p	o	33	阴平	
剪	于信片		大余(江西)	tɕ	iɛ̃	42	上声	
割	于信片		大余(江西)	k	uə	33	阴平	
劉	于信片		大余(江西)	t	iu	11	阳平	
劍	于信片		大余(江西)	tɕ	iɛ̃	24	去声	
劒	于信片		大余(江西)	tɕ	iɛ̃	24	去声	
劔	于信片		大余(江西)	tɕ	iɛ̃	24	去声	
力	于信片		大余(江西)	t	i	33	阴平	
劝	于信片		大余(江西)	tɕʰ	iã	24	去声	
办	于信片		大余(江西)	p	ã	24	去声	
加	于信片		大余(江西)	k	a	33	阴平	
动	于信片		大余(江西)	tʰ	əŋ	24	去声	
助	于信片		大余(江西)	tsʰ	u	33	阴平	
効	于信片		大余(江西)	h	ɔ	33	阴平	
勋	于信片		大余(江西)	ɕ	iəŋ	33	阴平	
動	于信片		大余(江西)	tʰ	əŋ	24	去声	
勛	于信片		大余(江西)	ɕ	iəŋ	33	阴平	
勤	于信片		大余(江西)	tɕʰ	iəŋ	11	阳平	
勳	于信片		大余(江西)	ɕ	iəŋ	33	阴平	
勸	于信片		大余(江西)	tɕʰ	iã	24	去声	
包	于信片		大余(江西)	p	ɔ	33	阴平	
化	于信片		大余(江西)	h	ua	24	去声	
北	于信片		大余(江西)	p	e	33	阴平	
匪	于信片		大余(江西)	f	i	42	上声	
匹	于信片		大余(江西)	pʰ	ie	33	阴平	
区	于信片		大余(江西)	tɕʰ	y	33	阴平	
區	于信片		大余(江西)	tɕʰ	y	33	阴平	
十	于信片		大余(江西)	s	ə	33	阴平	
千	于信片		大余(江西)	tɕʰ	iɛ̃	33	阴平	
升	于信片		大余(江西)	ɕ	iəŋ	33	陰平	
半	于信片		大余(江西)	p	ɛ̃	24	去声	
华	于信片		大余(江西)	h	ua	33	阴平	
协	于信片		大余(江西)	ɕ	ie	33	阴平	
協	于信片		大余(江西)	ɕ	ie	33	阴平	
单	于信片		大余(江西)	t	ã	33	阴平	
卖	于信片		大余(江西)	m	æ	24	去声	
南	于信片		大余(江西)	l	ã	11	阳平	
博	于信片		大余(江西)	p	o	33	阴平	
卤	于信片		大余(江西)	ɕ	i	33	阴平	
卥	于信片		大余(江西)	ɕ	i	33	阴平	
卫	于信片		大余(江西)	0	yø	33	阴平	
印	于信片		大余(江西)	0	iəŋ	24	去聲	
压	于信片		大余(江西)	0	ə	33	阴平	
厚	于信片		大余(江西)	h	æ	24	去声	
原	于信片		大余(江西)	l	iã	11	阳平	
叉	于信片		大余(江西)	tsʰ	a	33	阴平	
及	于信片		大余(江西)	tɕʰ	ie	5	入声	
双	于信片		大余(江西)	s	ɔ̃	33	阴平	
叔	于信片		大余(江西)	ɕ	y	33	陰平	
受	于信片		大余(江西)	ɕ	iu	33	阴平	
变	于信片		大余(江西)	p	iɛ̃	24	去声	
叚	于信片		大余(江西)	k	a	42	上声	真假
叛	于信片		大余(江西)	pʰ	ã	24	去声	
口	于信片		大余(江西)	h/kʰ	æ/ie	42/42	上声/上声	白读<br>文读
叫	于信片		大余(江西)	tɕ	iɔ	24	去声	
可	于信片		大余(江西)	kʰ	o	42	上声	
叶	于信片		大余(江西)	ɕ	ie	33	阴平	
各	于信片		大余(江西)	k	o	33	阴平	
合	于信片		大余(江西)	h	uə	33	阴平	
名	于信片		大余(江西)	m/m	iã/iəŋ	11/11	阳平/阳平	白读<br>文读
吓	于信片		大余(江西)	h	a	33	阴平	
吞	于信片		大余(江西)	tʰ	ɔ̃	33	阴平	
含	于信片		大余(江西)	h	ã	11	阳平	
启	于信片		大余(江西)	tɕʰ	i	42	上声	
吳	于信片		大余(江西)	0	m	11	阳平	
吸	于信片		大余(江西)	tɕ	ie	5	入聲	
吹	于信片		大余(江西)	tɕʰ	yø	33	阴平	
呂	于信片		大余(江西)	t	y	42	上声	
告	于信片		大余(江西)	k	ɔ	24	去聲	
周	于信片		大余(江西)	tɕ	iu	33	阴平	
呪	于信片		大余(江西)	tɕ	iu	24	去声	
味	于信片		大余(江西)	0/v	yø/e	33/33	阴平/阴平	白读<br>文读
命	于信片		大余(江西)	m/m	iã/iəŋ	33/33	阴平/阴平	白读<br>文读
哀	于信片		大余(江西)	0	æ	33	阴平	
品	于信片		大余(江西)	pʰ	iəŋ	42	上声	
响	于信片		大余(江西)	ɕ	iɔ̃	42	上声	
哥	于信片		大余(江西)	k	o	33	陰平	
唆	于信片		大余(江西)	s	o	33	阴平	
唱	于信片		大余(江西)	tsʰ	ɔ̃	24	去声	
問	于信片		大余(江西)	m/v	ɛ̃/ɛ̃	24/24	去声/去声	白读<br>文读
啓	于信片		大余(江西)	tɕʰ	i	42	上声	
啟	于信片		大余(江西)	tɕʰ	i	42	上声	
善	于信片		大余(江西)	s	ã	24	去声	
喉	于信片		大余(江西)	h	æ	11	阳平	
喜	于信片		大余(江西)	ɕ	i	42	上声	
單	于信片		大余(江西)	t	ã	33	阴平	
嘗	于信片		大余(江西)	s	ɔ̃	11	阳平	
噏	于信片		大余(江西)	tɕ	ie	5	入声	
器	于信片		大余(江西)	tɕʰ	i	24	去声	
嚇	于信片		大余(江西)	h	a	33	阴平	
嚴	于信片		大余(江西)	l	iɛ̃	11	阳平	
四	于信片		大余(江西)	s	ɿ	24	去声	
回	于信片		大余(江西)	h	uø	11	阳平	
因	于信片		大余(江西)	0	iəŋ	33	阴平	
团	于信片		大余(江西)	tʰ	ɔ̃	11	阳平	
囪	于信片		大余(江西)	tsʰ	ɔ̃	33	阴平	
困	于信片		大余(江西)	kʰ	uɛ̃	24	去声	
围	于信片		大余(江西)	0/v	yø/ø	11/11	阳平/阳平	白读<br>文读
国	于信片		大余(江西)	k	uə	33	阴平	
图	于信片		大余(江西)	tʰ	u	11	阳平	
圆	于信片		大余(江西)	0	iã	11	阳平	
國	于信片		大余(江西)	k	uə	33	阴平	
圍	于信片		大余(江西)	0/v	yø/ø	11/11	阳平/阳平	白读<br>文读
圓	于信片		大余(江西)	0	iã	11	阳平	
圖	于信片		大余(江西)	tʰ	u	11	阳平	
團	于信片		大余(江西)	tʰ	ɔ̃	11	阳平	
圜	于信片		大余(江西)	0	iã	11	阳平	
土	于信片		大余(江西)	tʰ	u	42	上声	
地	于信片		大余(江西)	tʰ	i	33	阴平	
坐	于信片		大余(江西)	tsʰ	o	24	去声	
坑	于信片		大余(江西)	h	ã	33	阴平	
块	于信片		大余(江西)	kʰ	uæ	24	去聲	
坟	于信片		大余(江西)	h	uɛ̃	11	阳平	
坡	于信片		大余(江西)	pʰ	o	33	阴平	
坣	于信片		大余(江西)	tʰ	ɔ̃	11	阳平	
坼	于信片		大余(江西)	tsʰ	a	33	阴平	
垕	于信片		大余(江西)	h	æ	24	去聲	
垫	于信片		大余(江西)	tʰ	iɛ̃	24	去声	
埋	于信片		大余(江西)	m	æ	11	阳平	
基	于信片		大余(江西)	tɕ	i	33	阴平	
埽	于信片		大余(江西)	s	ɔ	42	上声	扫地
埿	于信片		大余(江西)	l	i	11	阳平	
堂	于信片		大余(江西)	tʰ	ɔ̃	11	阳平	
堆	于信片		大余(江西)	t	ø	33	阴平	
堖	于信片		大余(江西)	l	ɔ	42	上声	
堦	于信片		大余(江西)	k	iæ	33	阴平	
報	于信片		大余(江西)	p	ɔ	24	去声	
塊	于信片		大余(江西)	kʰ	uæ	24	去声	
塔	于信片		大余(江西)	tʰ	ə	33	阴平	
塗	于信片		大余(江西)	tʰ	u	11	阳平	
填	于信片		大余(江西)	tʰ	iɛ̃	11	阳平	
墊	于信片		大余(江西)	tʰ	iɛ̃	24	去声	
墓	于信片		大余(江西)	m	u	24	去声	
墙	于信片		大余(江西)	tɕʰ	iɔ̃	11	阳平	
墨	于信片		大余(江西)	m	e	33	阴平	
墩	于信片		大余(江西)	t	ɔ̃	24	去声	
墬	于信片		大余(江西)	tʰ	i	33	阴平	
墳	于信片		大余(江西)	h	uɛ̃	11	陽平	
墻	于信片		大余(江西)	tɕʰ	iɔ̃	11	阳平	
壁	于信片		大余(江西)	p	ia	33	阴平	
壄	于信片		大余(江西)	0/0	ia/ia	24/42	去声/上声	白读<br>文读
壓	于信片		大余(江西)	0	ə	33	阴平	
士	于信片		大余(江西)	s	ɿ	33	阴平	
壮	于信片		大余(江西)	ts	ɔ̃	24	去声	
壯	于信片		大余(江西)	ts	ɔ̃	24	去声	
声	于信片		大余(江西)	ɕ/ɕ	iã/iəŋ	33/33	阴平/阴平	白读<br>文读
壽	于信片		大余(江西)	ɕ	iu	33	阴平	
备	于信片		大余(江西)	pʰ	i	33	阴平	
外	于信片		大余(江西)	v	uæ	33	阴平	
多	于信片		大余(江西)	t	o	33	阴平	
夜	于信片		大余(江西)	0	ia	33	阴平	
天	于信片		大余(江西)	tʰ	iɛ̃	33	阴平	
太	于信片		大余(江西)	tʰ	æ	24	去声	
夫	于信片		大余(江西)	f	u	33	阴平	
失	于信片		大余(江西)	s	ə	5	入声	
头	于信片		大余(江西)	tʰ	æ	11	阳平	
夺	于信片		大余(江西)	tʰ	ə	33	阴平	
奪	于信片		大余(江西)	tʰ	ə	33	阴平	
女	于信片		大余(江西)	l	y	42	上声	
好	于信片		大余(江西)	h	ɔ	42	上声	好坏
妇	于信片		大余(江西)	f	u	33	阴平	
妙	于信片		大余(江西)	m	iɔ	24	去声	
妹	于信片		大余(江西)	m	ø	24	去聲	
妻	于信片		大余(江西)	tɕʰ	i	33	阴平	
始	于信片		大余(江西)	s	ɿ	42	上声	
姐	于信片		大余(江西)	tɕ	ia	42	上聲	
姑	于信片		大余(江西)	k	u	33	陰平	
姓	于信片		大余(江西)	ɕ/ɕ	iã/iəŋ	24/24	去声/去声	白读<br>文读
委	于信片		大余(江西)	v/v	e/ø	42/42	上声/上声	文读<br>白读
姦	于信片		大余(江西)	k	ã	33	阴平	
姨	于信片		大余(江西)	0	i	11	阳平	
威	于信片		大余(江西)	0/v	ue/e	33/33	阴平/阴平	文读<br>白读
娘	于信片		大余(江西)	l	iɔ̃	11	阳平	
婆	于信片		大余(江西)	pʰ	o	11	阳平	
婦	于信片		大余(江西)	f	u	33	阴平	
媆	于信片		大余(江西)	l	ɔ̃	33	阴平	
嫁	于信片		大余(江西)	k	a	24	去声	
嫂	于信片		大余(江西)	s	ɔ	42	上声	
嫌	于信片		大余(江西)	ɕ	iɛ̃	42	上声	
嫩	于信片		大余(江西)	l	ɔ̃	33	阴平	
嬾	于信片		大余(江西)	l	ã	24	去声	
子	于信片		大余(江西)	ts	ɿ	42	上声	
字	于信片		大余(江西)	tsʰ	ɿ	24	去声	
孙	于信片		大余(江西)	s	ɔ̃	33	阴平	
孝	于信片		大余(江西)	h	ɔ	24	去聲	
孟	于信片		大余(江西)	m	ɛ̃	33	阴平	
季	于信片		大余(江西)	tɕ	i	24	去聲	
学	于信片		大余(江西)	h	o	33	阴平	
孫	于信片		大余(江西)	s	ɔ̃	33	阴平	
學	于信片		大余(江西)	h	o	33	阴平	
孼	于信片		大余(江西)	l	ie	33	阴平	
孽	于信片		大余(江西)	l	ie	33	阴平	
守	于信片		大余(江西)	s	æ	42	上声	
安	于信片		大余(江西)	0	ɔ̃	33	阴平	
完	于信片		大余(江西)	v	ã	11	阳平	
宗	于信片		大余(江西)	ts	əŋ	33	阴平	
官	于信片		大余(江西)	k	uã	33	阴平	
定	于信片		大余(江西)	t/tʰ	iã/iəŋ	33/33	阴平/阴平	白读<br>文读
宝	于信片		大余(江西)	p	ɔ	42	上声	
实	于信片		大余(江西)	s	ə	33	阴平	
客	于信片		大余(江西)	kʰ	a	33	阴平	
宮	于信片		大余(江西)	k	əŋ	33	阴平	
害	于信片		大余(江西)	h	uø	33	陰平	
家	于信片		大余(江西)	k	a	33	陰平	
容	于信片		大余(江西)	0	iəŋ	11	陽平	
宽	于信片		大余(江西)	kʰ	uã	33	阴平	
宾	于信片		大余(江西)	p	iəŋ	33	阴平	
寄	于信片		大余(江西)	tɕ	i	24	去声	
密	于信片		大余(江西)	m	ie	33	阴平	
富	于信片		大余(江西)	f	u	24	去声	
寒	于信片		大余(江西)	h	ɔ̃	11	阳平	
察	于信片		大余(江西)	tsʰ	ə	5	入声	
實	于信片		大余(江西)	s	ə	33	阴平	
寫	于信片		大余(江西)	ɕ	ia	42	上声	
寬	于信片		大余(江西)	kʰ	uã	33	阴平	
寴	于信片		大余(江西)	tɕʰ	iəŋ	33	阴平	
寶	于信片		大余(江西)	p	ɔ	42	上声	
寸	于信片		大余(江西)	tsʰ	ɔ̃	24	去聲	
对	于信片		大余(江西)	t/t	ø/ø	24/42	去声/上声	文读<br>白读
寻	于信片		大余(江西)	tɕʰ	iəŋ	11	阳平	
寿	于信片		大余(江西)	ɕ	iu	33	阴平	
封	于信片		大余(江西)	f	əŋ	33	阴平	
射	于信片		大余(江西)	s	a	33	阴平	
尊	于信片		大余(江西)	ts	ɔ̃	33	阴平	
尋	于信片		大余(江西)	tɕʰ	iəŋ	11	阳平	
對	于信片		大余(江西)	t/t	ø/ø	24/42	去声/上声	文读<br>白读
小	于信片		大余(江西)	ɕ	iɔ	42	上声	
少	于信片		大余(江西)	s	ɔ	42	上声	多少
尖	于信片		大余(江西)	tɕ	iɛ̃	33	阴平	
尝	于信片		大余(江西)	s	ɔ̃	11	阳平	
就	于信片		大余(江西)	tɕʰ	iu	33	阴平	
