#漢字	音標	解釋	汝城話拼音				
#簡稱	/	汝城	/				
#全稱	/	汝城话	/				
#版本	/	2022-5-7	/				
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f	/				
#韻母	/	#韻母順序，用逗號分開。如：a,o,e	/				
#聲調	/	33 1 1a 陰平 ꜀,45 2 1b 陽平 ꜁,21 3 2 上 ꜂,24 5 3a 陰去 ꜄,44 6 3b 陽去 ꜅#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。					
#說明	/	來源：灼灼其华 参考自曾献飞《汝城方言研究》、《汝城县志》、《广韵》、汉典网#HTML格式，僅允許一行，用<br>換行					
扩	kʰu5		ku5				
扫	sau	文，打~	sao				
扫	sau5	~屋（扫地）	sao5				
地	ti5	老派	di5				
地	ti6	新派，坟墓	di6				
场	tiaŋ2	屋~（村庄）	diang2				
场	tsʰaŋ2	市~，~所	cang2				
扬	iaŋ2		iang2				
耳	ɛ3	~机	e3				
耳	ȵi3	~朵	nji3				
耳	li3	木~	li3				
芋	u6	香~	u6				
芋	u5	~头	u5				
共	tɕʰioŋ6		qiong6				
芒	maŋ2		mang2				
亚	ɔ5		o5				
芝	tɕi1		ji1				
朽	ɕiəu3		xiou3				
朴	pʰu3		pu3				
机	tɕi1		ji1				
权	tɕʰya2		qya2				
过	ku5		gu5				
臣	sɛn2		sen2				
吏	li6		li6				
再	tsai5		zai5				
协	ɕiɛ1		xie1				
西	sɛi1	~冲（地名）	sei1				
西	sɿ1	老派	sii1				
西	ɕɿ1	新派	xii1				
压	ia3	~力	ia3				
厌	ia5		ia5				
戌	ɕyɛ3		xye3				
在	tsʰai6		cai6				
百	pɛ5	~分之~	be5				
百	pɔ5	一~	bo5				
有	iəu1	白，~钱	iou1				
有	iəu3	文，拥~	iou3				
存	tsʰuɛn2		cuen2				
而	ɛ2		e2				
页	iɛ1		ie1				
匠	tɕʰiaŋ6		qiang6				
夸	kʰua1		kua1				
夺	tuɛ1	老派	due1				
夺	tuɛ3	新派	due3				
灰	xuɛi1		huei1				
达	ta3		da3				
列	liɛ3		lie3				
死	ɕi3		xi3				
死	sɿ3		sii3				
成	sɛn2		sen2				
夹	ka3		ga3				
挟	ka3		ga3				
夷	i2		i2				
轨	kuɛi3		guei3				
邪	tɕʰiɔ2		qio2				
尧	iau2		iao2				
划	xɔ2	~算	ho2				
划	xɔ6		ho6				
迈	mai6		mai6				
毕	piɛ3		bie3				
至	tɕi5		ji5				
此	tɕʰi3		qi3				
贞	tsɛn1		zen1				
师	sɿ1		sii1				
尘	tsʰɛn2		cen2				
尖	tɕia1		jia1				
劣	luɛ1		lue1				
光	kuaŋ1		guang1				
当	taŋ6	老~	dang6				
当	taŋ5	~毋得（比不上）	dang5				
当	taŋ1	~兵	dang1				
早	tsau3		zao3				
吁	y6		y6				
吐	tʰu5	老派	tu5				
吐	tʰu3	新派	tu3				
吓	xɔ5		ho5				
虫	tioŋ2	白，蚊~	diong2				
虫	tsʰoŋ2	文，杀~	cong2				
曲	tɕʰiəu5		qiou5				
团	tua2		dua2				
吕	ly3		ly3				
同	toŋ2		dong2				
吊	tiau5		diao5				
吃	tɕʰiɛ3	~亏	qie3				
因	in1		in1				
吸	ɕiɛ3	~铁	xie3				
吸	ɕi1	~管	xi1				
吸	tɕiɛ3		jie3				
吗	ma1		ma1				
吆	iau1		iao1				
屿	y3		y3				
屹							
岁	suɛi5		suei5				
帆	fa2	老派	fa2				
