	注释：-白读，=文读
#a	
p	[1]巴疤芭葩爸[2]爬耙琶杷耙筢[3]把罢饱-[5]霸坝
pʰ	[1]脬□{～倒}[5]怕帕泡-
m	[1]妈□{五指抓物}[2]麻{～面}猫-蟆[3]马妈{婆}码[5]骂
t	[1]焦{干，饭烧～}[2]茶[3]打
tʰ	[1]他她它[5]䖳{海蜇皮}
n	[2]拉{～屎}[3]那娜拿
l	[1]拉
ts	[1]查渣楂[3]纸者姐早-[5]炸榨乍诈笊{～篱}
tsʰ	[1]叉差杈岔吒汊[2]柴樵[3]炒吵且
s	[1]沙纱傻痧[3]洒舍{会～；𣍐～}
k	[1]家加嘉傢{傢具}佳铰胶[2]嘎[3]假{～货}绞咬[5]假{放～}架教-稼酵{～母}价驾贾{姓}
kʰ	[1]骹跤[5]卡
ŋ	[1]桠{树支分杈}[2]牙芽衙涯迓讶[3]雅
x	[1]哈[2]虾霞遐瑕暇[3]夏厦[5]孝-
∅	[1]阿丫鸦[3]下哑拗{折断}[5]亚
#ɛ	
p	[2]排牌[3]摆-
pʰ	[3]䫌[5]稗
m	[3]买卖𣍐{不会}
t	[1]低[2]题蹄[3]底弟=隶棣递[5]帝
tʰ	[2]啼=[3]体[5]替屉缔
n	[2]尼泥[3]奶{～妈}[5]□{滞食}
l	[2]犁黎厘璃[3]礼荔励
ts	[1]遮斋[2]齐侪脐[3]挤剂[5]济
s	[1]西犀樨[3]洗徙所□{多}[5]细婿
k	[1]街[3]解{～开}[5]解{起～}疥
kʰ	[1]溪[3]喫{啃}[5]快-{～活}
ŋ	[2]倪霓
x	[3]蟹□{费力看}
∅	[1]挨-{～时过日}[2]鞋[3]矮解{会，～做}[5]睨{看}
#e	
ts	[3]紫
tsʰ	[3]扯侈
kʰ	[3]启企
∅	[3]椅
#œ	
m	[2]□{糊涂}
t	[3]苎
tʰ	[1]□{斜下}
l	[2]驴[3]捞-{～进}[5]鑢{锉刀}
ts	[1]□{马虎}[3]助
tsʰ	[1]差{出～}初妻栖凄[3]楚础[5]粞挫□{丝瓜}
s	[1]疏梳[3]黍玺[5]疏{奏～}
k	[5]傀{～儡：小孩}
x	[2]喉
#ø	
tʰ	[3]□{鼎～：锅铲}
∅	[6]悦阅
#ɔ	
p	[1]褒玻[2]袍婆[3]保宝斧-堡抱暴[5]报播
pʰ	[1]波坡[3]颇[5]破=
m	[1]馍[2]毛无[3]磨{石～}帽母-冒[5]□{敲打}
t	[1]刀多[2]陶驮淘萄驼逃驼佗[3]倒{打～}岛稻道盗导祷惰[5]倒{～水}到
tʰ	[1]滔叨涛唾[2]桃[3]讨[5]套
n	[2]挪[3]脑恼糯娜
l	[2]罗{～盘}啰{～嗦}锣萝劳痨牢唠[3]老栳{小箩筐}涝
ts	[1]遭{～殃}[2]曹槽=遭{～遇}[3]左枣座坐早皂[5]造做
tsʰ	[1]搓臊{腥味}[3]草[5]错糙躁锉
s	[1]梭唆骚娑[2]槽-[3]嫂锁琐扫=[5]燥躁-
k	[1]哥歌糕篱高膏羔蒿[3]稿搞[5]告诰个喾
kʰ	[1]柯□{久煮}轲苛[3]考可[5]靠魺{鱼干}铐
ŋ	[2]鹅敖遨熬嗷俄哦莪爊{～药}[3]我=饿傲鏊[5]□{抬头}
x	[2]豪荷何毫[3]好号浩贺皓何{为～}[5]好耗
∅	[1]阿{～胶}[2]河[3]袄懊[5]奥澳岙
#o	
p	[3]补
pʰ	[3]普谱哺斧
t	[3]朵躲
tʰ	[3]妥
l	[3]虏裸裹
ts	[3]主
k	[2]□{蹲}[3]果
x	[3]火=夥
#i	
p	[1]卑碑裨[2]琵枇[3]比陛譬避[5]臂闭
pʰ	[1]飞=非悲批裴披[3]疕匪鄙丕菲{～薄}
m	[3]米美
t	[1]知蜘低=[2]池[3]底=弟=
tʰ	[1]黐{黏物}[2]啼-[3]耻[5]剃
n	[3]尔你
l	[2]离篱[3]理例蛎=李里履鲤[5]裂{～纸}
ts	[1]支枝=之芝脂肢□{女阴}[3]子只枳止籽旨指=姊[5]制祭际掣
tsʰ	[1]雌腮痴蚩[3]齿=矢豕屎=[5]刺-翅砌
s	[1]些施{姓}丝尸诗司[2]匙[3]死-誓逝始豉[5]世势嗜
k	[1]羁规畦鸡箕基饥=肌系{～鞋}讥鲑圭闺奎几{～乎}[3]几{～个}麂纪己杞[5]计季桂继
kʰ	[1]稽㩻{歪斜}欺[2]骑{～马}[3]起岂[5]契
ŋ	[1]枝-[2]宜{便～}[3]谊义拟耳艺毅诣议
