					#声调 [1]44 [2]22 [3]35 [6]31 [7]4 [8]2
字	声	韵	调	注释	
多	t	o	44		
拖	th	o	44		
大	th	ɔi	31		
锣	l	o	22		
左	ts	ɑu	35		
歌	k	o	31	用于畲族歌，声调特殊	
歌	k	o	22	用于汉族歌，声调特殊	
个	k	ɔi	44		
可	kh	o	35		
鹅	ŋ	ɑu	22	白	
鹅	ŋ	o	22	文	
饿	ŋ	o	31		
河	h	o	22		
茄	kh	io	35	声调特殊	
破	ph	o	44		
婆	ph	o	22		
磨	m	o	22		
磨	m	o	31		
螺	l	o	22		
坐	tsh	o	44	声调特殊	
锁	s	ɑu	35	～匙，名词	
锁	s	o	35	～起来，动词	
果	k	o	35		
过	k	u	44		
课	kh	o	44		
火	f	u	35		
货	h	o	44		
祸	h	o	31		
靴	ɕ	io	44		
把	p	ɔ	35		
爬	ph	ɔ	22		
马	m	ɔ	44		
骂	m	ɔ	44		
茶	tsh	ɔ	22		
沙	s	ɔ	31	名词，声调特殊	
沙	s	ɔ	44	长～	
假	k	ɔ	35		
嫁	k	ɔ	44		
牙	ŋ	ɔ	22		
虾	h	ɔ	35	声调特殊	
下	h	ɔ	31		
夏	h	ɔ	31		
哑	Ǿ	ɔ	35		
借	ts	aʔ	4	舒声促化	
写	ɕ	ia	35		
斜	ɕ	iai	22		
谢	tɕh	ia	31	白	
谢	ɕ	ia	31	文	
车	tɕh	ia	44		
蛇	ɕ	ia	22		
射	ɕ	ia	31		
爷	Ǿ	ia	22		
野	Ǿ	ia	35		
夜	Ǿ	ia	31		
瓜	k	ɔ	44		
瓦	ŋ	ɔ	35		
花	f	ɔ	44		
化	f	ɔ	44		
华	f	ɔ	22		
谱	p	u	35		
布	p	u	44		
铺	ph	u	44		
簿	p	o	31		
步	ph	u	31		
赌	t	u	35		
土	th	u	35		
图	t	u	22		
杜	t	y	22	韵母特殊	
奴	n	əŋ	22	韵母特殊	
路	l	u	31		
租	ts	u	44		
做	ts	o	44		
错	tsh	oʔ	4	舒声促化	
箍	f	u	44	声母特殊	
古	k	u	35		
苦	f	u	35	味道～，声母特殊	
苦	kh	u	35	生活～	
裤	f	u	44	声母特殊	
吴	ŋ	o	22		
五	Ǿ	ŋ	35		
虎	f	u	35		
壶	f	u	22		
户	f	u	31		
乌	Ǿ	u	44		
女	ȵ	y	35		
吕	l	y	22	声调特殊	
徐	ɕ	y	22		
猪	tɕ	y	44		
除	tɕh	y	22		
初	tsh	o	44		
锄	tɕh	y	22		
所	s	o	35		
书	ɕ	y	44		
鼠	ɕ	y	35		
如	Ǿ	y	22		
举	tɕ	y	35		
锯	k	y	44		
去	ɕ	y	44		
渠	tɕ	y	22		
鱼	ȵ	y	31	声调特殊	
许	ɕ	y	35		
余	Ǿ	y	22		
府	f	u	35		
付	f	u	44		
父	f	u	31		
武	Ǿ	m	35		
雾	m	ɔ	31	白	
雾	Ǿ	m	31	文	
取	tɕh	y	35		
柱	tɕ	y	31		
住	tɕ	y	31		
数	s	u	35		
数	s	u	44		
主	tɕ	y	35		
输	ɕ	y	44		
竖	ɕ	y	31		
树	ɕ	y	31		
句	k	u	44	韵母特殊	
区	tɕh	y	44		
遇	Ǿ	y	31		
雨	Ǿ	y	35		
芋	f	u	31	声母特殊	
裕	Ǿ	y	31		
胎	th	oi	44		
台	t	oi	22		
袋	th	oi	31		
来	l	oi	22		
菜	tsh	oi	44		
财	ts	ai	22		
该	k	ai	44		
改	k	ai	35		
开	f	oi	44	声母特殊	
开	kh	oi	44	文	
海	h	ai	35		
爱	Ǿ	oi	44		
贝	p	oi	44		
带	t	ɔi	44	韵母特殊	
盖	k	oi	44		
害	h	ai	31		
拜	p	ai	44		
排	ph	ai	22		
埋	m	ai	31	声调特殊	
戒	k	ai	35	～烟，声调特殊	
戒	k	a	35	猪八～，韵母、声调特殊	
摆	p	ai	35		
派	ph	ai	44	又	
派	ph	a	44	又	
牌	ph	ai	22		
买	m	ai	35	仅见于文读	
卖	m	ai	31	仅见于文读	
柴	tsh	ai	22		
晒	s	ai	44		
街	k	iai	44		
解	k	ai	35		
鞋	h	ai	22		
蟹	h	ai	35	声调特殊	
矮	Ǿ	ai	35		
败	p	ai	31		
币	p	i	31		
制	tɕ	i	44		
世	ɕ	ie	44	白	
世	ɕ	i	44	文	
艺	ȵ	ie	31	白	
艺	ȵ	i	31	文	
米	m	ai	35		
低	t	ai	44		
梯	th	oi	44		
剃	th	ai	44		
弟	th	ai	44	白，声调特殊	
弟	t	i	31	文	
递	t	e	22	声调特殊	
泥	n	ai	22		
犁	l	ai	22		
西	s	ai	44		
洗	s	ai	35		
鸡	k	iai	44		
溪	kh	e	44		
契	kh	e	44		
系	ɕ	i	44		
杯	p	oi	44		
配	ph	oi	44		
赔	ph	oi	22		
背	p	oi	31		
煤	m	oi	22		
妹	m	oi	44	声调特殊	
对	t	oi	44		
雷	l	oi	22		
罪	ts	oi	31		
碎	s	e	44		
灰	f	oi	44		
回	f	oi	22		
外	ŋ	o	31	～甥	
外	Ǿ	uɔi	31	～边	
会	f	oi	31		
怪	k	uɔi	44		
块	kh	ue	44		
怀	h	ɔi	31	～子	
怀	Ǿ	uɔi	31	～疑	
坏	k	ai	31	老	
坏	Ǿ	uɔi	31	新	
拐	k	uɔi	35		
挂	k	ɔ	44		
歪	Ǿ	uɔi	35	声调特殊	
画	h	o	31		
快	ɕ	iai	44	白	
快	kh	uai	44	文	
话	Ǿ	uɔ	31		
岁	s	oi	44		
卫	Ǿ	ue	31		
肺	f	e	44		
桂	k	ue	44		
碑	p	oi	44		
皮	ph	i	22		
被	ph	i	44		
紫	ts	u	35		
知	ts	ɿ	44		
池	k	i	22		
纸	tɕ	i	35		
儿	ȵ	i	31	幼～园	
寄	k	i	44		
骑	kh	i	22		
蚁	ȵ	i	35		
义	ȵ	i	31		
戏	ɕ	ie	44		
移	Ǿ	ie	22	白	
移	Ǿ	i	22	文	
比	p	i	35		
屁	ph	i	44		
鼻	ph	i	31		
眉	m	i	22		
地	th	i	31		
梨	l	e	35	白，声调特殊	
梨	l	i	22	文	
资	ts	ɿ	44		
死	s	i	35		
四	s	i	44		
师	s	u	44	白	
师	s	i	44	文	
指	tɕ	i	35		
二	ȵ	i	31		
饥	k	y	44		
器	tɕh	i	44		
姨	Ǿ	i	31	声调特殊	
李	l	i	35		
子	ts	oi	35	～女	
子	ts	u	35	～时	
子	ts	i	31	日～	
字	tsh	i	31		
丝	s	i	44		
祠	s	u	22		
寺	s	i	31		
治	ts	ɿ	31		
事	s	u	31		
使	s	oi	35		
试	s	u	44	白	
试	s	i	44	文	
时	ɕ	i	22		
市	s	ɿ	31		
耳	ȵ	i	35		
记	k	i	44		
棋	k	i	22		
喜	ɕ	i	35		
意	Ǿ	i	44		
几	k	i	35		
气	kh	i	44		
希	ɕ	i	44		
衣	Ǿ	i	44		
嘴	tɕ	yoi	44		
随	s	e	22	白	
随	ɕ	y	31	文，声调特殊	
吹	tɕh	yoi	44		
垂	th	o	22		
规	k	ue	44		
亏	kh	ue	44		
跪	k	ue	31		
危	Ǿ	ue	44		
类	l	e	31		
醉	ts	e	44		
追	tɕ	y	44		
锤	tɕh	y	22		
水	ɕ	y	35		
龟	k	ue	44		
季	k	e	44		
柜	kh	y	31		
位	Ǿ	ue	31		
飞	p	e	44		
费	ph	i	44	白	
费	f	e	44	文	
肥	ph	i	22		
尾	m	e	44		
味	m	i	31		
鬼	k	ue	35		
贵	k	ue	44		
围	Ǿ	ue	22		
胃	Ǿ	ue	31		
宝	p	ɑu	35		
毛	m	ɑu	44	白，声调特殊	
毛	m	ɑu	31	文，声调特殊	
帽	m	ɑu	31		
刀	t	ɑu	44		
讨	th	ɑu	35		
桃	th	o	22	白	
桃	t	ɑu	22	文	
道	t	ɑu	31		
脑	n	au	35		
老	l	ɑu	35		
早	ts	ɑu	35		
灶	ts	ɑu	44		
草	tsh	ɑu	35		
糙	tsh	au	44		
造	s	au	31		
嫂	s	ɑu	35		
高	k	ɑu	44		
靠	kh	iɤu	44		
熬	ŋ	au	22		
好	h	ɑu	35		
号	h	o	31	韵母特殊	
包	p	au	44		
饱	p	au	35		
炮	ph	au	44		
闹	n	au	31		
罩	ts	ɑu	44		
抓	ts	ɑu	35	声调特殊	
找	ts	ɑu	35		
抄	tsh	au	44		
交	k	au	44		
敲	kh	ɔ	44	韵母特殊	
孝	h	au	44		
校	Ǿ	ɑu	31		
表	p	eu	35		
票	ph	eu	44		
庙	m	eu	31		
焦	tɕ	ieu	44	白	
焦	tɕ	iɑu	44	文	
