cid	character	initial	final	tone	note
217	梨	l	i	42	
218	资	ts	ɿ	24	
219	死	s	ɿ	44	
220	四	s	ɿ	51	
221	迟	tʂh	ʅ	42	
222	师	ʂ	ʅ	24	
223	指	tʂ	ʅ	44	
224	二	∅	ər	51	
225	饥	tɕ	i	24	
226	器	tɕh	i	51	
227	姨	∅	i	42	
228	李	l	i	44	
229	子	ts	ɿ	44	
230	字	ts	ɿ	51	
231	丝	s	ɿ	24	
232	祠	tsh	ɿ	42	
233	寺	s	ɿ	51	
234	治	tʂ	ʅ	51	
235	柿	ʂ	ʅ	51	
236	事	ʂ	ʅ	51	
237	使	ʂ	ʅ	44	
238	试	ʂ	ʅ	51	
239	时	ʂ	ʅ	42	
240	市	ʂ	ʅ	51	
241	耳	∅	ər	44	
242	记	tɕ	i	51	
243	棋	tɕh	i	42	
244	喜	ɕ	i	44	
245	意	∅	i	51	
246	几	tɕ	i	44	
247	气	tɕh	i	51	
248	希	ɕ	i	44	
249	衣	∅	i	24	
250	嘴	ts	uei	44	
251	随	s	uei	42	
252	吹	tʂh	uei	24	
253	垂	tʂh	uei	42	
254	规	k	uei	24	
255	亏	kh	uei	24	
256	跪	k	uei	51	
257	危	∅	uei	44	
258	类	l	uei	51	
259	醉	ts	uei	51	
260	追	tʂ	uei	24	
261	锤	tʂh	uei	42	
262	水	f	ei	44	
263	龟	k	uei	24	
264	季	tɕ	i	51	
265	柜	k	uei	51	
266	位	∅	uei	51	
267	飞	f	ei	24	
268	费	f	ei	51	
269	肥	f	ei	42	
270	尾	∅	i	44	～巴
270	尾	∅	uei	44	
271	味	∅	uei	51	
272	鬼	k	uei	44	
273	贵	k	uei	51	
274	围	∅	uei	42	
275	胃	∅	uei	51	
276	宝	p	ɔ	44	
277	抱	p	u	51	白
277	抱	p	ɔ	51	文
278	毛	m	ɔ	42	
279	帽	m	ɔ	51	
280	刀	t	ɔ	24	
281	讨	th	ɔ	42	
282	桃	th	ɔ	42	
283	道	t	ɔ	51	
284	脑	n	ɔ	44	
285	老	l	ɔ	44	
286	早	ts	ɔ	44	
287	灶	ts	ɔ	51	
288	草	tsh	ɔ	44	
289	糙	tsh	ɔ	51	
290	造	ts	ɔ	51	
291	嫂	s	ɔ	44	
292	高	k	ɔ	24	
293	靠	kh	ɔ	51	
294	熬	ɣ	ɔ	42	
295	好	x	ɔ	44	
296	号	x	ɔ	51	
297	包	p	ɔ	24	
298	饱	p	ɔ	44	
299	炮	ph	ɔ	51	
300	猫	m	ɔ	42	
301	闹	n	ɔ	51	
302	罩	tʂ	ɔ	51	
303	抓	tʂ	ua	24	
304	找	tʂ	ɔ	44	
305	抄	tʂh	ɔ	24	
306	交	tɕ	iɔ	24	
307	敲	tɕh	iɔ	24	
308	孝	ɕ	iɔ	51	
309	校	ɕ	iɔ	51	
310	表	p	iɔ	44	
311	票	ph	iɔ	51	
312	庙	m	iɔ	51	
313	焦	tɕ	iɔ	24	
314	小	ɕ	iɔ	44	
315	笑	ɕ	iɔ	51	
316	朝	tʂh	ɔ	42	
317	照	tʂ	ɔ	51	
318	烧	ʂ	ɔ	24	
319	绕	ʐ	ɔ	44	
320	桥	tɕh	iɔ	42	
321	轿	tɕ	iɔ	51	
322	腰	∅	iɔ	24	
323	要	∅	iɔ	51	
324	摇	∅	iɔ	42	
325	鸟	ȵ	iɔ	44	
326	钓	t	iɔ	51	
327	条	th	iɔ	42	
328	料	l	iɔ	51	
329	箫	ɕ	iɔ	24	
330	叫	tɕ	iɔ	51	
331	母	m	u	44	
332	抖	t	ou	44	
333	偷	th	ou	24	
334	头	th	ou	42	
335	豆	t	ou	51	
336	楼	l	ou	42	
337	走	ts	ou	44	
338	凑	tsh	ou	51	
339	钩	k	ou	24	
340	狗	k	ou	44	
341	够	k	ou	51	
342	口	kh	ou	44	
343	藕	ɣ	ou	44	
344	后	x	ou	51	
345	厚	x	ou	51	
346	富	f	u	51	
347	副	f	u	51	
348	浮	f	u	42	
349	妇	f	u	24	
350	流	l	iou	42	
351	酒	tɕ	iou	44	
352	修	ɕ	iou	24	
353	袖	ɕ	iou	51	
354	抽	tʂh	ou	24	
355	绸	tʂh	ou	42	
356	愁	tʂh	ou	42	
357	瘦	ʂ	ou	51	
358	州	tʂ	ou	24	
359	臭	tʂh	ou	51	
360	手	ʂ	ou	44	
361	寿	ʂ	ou	51	
362	九	tɕ	iou	44	
363	球	tɕh	iou	42	
364	舅	tɕ	iou	51	
365	旧	tɕ	iou	51	
366	牛	ɣ	ou	42	动物名
366	牛	ȵ	iou	42	
367	休	ɕ	iou	24	
368	优	∅	iou	24	
369	有	∅	iou	44	
370	右	∅	iou	51	
371	油	∅	iou	42	
372	丢	t	iou	24	
373	幼	∅	iou	51	
374	贪	th	an	24	
375	潭	th	an	42	
376	南	n	an	42	
