#ɿ
ʦ[1]资姿咨滋兹辎[3]紫姊子梓[5]自字
ʦʰ[1]呲[2]慈磁雌瓷词辞祠[3]此[5]刺赐次伺
s[1]斯厮撕私司丝思饲[3]死[5]寺四肆似祀巳嗣

#ʅ
tʂ[1]脂织职只知蜘支枝肢稚之芝趾汁[2]殖值执直侄[3]纸只指止址旨[5]痣志秩炙治置滞制智致稚至痔誌製
tʂʰ[1]痴侈眵嗤尺吃[2]池驰迟持[3]耻齿[5]翅赤斥
ʂ[1]湿施匙狮师尸矢诗虱[2]时十蚀适拾食识石[3]屎使史驶始[5]豉柿仕世势誓逝是视示嗜事市恃试侍式饰
ʐ[5]日
ɭ[2]儿而[3]耳尔饵[5]二贰

#i
p[1]逼[2]彼鼻[3]鄙比笔=秕[5]壁璧碧弼箅避秘庇痹毕必蔽毙币鬓陛蓖闭敝弊
pʰ[1]批匹劈[2]皮疲脾琵枇蓖[5]譬屁僻闢
m[2]迷弥靡[3]米谜[5]密蜜觅泌
t[1]低堤滴[2]嫡笛敌狄[3]底抵[5]弟帝第地的递
tʰ[1]梯题踢[2]提蹄啼[3]体[5]替涕剔
n[2]泥倪尼[3]你拟[5]腻匿逆溺
l[2]犁黎离篱璃梨[3]礼厘李狸里理鲤[5]例厉励丽荔痢吏立笠粒栗力历
ʦ[1]积绩鲫迹[2]集即[3]挤[5]缉祭际荠济剂
ʦʰ[1]妻七漆膝戚[2]齐脐[5]砌
s[1]熄惜昔锡析西棲悉[2]席习[3]洗袭媳[5]细
ʨ[1]脊藉击激屐机讥饥疾鸡稽肌几基级[2]籍急及吉极[3]己几给戟[5]辑寂技妓寄冀纪记忌既季计继系
ʨʰ[1]祁欺其期[2]棋杞畦奇骑岐旗[3]启企起祈岂讫乞[5]契器弃气汽
ɕ[1]希稀息犀溪奚兮牺嬉熙吸夕[3]玺徙喜[5]系戏
Ǿ[1]蚁伊医已以衣依一[2]宜仪移夷姨疑[3]倚椅矣尾-揖乙[5]毅逸忆亿抑翼益亦译疫役异意饴艺刈缢谊义议易瞖

#u
p[2]醭[3]补不卜[5]讣部薄布怖步埠佈
pʰ[1]铺扑[2]蒲菩脯仆[3]谱普浦脯[5]瀑铺
m[3]母亩牡拇[5]木目亩穆墓慕募牧暮
f[1]复覆服伏蝠夫肤敷孵麸符芙跗腹傅佛福複[2]俘缚浮幅[3]腐辅腹阜俯府腑甫斧抚釜[5]赴父付赋附副妇负富复
t[1]都独牍督[2]读犊毒[3]堵赌肚笃[5]杜肚妒度渡镀
tʰ[1]突秃[2]徒屠涂塗图[3]吐土[5]唾吐兔
n[2]奴[3]努[5]怒
l[1]捋[2]卢炉芦鸬庐如[3]鲁橹虏卤儒乳擩辱[5]禄褥路赂露鹭入鹿陆録
k[1]姑孤箍骨谷[3]古估股谷牯盬[5]故固锢雇顾
kʰ[1]枯窟哭杌[3]苦[5]库裤酷
x[1]呼乎忽[2]胡湖狐壶斛瓠胡核鬍[3]虎浒[5]户互瓠護滬
ʦ[1]租[2]卒族足[3]祖组阻
ʦʰ[1]粗[5]猝促
s[1]苏酥肃宿[2]俗[5]素诉塑嗦速粟
tʂ[1]珠烛猪诸诛蛛株朱术竹硃[2]逐[3]煮拄主嘱[5]助铸筑祝柱驻住注蛀註
tʂʰ[1]出楚除锄厨雏[3]杵[5]处触畜
ʂ[1]梳殊蔬书束舒枢淑[2]赎[3]属鼠黍暑署薯数蜀[5]术庶恕数竖戍树漱
ʐ[3]汝
Ǿ[1]坞乌污巫污屋[2]吴蜈吾梧无[3]伍午武舞侮鹉[5]勿误悟恶务雾戊物

y
n[3]女
l[2]驴[3]吕旅屡履[5]律率绿滤虑
ʦ[5]聚
ʦʰ[1]蛆黢悛[3]娶曲[5]趋趣
s[1]戌须需婿[2]徐[5]序叙绪絮续
ʨ[1]车居拘矩桔鋸驹[2]菊局[3]举[5]具惧剧巨拒距据锯俱句
ʨʰ[1]区驱瞿屈[2]渠[3]取[5]去
ɕ[1]墟虚鬚[3]许[5]畜蓄恤
Ǿ[1]淤迂[2]鱼渔於余与愚虞娱于榆盂逾愉芋餘[3]语雨禹羽[5]欲玉吁裕愈郁育御预遇喻豫誉狱浴域

#ɔ
p[1]巴芭疤八[2]拔[3]把[5]霸欛坝爸壩耙罢
pʰ[1]琶杷[2]耙钯[5]怕帕
m[1]抹[2]麻痳蟆[3]马码[5]骂
f[1]法发[2]乏伐筏罚
t[1]答搭掇[2]沓达[5]大
tʰ[1]塔他榻塌溺拓[5]獭踏
n[2]拿[5]纳哪捺
l[1]拉[5]腊蜡辣
