"拼音"	"IPA"	"調號"	"單字"
"z"	"tsɿ"	1	"資姿咨茲滋輜飼[～料]"
"z"	"tsɿ"	2	"瓷飺茲磁辭詞祠"
"z"	"tsɿ"	3	"紫姊子梓巳滓"
"z"	"tsɿ"	5	"似"
"z"	"tsɿ"	6	"自字寺嗣"
"c"	"tsʰɿ"	1	"雌疵差[參～]"
"c"	"tsʰɿ"	3	"此"
"c"	"tsʰɿ"	5	"刺賜次伺"
"s"	"sɿ"	1	"師獅斯撕廝私司絲思"
"s"	"sɿ"	3	"死"
"s"	"sɿ"	5	"四肆祀飼[(文)～養]士仕俟侍"
"s"	"sɿ"	6	"事"
"zr"	"tʂʅ"	1	"知蜘支枝肢梔脂之芝織[(白)～布]"
"zr"	"tʂʅ"	2	"池馳持遲"
"zr"	"tʂʅ"	3	"紙止趾址"
"zr"	"tʂʅ"	5	"致稚至治志織[(文)紡織廠]職滯制製痣執汁隻[(文)片言～語]蟄[驚～]"
"zr"	"tʂʅ"	6	"痔"
"cr"	"tʂʰʅ"	1	"癡嗤直[(白)筆～]攡[伸]"
"cr"	"tʂʰʅ"	3	"侈匙恥齒"
"cr"	"tʂʰʅ"	5	"翅置殖值植飭赤[(文)～道]直[(文)～接]尺[(文)卷～]"
"sr"	"ʂʅ"	1	"施尸屍詩十[(白)～個]濕[(白)～氣]"
"sr"	"ʂʅ"	2	"時鰣"
"sr"	"ʂʅ"	3	"屎始矢"
"sr"	"ʂʅ"	5	"豉示視嗜恃試食蝕識式飾石[(文)卵～]釋世勢逝誓拾十[(文)～分關心]失[(文)～敗]濕[(文)潮～]"
"sr"	"ʂʅ"	6	"是氏柿市"
"bi"	"pi"	1	"逼"
"bi"	"pi"	2	"皮疲脾枇"
"bi"	"pi"	3	"彼比癟"
"bi"	"pi"	5	"陛譬避[(文)逃～]痹筆必弼碧璧壁[(文)～畫]閉[(文)～塞]蔽[(文)～陰]"
"bi"	"pi"	6	"蓖箅秕篦"
"pi"	"pʰi"	1	"批披鼻[(白)～子]別[(白)～人]匹[(白)一匹馬]"
"pi"	"pʰi"	3	"鄙"
"pi"	"pʰi"	5	"庇別[(文)分～]撇匹[(文)馬～]僻闢鼻[(文)～炎]"
"mi"	"mi"	2	"迷[(文)～宮]靡糜"
"mi"	"mi"	3	"米"
"mi"	"mi"	5	"泌密蜜覓"
"di"	"ti"	1	"爹[(文)父親]低堤滴[(文)水～]"
"di"	"ti"	2	"題提[(文)～問]蹄啼"
"di"	"ti"	3	"底抵"
"di"	"ti"	5	"帝隸笛敵狄弟[(文)～～]遞[(文)郵～]疊"
"di"	"ti"	6	"地弟[(白)老～]第遞[(白)～東西]"
"ti"	"tʰi"	1	"梯貼鐵[(白)銅～]"
"ti"	"tʰi"	3	"體"
"ti"	"tʰi"	5	"替剃跌帖碟蝶牒諜鐵[(文)～路]踢[(文)～足球]"
"ti"	"tʰi"	6	"屜"
"li"	"li"	1	"力[(白)～氣]粒[(白)一～米]"
"li"	"li"	2	"梨犁黎離璃漓灕籬"
"li"	"li"	3	"狸旅履李里裏理鯉你[(文)～們]"
"li"	"li"	5	"力[(文)～量]例厲勵麗痢吏立栗[(文)板～]笠粒[(文)～子]列烈裂律率歷曆"
"li"	"li"	6	"荔利"
"zhi"	"tɕi"	1	"雞稽飢肌基几[茶～]機譏饑急[(白)着～]節[(白)～氣]結[(白)～巴]鯽屐揭[(白)～開]接[(白)～到]"
"zhi"	"tɕi"	2	"徐齊臍薺奇騎岐祁鰭其棋期旗祈"
"zhi"	"tɕi"	3	"幾[～個]己紀[(文)～律]戟姐[(文)小～]嘴[(白)～巴]"
"zhi"	"tɕi"	5	"接[(文)～洽]聚[(白)～會]祭際穄濟劑計繼繫[～鞋帶]髻技妓寄冀忌記紀[(白)年～]既級及揭[(文)～幕]吸[(文)呼～]節[(文)～目]急[(文)～診]潔結[(文)～果]疾即極積跡脊籍藉績寂緝醉[(白)喫～了]"
"zhi"	"tɕi"	6	"徛"
"chi"	"tɕʰi"	1	"蛆趨妻欺漆七[(白)～個]黢切[～開]絕[(白)死～嘚]"
"chi"	"tɕʰi"	3	"起杞啟豈且取娶"
"chi"	"tɕʰi"	5	"劫怯砌契企器棄汽气氣泣傑訖乞七[(文)～上八下]戚切[親～]絕[(文)～望]膝[(文)～蓋]"
"shi"	"ɕi"	1	"須鬚需西嬉熙希稀媳犀溪奚兮雪[(白)落～]屑[(白)木～]"
"shi"	"ɕi"	2	"邪斜[(文)傾～]"
"shi"	"ɕi"	3	"洗喜蟢寫[(文)～作]"
"shi"	"ɕi"	5	"習襲細褯謝[(文)～～]絮婿系係戲髓協悉戌洫息席夕薛穴血[(文)鮮～]雪[(文)～白]屑[(文)頭～]"
"i"	"i"	1	"揖依伊矣醫衣葉[(白)～子]一[(白)十～個]"
"i"	"i"	2	"爺[(文)祖父]移夷姨飴沂"
"i"	"i"	3	"已以"
"i"	"i"	5	"刈縊翳易[(文)姓～；交～]肄意乙逸憶億抑翼益亦頁譯液腋葉[(文)～公好龍]一[(文)～倍]"
"i"	"i"	6	"易[(白)容～]夜[(白)～晚]"
"bu"	"pu"	2	"蒲菩脯"
"bu"	"pu"	3	"補"
"bu"	"pu"	5	"布怖佈不"
"bu"	"pu"	6	"部簿步卜"
"pu"	"pʰu"	1	"鋪捕撲仆"
"pu"	"pʰu"	3	"譜普浦"
"pu"	"pʰu"	5	"埠樸瀑"
"fu"	"fu"	1	"乎呼夫膚敷俘麩"
"fu"	"fu"	2	"胡湖狐壺瓠符扶芙浮[(文)～躁]斛"
"fu"	"fu"	3	"虎滸府腑俯甫斧釜腐輔撫付[姓～]"
"fu"	"fu"	5	"扈護付[(文)]賦副復複富婦負阜赴福幅蝠腹覆服伏佛縛"
"fu"	"fu"	6	"戶互孵附父付[(白)～出]傅"
"gu"	"ku"	1	"姑孤箍估谷穀"
"gu"	"ku"	2	"跍"
"gu"	"ku"	3	"古牯股鼓"
"gu"	"ku"	5	"故固僱顧過[(白)走～去]"
"gu"	"ku"	6	"咕[～口：漱口]"
"ku"	"kʰu"	1	"枯哭[(白)又～又笑]"
"ku"	"kʰu"	3	"苦"
"ku"	"kʰu"	5	"庫褲酷哭[(文)痛～]"
"u"	"u"	1	"塢烏污巫屋"
"u"	"u"	2	"吳蜈吾梧无無"
"u"	"u"	3	"五伍午武舞侮鵡"
"u"	"u"	5	"誤悟務物勿"
"u"	"u"	6	"霧"
"zhy"	"tɕy"	1	"豬諸居車[～馬炮]朱硃珠誅株蛛拘駒"
"zhy"	"tɕy"	2	"除渠廚瞿槌錘"
"zhy"	"tɕy"	3	"煮舉主拄矩"
"zhy"	"tɕy"	5	"著據巨拒距聚[(文)團～]注蛀駐俱句具懼劇"
"zhy"	"tɕy"	6	"柱住"
