字音					
#i					
∅	[1]娃 [3]划倚{靠}瓦= [5]倚{扶着} [6]外- [8b]活				
#ɔ					
p	[1]哺 [2]蝠紨{衣褶边} [3]斧补 [5]布 [6]步				
pʰ	[1]铺 [2]扶- [3]普谱 [6]簿				
b	[2]模谋 [3]妇某 [6]墓暮晡牡				
t	[1]都 [2]图途 [3]肚赌 [5]□{渗透} [6]度杜				
tʰ	[1]涛 [2]涂塗徒 [3]土 [5]兔吐				
l	[1]喽捞骡 [2]牢炉劳涝 [3]鲁 [6]路痨				
ts	[1]租 [2]曹 [3]组昨 [6]助				
tsʰ	[1]粗初 [3]楚 [5]醋				
s	[1]稣 [3]所 [5]诉数索-{瓯语借词，一种本地面食，瓯语区亦可见“素面”}				
k	[1]姑菇 [2]糊- [3]鼓古谷□{翼} [5]故				
kʰ	[1]枯箍□{性交} [2]糊-{维持} [3]苦 [5]库裤				
g	[2]吴 [6]五-午伍-				
h	[1]呼 [2]狐 [3]虎 [5]□{手快速摆动} [6]雨-户				
∅	[1]乌 [2]鞋壶湖 [3]□{用土掩埋} [6]芋 [8b]呕				
#o					
p	[1]包玻 [2]婆 [3]宝 [5]报 [8b]薄				
pʰ	[1]坡 [2]婆 [3]粕{渣} [5]破- [6]抱-				
b	[2]无- [6]磨帽 [8b]木膜				
t	[1]刀 [2]逃 [3]桌岛 [5]到倒 [6]道 [8b]着{着火}				
tʰ	[1]拖- [2]桃 [3]讨 [5]套				
l	[1]啰 [2]锣逻罗萝醪{浑浊} [3]落-{~后天：大后天} [8b]落-{下去}				
ts	[1]糙糟 [2]槽 [3]左枣 [6]造斫 [8b]昨-{~日}				
tsʰ	[1]臊 [3]□{骂人的脏话} [5]糙				
s	[1]梭 [2]趖{爬行} [3]锁所嫂索唢 [5]燥- [6]唆 [8b]镯				
k	[1]哥高膏 [2]㩝{纠缠} [3]稿镐果 [5]个=				
kʰ	[3]可考 [5]课靠				
g	[2]娥 [6]饿				
h	[1]花= [2]荷河何 [3]好 [6]贺号				
∅	[1]蜗莴涡欧- [2]蠔 [3]袄 [5]岙{瓯语借词，山间小平原} [8b]学				
#io					
