cnd	character	iintian	fnian	tone	iote
1	多	t	o	35	
2	拖	th	o	35	
3	大	t	a	13	
4	锣	n	o	21	
5	左	ts	o	42	
6	歌	k	o	35	
7	个	k	o	13	
8	可	kh	o	42	
9	鹅	∅	o	21	
10	饿	∅	o	13	
11	河	x	o	21	
12	茄	tɕh	y	21	
13	破	ph	o	13	
14	婆	ph	o	21	
15	磨	m	o	21	
16	磨	m	o	13	
17	躲	t	o	42	
18	螺	n	o	21	
19	坐	ts	o	13	
20	锁	s	o	42	
21	果	k	o	42	
22	过	k	o	13	
23	课	kh	o	13	
24	火	x	o	42	
25	货	x	o	13	
26	祸	x	o	13	
27	靴	ɕ	y	35	
28	把	p	a	42	
29	爬	p	a	35	向上～
29	爬	ph	a	21	地上～
30	马	m	a	42	
31	骂	m	a	13	
32	茶	tsh	a	21	
33	沙	s	a	35	
34	假	tɕ	ia	42	
35	嫁	tɕ	ia	13	
36	牙	∅	ia	21	
37	虾	ɕ	ia	35	
38	下	ɕ	ia	13	
38	下	x	a	13	白，一∽
39	夏	ɕ	ia	13	
40	哑	∅	ia	42	
41	姐	tɕ	i	42	
42	借	tɕ	i	13	
43	写	ɕ	i	42	
44	斜	ɕ	i	21	
45	谢	ɕ	i	13	
46	车	tsh	ei	35	
47	蛇	s	ei	21	
48	射	s	ei	21	
49	爷	∅	i	21	
50	野	∅	i	42	
51	夜	∅	i	13	
52	瓜	k	ua	35	
53	瓦	∅	ua	42	
54	花	x	ua	35	
35	化	x	ua	13	
56	华	x	ua	21	
57	谱	ph	uᶹ	42	
58	布	p	uᶹ	13	
59	铺	ph	uᶹ	35	
60	簿	p	uᶹ	13	
61	步	p	uᶹ	13	
62	赌	t	uᶹ	42	
63	土	th	uᶹ	42	
64	图	th	uᶹ	21	
65	杜	t	uᶹ	13	
66	奴	n	uᶹ	21	
67	路	n	uᶹ	13	
68	租	ts	uᶹ	35	
69	做	ts	uᶹ	13	
70	错	tsh	o	13	
71	箍	kh	uᶹ	35	
72	古	k	uᶹ	42	
73	苦	kh	uᶹ	42	
74	裤	kh	uᶹ	13	
75	吴	v	uᶹ	21	
76	五	v	uᶹ	42	
77	虎	f	uᶹ	42	
78	壶	f	uᶹ	21	
79	户	f	uᶹ	13	
80	乌	v	uᶹ	35	
81	女	n	y	42	
82	吕	n	uei	42	
83	徐	ɕ	y	21	
84	猪	ts	uᶹ	35	
85	除	tsh	uᶹ	21	
86	初	tsh	uᶹ	35	
87	锄	tsh	uᶹ	21	
88	所	s	o	42	
89	书	s	uᶹ	35	
90	鼠	s	uᶹ	42	
91	如	z	uᶹ	21	
92	举	tɕ	y	42	
93	锯	tɕ	y	13	
94	去	tɕh	i	13	白
94	去	tɕh	y	13	文
95	渠	tɕh	y	21	
96	鱼	∅	y	21	
97	许	ɕ	y	42	
98	余	∅	y	21	
99	府	f	uᶹ	42	
100	付	f	uᶹ	13	
101	父	f	uᶹ	13	
102	武	v	uᶹ	42	
103	雾	v	uᶹ	13	
104	取	tɕh	y	42	
105	柱	ts	uᶹ	13	
106	住	ts	uᶹ	13	
107	数	s	uᶹ	42	
108	数	s	uᶹ	13	
109	主	ts	uᶹ	42	
110	输	s	uᶹ	35	
111	竖	s	uᶹ	13	
112	树	s	uᶹ	13	
113	句	tɕ	y	13	
114	区	tɕh	y	35	
115	遇	∅	y	13	
116	雨	∅	y	42	
117	芋	∅	y	13	
118	裕	∅	yu	21	
119	胎	th	ai	35	
120	台	th	ai	21	
121	袋	t	ai	13	
122	来	n	ai	21	
123	菜	tsh	ai	13	
124	财	tsh	ai	21	
125	该	k	ai	35	
126	改	k	ai	42	
127	开	kh	ai	35	
128	海	x	ai	42	
129	爱	ŋ	ai	13	
