字	音	注
碑	pi[1]	
卑	pi[1]	
婢	pi[1]	
□	pi[1]	□lai44～：一種竹編的器具，裝菜用
秘	pi[1]	1～書
篦	pi[1]	～梳：篦子
敝	pi[5]	
弊	pi[5]	
閉	pi[5]	
痹	pi[5]	
□	pi[5]	竹～：趕牛用的竹鞭
陛	pi[6]	
彼	pi[6]	
比	pi[6]	2
避	pi[6]	2
□	pi[6]	十～隻：十來個
□	pi[6]	～□□βɔ11ik5：蝙蝠
啤	pi[9]	～酒
琵	pi[12]	～琶
枇	pi[12]	～杷
蓖	pʰi[1]	～麻
批	pʰi[1]	信件；蜀～
披	pʰi[1]	
悲	pʰi[1]	
非	pʰi[1]	
飛	pʰi[1]	2～機
□	pʰi[1]	～蓆：鋪席子
□	pʰi[1]	拍～：打撲克
疲	pʰi[2]	
□	pʰi[2]	～柴□lɔi55：劃火柴
鼻	pʰi[5]	鼻子
秘	mi[1]	2～書
□	mi[1]	棕～□lᴇ44：棕樹的葉子
眯	mi[5]	
□	mi[5]	□ham33～：打哈欠
知	ti[1]	
蜘	ti[1]	～蛛
池	ti[2]	池塘
雉	ti[2]	～雞：山雞
蒂	ti[5]	
智	ti[5]	
致	ti[5]	
稚	ti[5]	
置	ti[5]	
底	ti[6]	1～爿：裡邊，村～：村裡
弟	ti[6]	1兄～：弟弟
得	ti[6]	2…～慘：…得很
□	ti[9]	～官：公公
黐	tʰi[1]	黏液
啼	tʰi[2]	讀字
剃	tʰi[5]	
涕	tʰi[5]	
耻	tʰi[6]	
兒	ni[2]	1囝～：子女
餌	ni[5]	魚餌
□	ni[5]	貓～：貓
□	ni[5]	秤～□lɔ533：大秤
□	ni[5]	無～□ai533：不允許
爾	ni[6]	1
日	ni[0]	2～頭：太陽
呢	ni[0]	
□	li[1]	□ki0～□nun44：發抖
私	li[1]	2家～：傢具
離	li[2]	
籬	li[2]	
狸	li[2]	2
濾	li[5]	1～豆漿
利	li[5]	1～息
□	li[5]	□kʰa33～蟲：孑孓
例	li[6]	
豉	li[6]	豆～
笠	li[10]	1～斗：斗笠
□	li[9]	塗～□mᴇʔ3：爛泥
些	θi[1]	
施	θi[1]	
螄	θi[1]	
