tsɿ	1	知资之兹		#来源 中央研究院历史语言研究所集刊《南昌音系》						
tsɿ	3	纸止子		#转录者 版筑陈						
tsɿ	5	志		#声调	1阴平	32				
tsʰɿ	1	雌痴			2阳平	24				
tsʰɿ	2	迟辞词匙			3上声	213				
tsʰɿ	3	耻齿此次赐翅伺			5阴去	35				
tsʰɿ	6	滞自字治			6阳去	11				
sɿ	1	诗师狮斯思施			7入声	4				
sɿ	3	使始矢死		#符号说明						
sɿ	5	时诗世四伺			-	前字为白读				
sɿ	6	是士事侍似寺示市视			=	前字为文读				
m̩	2	唔[~妈，呼母]								
ŋ̍	3	五-								
ø	3	耳尔汝-								
ø	5	儿而如-儒-								
ø	6	二贰								
pi	1	卑悲碑								
pi	3	比彼								
pi	5	闭贝臂秘泌								
pʰi	1	披丕								
pʰi	2	皮								
pʰi	3	鄙配佩								
pʰi	6	敝倍备被								
mi	3	米美								
mi	5	梅迷								
mi	6	妹								
ti	1	低								
ti	3	底								
ti	5	帝								
tʰi	1	梯								
tʰi	2	题提=堤								
tʰi	3	体替								
tʰi	6	弟第地隶								
li	3	李里								
li	5	离								
li	6	例利								
tɕi	1	鸡								
tɕi	3	几								
tɕi	5	祭计季								
tɕʰi	1	妻溪栖								
tɕʰi	2	奇齐旗								
tɕʰi	3	起器气								
tɕʰi	6	忌技妓								
ȵi	3	你								
ȵi	5	泥尼疑宜								
ȵi	6	艺义								
ɕi	1	西奚兮希								
ɕi	3	喜徙玺								
ɕi	5	戏细								
ɕi	6	系								
i	1	衣依医								
i	3	矣以已								
i	5	意移夷遗								
i	6	异								
pu	3	补								
pu	5	布								
pʰu	1	铺								
pʰu	2	蒲								
pʰu	3	普铺谱								
pʰu	6	步部								
mu	3	母								
mu	5	模								
mu	6	暮								
ɸu	1	呼夫								
ɸu	3	府虎腐								
ɸu	5	付乎扶胡狐符								
ɸu	6	户附负妇父								
tu	1	都								
tu	3	肚赌								
tu	5	妒								
tʰu	2	图								
tʰu	3	土吐								
tʰu	6	杜								
lu	3	努								
lu	5	奴如=儒=驴								
lu	6	怒路								
tsu	1	租								
tsu	3	祖组								
tsu	5	做								
tsʰu	1	初粗								
tsʰu	2	锄								
tsʰu	3	楚醋								
tsʰu	6	助								
su	1	苏								
su	3	数								
su	5	素数								
ku	1	孤姑								
ku	3	古鼓								
ku	5	故								
kʰu	1	枯								
kʰu	3	苦库								
u	1	乌								
u	3	武五=舞								
u	5	无吾								
u	6	戊务								
ly	3	吕屡履								
tɕy	1	猪诸拘居								
tɕy	3	举主								
tɕy	5	注句								
tɕʰy	1	区枢								
tɕʰy	2	徐除								
tɕʰy	3	取娶趣去=处								
tɕʰy	6	柱住巨聚								
ȵy	2	鱼=								
ȵy	3	女								
ȵy	5	愚								
ȵy	6	遇								
ɕy	1	书虚殊								
ɕy	3	许鼠暑								
ɕy	5	婿								
ɕy	6	序树								
y	1	迂								
y	3	羽								
y	5	余								
y	6	玉								
pᴀ	1	巴								
