#ɿ
ts[5]牸巳[3]资姿咨兹滋子梓辎
tsʰ[2]辞词祠瓷茨慈[5]次
s[3]司思[5]伺似祀饲示

#i
p[1]碑[2]皮疲脾琵枇[3]彼[5]蔽敝弊币毙婢被避箅鄙痹庇备臂辟毕
pʰ[1]披纰[3]痞[5]屁譬僻
m[2]谜迷弥靡眉[5]秘泌
f[1]飞[2]肥
t[3]抵[5]地递
tʰ[1]堤
n[2]儿[3]你耳[5]二贰
l[2]篱璃梨[3]礼李里裹理鲤[5]隶例厉励蜊利痢吏丽荔离
ts[3]姊
tsʰ[2]雌[3]疵此
s[1]师丝私诗狮撕[2]鹚[3]死屎[5]寺视四肆
tɕ[1]知蜘饥肌饑基支枝肢栀之芝脂[2]骑岐歧汁吉职迹糍鳍其棋旗麒[3]稽几止趾址已机讥指麂纸给{供~}给{~你}紫旨[5]自字滞制製计继髻技繫智翅寄致雉稚至置帜质痔治志誌痣记忌既剂际季冀
tɕʰ[1]欺[2]凄淒奇持期祈池驰[3]启踟耻嗤岂齿起杞[5]刺赐契器气汽弃企
ɕ[1]牺希稀尸施[2]时迟[3]奚匙{钥~}兮眵侈矢嬉熙喜吸秩豕始释[5]嗜市势逝系係是氏豉戏式试誓繫
∅[1]依衣[2]疑夷姨移遗{~产}[3]瞖椅医矣已以倚[5]忆亿艺刘仪义议意异肆易缢谊

#u
p[2]葡菩[3]补[5]部步布怖怖埠簿薄不
pʰ[2]朴蔔[3]谱普浦脯辅圃甫[5]铺舖
m[2]模[3]母[5]暮慕墓募
f[1]敷夫肤[2]符扶芙浮復佛幅伏覆复葫胡湖俘忽[3]斧府腑俯孵釜抚[5]副付赋傅麸赴父腐附驸富妇负互护戽瓠葫讣咐
t[1]督都[2]涂独徒屠途图[3]堵赌[5]秃杜度镀妒渡肚
tʰ[2]突[3]脱土吐[5]兔
n[2]奴如[3]努[5]怒
l[2]卢炉鸬芦[3]鲁橹虏卤[5]露鹭路
ts[2]雏锄[3]租阻祖组族抓[5]苎助作做[7]捉
tsʰ[1]蛆粗[3]楚础取褚杵[5]储撮醋
s[1]鬚苏酥枢输{运~}[2]塾俗[3]蜀[5]宿漱素诉塑嗉竖束
k[1]姑孤箍鸪辜[3]估牯股鼓古[5]故固雇顾
kʰ[1]枯[3]苦[5]库
x[3]呼虎浒乎[5]户
∅[2]壶糊鬍吴[3]武舞侮鹉[5]戊误务雾物悟

#y
n[3]女
l[3]履吕旅[5]虑滤
tɕ[1]诛猪朱硃珠诸株[2]除厨橱徐[3]煮主[5]箸著注註聚蛀柱
tɕʰ[3]处{~理}[5]趣处{~所}
ɕ[1]书梳疏蔬舒墟[3]殊暑须需成鼠虚数{动词}许[5]续序叙绪薯数树婿术
k[1]拘驹[2]菊鞠[3]举矩[5]锯柜巨拒距剧句居据俱具惧
kʰ[1]区驱[2]瞿屈麯麹曲[5]去
x[3]雨
∅[2]娱余馀于愉[3]语与乳宇羽迂[5]儒芋誉预豫遇愈喻裕禦玉

#a
p[1]笆芭疤杷巴[2]耙琶爬[3]把八[5]罢霸欛壩
pʰ[5]怕
m[1]□{涩}蟆[2]麻痲[3]码马[5]骂袜抹{~布}
f[1]花[2]华{中~}桦乏伐发法[5]化罚阀华{~山}
t[3]答搭打
tʰ[2]踏[3]塔榻塌
l[5]腊蜡邋
ts[1]楂渣[2]茶察查[3]眨[5]杂侧榨煠诈炸[7]闸
tsʰ[1]差[5]杈岔[7]擦插
s[1]莎沙纱[3]洒撒杀
k[1]家加痂嘉佳贾[3]假{真~}夹甲匣[5]架嫁稼价假{~期}
kʰ[3]卡揢掐
ŋ[2]牙芽衙
x[2]霞暇遐[3]哈瞎狭峡侠[5]下夏虾
