tsɿ1  兹滋孳资咨姿孜辎淄缁髭龇芝吱支枝肢栀知蜘脂猪㾔剚（~锥）㿳（黑~~）䐈（黏）
βu4  户扈沪武鹉侮伍（队~）抚

βu6  附腐驸妇负-父护贺祸傅（师~）舞忤务雾鹜骛𤖱（~头，脾气）戊紨（柴~）瓠

tu1    都嘟多哆

tu3    赌堵肚（~子，胃）朵-（耳~）躲-（栖息）

tu5    妒睹蠹

tʰu1  拖

tʰu3  土堍妥椭

tʰu5  吐兔唾

du2    途涂荼屠徒图驼鸵陀跎沱坨佗砣镀驮

du4    杜肚（~皮）舵

du6    度（程~）渡镀惰堕大-

ˀnu1  奴（~家）努懦

nu2    奴（~隶）孥弩驽挼（揉摩）

nu6    怒糯奴（吾~，人称代词）

ˀlu1  噜攎（收拢）撸罗（~嗦）

lu2    卢炉泸芦庐-轳驴-颅鲈罗（喽~）萝锣箩逻猡骡螺脶

lu4    鲁橹虏掳卤卵=

lu6    路露鹭赂璐潞裸

tsu1  租俎

tsu3  祖组阻诅

tsu5  左=佐做

tsʰu1  粗初刍（反~）搓-蹉

tsʰu3  杵

tsʰu5  醋楚础措锉挫错-（~过机会，失去时机）

su1  苏酥稣疏（~忽）蔬唆睃梭蓑梳=鬚-漱莎（~草）

su3  数=（动词）锁琐所唢

su5  素嗉愫诉溯塑数（名词）疏（注~）

zu2  刍（~议）雏锄=□（疲劳）䠡殂

zu4  坐座

zu6  助

ku1    姑蛄鸪菇孤箍哥歌戈（干~）锅蜗

ku3    古估牯诂沽股鼓瞽贾（商~）果馃裹蛊

ku5    雇顾故固锢辜过

kʰu1  枯骷髁棵稞颗戈（姓）窠科蝌苛柯轲珂

kʰu3  苦坷

kʰu5  库裤课

gu2    □（儿语，睡觉）跍（蹲下来）

ŋu2  哦俄鹅蛾娥峨梧-

ˀŋu3  我吾

ŋu6  饿讹卧悟误晤互寤

u1    乌呜坞邬钨污涡诬窝阿（~胶）倭捂焐莴唩（~吵，小儿啼闹）

u3    五=午=忤=

u5    恶（糞便）涴（陷）


ly2    庐=（茅~）驴=

ˀly3    屡缕

ly4    吕旅铝榈闾膂

ly6    虑滤=履侣

tsy1    朱株珠侏洙蛛诛铢硃茱诸疽

tsy3    主炷翥渚咀沮

tsy5    蛀注註驻拄箸著（~作）煮铸鳜-疰（~夏）

tsʰy1  蛆-枢

tsʰy3  取娶处（~分）龋

tsʰy5  趣处（相~）

sy1    舒抒纾书胥须=需颥

sy3    暑鼠=数-（动词）竖（横~）

sy5    恕庶婿=絮=戍署黍

zy2    除厨橱蹰躇殊如茹儒襦孺蠕濡徐（舒~）殳

zy4    竖（~写）薯汝乳柱墅贮伫苎

zy6    住树曙署序叙绪储聚

cy1    居锯=裾琚苣拘驹车=归-矩龟-

cy3    举榉鬼-

cy5    句倨踞据（收~）遽贵-鳜-

cʰy1  祛区躯驱岖趋亏-墟-（芦~，地名）

cʰy5  去=

ɟy2    瞿渠蕖衢馗-

ɟy4    跪-

ɟy6    巨拒炬距讵柜-具俱惧飓

ɲy2  愚虞娱禺

ɲy4  女蕊-（~头，花蕾）圄

ɲy6  遇寓隅御语驭

çy1    虚嘘墟=输吁-（气喘~~）

çy3    许=栩诩

çy5    煦酗

ɦy2    于圩盂予妤於余餘竽鱼=渔臾谀腴萸俞榆与欤舆围-（~身头，围裙）

ɦy4    羽禹雨宇屿渝庾

ɦy6    誉喻瑜愈癒谕愉逾预豫裕吁（呼~）

y1    淤迂於（姓）瘀纡吁=（文言叹词）

y5    喂-（~饭）椅-芋纬-（~纱）妪



pa1    爸吧（酒~）芭=疤=巴=笆=

pa3    摆-把=叭（喇~）靶=

pa5    拜-湃霸=坝=灞=欛=

pʰa1  派（pass的简称，打球时招呼）

pʰa5  派怕=

ba2    排-牌-爬=琶=杷=耙=俳

ba4    罢=吧=

ba6    败-稗-

ˀma1  埋妈

ma2    麻=霾

ˀma3  马=（~上）

ma4    买马=码=蚂=玛=吗=

ma6    卖

ɸa1    歪

βa2    槐淮怀-华=铧=哇

βa6    坏-画=𠲎话=

ta1    多（~日）

ta5    带-戴-

tʰa1  他她它拖（~鼻涕）

tʰa3  □（从容，~三）

tʰa5  泰-太-汰-

da2    □（摇晃）

da4  䈆(竹器，似筛而孔稍大)

da6  大=汏埭（~头）𡉑

ˀna1  拿=娜=哪（语气词）那奈（~何桥）

ˀna3  奶（~~，祖母）

na4    奶（哺乳，乳汁）

na6    㑚（实~，你们）艿

ˀla1    拉啦（~~队）

la4    垃攋（以指甲抓破皮肤）

la6    赖-癞-籁-□（~子，菜叶上的小虫）剌喇（~叭）

tsa1    斋遮（奢~）

tsa3    抓笊（~篱）咱□（~手，手有病）

tsa5  债诈=

tsʰa1  差=（出~）钗=扯

tsʰa3  扯（瞎~）

tsʰa5  蔡绰茬

sa1    筛-（动词）酾（~酒，斟酒）沙=纱=砂=鲨=裟=痧=□（~木头，锯开）

sa3    洒耍傻撒

sa5    啥閯

za2    豺-柴

za4    惹

za6    射（排泄，~屁）偌

ka1  街-阶-加-枷-伽-痂-家-傢-袈-嘉-胛-咖（~喱）

