-a		
n	[1]哝{~嘴}[2]努奴农[6]怒	
l	[2]卢炉芦鸬庐驴[3]鲁橹卤滷{~鸭}捞-[5]露[6]路鹭{虾油}	
k	[1]姑菇孤枯辜□{蹲}踞{蹲}[2]糊-{米~}[3]古估牯股鼓久-[5]故固雇顾灸{~火}[6]旧-舅-	
kh	[1]箍={紫~咒}丘{-~田}呼-{~鸡}[3]苦古{~田}[5]库裤[6]臼{舂~}	
ŋ	[2]吴吾梧牛-[3]五=伍午[6]五-{~十}	
h	[1]呼=乎夫肤芙烌{纸~}[2]胡湖狐壶糊-{~涂}俘符[3]虎浒府腑甫斧=[5]付赋赴附富=副傅戽{~水}[6]户沪腐=互护辅妇=负阜父驸扶傅{师~}	
ts	[1]租资姿咨[2]慈兹滋磁自瓷[3]祖组子=梓阻	
tsh	[1]粗[3]此楚础[5]醋次={~要}	
s	[1]伺苏酥思司{~令}疏斯=师=[2]词祠辞嗣饲=[3]史使={~者}死=驶=[5]素诉塑庶恕数赐思{意~}[6]士=仕侍事=	
0	[1]乌污坞巫诬伊[2]无=[3]武舞侮鹉[5]恶{可~}□{躲}[6]务有-	
-ai		
p	[3]跛{~楩}[5]拜[6]败	
ph	[5]派	
m	[1]□{饭}[2]埋=眉{眉~：眉毛}[6]迈	
t	[1]呆[2]台苔{青~}埋-[5]戴带[6]代=士-{道~}事-待怠贷	
th	[1]胎苔{舌~}筛-梯[2]刣{宰杀}[3]腿-[5]态太泰	
n	[3]乃[6]耐奈	
l	[2]来=□{研碎}雷-{~公}[3]篓{鱼~}□{阿~：犬}[6]赖癞	
k	[1]该皆阶胲{鸡嗉囊}□{鸡嗉囊}[3]改解=[5]盖界戒介芥疥=溉丐届□{很}	
kh	[1]开=[3]凯楷[5]概慨	
ŋ	[2]呆{~板}[5]艾=[6]碍	
h	[2]硋{陶瓷通称}䀁{陶瓷通称}□{陶瓷通称}孩还=[3]海[6]害亥	
ts	[1]栽灾斋哉[2]才财裁豺脐{腹~：肚脐}材[3]宰指-载[5]债再[6]在寨	
tsh	[1]钗猜=拆=[3]彩采採[5]菜蔡	
s	[1]筛=师-{~傅}狮腮[2]□{拳头击}[3]屎-驶-使{指~}[5]婿使{大~}塞{要~}	
0	[1]哀挨埃[3]蔼隘□{小蟹}[5]爱	
-au		
p	[1]包[2]胞鲍{姓}[3]饱=[5]豹鲍{~鱼}	
ph	[1]抛𣏫{柚子}[3]跑[5]泡炮[6]刨铇	
m	[2]茅矛□{不细致}锚[3]卯铆{~钉}[6]貌	
t	[1]兜□{装饭}□{量词，棵}蔸{量词，棵}[2]投□{叔}[3]斗[5]罩昼-{中午}[6]豆痘脰{~稳：脖子}稻=	
th	[1]偷[2]头-㪗{解开}[5]透□{~liu522：玩}	
n	[1]恼{懊~}[3]脑恼{烦~}[6]闹	
l	[1]捞=[2]楼-留-流-刘[3]耧{竹~}[6]老-漏-	
k	[1]交郊狡勾-沟-钩=[2]猴-[3]九-垢[5]较教{~育}校{~对}遘{到}[6]厚-	
kh	[1]敲阄箍{~桶}□{渣饼}[2]□{刮}	
h	[1]薅[5]酵孝鲎[6]效校{学~}	
ts	[1]糟[2]巢[3]蚤走-找爪[5]灶	
tsh	[1]抄钞操[3]草-吵=[5]臭	
s	[1]稍搜[5]扫嗽	
0		
-eu		
p		
ph	[2]浮=[3]剖=否	
m	[2]谋[6]茂贸	
t	[1]雕凋[2]条调{~味}[3]抖{发~}陡=[5]斗{~争}吊[6]逗	
th	[2]头=	
n	[2]扭{~断}	
l	[2]楼=搂娄寮□{有利}[5]□{舔}料漏=陋	
k	[1]勾={~当}沟=[3]狗荀[5]够构购	
kh	[3]口[5]扣寇叩	
ŋ	[2]尧饶[3]偶{配~}	
h	[2]侯{封~}喉猴=[3]吼[6]后=厚=候{时~}	
