#ɿ
ts[44]雌资姿咨兹滋辎[2]紫子梓滓
tsʰ[11]瓷糍磁慈磁辞词祠饲[2]此疵[31]似巳祀嗣[35]次厕刺[52]自字
s[44]斯厮撕施私师狮尸司丝思[11]匙时鲋[2]死矢屎史使驶始豕[31]是氏示柿市视[35]赐四肆嗜试□{~蟹：蚌蟹}[52]豉{读字音}俟士仕事恃侍涩瑟虱伺□{水~：母水牛}寺

#i
p[44]蓖碑卑俾悲[2]彼鄙比{~较}[35]贝臂秘辔泌痹憋□{知~iɔ⁴⁴：知了}闭
pʰ[44]披丕[11]皮疲脾琵枇□{头：一~牛}[31]被{~子，~迫}婢[35]譬庇屁[52]陛璧避备鼻䏘{女阴}
m[11]迷弥靡眉楣[2]美[31]米尾[52]谜媚寐
f[44]非飞痱妃菲扉[11]肥淝[2]匪榧{读字音}翡[52]吠
v[11]微薇[52]未味
l[11]黎离{~别，~开半寸}篱璃梨厘狸[2]女缕{丝~}屡履你理[31]吕旅李里{被~，这~，公~}鲤[52]虑滤利痢吏类泪累{劳~}累{连~，~积}
tʰ[52]地
ts[44]知蜘支枝肢栀{~子花}豉{读字音}脂芝之锥[2]纸只{~有}旨指止趾址挤嘴□{屋~头：马头}[35]赘智至置志{~愿}志{县~}痣醉致[52]卒{兵~}
tsʰ[44]蛆痴嗤[11]池驰迟持[2]取娶侈耻齿[31]雉稚[35]趣翅滞[52]痔治
s[44]些诗尿
tɕ[44]饥肌基几{茶~}机讥饥□{□¹¹~：刚：我~到}[11]□{kɔ̃⁴⁴~：蜻蜓}□{侧~：侧身}[2]几{~个}己纪{世~，姓~}杞几{~乎}[35]寄冀记既
tɕʰ[44]欺[11]奇骑岐祈鳍其棋旗期祈沂□{锔}[2]企起岂[31]□{tso⁵²~：陡}徛{站}[35]器弃气汽[52]泣讫乞忌屐技妓
ȵ[11]宜仪谊疑[2]拟[31]蚁[52]义议毅□{ŋo⁵²~：脏}
ɕ[44]牺嬉熙希稀□{~仂：箕纹}[2]喜嬉[35]戏
∅[44]伊医衣依□{~只：这个；~仂：这里}[11]移夷姨饴翳[2]倚椅已以[31]矣[35]意[52]肄异抑易{容~}

#u
p[2]补[35]布{~鞋}布{~告、~置}怖
